% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-95.358,3.1412e-14,0,54.878,0,0,-45.122,0.54878,1.8163e+07
-103.75,3.1412e-14,0,59.71,0,0,-40.29,0.5971,1.6218e+07
-135.15,1.5706e-14,0,77.778,0,0,-22.222,0.77778,8.9455e+06
-116.72,3.1412e-14,0,67.171,0,0,-32.829,0.67171,1.3215e+07
-116.88,1.5706e-14,0,67.262,1.1869e-14,0,-32.738,0.67262,1.3179e+07
-122.82,1.5706e-14,0,70.682,1.1869e-14,0,-29.318,0.70682,1.1802e+07
-100.85,3.1412e-14,0,58.041,0,0,-41.959,0.58041,1.689e+07
-116.72,1.5706e-14,0,67.17,0,0,-32.83,0.6717,1.3215e+07
-110.06,1.5706e-14,0,63.338,0,0,-36.662,0.63338,1.4758e+07
-124.99,3.1412e-14,0,71.934,0,0,-28.066,0.71934,1.1298e+07
-114.83,0,0,66.087,0,0,-33.913,0.66087,1.3651e+07
-121.47,1.5706e-14,0,69.904,0,0,-30.096,0.69904,1.2115e+07
-113.94,3.1412e-14,0,65.572,0,0,-34.428,0.65572,1.3859e+07
-121.17,3.1412e-14,0,69.736,0,0,-30.264,0.69736,1.2183e+07
-113.46,1.5706e-14,0,65.295,1.1869e-14,0,-34.705,0.65295,1.397e+07
-111.12,3.1412e-14,0,63.948,0,0,-36.052,0.63948,1.4512e+07
-118.84,1.5706e-14,0,68.395,0,0,-31.605,0.68395,1.2722e+07
-107.99,3.1412e-14,0,62.148,0,0,-37.852,0.62148,1.5237e+07
-96.162,4.7118e-14,0,55.341,0,0,-44.659,0.55341,1.7977e+07
-116.8,3.1412e-14,0,67.218,0,0,-32.782,0.67218,1.3196e+07
-94.072,1.5706e-14,0,54.138,0,0,-45.862,0.54138,1.8461e+07
-104.94,1.5706e-14,0,60.392,1.1869e-14,0,-39.608,0.60392,1.5944e+07
-116.64,3.1412e-14,0,67.125,0,0,-32.875,0.67125,1.3234e+07
-117.64,1.5706e-14,0,67.702,0,0,-32.298,0.67702,1.3001e+07
-113.33,1.5706e-14,0,65.222,0,0,-34.778,0.65222,1.4e+07
-114.92,3.1412e-14,0,66.135,0,0,-33.865,0.66135,1.3632e+07
-96.246,1.5706e-14,0,55.39,1.1869e-14,0,-44.61,0.5539,1.7958e+07
-108.98,1.5706e-14,0,62.717,0,0,-37.283,0.62717,1.5008e+07
-101.92,3.1412e-14,0,58.655,0,0,-41.345,0.58655,1.6643e+07
-118.1,1.5706e-14,0,67.969,0,0,-32.031,0.67969,1.2894e+07
-119.72,1.5706e-14,0,68.897,0,0,-31.103,0.68897,1.252e+07
-104.93,1.5706e-14,0,60.389,0,0,-39.611,0.60389,1.5945e+07
-129.53,1.5706e-14,0,74.545,0,0,-25.455,0.74545,1.0247e+07
-108.4,1.5706e-14,0,62.384,1.1869e-14,0,-37.616,0.62384,1.5142e+07
-122.62,3.1412e-14,0,70.567,0,0,-29.433,0.70567,1.1848e+07
-114.22,1.5706e-14,0,65.736,0,0,-34.264,0.65736,1.3793e+07
-126.37,1.5706e-14,0,72.728,0,0,-27.272,0.72728,1.0978e+07
-123.06,3.1412e-14,0,70.824,0,0,-29.176,0.70824,1.1745e+07
-118.96,1.5706e-14,0,68.461,0,0,-31.539,0.68461,1.2696e+07
-108.44,3.1412e-14,0,62.409,0,0,-37.591,0.62409,1.5132e+07
-114.77,1.5706e-14,0,66.052,0,0,-33.948,0.66052,1.3666e+07
-118.89,1.5706e-14,0,68.419,0,0,-31.581,0.68419,1.2713e+07
-126.12,1.5706e-14,0,72.581,0,0,-27.419,0.72581,1.1038e+07
-116.44,0,0,67.013,0,0,-32.987,0.67013,1.3279e+07
-107.25,1.5706e-14,0,61.722,0,0,-38.278,0.61722,1.5409e+07
-99.549,1.5706e-14,0,57.29,0,0,-42.71,0.5729,1.7193e+07
-106.5,1.5706e-14,0,61.294,0,0,-38.706,0.61294,1.5581e+07
-100.38,1.5706e-14,0,57.769,1.1869e-14,0,-42.231,0.57769,1.7e+07
-141.97,1.5706e-14,0,81.701,0,0,-18.299,0.81701,7.3662e+06
-107.11,3.1412e-14,0,61.643,1.1869e-14,0,-38.357,0.61643,1.544e+07
-104.73,1.5706e-14,0,60.272,0,0,-39.728,0.60272,1.5992e+07
-104.51,1.5706e-14,0,60.146,0,0,-39.854,0.60146,1.6043e+07
-111.62,1.5706e-14,0,64.236,1.1869e-14,0,-35.764,0.64236,1.4397e+07
-104.94,1.5706e-14,0,60.392,0,0,-39.608,0.60392,1.5944e+07
-125.39,0,0,72.161,0,0,-27.839,0.72161,1.1207e+07
-115.95,3.1412e-14,0,66.728,0,0,-33.272,0.66728,1.3393e+07
-109.78,3.1412e-14,0,63.181,0,0,-36.819,0.63181,1.4821e+07
-107.01,1.5706e-14,0,61.582,0,0,-38.418,0.61582,1.5465e+07
-105.35,0,0,60.627,0,0,-39.373,0.60627,1.5849e+07
-119.59,3.1412e-14,0,68.822,0,0,-31.178,0.68822,1.2551e+07
-111.16,1.5706e-14,0,63.972,1.1869e-14,0,-36.028,0.63972,1.4503e+07
-119.81,1.5706e-14,0,68.952,1.1869e-14,0,-31.048,0.68952,1.2498e+07
-125.47,4.7118e-14,0,72.211,0,0,-27.789,0.72211,1.1187e+07
-143.73,3.1412e-14,0,82.718,0,0,-17.282,0.82718,6.9566e+06
-129.76,3.1412e-14,0,74.677,0,0,-25.323,0.74677,1.0194e+07
-115.08,1.5706e-14,0,66.227,0,0,-33.773,0.66227,1.3595e+07
-125.14,0,0,72.019,0,0,-27.981,0.72019,1.1264e+07
-117.57,1.5706e-14,0,67.663,0,0,-32.337,0.67663,1.3017e+07
-112.83,1.5706e-14,0,64.931,0,0,-35.069,0.64931,1.4117e+07
-121.98,1.5706e-14,0,70.198,0,0,-29.802,0.70198,1.1997e+07
-116.07,1.5706e-14,0,66.8,0,0,-33.2,0.668,1.3364e+07
-93.583,1.5706e-14,0,53.857,0,0,-46.143,0.53857,1.8575e+07
-120.42,1.5706e-14,0,69.3,1.1869e-14,0,-30.7,0.693,1.2358e+07
-134.71,4.7118e-14,0,77.526,0,0,-22.474,0.77526,9.0466e+06
-140.24,1.5706e-14,0,80.706,0,0,-19.294,0.80706,7.7666e+06
-111.4,1.5706e-14,0,64.113,0,0,-35.887,0.64113,1.4446e+07
-118.13,1.5706e-14,0,67.982,1.1869e-14,0,-32.018,0.67982,1.2889e+07
-117.76,1.5706e-14,0,67.77,0,0,-32.23,0.6777,1.2974e+07
-92.873,1.5706e-14,0,53.448,1.1869e-14,0,-46.552,0.53448,1.8739e+07
-108.04,1.5706e-14,0,62.177,1.1869e-14,0,-37.823,0.62177,1.5225e+07
-115.87,3.1412e-14,0,66.683,0,0,-33.317,0.66683,1.3412e+07
-104.89,0,0,60.362,0,0,-39.638,0.60362,1.5956e+07
-114.14,1.5706e-14,0,65.688,1.1869e-14,0,-34.312,0.65688,1.3812e+07
-138.83,1.5706e-14,0,79.897,0,0,-20.103,0.79897,8.0923e+06
-128.61,3.1412e-14,0,74.012,1.1869e-14,0,-25.988,0.74012,1.0461e+07
-103.19,1.5706e-14,0,59.387,0,0,-40.613,0.59387,1.6349e+07
-105.88,4.7118e-14,0,60.933,0,0,-39.067,0.60933,1.5726e+07
-103.13,6.2824e-14,0,59.354,0,0,-40.646,0.59354,1.6362e+07
-114.76,1.5706e-14,0,66.044,1.1869e-14,0,-33.956,0.66044,1.3669e+07
-130.02,3.1412e-14,0,74.828,1.1869e-14,0,-25.172,0.74828,1.0133e+07
-102.51,1.5706e-14,0,58.996,1.1869e-14,0,-41.004,0.58996,1.6506e+07
-132.58,1.5706e-14,0,76.299,0,0,-23.701,0.76299,9.5406e+06
-98.464,1.5706e-14,0,56.666,0,0,-43.334,0.56666,1.7444e+07
-116.41,3.1412e-14,0,66.991,0,0,-33.009,0.66991,1.3287e+07
-138.5,1.5706e-14,0,79.705,0,0,-20.295,0.79705,8.1695e+06
-108.51,1.5706e-14,0,62.445,0,0,-37.555,0.62445,1.5117e+07
-113.19,1.5706e-14,0,65.143,1.1869e-14,0,-34.857,0.65143,1.4032e+07
-111.27,3.1412e-14,0,64.038,0,0,-35.962,0.64038,1.4476e+07
-101.04,1.5706e-14,0,58.147,0,0,-41.853,0.58147,1.6848e+07
-95.804,0,0,55.135,0,0,-44.865,0.55135,1.806e+07
-115.28,3.1412e-14,0,66.342,0,0,-33.658,0.66342,1.3549e+07
-111.56,4.7118e-14,0,64.205,0,0,-35.795,0.64205,1.4409e+07
-112.7,3.1412e-14,0,64.86,0,0,-35.14,0.6486,1.4145e+07
-121.04,1.5706e-14,0,69.656,0,0,-30.344,0.69656,1.2215e+07
-131.12,1.5706e-14,0,75.46,0,0,-24.54,0.7546,9.8784e+06
-101.07,1.5706e-14,0,58.168,0,0,-41.832,0.58168,1.6839e+07
-98.308,1.5706e-14,0,56.576,0,0,-43.424,0.56576,1.748e+07
-144.1,3.1412e-14,0,82.932,1.1869e-14,0,-17.068,0.82932,6.8705e+06
-117.67,1.5706e-14,0,67.717,1.1869e-14,0,-32.283,0.67717,1.2996e+07
-121.12,3.1412e-14,0,69.706,1.1869e-14,0,-30.294,0.69706,1.2195e+07
-135.21,3.1412e-14,0,77.815,0,0,-22.185,0.77815,8.9303e+06
-137.27,3.1412e-14,0,78.998,0,0,-21.002,0.78998,8.4543e+06
-111.76,0,0,64.315,0,0,-35.685,0.64315,1.4365e+07
-115.19,1.5706e-14,0,66.292,0,0,-33.708,0.66292,1.3569e+07
-103.64,4.7118e-14,0,59.644,0,0,-40.356,0.59644,1.6245e+07
-109.1,3.1412e-14,0,62.786,0,0,-37.214,0.62786,1.498e+07
-92.318,0,0,53.129,0,0,-46.871,0.53129,1.8868e+07
-118.31,3.1412e-14,0,68.089,0,0,-31.911,0.68089,1.2846e+07
-90.847,1.5706e-14,0,52.283,1.1869e-14,0,-47.717,0.52283,1.9208e+07
-115.19,0,0,66.29,0,0,-33.71,0.6629,1.357e+07
-116.65,0,0,67.132,0,0,-32.868,0.67132,1.3231e+07
-108.18,3.1412e-14,0,62.255,0,0,-37.745,0.62255,1.5194e+07
-100.11,3.1412e-14,0,57.612,0,0,-42.388,0.57612,1.7063e+07
-99.9,0,0,57.493,0,0,-42.507,0.57493,1.7111e+07
-118.87,1.5706e-14,0,68.409,0,0,-31.591,0.68409,1.2717e+07
-90.07,3.1412e-14,0,51.835,0,0,-48.165,0.51835,1.9388e+07
-105.08,1.5706e-14,0,60.472,1.1869e-14,0,-39.528,0.60472,1.5912e+07
-94.483,1.5706e-14,0,54.375,0,0,-45.625,0.54375,1.8366e+07
-117.16,3.1412e-14,0,67.427,0,0,-32.573,0.67427,1.3112e+07
-117.35,1.5706e-14,0,67.534,1.1869e-14,0,-32.466,0.67534,1.3069e+07
-96.835,1.5706e-14,0,55.729,0,0,-44.271,0.55729,1.7821e+07
-138.28,1.5706e-14,0,79.579,0,0,-20.421,0.79579,8.2205e+06
-108.14,1.5706e-14,0,62.237,0,0,-37.763,0.62237,1.5201e+07
-139.04,0,0,80.015,0,0,-19.985,0.80015,8.0449e+06
-108.72,1.5706e-14,0,62.569,0,0,-37.431,0.62569,1.5068e+07
-111.87,3.1412e-14,0,64.38,0,0,-35.62,0.6438,1.4339e+07
-145.32,1.5706e-14,0,83.631,1.1869e-14,0,-16.369,0.83631,6.5894e+06
-126.71,1.5706e-14,0,72.924,0,0,-27.076,0.72924,1.0899e+07
-142.5,3.1412e-14,0,82.011,0,0,-17.989,0.82011,7.2413e+06
-116.61,1.5706e-14,0,67.108,0,0,-32.892,0.67108,1.324e+07
-113.63,3.1412e-14,0,65.394,0,0,-34.606,0.65394,1.3931e+07
-118.86,1.5706e-14,0,68.406,0,0,-31.594,0.68406,1.2718e+07
-115.82,3.1412e-14,0,66.656,0,0,-33.344,0.66656,1.3423e+07
-113.67,3.1412e-14,0,65.416,1.1869e-14,0,-34.584,0.65416,1.3922e+07
-105.66,1.5706e-14,0,60.807,0,0,-39.193,0.60807,1.5777e+07
-125.6,1.5706e-14,0,72.283,0,0,-27.717,0.72283,1.1157e+07
-111.85,3.1412e-14,0,64.37,0,0,-35.63,0.6437,1.4343e+07
-101.85,0,0,58.617,0,0,-41.383,0.58617,1.6658e+07
-120.56,1.5706e-14,0,69.382,0,0,-30.618,0.69382,1.2325e+07
-134.44,3.1412e-14,0,77.372,0,0,-22.628,0.77372,9.1089e+06
-98.839,3.1412e-14,0,56.882,0,0,-43.118,0.56882,1.7357e+07
-113.58,3.1412e-14,0,65.366,0,0,-34.634,0.65366,1.3942e+07
-95.54,0,0,54.983,0,0,-45.017,0.54983,1.8121e+07
-106.9,0,0,61.519,0,0,-38.481,0.61519,1.549e+07
-111.45,1.5706e-14,0,64.142,0,0,-35.858,0.64142,1.4435e+07
-126.39,1.5706e-14,0,72.74,0,0,-27.26,0.7274,1.0974e+07
-109.57,1.5706e-14,0,63.057,0,0,-36.943,0.63057,1.4871e+07
-124.71,0,0,71.768,0,0,-28.232,0.71768,1.1365e+07
-133.43,3.1412e-14,0,76.787,0,0,-23.213,0.76787,9.3441e+06
-103.71,1.5706e-14,0,59.687,1.1869e-14,0,-40.313,0.59687,1.6228e+07
-146.12,1.5706e-14,0,84.089,0,0,-15.911,0.84089,6.4048e+06
-140.4,3.1412e-14,0,80.799,0,0,-19.201,0.80799,7.7294e+06
-106.26,0,0,61.151,0,0,-38.849,0.61151,1.5638e+07
-108.36,0,0,62.363,0,0,-37.637,0.62363,1.5151e+07
-113.14,1.5706e-14,0,65.111,0,0,-34.889,0.65111,1.4045e+07
-117.25,1.5706e-14,0,67.476,0,0,-32.524,0.67476,1.3092e+07
-116.95,3.1412e-14,0,67.303,0,0,-32.697,0.67303,1.3162e+07
-101.03,1.5706e-14,0,58.144,1.1869e-14,0,-41.856,0.58144,1.6849e+07
-116.53,1.5706e-14,0,67.065,0,0,-32.935,0.67065,1.3258e+07
-105.06,3.1412e-14,0,60.461,0,0,-39.539,0.60461,1.5916e+07
-140.91,3.1412e-14,0,81.096,2.3739e-14,0,-18.904,0.81096,7.6096e+06
-98.137,0,0,56.478,0,0,-43.522,0.56478,1.752e+07
-109.6,1.5706e-14,0,63.073,1.1869e-14,0,-36.927,0.63073,1.4865e+07
-117.77,3.1412e-14,0,67.775,0,0,-32.225,0.67775,1.2972e+07
-116.08,3.1412e-14,0,66.802,1.1869e-14,0,-33.198,0.66802,1.3364e+07
-126.87,3.1412e-14,0,73.014,0,0,-26.986,0.73014,1.0863e+07
-89.932,1.5706e-14,0,51.756,0,0,-48.244,0.51756,1.942e+07
-110.01,3.1412e-14,0,63.312,0,0,-36.688,0.63312,1.4768e+07
-122.39,1.5706e-14,0,70.436,1.1869e-14,0,-29.564,0.70436,1.1901e+07
-106.02,3.1412e-14,0,61.015,1.1869e-14,0,-38.985,0.61015,1.5693e+07
-112.87,1.5706e-14,0,64.956,0,0,-35.044,0.64956,1.4107e+07
-115.87,1.5706e-14,0,66.681,0,0,-33.319,0.66681,1.3412e+07
-123.37,3.1412e-14,0,70.998,0,0,-29.002,0.70998,1.1675e+07
-127.87,1.5706e-14,0,73.592,0,0,-26.408,0.73592,1.063e+07
-134.32,1.5706e-14,0,77.299,1.1869e-14,0,-22.701,0.77299,9.138e+06
-133.13,1.5706e-14,0,76.617,1.1869e-14,0,-23.383,0.76617,9.4126e+06
-115.23,3.1412e-14,0,66.313,0,0,-33.687,0.66313,1.3561e+07
-96.803,3.1412e-14,0,55.71,0,0,-44.29,0.5571,1.7829e+07
-105.1,3.1412e-14,0,60.485,0,0,-39.515,0.60485,1.5906e+07
-102.5,1.5706e-14,0,58.989,0,0,-41.011,0.58989,1.6509e+07
-110.54,1.5706e-14,0,63.617,1.1869e-14,0,-36.383,0.63617,1.4646e+07
-108.38,3.1412e-14,0,62.37,0,0,-37.63,0.6237,1.5148e+07
-127.36,3.1412e-14,0,73.294,1.1869e-14,0,-26.706,0.73294,1.075e+07
-94.939,3.1412e-14,0,54.637,0,0,-45.363,0.54637,1.8261e+07
-124.73,3.1412e-14,0,71.784,0,0,-28.216,0.71784,1.1358e+07
-103.6,3.1412e-14,0,59.622,1.1869e-14,0,-40.378,0.59622,1.6254e+07
-112.77,0,0,64.899,0,0,-35.101,0.64899,1.413e+07
-108.65,3.1412e-14,0,62.527,0,0,-37.473,0.62527,1.5084e+07
