% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-7.4632,-1.5706e-14,0,4.916,0,0,-2.2389,0.68708,9.0128e+05
-7.5236,-3.1412e-14,0,4.8979,0,0,-2.2571,0.68454,9.0858e+05
-7.4498,-1.5706e-14,0,4.92,0,0,-2.2349,0.68764,8.9966e+05
-7.2243,-1.5706e-14,0,4.9876,0,0,-2.1673,0.69709,8.7244e+05
-7.9034,0,0,4.7839,0,0,-2.371,0.66862,9.5445e+05
-7.9648,-1.5706e-14,0,4.7655,0,0,-2.3895,0.66604,9.6186e+05
-8.7198,-3.1412e-14,0,4.539,0,0,-2.6159,0.63439,1.053e+06
-6.8439,-1.5706e-14,0,5.1018,0,0,-2.0532,0.71304,8.265e+05
-8.6725,-3.1412e-14,0,4.5532,0,0,-2.6017,0.63637,1.0473e+06
-8.2955,-1.5706e-14,0,4.6663,0,0,-2.4886,0.65218,1.0018e+06
-7.4905,1.5706e-14,0,4.9078,1.1869e-14,0,-2.2471,0.68593,9.0458e+05
-10.109,-3.1412e-14,0,4.1221,0,0,-3.0328,0.57612,1.2209e+06
-8.2488,-1.5706e-14,0,4.6803,0,0,-2.4746,0.65413,9.9616e+05
-7.0473,-1.5706e-14,0,5.0408,0,0,-2.1142,0.70451,8.5106e+05
-6.2013,-1.5706e-14,0,5.2946,0,0,-1.8604,0.73999,7.4889e+05
-12.18,-1.5706e-14,0,3.5011,0,0,-3.6539,0.48932,1.4708e+06
-8.1237,-1.5706e-14,0,4.7178,0,0,-2.4371,0.65938,9.8105e+05
-5.809,-1.5706e-14,0,5.4122,0,0,-1.7427,0.75643,7.0152e+05
-7.8754,0,0,4.7923,0,0,-2.3626,0.66979,9.5107e+05
-9.7527,-3.1412e-14,0,4.2291,0,0,-2.9258,0.59108,1.1778e+06
