% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.56938,-7.6774,-3.1437,-0.16512,2.0892,-0.15719,-0.52366,0.80063,32.989
0.00551,-5.4669,-1.8245,0.0015979,2.2439,-0.091227,-0.37289,0.85803,23.491
0.048178,-6.6477,-2.9562,0.013972,2.1613,-0.14781,-0.45343,0.82737,28.565
0.084856,-5.046,-0.034443,0.024608,2.2734,-0.0017221,-0.34418,0.86896,21.682
0.27101,-8.8011,-2.6716,0.078594,2.0105,-0.13358,-0.60031,0.77145,37.817
0.3961,-6.561,-1.4688,0.11487,2.1673,-0.073442,-0.44752,0.82962,28.192
0.42858,-8.2457,-0.91488,0.12429,2.0494,-0.045744,-0.56243,0.78587,35.431
0.02021,-8.6138,-1.781,0.0058608,2.0236,-0.089051,-0.58754,0.77631,37.013
0.32361,-8.4837,-2.9253,0.093846,2.0328,-0.14627,-0.57866,0.77969,36.454
-0.37803,-5.7953,2.4708,-0.10963,2.2209,0.12354,-0.39529,0.84951,24.902
0.1232,-8.487,-2.3962,0.035728,2.0325,-0.11981,-0.57889,0.77961,36.468
0.065713,-5.6077,1.9757,0.019057,2.2341,0.098784,-0.38249,0.85438,24.096
-0.034591,-6.1978,1.4671,-0.010031,2.1928,0.073353,-0.42274,0.83906,26.631
0.42449,-7.0113,-1.0269,0.1231,2.1358,-0.051345,-0.47823,0.81793,30.127
0.14385,-7.9537,-1.9279,0.041716,2.0699,-0.096393,-0.54251,0.79346,34.176
0.50176,-6.8262,1.9714,0.14551,2.1488,0.098572,-0.4656,0.82274,29.331
0.29687,-6.3286,-0.87021,0.086092,2.1836,-0.04351,-0.43166,0.83566,27.193
-1.3746,-11.22,-2.7905,-0.39863,1.8412,-0.13953,-0.76528,0.70864,48.21
0.22969,-8.2893,-2.1174,0.066609,2.0464,-0.10587,-0.5654,0.78474,35.618
0.24378,-6.9101,-3.4663,0.070697,2.1429,-0.17332,-0.47133,0.82056,29.692
1.0804,-6.6888,8.1866,0.31331,2.1584,0.40933,-0.45623,0.8263,28.741
1.4587,-12.146,-0.77242,0.42302,1.7764,-0.038621,-0.82843,0.6846,52.188
0.12807,-5.7723,-2.3474,0.037141,2.2226,-0.11737,-0.39372,0.8501,24.803
-0.54658,-9.0163,-6.2561,-0.15851,1.9955,-0.3128,-0.61499,0.76586,38.742
-0.27741,-9.0263,-2.6504,-0.080449,1.9948,-0.13252,-0.61567,0.7656,38.785
0.21895,-7.2887,0.4769,0.063495,2.1164,0.023845,-0.49715,0.81072,31.319
-0.10744,-7.9208,0.14899,-0.031158,2.0722,0.0074496,-0.54027,0.79431,34.035
-0.030299,-7.0583,-5.3914,-0.0087868,2.1325,-0.26957,-0.48143,0.81671,30.329
0.038712,-12.823,-6.3192,0.011226,1.729,-0.31596,-0.87461,0.66702,55.098
0.62172,-7.4814,-0.64263,0.1803,2.1029,-0.032131,-0.5103,0.80572,32.147
-0.018215,-8.0548,-2.8315,-0.0052824,2.0628,-0.14158,-0.5494,0.79083,34.61
0.080423,-9.325,-1.1322,0.023323,1.9739,-0.056611,-0.63605,0.75785,40.069
-0.12314,-5.849,-1.8913,-0.035712,2.2172,-0.094565,-0.39895,0.84811,25.132
1.1634,-9.2197,0.78822,0.33739,1.9812,0.039411,-0.62886,0.76058,39.616
-0.36211,-6.0827,-7.1111,-0.10501,2.2008,-0.35556,-0.41489,0.84204,26.137
1.809,-10.916,-7.2986,0.52461,1.8625,-0.36493,-0.74453,0.71654,46.903
0.46923,-7.3742,-0.21265,0.13608,2.1104,-0.010632,-0.50298,0.80851,31.686
0.86941,-11.422,1.9061,0.25213,1.8271,0.095303,-0.7791,0.70338,49.08
-0.2627,-6.6326,-1.62,-0.076182,2.1623,-0.081001,-0.4524,0.82776,28.499
-0.80289,-7.3962,-0.61218,-0.23284,2.1089,-0.030609,-0.50448,0.80794,31.781
0.14099,-10.177,-6.6629,0.040887,1.9142,-0.33315,-0.69414,0.73573,43.728
-0.34332,-8.192,-2.005,-0.099562,2.0532,-0.10025,-0.55876,0.78727,35.2
-0.26277,-9.5776,-0.22723,-0.076204,1.9562,-0.011361,-0.65327,0.75129,41.154
-0.28158,-6.7285,-0.28014,-0.081658,2.1556,-0.014007,-0.45894,0.82527,28.912
0.51352,-5.8569,-0.48837,0.14892,2.2166,-0.024418,-0.39949,0.84791,25.166
0.60714,-6.3642,5.3647,0.17607,2.1811,0.26823,-0.43409,0.83473,27.346
-0.34781,-7.2063,0.15799,-0.10087,2.1222,0.0078995,-0.49153,0.81287,30.965
0.66824,-7.2378,-2.9596,0.19379,2.12,-0.14798,-0.49368,0.81205,31.1
0.22473,-7.8232,-4.1402,0.065172,2.079,-0.20701,-0.53361,0.79685,33.616
-2.6043,-11.179,-3.7118,-0.75525,1.8441,-0.18559,-0.76249,0.70971,48.034
-0.64434,-7.9346,-3.1427,-0.18686,2.0712,-0.15713,-0.5412,0.79395,34.094
-0.12331,-8.0267,-4.3881,-0.035759,2.0647,-0.21941,-0.54749,0.79156,34.49
-0.41158,-8.0266,-2.9474,-0.11936,2.0648,-0.14737,-0.54748,0.79156,34.49
0.070683,-6.0443,-2.5053,0.020498,2.2035,-0.12527,-0.41227,0.84304,25.972
-0.20555,-6.1437,0.12296,-0.05961,2.1966,0.0061478,-0.41905,0.84046,26.399
-0.19892,-6.728,-0.83912,-0.057686,2.1557,-0.041956,-0.4589,0.82529,28.909
-0.024369,-8.6475,2.4447,-0.0070669,2.0213,0.12224,-0.58984,0.77544,37.158
-0.073723,-6.6231,0.8163,-0.02138,2.163,0.040815,-0.45175,0.82801,28.459
-1.1139,-9.0035,-2.8513,-0.32302,1.9964,-0.14257,-0.61411,0.7662,38.687
-0.30801,-6.1546,0.38608,-0.089322,2.1958,0.019304,-0.41979,0.84018,26.446
1.3167,-6.3059,2.8489,0.38185,2.1852,0.14245,-0.43012,0.83625,27.096
-0.18443,-6.5582,-2.0591,-0.053485,2.1675,-0.10296,-0.44732,0.8297,28.18
-1.0972,-13.073,-5.7478,-0.31819,1.7115,-0.28739,-0.89168,0.66052,56.173
0.89583,-10.204,0.13443,0.25979,1.9124,0.0067214,-0.69597,0.73503,43.844
0.001728,-5.8771,-1.627,0.00050111,2.2152,-0.081349,-0.40087,0.84738,25.253
0.88792,-7.5078,-0.30744,0.2575,2.1011,-0.015372,-0.5121,0.80504,32.26
0.37646,-8.1019,-5.6969,0.10917,2.0595,-0.28484,-0.55262,0.78961,34.813
0.1556,-12.541,-4.1642,0.045123,1.7487,-0.20821,-0.85542,0.67433,53.888
-0.88572,-8.6967,-3.2948,-0.25686,2.0178,-0.16474,-0.59319,0.77416,37.369
0.013974,-8.4497,1.6618,0.0040523,2.0351,0.083088,-0.57634,0.78058,36.308
-0.66849,-7.4506,-2.0794,-0.19386,2.1051,-0.10397,-0.50819,0.80652,32.015
0.0046838,-6.8881,0.54939,0.0013583,2.1444,0.02747,-0.46983,0.82113,29.598
-0.80203,-5.6852,-1.8472,-0.23259,2.2287,-0.092359,-0.38778,0.85237,24.429
0.11546,-7.0846,-1.4448,0.033482,2.1307,-0.072242,-0.48323,0.81603,30.442
-0.60333,-11.896,-2.0597,-0.17497,1.7939,-0.10299,-0.81139,0.69109,51.115
0.10948,-6.6001,-0.35634,0.031748,2.1646,-0.017817,-0.45018,0.82861,28.36
-0.15808,-5.7512,-0.62329,-0.045843,2.224,-0.031165,-0.39228,0.85065,24.713
1.3065,-9.2567,0.10188,0.37888,1.9786,0.0050942,-0.63139,0.75962,39.775
-0.68443,-7.1394,-5.7792,-0.19848,2.1269,-0.28896,-0.48697,0.8146,30.677
-0.31697,-7.146,-0.87651,-0.091923,2.1264,-0.043826,-0.48742,0.81443,30.706
0.20019,-6.2318,-1.392,0.058054,2.1904,-0.069598,-0.42506,0.83817,26.777
-0.0053022,-5.8428,-0.037904,-0.0015376,2.2176,-0.0018952,-0.39853,0.84827,25.106
-0.34015,-10.742,-5.0809,-0.098645,1.8747,-0.25404,-0.73266,0.72106,46.155
0.65686,-5.5367,0.98073,0.19049,2.239,0.049036,-0.37765,0.85622,23.791
1.7394,-9.5759,-2.3559,0.50442,1.9563,-0.1178,-0.65316,0.75133,41.147
0.53403,-11.785,-2.8209,0.15487,1.8017,-0.14105,-0.80383,0.69397,50.638
-0.60728,-6.0273,-1.2877,-0.17611,2.2047,-0.064384,-0.41111,0.84348,25.899
-0.23653,-8.4335,2.3241,-0.068594,2.0363,0.11621,-0.57524,0.781,36.238
-0.12884,-6.1333,-0.9648,-0.037365,2.1973,-0.04824,-0.41834,0.84073,26.354
-0.28551,-8.7143,-1.1492,-0.082799,2.0166,-0.05746,-0.59439,0.77371,37.444
-1.7286,-8.6366,-5.4389,-0.5013,2.0221,-0.27194,-0.58909,0.77572,37.111
0.59939,-7.0479,-0.92659,0.17382,2.1333,-0.04633,-0.48073,0.81698,30.284
-0.34128,-7.1225,-3.6766,-0.098972,2.128,-0.18383,-0.48582,0.81504,30.605
0.74089,-7.0178,-1.8201,0.21486,2.1354,-0.091005,-0.47867,0.81776,30.155
-0.17386,-7.8553,-0.89403,-0.050419,2.0767,-0.044702,-0.5358,0.79601,33.753
