% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.89301,-12.041,-4.9306,-0.25897,3.2767,-0.24653,-0.80953,0.80349,51.74
0.0086417,-8.5742,-2.8616,0.0025061,3.5193,-0.14308,-0.57645,0.86007,36.842
0.075561,-10.426,-4.6364,0.021913,3.3897,-0.23182,-0.70095,0.82985,44.8
0.13309,-7.9141,-0.054019,0.038595,3.5655,-0.002701,-0.53207,0.87084,34.006
0.42505,-13.803,-4.1901,0.12326,3.1533,-0.2095,-0.92801,0.77473,59.312
0.62124,-10.29,-2.3037,0.18016,3.3992,-0.11518,-0.69182,0.83206,44.216
0.67217,-12.932,-1.4349,0.19493,3.2143,-0.071744,-0.86945,0.78894,55.569
0.031696,-13.51,-2.7933,0.009192,3.1739,-0.13967,-0.90827,0.77952,58.05
0.50754,-13.306,-4.5881,0.14719,3.1881,-0.2294,-0.89455,0.78285,57.173
-0.5929,-9.0892,3.8752,-0.17194,3.4833,0.19376,-0.61107,0.85166,39.055
0.19323,-13.311,-3.7581,0.056036,3.1878,-0.1879,-0.8949,0.78277,57.196
0.10306,-8.795,3.0986,0.029888,3.5039,0.15493,-0.59129,0.85647,37.791
-0.054252,-9.7205,2.3009,-0.015733,3.4391,0.11504,-0.65351,0.84136,41.768
0.66576,-10.996,-1.6106,0.19307,3.3498,-0.080528,-0.73929,0.82054,47.25
0.22561,-12.474,-3.0236,0.065427,3.2463,-0.15118,-0.83866,0.79642,53.602
0.78696,-10.706,3.092,0.22822,3.3701,0.1546,-0.71977,0.82528,46.003
0.4656,-9.9256,-1.3648,0.13502,3.4247,-0.068241,-0.6673,0.83801,42.649
-2.1559,-17.597,-4.3766,-0.6252,2.8878,-0.21883,-1.183,0.71282,75.612
0.36023,-13.001,-3.321,0.10447,3.2095,-0.16605,-0.87405,0.78783,55.863
0.38235,-10.838,-5.4365,0.11088,3.3609,-0.27182,-0.72862,0.82313,46.568
1.6945,-10.491,12.84,0.49139,3.3852,0.64199,-0.70528,0.8288,45.077
2.2878,-19.049,-1.2114,0.66346,2.7861,-0.060572,-1.2807,0.68912,81.851
0.20087,-9.0532,-3.6816,0.058251,3.4858,-0.18408,-0.60865,0.85225,38.901
-0.85725,-14.141,-9.8119,-0.2486,3.1297,-0.4906,-0.95071,0.76922,60.763
-0.43508,-14.157,-4.1569,-0.12617,3.1286,-0.20785,-0.95176,0.76896,60.83
0.34339,-11.432,0.74796,0.099584,3.3193,0.037398,-0.76855,0.81344,49.12
-0.16851,-12.423,0.23367,-0.048867,3.2499,0.011684,-0.8352,0.79726,53.38
-0.047521,-11.07,-8.4557,-0.013781,3.3446,-0.42279,-0.74425,0.81934,47.567
0.060715,-20.111,-9.911,0.017607,2.7118,-0.49555,-1.3521,0.67179,86.414
0.9751,-11.734,-1.0079,0.28278,3.2982,-0.050394,-0.78886,0.80851,50.419
-0.028568,-12.633,-4.4409,-0.0082848,3.2352,-0.22205,-0.84932,0.79383,54.282
0.12613,-14.625,-1.7757,0.036579,3.0958,-0.088787,-0.98326,0.76132,62.843
-0.19314,-9.1734,-2.9663,-0.056009,3.4774,-0.14831,-0.61673,0.85029,39.417
1.8247,-14.46,1.2362,0.52916,3.1073,0.061812,-0.97215,0.76401,62.133
-0.56793,-9.54,-11.153,-0.1647,3.4517,-0.55765,-0.64138,0.84431,40.993
2.8372,-17.12,-11.447,0.82278,2.9212,-0.57235,-1.151,0.72061,73.562
0.73593,-11.566,-0.33351,0.21342,3.3099,-0.016676,-0.77756,0.81125,49.696
1.3636,-17.915,2.9894,0.39543,2.8655,0.14947,-1.2044,0.70764,76.977
-0.41201,-10.402,-2.5408,-0.11948,3.3914,-0.12704,-0.69936,0.83023,44.698
-1.2592,-11.6,-0.96014,-0.36518,3.3075,-0.048007,-0.77987,0.81069,49.844
0.22112,-15.961,-10.45,0.064126,3.0023,-0.5225,-1.0731,0.73952,68.582
-0.53845,-12.848,-3.1446,-0.15615,3.2202,-0.15723,-0.86379,0.79032,55.207
-0.41213,-15.021,-0.35638,-0.11952,3.068,-0.017819,-1.0099,0.75485,64.545
-0.44163,-10.553,-0.43937,-0.12807,3.3808,-0.021969,-0.70948,0.82778,45.345
0.8054,-9.1858,-0.76594,0.23357,3.4765,-0.038297,-0.61756,0.85009,39.47
