% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.57147,-7.7056,-3.1553,-0.16573,2.0969,-0.15776,-0.52554,0.80065,33.11
0.0055302,-5.487,-1.8312,0.0016038,2.2522,-0.091562,-0.37422,0.85805,23.577
0.048355,-6.6721,-2.9671,0.014023,2.1692,-0.14835,-0.45505,0.82739,28.67
0.085168,-5.0646,-0.034569,0.024699,2.2818,-0.0017285,-0.34541,0.86898,21.762
0.27201,-8.8334,-2.6814,0.078883,2.0179,-0.13407,-0.60246,0.77147,37.956
0.39756,-6.5852,-1.4742,0.11529,2.1753,-0.073712,-0.44912,0.82964,28.296
0.43015,-8.276,-0.91824,0.12474,2.057,-0.045912,-0.56444,0.78589,35.561
0.020284,-8.6455,-1.7876,0.0058823,2.0311,-0.089379,-0.58964,0.77634,37.149
0.3248,-8.5149,-2.9361,0.094191,2.0402,-0.14681,-0.58073,0.77971,36.588
-0.37942,-5.8166,2.4799,-0.11003,2.2291,0.12399,-0.3967,0.84952,24.993
0.12365,-8.5182,-2.405,0.03586,2.04,-0.12025,-0.58096,0.77963,36.602
0.065954,-5.6283,1.9829,0.019127,2.2423,0.099147,-0.38386,0.85439,24.184
-0.034718,-6.2205,1.4724,-0.010068,2.2008,0.073622,-0.42425,0.83907,26.729
0.42605,-7.0371,-1.0307,0.12355,2.1437,-0.051533,-0.47994,0.81795,30.238
0.14438,-7.983,-1.935,0.041869,2.0775,-0.096748,-0.54445,0.79348,34.302
0.50361,-6.8512,1.9787,0.14605,2.1567,0.098935,-0.46727,0.82275,29.439
0.29796,-6.3519,-0.87341,0.086408,2.1916,-0.04367,-0.43321,0.83567,27.293
-1.3796,-11.261,-2.8008,-0.40009,1.848,-0.14004,-0.76803,0.70867,48.388
0.23053,-8.3198,-2.1252,0.066854,2.0539,-0.10626,-0.56743,0.78476,35.749
0.24468,-6.9355,-3.479,0.070957,2.1508,-0.17395,-0.47301,0.82057,29.801
1.0844,-6.7134,8.2167,0.31446,2.1663,0.41084,-0.45786,0.82632,28.847
1.4641,-12.19,-0.77526,0.42458,1.783,-0.038763,-0.8314,0.68463,52.38
0.12854,-5.7936,-2.356,0.037278,2.2307,-0.1178,-0.39513,0.85012,24.894
-0.54859,-9.0495,-6.2791,-0.15909,2.0028,-0.31395,-0.61719,0.76588,38.885
-0.27843,-9.0595,-2.6602,-0.080744,2.0021,-0.13301,-0.61788,0.76563,38.928
0.21975,-7.3155,0.47865,0.063728,2.1242,0.023933,-0.49893,0.81074,31.434
-0.10784,-7.95,0.14954,-0.031272,2.0798,0.0074769,-0.5422,0.79433,34.16
-0.030411,-7.0842,-5.4112,-0.0088191,2.1404,-0.27056,-0.48316,0.81673,30.44
0.038854,-12.87,-6.3425,0.011268,1.7354,-0.31712,-0.87775,0.66705,55.3
0.62401,-7.5089,-0.64499,0.18096,2.1106,-0.03225,-0.51212,0.80574,32.265
-0.018282,-8.0844,-2.8419,-0.0053018,2.0704,-0.1421,-0.55137,0.79085,34.738
0.080718,-9.3593,-1.1364,0.023408,1.9811,-0.056819,-0.63832,0.75787,40.216
-0.1236,-5.8705,-1.8983,-0.035843,2.2253,-0.094913,-0.40038,0.84813,25.225
1.1677,-9.2536,0.79112,0.33863,1.9885,0.039556,-0.63111,0.7606,39.762
-0.36344,-6.1051,-7.1373,-0.1054,2.2089,-0.35686,-0.41638,0.84206,26.233
1.8156,-10.956,-7.3255,0.52654,1.8694,-0.36627,-0.7472,0.71657,47.075
0.47095,-7.4013,-0.21343,0.13658,2.1182,-0.010671,-0.50479,0.80852,31.803
0.87261,-11.464,1.9131,0.25306,1.8338,0.095654,-0.78189,0.70341,49.261
-0.26366,-6.657,-1.626,-0.076462,2.1703,-0.081299,-0.45402,0.82778,28.604
-0.80584,-7.4233,-0.61443,-0.23369,2.1166,-0.030722,-0.50629,0.80795,31.897
0.14151,-10.214,-6.6874,0.041037,1.9213,-0.33437,-0.69662,0.73575,43.889
-0.34458,-8.2221,-2.0124,-0.099928,2.0607,-0.10062,-0.56077,0.78729,35.33
-0.26374,-9.6128,-0.22806,-0.076484,1.9634,-0.011403,-0.65561,0.75131,41.305
-0.28262,-6.7533,-0.28117,-0.081958,2.1635,-0.014059,-0.46059,0.82529,29.018
0.51541,-5.8784,-0.49016,0.14947,2.2248,-0.024508,-0.40092,0.84792,25.259
0.60937,-6.3876,5.3844,0.17672,2.1891,0.26922,-0.43565,0.83475,27.447
-0.34909,-7.2328,0.15857,-0.10124,2.13,0.0079285,-0.49329,0.81288,31.079
0.6707,-7.2644,-2.9705,0.1945,2.1278,-0.14853,-0.49545,0.81207,31.214
0.22556,-7.852,-4.1555,0.065412,2.0866,-0.20777,-0.53552,0.79686,33.739
-2.6139,-11.22,-3.7254,-0.75803,1.8509,-0.18627,-0.76522,0.70973,48.211
-0.64671,-7.9637,-3.1542,-0.18755,2.0788,-0.15771,-0.54314,0.79397,34.219
-0.12376,-8.0562,-4.4043,-0.03589,2.0723,-0.22021,-0.54945,0.79158,34.617
-0.4131,-8.0561,-2.9583,-0.1198,2.0723,-0.14791,-0.54945,0.79158,34.616
0.070943,-6.0665,-2.5145,0.020573,2.2116,-0.12573,-0.41375,0.84306,26.067
-0.20631,-6.1663,0.12341,-0.059829,2.2046,0.0061704,-0.42056,0.84047,26.496
-0.19965,-6.7527,-0.84221,-0.057898,2.1636,-0.04211,-0.46055,0.8253,29.016
-0.024458,-8.6793,2.4537,-0.0070929,2.0287,0.12268,-0.59195,0.77546,37.294
-0.073994,-6.6474,0.8193,-0.021458,2.171,0.040965,-0.45337,0.82803,28.563
-1.118,-9.0366,-2.8618,-0.32421,2.0037,-0.14309,-0.61631,0.76622,38.829
-0.30914,-6.1772,0.3875,-0.08965,2.2039,0.019375,-0.4213,0.84019,26.543
1.3216,-6.3291,2.8594,0.38325,2.1932,0.14297,-0.43166,0.83626,27.195
-0.18511,-6.5823,-2.0667,-0.053682,2.1755,-0.10333,-0.44892,0.82971,28.283
-1.1012,-13.121,-5.7689,-0.31936,1.7178,-0.28845,-0.89488,0.66055,56.379
0.89912,-10.241,0.13492,0.26074,1.9194,0.0067461,-0.69847,0.73506,44.005
0.0017343,-5.8987,-1.633,0.00050295,2.2234,-0.081648,-0.40231,0.8474,25.346
0.89118,-7.5354,-0.30857,0.25844,2.1088,-0.015428,-0.51393,0.80505,32.379
0.37784,-8.1317,-5.7178,0.10957,2.0671,-0.28589,-0.5546,0.78963,34.941
0.15617,-12.587,-4.1795,0.045289,1.7552,-0.20898,-0.85848,0.67436,54.086
-0.88898,-8.7287,-3.3069,-0.2578,2.0253,-0.16534,-0.59532,0.77418,37.506
0.014025,-8.4808,1.6679,0.0040672,2.0426,0.083394,-0.57841,0.7806,36.441
-0.67094,-7.478,-2.087,-0.19457,2.1128,-0.10435,-0.51002,0.80654,32.132
