% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.61795,-8.3323,-3.4119,-0.1792,2.2674,-0.17059,-0.56709,0.80107,35.803
0.0059799,-5.9332,-1.9802,0.0017342,2.4353,-0.099008,-0.40381,0.85834,25.494
0.052287,-7.2147,-3.2083,0.015163,2.3456,-0.16042,-0.49103,0.82775,31.001
0.092094,-5.4764,-0.03738,0.026707,2.4673,-0.001869,-0.37272,0.86925,23.532
0.29413,-9.5518,-2.8995,0.085297,2.182,-0.14497,-0.65009,0.77195,41.043
0.42989,-7.1207,-1.5941,0.12467,2.3522,-0.079706,-0.48463,0.82999,30.597
0.46513,-8.949,-0.99291,0.13489,2.2242,-0.049645,-0.60907,0.78634,38.453
0.021933,-9.3485,-1.9329,0.0063607,2.1963,-0.096647,-0.63626,0.7768,40.17
0.35121,-9.2073,-3.1749,0.10185,2.2061,-0.15874,-0.62665,0.78017,39.563
-0.41027,-6.2896,2.6815,-0.11898,2.4104,0.13408,-0.42807,0.84983,27.026
0.13371,-9.2109,-2.6005,0.038776,2.2059,-0.13003,-0.62689,0.78009,39.578
0.071318,-6.086,2.1442,0.020682,2.4246,0.10721,-0.41421,0.8547,26.151
-0.037542,-6.7264,1.5922,-0.010887,2.3798,0.079609,-0.4578,0.83941,28.903
0.46069,-7.6093,-1.1145,0.1336,2.318,-0.055724,-0.51789,0.81833,32.697
0.15612,-8.6321,-2.0923,0.045274,2.2464,-0.10462,-0.5875,0.79391,37.091
0.54456,-7.4084,2.1396,0.15792,2.3321,0.10698,-0.50421,0.82312,31.833
0.32219,-6.8684,-0.94443,0.093435,2.3699,-0.047221,-0.46746,0.83602,29.513
-1.4918,-12.177,-3.0286,-0.43263,1.9983,-0.15143,-0.82875,0.70928,52.322
0.24928,-8.9964,-2.298,0.07229,2.2209,-0.1149,-0.61229,0.78521,38.657
0.26458,-7.4995,-3.762,0.076727,2.3257,-0.1881,-0.51041,0.82095,32.224
1.1725,-7.2593,8.8849,0.34003,2.3425,0.44425,-0.49407,0.82668,31.192
1.5831,-13.182,-0.8383,0.4591,1.9279,-0.041915,-0.89713,0.68529,56.64
0.139,-6.2647,-2.5476,0.040309,2.4121,-0.12738,-0.42637,0.85043,26.919
-0.5932,-9.7854,-6.7897,-0.17203,2.1657,-0.33948,-0.66599,0.76637,42.047
-0.30107,-9.7962,-2.8765,-0.08731,2.1649,-0.14383,-0.66673,0.76611,42.093
0.23762,-7.9104,0.51758,0.068911,2.2969,0.025879,-0.53838,0.81114,33.99
-0.1166,-8.5964,0.1617,-0.033815,2.2489,0.008085,-0.58507,0.79476,36.938
-0.032884,-7.6603,-5.8512,-0.0095362,2.3144,-0.29256,-0.52136,0.81711,32.916
0.042014,-13.916,-6.8582,0.012184,1.8765,-0.34291,-0.94715,0.66774,59.797
0.67475,-8.1195,-0.69744,0.19568,2.2823,-0.034872,-0.55261,0.80614,34.889
-0.019769,-8.7418,-3.073,-0.0057329,2.2387,-0.15365,-0.59496,0.79129,37.563
0.087282,-10.12,-1.2288,0.025312,2.1422,-0.061439,-0.68879,0.75837,43.486
-0.13365,-6.3479,-2.0526,-0.038758,2.4063,-0.10263,-0.43203,0.84844,27.276
1.2627,-10.006,0.85545,0.36617,2.1502,0.042773,-0.68101,0.7611,42.995
-0.393,-6.6016,-7.7176,-0.11397,2.3885,-0.38588,-0.4493,0.84239,28.366
1.9633,-11.847,-7.9212,0.56935,2.0214,-0.39606,-0.80628,0.71716,50.903
0.50925,-8.0032,-0.23079,0.14768,2.2904,-0.011539,-0.5447,0.80892,34.389
0.94356,-12.397,2.0686,0.27363,1.9829,0.10343,-0.84371,0.70403,53.267
-0.2851,-7.1983,-1.7582,-0.08268,2.3468,-0.08791,-0.48991,0.82814,30.93
-0.87137,-8.027,-0.6644,-0.2527,2.2888,-0.03322,-0.54632,0.80835,34.491
0.15301,-11.045,-7.2312,0.044374,2.0775,-0.36156,-0.7517,0.73631,47.458
-0.3726,-8.8908,-2.176,-0.10805,2.2283,-0.1088,-0.6051,0.78773,38.203
-0.28519,-10.395,-0.24661,-0.082704,2.123,-0.01233,-0.70745,0.75183,44.664
-0.3056,-7.3024,-0.30404,-0.088623,2.3395,-0.015202,-0.497,0.82565,31.378
0.55732,-6.3564,-0.53002,0.16162,2.4057,-0.026501,-0.43262,0.84824,27.313
0.65893,-6.9071,5.8222,0.19109,2.3672,0.29111,-0.47009,0.83509,29.679
-0.37748,-7.821,0.17146,-0.10947,2.3032,0.0085732,-0.53229,0.81327,33.606
0.72524,-7.8551,-3.2121,0.21032,2.3008,-0.1606,-0.53462,0.81246,33.753
0.2439,-8.4905,-4.4934,0.070731,2.2563,-0.22467,-0.57786,0.79729,36.483
-2.8264,-12.132,-4.0284,-0.81967,2.0014,-0.20142,-0.82572,0.71034,52.131
