% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.038027,-0.51275,-0.20996,-0.011028,0.13953,-0.010498,-0.03583,0.79575,2.2033
0.000368,-0.36512,-0.12186,0.00010672,0.14987,-0.0060928,-0.025514,0.85456,1.5689
0.0032177,-0.44398,-0.19744,0.00093312,0.14435,-0.0098718,-0.031024,0.82315,1.9077
0.0056673,-0.33701,-0.0023003,0.0016435,0.15183,-0.00011502,-0.023549,0.86576,1.4481
0.0181,-0.5878,-0.17843,0.0052491,0.13428,-0.0089214,-0.041074,0.76586,2.5257
0.026454,-0.43819,-0.098099,0.0076718,0.14475,-0.004905,-0.03062,0.82545,1.8829
0.028623,-0.55071,-0.061102,0.0083008,0.13688,-0.0030551,-0.038482,0.78064,2.3663
0.0013497,-0.57529,-0.11895,0.00039143,0.13515,-0.0059475,-0.0402,0.77084,2.472
0.021613,-0.56661,-0.19538,0.0062677,0.13576,-0.0097688,-0.039593,0.7743,2.4346
-0.025248,-0.38705,0.16502,-0.0073218,0.14833,0.0082509,-0.027046,0.84582,1.6631
0.0082283,-0.56683,-0.16003,0.0023862,0.13575,-0.0080016,-0.039608,0.77421,2.4356
0.0043888,-0.37452,0.13195,0.0012727,0.14921,0.0065975,-0.026171,0.85082,1.6093
-0.0023103,-0.41393,0.09798,-0.00066998,0.14645,0.004899,-0.028924,0.83512,1.7786
0.02835,-0.46827,-0.068583,0.0082216,0.14265,-0.0034292,-0.032721,0.81347,2.0121
0.0096072,-0.53121,-0.12876,0.0027861,0.13824,-0.0064378,-0.037119,0.7884,2.2825
0.033511,-0.4559,0.13167,0.0097183,0.14351,0.0065834,-0.031857,0.8184,1.959
0.019827,-0.42267,-0.058119,0.0057498,0.14584,-0.0029059,-0.029535,0.83164,1.8162
-0.091805,-0.74934,-0.18637,-0.026623,0.12297,-0.0093186,-0.052362,0.70151,3.2198
0.01534,-0.55362,-0.14142,0.0044486,0.13667,-0.0070709,-0.038686,0.77947,2.3789
0.016282,-0.46151,-0.23151,0.0047217,0.14312,-0.011575,-0.032249,0.81617,1.983
0.072156,-0.44673,0.54676,0.020925,0.14415,0.027338,-0.031216,0.82205,1.9195
0.097422,-0.81117,-0.051588,0.028252,0.11864,-0.0025794,-0.056682,0.67688,3.4855
0.0085536,-0.38552,-0.15678,0.0024806,0.14844,-0.0078388,-0.026939,0.84644,1.6565
-0.036505,-0.60218,-0.41783,-0.010586,0.13327,-0.020891,-0.042079,0.76013,2.5875
-0.018527,-0.60284,-0.17702,-0.0053729,0.13323,-0.0088508,-0.042125,0.75987,2.5904
0.014623,-0.4868,0.031851,0.0042407,0.14135,0.0015925,-0.034016,0.80609,2.0917
-0.0071757,-0.52901,0.0099507,-0.0020809,0.13839,0.00049754,-0.036966,0.78928,2.2731
-0.0020236,-0.4714,-0.36008,-0.00058685,0.14243,-0.018004,-0.03294,0.81222,2.0256
0.0025855,-0.85639,-0.42204,0.00074978,0.11548,-0.021102,-0.059842,0.65887,3.6798
0.041523,-0.49966,-0.04292,0.012042,0.14045,-0.002146,-0.034915,0.80097,2.147
-0.0012165,-0.53796,-0.18911,-0.0003528,0.13777,-0.0094555,-0.037591,0.78571,2.3115
0.0053712,-0.62279,-0.075618,0.0015577,0.13183,-0.0037809,-0.043519,0.75192,2.6761
-0.0082244,-0.39064,-0.12632,-0.0023851,0.14808,-0.0063158,-0.027297,0.8444,1.6785
0.077702,-0.61576,0.052643,0.022533,0.13232,0.0026322,-0.043028,0.75472,2.6458
-0.024184,-0.40625,-0.47493,-0.0070135,0.14699,-0.023747,-0.028388,0.83818,1.7456
0.12082,-0.72902,-0.48746,0.035037,0.12439,-0.024373,-0.050942,0.70961,3.1325
0.031338,-0.4925,-0.014202,0.0090881,0.14095,-0.00071011,-0.034415,0.80382,2.1162
0.058066,-0.76287,0.1273,0.016839,0.12202,0.0063651,-0.053307,0.69613,3.278
-0.017545,-0.44297,-0.1082,-0.005088,0.14442,-0.0054098,-0.030954,0.82355,1.9034
-0.053623,-0.49397,-0.040886,-0.015551,0.14085,-0.0020443,-0.034517,0.80324,2.1225
0.0094162,-0.67967,-0.445,0.0027307,0.12785,-0.02225,-0.047494,0.72926,2.9205
-0.022929,-0.54712,-0.13391,-0.0066495,0.13713,-0.0066955,-0.038232,0.78206,2.3509
-0.01755,-0.63966,-0.015176,-0.0050895,0.13065,-0.0007588,-0.044698,0.7452,2.7486
-0.018806,-0.44938,-0.01871,-0.0054537,0.14397,-0.0009355,-0.031402,0.821,1.9309
0.034297,-0.39116,-0.032617,0.009946,0.14804,-0.0016308,-0.027334,0.84419,1.6808
0.040549,-0.42505,0.35829,0.011759,0.14567,0.017915,-0.029701,0.83069,1.8264
-0.023229,-0.48129,0.010552,-0.0067365,0.14173,0.00052758,-0.033631,0.80829,2.0681
0.04463,-0.48339,-0.19767,0.012943,0.14159,-0.0098833,-0.033778,0.80745,2.0771
0.015009,-0.52249,-0.27652,0.0043527,0.13885,-0.013826,-0.03651,0.79187,2.2451
-0.17394,-0.7466,-0.2479,-0.050441,0.12316,-0.012395,-0.052171,0.7026,3.2081
-0.043034,-0.52993,-0.20989,-0.01248,0.13833,-0.010495,-0.03703,0.78891,2.277
-0.0082353,-0.53608,-0.29307,-0.0023882,0.1379,-0.014654,-0.03746,0.78646,2.3035
-0.027489,-0.53608,-0.19685,-0.0079717,0.1379,-0.0098426,-0.03746,0.78646,2.3035
0.0047207,-0.40368,-0.16732,0.001369,0.14717,-0.0083662,-0.028208,0.8392,1.7346
-0.013728,-0.41032,0.0082119,-0.0039812,0.1467,0.0004106,-0.028672,0.83655,1.7631
-0.013285,-0.44934,-0.056043,-0.0038527,0.14397,-0.0028021,-0.031399,0.82101,1.9308
-0.0016275,-0.57755,0.16328,-0.00047198,0.135,0.0081638,-0.040357,0.76994,2.4817
-0.0049238,-0.44234,0.054519,-0.0014279,0.14446,0.0027259,-0.030909,0.8238,1.9007
-0.074391,-0.60132,-0.19043,-0.021574,0.13333,-0.0095216,-0.042018,0.76048,2.5838
-0.020571,-0.41105,0.025785,-0.0059656,0.14665,0.0012893,-0.028723,0.83627,1.7662
0.08794,-0.42115,0.19027,0.025503,0.14594,0.0095136,-0.029429,0.83224,1.8097
-0.012318,-0.438,-0.13752,-0.0035721,0.14476,-0.0068762,-0.030606,0.82553,1.882
-0.07328,-0.8731,-0.38388,-0.021251,0.11431,-0.019194,-0.06101,0.65221,3.7516
0.05983,-0.68147,0.0089781,0.017351,0.12772,0.00044891,-0.047619,0.72855,2.9282
0.00011541,-0.39252,-0.10866,3.3468e-05,0.14795,-0.0054331,-0.027428,0.84365,1.6866
0.059302,-0.50143,-0.020533,0.017198,0.14032,-0.0010266,-0.035038,0.80026,2.1546
0.025143,-0.54111,-0.38048,0.0072914,0.13755,-0.019024,-0.037811,0.78446,2.3251
0.010392,-0.83759,-0.27812,0.0030137,0.11679,-0.013906,-0.058529,0.66636,3.5991
-0.059155,-0.58083,-0.22005,-0.017155,0.13477,-0.011002,-0.040587,0.76864,2.4958
0.00093325,-0.56434,0.11099,0.00027064,0.13592,0.0055493,-0.039434,0.77521,2.4249
-0.044646,-0.49761,-0.13888,-0.012947,0.14059,-0.0069438,-0.034771,0.80179,2.1382
0.00031282,-0.46004,0.036692,9.0717e-05,0.14322,0.0018346,-0.032146,0.81675,1.9767
-0.053566,-0.3797,-0.12337,-0.015534,0.14885,-0.0061684,-0.026532,0.84875,1.6315
0.007711,-0.47316,-0.096498,0.0022362,0.1423,-0.0048249,-0.033063,0.81153,2.0331
-0.040295,-0.79448,-0.13756,-0.011686,0.11981,-0.0068782,-0.055516,0.68353,3.4138
0.0073116,-0.4408,-0.023799,0.0021204,0.14457,-0.0011899,-0.030802,0.82441,1.8941
-0.010558,-0.38411,-0.041628,-0.0030617,0.14854,-0.0020814,-0.026841,0.847,1.6505
0.087256,-0.61823,0.0068046,0.025304,0.13215,0.00034023,-0.0432,0.75374,2.6565
-0.045711,-0.47682,-0.38598,-0.013256,0.14205,-0.019299,-0.033319,0.81007,2.0489
-0.02117,-0.47726,-0.05854,-0.0061393,0.14202,-0.002927,-0.03335,0.80989,2.0508
0.01337,-0.41621,-0.092965,0.0038773,0.14629,-0.0046483,-0.029083,0.83421,1.7884
-0.00035412,-0.39023,-0.0025315,-0.00010269,0.14811,-0.00012657,-0.027268,0.84456,1.6768
-0.022718,-0.7174,-0.33934,-0.0065882,0.12521,-0.016967,-0.05013,0.71424,3.0826
0.04387,-0.36978,0.0655,0.012722,0.14954,0.003275,-0.025839,0.8527,1.5889
0.11617,-0.63955,-0.15735,0.033689,0.13066,-0.0078674,-0.04469,0.74525,2.7481
0.035667,-0.78708,-0.1884,0.010343,0.12033,-0.0094201,-0.054999,0.68648,3.382
-0.040559,-0.40255,-0.086,-0.011762,0.14725,-0.0043,-0.028129,0.83965,1.7297
-0.015797,-0.56325,0.15522,-0.0045812,0.136,0.0077611,-0.039359,0.77564,2.4202
-0.0086051,-0.40963,-0.064436,-0.0024955,0.14675,-0.0032218,-0.028624,0.83683,1.7601
-0.019069,-0.58201,-0.076751,-0.0055299,0.13468,-0.0038376,-0.040669,0.76817,2.5008
