% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.67823,-9.1452,-3.7447,-0.19669,2.4886,-0.18724,-0.62074,0.8016,39.296
0.0065633,-6.512,-2.1733,0.0019034,2.6729,-0.10867,-0.44201,0.85873,27.982
0.057388,-7.9186,-3.5214,0.016643,2.5745,-0.17607,-0.53748,0.82821,34.025
0.10108,-6.0107,-0.041027,0.029313,2.708,-0.0020514,-0.40798,0.8696,25.827
0.32282,-10.484,-3.1823,0.093619,2.3949,-0.15912,-0.71159,0.77256,45.047
0.47183,-7.8154,-1.7496,0.13683,2.5817,-0.087482,-0.53048,0.83045,33.582
0.51051,-9.8221,-1.0898,0.14805,2.4412,-0.054489,-0.66669,0.78692,42.204
0.024073,-10.261,-2.1215,0.0069812,2.4105,-0.10608,-0.69645,0.7774,44.089
0.38547,-10.106,-3.4846,0.11179,2.4214,-0.17423,-0.68593,0.78077,43.423
-0.4503,-6.9032,2.9432,-0.13059,2.6455,0.14716,-0.46856,0.85024,29.662
0.14675,-10.11,-2.8542,0.042559,2.4211,-0.14271,-0.6862,0.78068,43.44
0.078275,-6.6798,2.3534,0.0227,2.6612,0.11767,-0.4534,0.85509,28.702
-0.041204,-7.3826,1.7475,-0.011949,2.612,0.087376,-0.50111,0.83984,31.722
0.50564,-8.3517,-1.2232,0.14664,2.5441,-0.061161,-0.56688,0.81882,35.886
0.17135,-9.4743,-2.2964,0.049691,2.4656,-0.11482,-0.64308,0.79446,40.71
0.59769,-8.1312,2.3483,0.17333,2.5596,0.11742,-0.55191,0.8236,34.939
0.35362,-7.5385,-1.0366,0.10255,2.6011,-0.051828,-0.51168,0.83646,32.392
-1.6374,-13.365,-3.324,-0.47484,2.1932,-0.1662,-0.90715,0.71006,57.427
0.2736,-9.8741,-2.5222,0.079343,2.4376,-0.12611,-0.67022,0.78579,42.428
0.29039,-8.2311,-4.129,0.084213,2.5526,-0.20645,-0.5587,0.82143,35.368
1.2869,-7.9675,9.7517,0.37321,2.571,0.48759,-0.54081,0.82715,34.236
1.7376,-14.468,-0.92009,0.50389,2.116,-0.046004,-0.982,0.68614,62.165
0.15256,-6.8759,-2.7961,0.044242,2.6475,-0.13981,-0.46671,0.85083,29.545
-0.65107,-10.74,-7.4521,-0.18881,2.377,-0.37261,-0.72899,0.767,46.149
-0.33044,-10.752,-3.1571,-0.095829,2.3761,-0.15786,-0.7298,0.76674,46.2
0.26081,-8.6822,0.56807,0.075634,2.521,0.028404,-0.58931,0.81165,37.306
-0.12798,-9.4351,0.17747,-0.037114,2.4683,0.0088737,-0.64042,0.79531,40.542
-0.036092,-8.4077,-6.4221,-0.010467,2.5402,-0.3211,-0.57068,0.8176,36.127
0.046113,-15.274,-7.5273,0.013373,2.0596,-0.37637,-1.0367,0.66864,65.631
0.74058,-8.9117,-0.76549,0.21477,2.5049,-0.038274,-0.60489,0.80667,38.293
-0.021697,-9.5946,-3.3729,-0.0062922,2.4571,-0.16864,-0.65125,0.79185,41.227
0.095798,-11.108,-1.3487,0.027781,2.3512,-0.067433,-0.75395,0.75903,47.729
-0.14669,-6.9672,-2.2529,-0.042539,2.6411,-0.11264,-0.47291,0.84885,29.937
1.3858,-10.982,0.93891,0.40189,2.36,0.046946,-0.74544,0.76175,47.19
-0.43134,-7.2456,-8.4706,-0.12509,2.6216,-0.42353,-0.4918,0.84281,31.134
