% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-1.7943,-1.5706e-14,0,1.1819,0,0,-0.53828,0.68708,2.1668e+05
-1.8088,-3.1412e-14,0,1.1775,0,0,-0.54264,0.68454,2.1844e+05
-1.7911,-1.5706e-14,0,1.1829,0,0,-0.53732,0.68764,2.1629e+05
-1.7369,-1.5706e-14,0,1.1991,0,0,-0.52106,0.69709,2.0975e+05
-1.9001,0,0,1.1501,0,0,-0.57004,0.66862,2.2947e+05
-1.9149,-1.5706e-14,0,1.1457,0,0,-0.57447,0.66604,2.3125e+05
-2.0964,-3.1412e-14,0,1.0913,0,0,-0.62892,0.63439,2.5317e+05
-1.6454,-1.5706e-14,0,1.2266,0,0,-0.49362,0.71304,1.9871e+05
-2.085,-3.1412e-14,0,1.0947,0,0,-0.62551,0.63637,2.5179e+05
-1.9944,-1.5706e-14,0,1.1219,0,0,-0.59831,0.65218,2.4085e+05
-1.8008,1.5706e-14,0,1.1799,1.1869e-14,0,-0.54025,0.68593,2.1748e+05
-2.4305,-3.1412e-14,0,0.99103,0,0,-0.72915,0.57612,2.9352e+05
-1.9832,-1.5706e-14,0,1.1252,0,0,-0.59495,0.65413,2.3949e+05
-1.6943,-1.5706e-14,0,1.2119,0,0,-0.50829,0.70451,2.0461e+05
-1.4909,-1.5706e-14,0,1.2729,0,0,-0.44727,0.73999,1.8005e+05
-2.9282,-1.5706e-14,0,0.84172,0,0,-0.87846,0.48932,3.5362e+05
-1.9531,-1.5706e-14,0,1.1342,0,0,-0.58593,0.65938,2.3586e+05
-1.3966,-1.5706e-14,0,1.3012,0,0,-0.41898,0.75643,1.6866e+05
-1.8934,0,0,1.1522,0,0,-0.56802,0.66979,2.2865e+05
-2.3447,-3.1412e-14,0,1.0168,0,0,-0.70342,0.59108,2.8316e+05
-1.3306,-1.5706e-14,0,1.321,0,0,-0.39918,0.76794,1.6069e+05
-2.7844,0,0,0.88485,0,0,-0.83533,0.5144,3.3626e+05
-1.4005,-3.1412e-14,0,1.3,0,0,-0.42014,0.75575,1.6913e+05
-1.5276,0,0,1.2619,0,0,-0.45828,0.73358,1.8448e+05
-2.445,-1.5706e-14,0,0.98669,0,0,-0.73349,0.5736,2.9526e+05
-2.0835,-1.5706e-14,0,1.0951,0,0,-0.62506,0.63663,2.5162e+05
-1.657,-1.5706e-14,0,1.2231,0,0,-0.49711,0.71101,2.0011e+05
-1.4592,-1.5706e-14,0,1.2824,0,0,-0.43775,0.74552,1.7621e+05
-1.4315,0,0,1.2907,0,0,-0.42944,0.75035,1.7287e+05
-2.1847,-1.5706e-14,0,1.0648,0,0,-0.65541,0.61899,2.6383e+05
-2.3415,-1.5706e-14,0,1.0177,0,0,-0.70245,0.59164,2.8277e+05
-2.0331,0,0,1.1103,0,0,-0.60992,0.64543,2.4552e+05
-1.3993,0,0,1.3004,0,0,-0.41978,0.75597,1.6898e+05
-1.7019,0,0,1.2096,0,0,-0.51058,0.70318,2.0553e+05
-2.1153,0,0,1.0856,0,0,-0.6346,0.63108,2.5546e+05
-1.4889,-1.5706e-14,0,1.2735,0,0,-0.44666,0.74034,1.798e+05
-1.8429,0,0,1.1673,0,0,-0.55288,0.67859,2.2256e+05
-2.3883,0,0,1.0037,0,0,-0.71649,0.58348,2.8842e+05
-1.7236,0,0,1.2031,0,0,-0.51707,0.69941,2.0814e+05
-1.6948,0,0,1.2117,0,0,-0.50844,0.70443,2.0467e+05
-2.1158,-1.5706e-14,0,1.0854,0,0,-0.63475,0.631,2.5552e+05
-1.4894,1.5706e-14,0,1.2734,1.1869e-14,0,-0.44682,0.74025,1.7987e+05
-2.3972,-1.5706e-14,0,1.001,0,0,-0.71917,0.58192,2.895e+05
-1.6148,0,0,1.2357,0,0,-0.48444,0.71838,1.9501e+05
-3.2856,0,0,0.7345,0,0,-0.98568,0.42699,3.9678e+05
-1.8278,-3.1412e-14,0,1.1718,0,0,-0.54834,0.68123,2.2073e+05
-2.7204,-1.5706e-14,0,0.90406,0,0,-0.81612,0.52556,3.2852e+05
-2.1632,0,0,1.0712,0,0,-0.64895,0.62274,2.6123e+05
-2.8927,-3.1412e-14,0,0.85236,0,0,-0.86782,0.49551,3.4934e+05
-1.9519,-1.5706e-14,0,1.1346,0,0,-0.58556,0.65959,2.3571e+05
-2.1479,-3.1412e-14,0,1.0758,0,0,-0.64437,0.6254,2.5939e+05
-2.4033,0,0,0.9992,0,0,-0.72098,0.58087,2.9023e+05
-1.9591,-3.1412e-14,0,1.1325,0,0,-0.58772,0.65834,2.3658e+05
-1.8329,-3.1412e-14,0,1.1703,0,0,-0.54988,0.68034,2.2135e+05
-2.0543,0,0,1.1039,0,0,-0.61629,0.64173,2.4809e+05
-1.3387,-1.5706e-14,0,1.3186,0,0,-0.40162,0.76653,1.6167e+05
-2.3613,-3.1412e-14,0,1.0118,0,0,-0.70838,0.58819,2.8516e+05
-2.1544,0,0,1.0738,0,0,-0.64633,0.62426,2.6018e+05
-2.0164,-3.1412e-14,0,1.1152,0,0,-0.60493,0.64833,2.4351e+05
-2.8061,-1.5706e-14,0,0.87835,0,0,-0.84182,0.51062,3.3887e+05
-2.1177,0,0,1.0849,0,0,-0.63531,0.63067,2.5574e+05
-1.6509,-1.5706e-14,0,1.2249,0,0,-0.49527,0.71208,1.9937e+05
-1.6243,-1.5706e-14,0,1.2329,0,0,-0.48728,0.71673,1.9615e+05
-2.0626,-3.1412e-14,0,1.1014,0,0,-0.61877,0.64028,2.4908e+05
-2.1875,-1.5706e-14,0,1.0639,0,0,-0.65626,0.61849,2.6418e+05
-1.5419,0,0,1.2576,0,0,-0.46257,0.73109,1.862e+05
-1.9921,0,0,1.1225,0,0,-0.59764,0.65257,2.4058e+05
-2.193,0,0,1.0623,0,0,-0.65789,0.61755,2.6483e+05
-1.4183,-3.1412e-14,0,1.2947,0,0,-0.42548,0.75265,1.7128e+05
-2.0321,-3.1412e-14,0,1.1106,0,0,-0.60962,0.64561,2.454e+05
-1.8026,-1.5706e-14,0,1.1794,0,0,-0.54079,0.68562,2.1769e+05
-1.9845,0,0,1.1248,0,0,-0.59536,0.6539,2.3966e+05
-1.6524,0,0,1.2245,0,0,-0.49571,0.71182,1.9955e+05
-2.8667,-3.1412e-14,0,0.86017,0,0,-0.86001,0.50004,3.4619e+05
-1.7461,0,0,1.1964,0,0,-0.52382,0.69548,2.1086e+05
-1.9356,-3.1412e-14,0,1.1395,0,0,-0.58068,0.66243,2.3375e+05
-1.3714,0,0,1.3088,0,0,-0.41143,0.76082,1.6562e+05
-1.717,0,0,1.2051,0,0,-0.51509,0.70056,2.0735e+05
-3.141,-1.5706e-14,0,0.77789,0,0,-0.94229,0.45222,3.7931e+05
-1.3875,-1.5706e-14,0,1.3039,0,0,-0.41625,0.75802,1.6756e+05
-1.6259,-1.5706e-14,0,1.2324,0,0,-0.48778,0.71643,1.9636e+05
-2.7961,0,0,0.88135,0,0,-0.83883,0.51236,3.3767e+05
-2.0021,-4.7118e-14,0,1.1195,0,0,-0.60064,0.65082,2.4179e+05
-1.8386,0,0,1.1686,0,0,-0.55159,0.67934,2.2204e+05
-2.0234,0,0,1.1132,0,0,-0.60701,0.64712,2.4435e+05
-1.8681,0,0,1.1598,0,0,-0.56042,0.67421,2.256e+05
