% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.16833,-2.2698,-0.92943,-0.048817,0.61766,-0.046471,-0.15766,0.79697,9.753
0.001629,-1.6163,-0.53941,0.00047241,0.6634,-0.026971,-0.11227,0.85543,6.9449
0.014243,-1.9654,-0.87398,0.0041306,0.63897,-0.043699,-0.13651,0.8242,8.4449
0.025087,-1.4918,-0.010183,0.0072753,0.67211,-0.00050914,-0.10362,0.86656,6.4102
0.080123,-2.602,-0.78984,0.023236,0.5944,-0.039492,-0.18074,0.76726,11.18
0.1171,-1.9397,-0.43425,0.03396,0.64076,-0.021713,-0.13473,0.82649,8.3348
0.12671,-2.4378,-0.27048,0.036745,0.6059,-0.013524,-0.16933,0.78194,10.475
0.0059749,-2.5466,-0.52655,0.0017327,0.59828,-0.026327,-0.17689,0.77221,10.943
0.095673,-2.5082,-0.86486,0.027745,0.60097,-0.043243,-0.17422,0.77565,10.777
-0.11176,-1.7133,0.73048,-0.032411,0.65661,0.036524,-0.11901,0.84674,7.362
0.036424,-2.5091,-0.70841,0.010563,0.6009,-0.03542,-0.17429,0.77556,10.781
0.019428,-1.6579,0.5841,0.005634,0.66049,0.029205,-0.11516,0.8517,7.1237
-0.010227,-1.8323,0.43372,-0.0029657,0.64828,0.021686,-0.12727,0.8361,7.8733
0.1255,-2.0729,-0.30359,0.036394,0.63144,-0.01518,-0.14398,0.81459,8.9068
0.042528,-2.3515,-0.56996,0.012333,0.61194,-0.028498,-0.16333,0.78966,10.104
0.14834,-2.0181,0.58284,0.043019,0.63527,0.029142,-0.14018,0.81948,8.6716
0.087767,-1.871,-0.25727,0.025452,0.64557,-0.012864,-0.12996,0.83264,8.0395
-0.40639,-3.3171,-0.82501,-0.11785,0.54435,-0.04125,-0.23041,0.70329,14.253
0.067905,-2.4507,-0.62601,0.019692,0.60499,-0.0313,-0.17023,0.78079,10.53
0.072073,-2.0429,-1.0248,0.020901,0.63354,-0.05124,-0.1419,0.81726,8.7782
0.31941,-1.9775,2.4203,0.092628,0.63812,0.12102,-0.13736,0.82312,8.4971
0.43125,-3.5908,-0.22836,0.12506,0.52519,-0.011418,-0.24942,0.67881,15.429
0.037864,-1.7066,-0.69399,0.010981,0.65708,-0.034699,-0.11854,0.84735,7.3329
-0.16159,-2.6656,-1.8496,-0.046862,0.58995,-0.092479,-0.18516,0.76156,11.454
-0.082014,-2.6686,-0.78359,-0.023784,0.58974,-0.039179,-0.18536,0.7613,11.467
0.064731,-2.1549,0.14099,0.018772,0.6257,0.0070496,-0.14968,0.80725,9.2592
-0.031764,-2.3417,0.044048,-0.0092116,0.61262,0.0022024,-0.16266,0.79053,10.062
-0.0089578,-2.0867,-1.5939,-0.0025978,0.63047,-0.079696,-0.14495,0.81334,8.9665
0.011445,-3.7909,-1.8682,0.003319,0.51118,-0.093412,-0.26332,0.66091,16.289
0.18381,-2.2118,-0.18999,0.053304,0.62171,-0.0094995,-0.15364,0.80215,9.504
-0.0053852,-2.3813,-0.83712,-0.0015617,0.60985,-0.041856,-0.16541,0.78699,10.232
0.023776,-2.7569,-0.33473,0.0068952,0.58356,-0.016737,-0.19149,0.7534,11.846
-0.036406,-1.7292,-0.55915,-0.010558,0.6555,-0.027958,-0.12011,0.84532,7.4302
0.34396,-2.7257,0.23303,0.099747,0.58574,0.011652,-0.18933,0.75619,11.712
-0.10706,-1.7983,-2.1024,-0.031046,0.65066,-0.10512,-0.12491,0.83914,7.7272
0.53482,-3.2271,-2.1578,0.1551,0.55064,-0.10789,-0.22416,0.71134,13.867
0.13872,-2.1801,-0.062868,0.04023,0.62393,-0.0031434,-0.15143,0.80499,9.3678
0.25704,-3.3769,0.56352,0.07454,0.54016,0.028176,-0.23456,0.69794,14.51
-0.077665,-1.9609,-0.47895,-0.022523,0.63928,-0.023947,-0.1362,0.8246,8.4257
-0.23737,-2.1866,-0.18099,-0.068837,0.62348,-0.0090494,-0.15188,0.80441,9.3957
0.041682,-3.0087,-1.9698,0.012088,0.56593,-0.098492,-0.20898,0.73088,12.928
-0.1015,-2.4219,-0.59277,-0.029435,0.60701,-0.029639,-0.16823,0.78336,10.407
-0.077687,-2.8316,-0.067178,-0.022529,0.57833,-0.0033589,-0.19668,0.74672,12.167
-0.083247,-1.9893,-0.082822,-0.024142,0.63729,-0.0041411,-0.13817,0.82206,8.5476
0.15182,-1.7315,-0.14438,0.044028,0.65533,-0.0072191,-0.12027,0.84512,7.4403
0.1795,-1.8815,1.586,0.052054,0.64483,0.079302,-0.13069,0.8317,8.0848
-0.10283,-2.1305,0.046708,-0.02982,0.62741,0.0023354,-0.14799,0.80943,9.1545
0.19756,-2.1398,-0.875,0.057293,0.62676,-0.04375,-0.14863,0.8086,9.1945
0.06644,-2.3129,-1.224,0.019268,0.61464,-0.061202,-0.16065,0.79312,9.9382
-0.76995,-3.3049,-1.0974,-0.22328,0.5452,-0.054868,-0.22956,0.70438,14.201
-0.1905,-2.3458,-0.92912,-0.055244,0.61234,-0.046456,-0.16294,0.79017,10.08
-0.036455,-2.373,-1.2973,-0.010572,0.61043,-0.064866,-0.16483,0.78773,10.197
-0.12168,-2.373,-0.87139,-0.035288,0.61043,-0.04357,-0.16483,0.78774,10.197
0.020897,-1.787,-0.74068,0.0060601,0.65145,-0.037034,-0.12412,0.84016,7.6784
-0.06077,-1.8164,0.036351,-0.017623,0.6494,0.0018176,-0.12617,0.83753,7.8047
-0.058809,-1.9891,-0.24808,-0.017055,0.63731,-0.012404,-0.13816,0.82208,8.5469
-0.0072044,-2.5566,0.72276,-0.0020893,0.59758,0.036138,-0.17758,0.77132,10.985
-0.021796,-1.9581,0.24133,-0.0063208,0.63948,0.012067,-0.13601,0.82485,8.4136
-0.3293,-2.6618,-0.84297,-0.095498,0.59021,-0.042149,-0.18489,0.7619,11.438
-0.09106,-1.8196,0.11414,-0.026407,0.64917,0.0057071,-0.12639,0.83724,7.8185
0.38928,-1.8643,0.84227,0.11289,0.64604,0.042113,-0.1295,0.83324,8.0107
-0.054526,-1.9389,-0.60877,-0.015812,0.64082,-0.030438,-0.13468,0.82657,8.3312
-0.32438,-3.8649,-1.6993,-0.094071,0.506,-0.084965,-0.26846,0.65429,16.607
0.26485,-3.0166,0.039743,0.076805,0.56538,0.0019871,-0.20954,0.73017,12.962
0.00051086,-1.7375,-0.48101,0.00014815,0.65491,-0.02405,-0.12069,0.84458,7.466
0.26251,-2.2196,-0.090891,0.076127,0.62117,-0.0045446,-0.15418,0.80146,9.5376
0.1113,-2.3953,-1.6842,0.032276,0.60887,-0.084212,-0.16638,0.78575,10.292
0.046001,-3.7077,-1.2311,0.01334,0.517,-0.061556,-0.25754,0.66835,15.932
-0.26186,-2.5711,-0.97407,-0.075939,0.59656,-0.048704,-0.17859,0.77002,11.048
0.0041312,-2.4981,0.49129,0.001198,0.60167,0.024565,-0.17352,0.77655,10.734
-0.19763,-2.2027,-0.61476,-0.057314,0.62235,-0.030738,-0.153,0.80297,9.4649
0.0013847,-2.0364,0.16242,0.00040157,0.63399,0.0081212,-0.14145,0.81784,8.7503
-0.23712,-1.6808,-0.54611,-0.068764,0.65889,-0.027305,-0.11675,0.84966,7.2222
