% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.26401,-3.5599,-1.4577,-0.076563,0.96872,-0.072885,-0.24619,0.79786,15.296
0.0025549,-2.5349,-0.84601,0.00074091,1.0405,-0.0423,-0.17531,0.85606,10.892
0.022339,-3.0824,-1.3707,0.0064783,1.0021,-0.068537,-0.21317,0.82497,13.245
0.039346,-2.3398,-0.01597,0.01141,1.0541,-0.00079852,-0.16181,0.86714,10.054
0.12566,-4.0809,-1.2388,0.036442,0.93225,-0.061938,-0.28223,0.76827,17.535
0.18366,-3.0422,-0.68107,0.053263,1.005,-0.034054,-0.21039,0.82725,13.072
0.19872,-3.8234,-0.42421,0.05763,0.95028,-0.021211,-0.26442,0.78289,16.429
0.0093709,-3.9941,-0.82583,0.0027175,0.93833,-0.041291,-0.27622,0.7732,17.162
0.15005,-3.9338,-1.3564,0.043515,0.94255,-0.067822,-0.27205,0.77663,16.903
-0.17529,-2.6872,1.1457,-0.050833,1.0298,0.057283,-0.18584,0.84741,11.546
0.057126,-3.9353,-1.1111,0.016567,0.94244,-0.055553,-0.27215,0.77654,16.909
0.03047,-2.6002,0.91609,0.0088362,1.0359,0.045804,-0.17982,0.85235,11.173
-0.016039,-2.8738,0.68025,-0.0046514,1.0167,0.034012,-0.19874,0.83682,12.348
0.19683,-3.251,-0.47615,0.05708,0.99034,-0.023808,-0.22483,0.81539,13.969
0.0667,-3.688,-0.89392,0.019343,0.95975,-0.044696,-0.25505,0.79058,15.847
0.23266,-3.1652,0.91412,0.067471,0.99635,0.045706,-0.2189,0.82027,13.6
0.13765,-2.9345,-0.4035,0.039919,1.0125,-0.020175,-0.20294,0.83337,12.609
-0.63737,-5.2024,-1.2939,-0.18484,0.85374,-0.064696,-0.35979,0.70459,22.354
0.1065,-3.8436,-0.98182,0.030885,0.94886,-0.049091,-0.26582,0.78174,16.516
0.11304,-3.2041,-1.6073,0.032781,0.99363,-0.080363,-0.22159,0.81806,13.768
0.50095,-3.1015,3.796,0.14528,1.0008,0.1898,-0.21449,0.82389,13.327
0.67637,-5.6317,-0.35816,0.19615,0.8237,-0.017908,-0.38947,0.68021,24.199
0.059385,-2.6765,-1.0884,0.017222,1.0306,-0.054422,-0.1851,0.84802,11.501
-0.25344,-4.1807,-2.9008,-0.073497,0.92526,-0.14504,-0.28913,0.7626,17.964
-0.12863,-4.1853,-1.229,-0.037303,0.92494,-0.061448,-0.28945,0.76234,17.984
0.10152,-3.3797,0.22113,0.029441,0.98134,0.011056,-0.23373,0.80809,14.522
-0.049818,-3.6728,0.069084,-0.014447,0.96082,0.0034542,-0.254,0.79145,15.781
-0.014049,-3.2728,-2.4999,-0.0040743,0.98882,-0.12499,-0.22634,0.81416,14.063
0.01795,-5.9456,-2.9301,0.0052055,0.80172,-0.14651,-0.41119,0.66238,25.548
0.28828,-3.469,-0.29798,0.083602,0.97508,-0.014899,-0.23991,0.80302,14.906
-0.008446,-3.7348,-1.3129,-0.0024493,0.95648,-0.065647,-0.25829,0.78792,16.048
0.037291,-4.3238,-0.52499,0.010814,0.91524,-0.026249,-0.29903,0.75448,18.579
-0.057099,-2.7121,-0.87696,-0.016559,1.0281,-0.043848,-0.18756,0.846,11.653
0.53946,-4.275,0.36548,0.15644,0.91866,0.018274,-0.29565,0.75725,18.369
-0.1679,-2.8205,-3.2973,-0.048692,1.0205,-0.16486,-0.19506,0.83984,12.119
0.8388,-5.0613,-3.3842,0.24325,0.86362,-0.16921,-0.35003,0.7126,21.748
0.21757,-3.4193,-0.098601,0.063096,0.97856,-0.00493,-0.23647,0.80584,14.692
0.40313,-5.2963,0.88381,0.11691,0.84717,0.044191,-0.36628,0.69926,22.758
-0.12181,-3.0754,-0.75117,-0.035324,1.0026,-0.037559,-0.21269,0.82537,13.215
-0.37228,-3.4295,-0.28386,-0.10796,0.97785,-0.014193,-0.23717,0.80526,14.736
0.065374,-4.7187,-3.0895,0.018958,0.8876,-0.15447,-0.32634,0.73205,20.276
-0.15919,-3.7985,-0.92969,-0.046165,0.95202,-0.046485,-0.2627,0.78431,16.322
-0.12184,-4.441,-0.10536,-0.035335,0.90705,-0.0052681,-0.30713,0.74783,19.082
-0.13056,-3.1199,-0.1299,-0.037863,0.99952,-0.0064949,-0.21577,0.82284,13.406
0.23811,-2.7157,-0.22645,0.069052,1.0278,-0.011322,-0.18781,0.84579,11.669
0.28152,-2.951,2.4875,0.081641,1.0113,0.12438,-0.20408,0.83243,12.68
-0.16127,-3.3414,0.073257,-0.046769,0.98401,0.0036628,-0.23109,0.81026,14.358
0.30985,-3.356,-1.3723,0.089857,0.98299,-0.068617,-0.2321,0.80943,14.421
0.1042,-3.6275,-1.9198,0.030219,0.96399,-0.095988,-0.25087,0.79402,15.587
-1.2076,-5.1834,-1.7211,-0.3502,0.85508,-0.086054,-0.35847,0.70567,22.273
-0.29877,-3.6791,-1.4572,-0.086643,0.96038,-0.07286,-0.25444,0.79109,15.809
-0.057175,-3.7218,-2.0347,-0.016581,0.95738,-0.10173,-0.25739,0.78866,15.992
-0.19084,-3.7218,-1.3667,-0.055345,0.95739,-0.068334,-0.25739,0.78866,15.992
0.032774,-2.8026,-1.1617,0.0095046,1.0217,-0.058084,-0.19382,0.84086,12.043
-0.095311,-2.8487,0.057012,-0.02764,1.0185,0.0028506,-0.19701,0.83824,12.241
-0.092235,-3.1196,-0.38909,-0.026748,0.99954,-0.019454,-0.21575,0.82286,13.405
-0.011299,-4.0097,1.1336,-0.0032768,0.93723,0.056678,-0.2773,0.77231,17.229
-0.034184,-3.071,0.3785,-0.0099134,1.0029,0.018925,-0.21238,0.82562,13.196
