% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.16895,-2.2781,-0.93284,-0.048996,0.61993,-0.046642,-0.15824,0.79698,9.7889
0.001635,-1.6222,-0.5414,0.00047414,0.66584,-0.02707,-0.11268,0.85543,6.9704
0.014296,-1.9726,-0.87719,0.0041458,0.64132,-0.04386,-0.13701,0.82421,8.476
0.025179,-1.4973,-0.01022,0.007302,0.67459,-0.00051101,-0.104,0.86656,6.4338
0.080418,-2.6116,-0.79274,0.023321,0.59659,-0.039637,-0.18139,0.76726,11.222
0.11753,-1.9469,-0.43585,0.034085,0.64312,-0.021792,-0.13523,0.8265,8.3655
0.12717,-2.4467,-0.27147,0.03688,0.60812,-0.013574,-0.16995,0.78195,10.513
0.0059968,-2.556,-0.52848,0.0017391,0.60048,-0.026424,-0.17754,0.77221,10.983
0.096024,-2.5174,-0.86804,0.027847,0.60318,-0.043402,-0.17485,0.77565,10.817
-0.11217,-1.7196,0.73316,-0.03253,0.65902,0.036658,-0.11944,0.84675,7.3891
0.036557,-2.5184,-0.71101,0.010602,0.60311,-0.035551,-0.17492,0.77557,10.821
0.019499,-1.664,0.58625,0.0056547,0.66292,0.029312,-0.11558,0.85171,7.1499
-0.010264,-1.8391,0.43532,-0.0029766,0.65066,0.021766,-0.12774,0.83611,7.9023
0.12596,-2.0805,-0.30471,0.036528,0.63376,-0.015236,-0.14451,0.81459,8.9396
0.042684,-2.3601,-0.57206,0.012378,0.61419,-0.028603,-0.16393,0.78967,10.141
0.14889,-2.0255,0.58499,0.043178,0.63761,0.029249,-0.14069,0.81949,8.7035
0.08809,-1.8779,-0.25822,0.025546,0.64794,-0.012911,-0.13044,0.83265,8.0691
-0.40788,-3.3293,-0.82804,-0.11829,0.54635,-0.041402,-0.23125,0.7033,14.305
0.068155,-2.4597,-0.62831,0.019765,0.60722,-0.031415,-0.17085,0.7808,10.569
0.072338,-2.0504,-1.0286,0.020978,0.63587,-0.051428,-0.14242,0.81727,8.8105
0.32058,-1.9848,2.4292,0.092969,0.64046,0.12146,-0.13786,0.82312,8.5283
0.43284,-3.604,-0.2292,0.12552,0.52712,-0.01146,-0.25033,0.67882,15.486
0.038003,-1.7128,-0.69654,0.011021,0.6595,-0.034827,-0.11897,0.84736,7.3598
-0.16219,-2.6754,-1.8564,-0.047034,0.59212,-0.092819,-0.18583,0.76157,11.496
-0.082316,-2.6784,-0.78647,-0.023872,0.59191,-0.039323,-0.18604,0.76131,11.509
0.064969,-2.1628,0.14151,0.018841,0.628,0.0070755,-0.15022,0.80726,9.2933
-0.031881,-2.3504,0.04421,-0.0092455,0.61487,0.0022105,-0.16325,0.79054,10.099
-0.0089907,-2.0944,-1.5998,-0.0026073,0.63279,-0.079989,-0.14547,0.81335,8.9994
0.011487,-3.8049,-1.8751,0.0033312,0.51306,-0.093755,-0.26428,0.66092,16.349
0.18448,-2.22,-0.19069,0.0535,0.624,-0.0095344,-0.1542,0.80216,9.5389
-0.005405,-2.3901,-0.8402,-0.0015674,0.61209,-0.04201,-0.16601,0.787,10.27
0.023864,-2.767,-0.33596,0.0069205,0.58571,-0.016798,-0.19219,0.75341,11.89
-0.03654,-1.7356,-0.56121,-0.010597,0.65791,-0.02806,-0.12055,0.84533,7.4576
0.34522,-2.7358,0.23389,0.10011,0.58789,0.011694,-0.19002,0.75619,11.755
-0.10745,-1.8049,-2.1101,-0.03116,0.65305,-0.1055,-0.12537,0.83915,7.7556
0.53678,-3.239,-2.1657,0.15567,0.55267,-0.10829,-0.22497,0.71135,13.918
0.13923,-2.1882,-0.063099,0.040378,0.62623,-0.0031549,-0.15199,0.805,9.4023
0.25798,-3.3893,0.56559,0.074814,0.54214,0.028279,-0.23542,0.69795,14.564
-0.07795,-1.9681,-0.48071,-0.022606,0.64163,-0.024035,-0.1367,0.82461,8.4567
-0.23824,-2.1947,-0.18165,-0.06909,0.62577,-0.0090827,-0.15244,0.80441,9.4302
0.041836,-3.0197,-1.9771,0.012132,0.56802,-0.098854,-0.20975,0.73089,12.975
-0.10187,-2.4308,-0.59495,-0.029543,0.60924,-0.029748,-0.16884,0.78337,10.445
-0.077973,-2.842,-0.067425,-0.022612,0.58046,-0.0033713,-0.1974,0.74673,12.212
-0.083553,-1.9966,-0.083127,-0.02423,0.63964,-0.0041563,-0.13868,0.82207,8.579
0.15238,-1.7379,-0.14491,0.044189,0.65774,-0.0072456,-0.12071,0.84512,7.4676
0.18016,-1.8885,1.5919,0.052245,0.6472,0.079593,-0.13117,0.8317,8.1145
-0.10321,-2.1383,0.04688,-0.02993,0.62971,0.002344,-0.14853,0.80944,9.1882
0.19829,-2.1477,-0.87822,0.057504,0.62906,-0.043911,-0.14917,0.8086,9.2283
0.066685,-2.3214,-1.2285,0.019339,0.6169,-0.061427,-0.16124,0.79312,9.9748
-0.77278,-3.3171,-1.1014,-0.22411,0.5472,-0.05507,-0.2304,0.70439,14.253
-0.1912,-2.3544,-0.93253,-0.055447,0.61459,-0.046627,-0.16354,0.79018,10.117
-0.036589,-2.3818,-1.3021,-0.010611,0.61267,-0.065104,-0.16543,0.78774,10.234
-0.12213,-2.3817,-0.8746,-0.035418,0.61267,-0.04373,-0.16543,0.78774,10.234
0.020974,-1.7935,-0.74341,0.0060824,0.65385,-0.03717,-0.12458,0.84016,7.7066
-0.060994,-1.823,0.036485,-0.017688,0.65178,0.0018242,-0.12663,0.83753,7.8334
-0.059025,-1.9964,-0.24899,-0.017117,0.63965,-0.01245,-0.13867,0.82208,8.5783
-0.0072309,-2.566,0.72542,-0.002097,0.59978,0.036271,-0.17823,0.77132,11.026
-0.021876,-1.9653,0.24222,-0.006344,0.64183,0.012111,-0.13651,0.82486,8.4446
-0.33051,-2.6716,-0.84607,-0.095849,0.59238,-0.042304,-0.18557,0.76191,11.48
-0.091395,-1.8263,0.11456,-0.026505,0.65156,0.0057281,-0.12685,0.83725,7.8472
