% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.14853,-2.0027,-0.82008,-0.043074,0.54499,-0.041004,-0.13924,0.79679,8.6056
0.0014373,-1.4261,-0.47595,0.00041683,0.58536,-0.023798,-0.099148,0.8553,6.1278
0.012568,-1.7341,-0.77116,0.0036446,0.56379,-0.038558,-0.12056,0.82404,7.4514
0.022136,-1.3163,-0.0089848,0.0064194,0.59304,-0.00044924,-0.091515,0.86644,5.6561
0.070697,-2.2959,-0.69691,0.020502,0.52447,-0.034846,-0.15962,0.76704,9.8651
0.10333,-1.7115,-0.38316,0.029965,0.56538,-0.019158,-0.11899,0.82634,7.3543
0.1118,-2.151,-0.23866,0.032422,0.53461,-0.011933,-0.14954,0.78175,9.2426
0.0052719,-2.247,-0.4646,0.0015289,0.52789,-0.02323,-0.15622,0.772,9.6552
0.084417,-2.2131,-0.76311,0.024481,0.53027,-0.038156,-0.15386,0.77544,9.5094
-0.098614,-1.5118,0.64454,-0.028598,0.57936,0.032227,-0.1051,0.84661,6.4959
0.032138,-2.2139,-0.62507,0.0093201,0.53021,-0.031253,-0.15392,0.77536,9.5131
0.017142,-1.4628,0.51538,0.0049712,0.58279,0.025769,-0.1017,0.85157,6.2856
-0.0090236,-1.6168,0.3827,-0.0026168,0.57201,0.019135,-0.1124,0.83595,6.947
0.11073,-1.829,-0.26788,0.032112,0.55715,-0.013394,-0.12716,0.81442,7.859
0.037525,-2.0748,-0.50291,0.010882,0.53995,-0.025145,-0.14425,0.78947,8.9153
0.13089,-1.7807,0.51427,0.037958,0.56054,0.025714,-0.1238,0.81932,7.6514
0.077441,-1.6509,-0.227,0.022458,0.56962,-0.01135,-0.11478,0.83249,7.0937
-0.35858,-2.9268,-0.72795,-0.10399,0.48031,-0.036397,-0.20348,0.70302,12.576
0.059916,-2.1624,-0.55236,0.017376,0.53382,-0.027618,-0.15034,0.78059,9.2915
0.063594,-1.8026,-0.90423,0.018442,0.559,-0.045211,-0.12532,0.8171,7.7455
0.28183,-1.7448,2.1356,0.081731,0.56304,0.10678,-0.12131,0.82296,7.4974
0.38052,-3.1683,-0.20149,0.11035,0.4634,-0.010075,-0.22027,0.67852,13.614
0.033409,-1.5058,-0.61234,0.0096887,0.57978,-0.030617,-0.10469,0.84721,6.4702
-0.14258,-2.352,-1.632,-0.041349,0.52054,-0.081599,-0.16352,0.76135,10.106
-0.072365,-2.3546,-0.6914,-0.020986,0.52036,-0.03457,-0.1637,0.76108,10.118
0.057115,-1.9014,0.1244,0.016563,0.55209,0.0062202,-0.13219,0.80707,8.1699
-0.028027,-2.0662,0.038866,-0.0081279,0.54055,0.0019433,-0.14365,0.79034,8.8784
-0.0079039,-1.8412,-1.4064,-0.0022921,0.5563,-0.07032,-0.12801,0.81318,7.9116
0.010098,-3.3449,-1.6484,0.0029285,0.45104,-0.082422,-0.23255,0.6606,14.373
0.16218,-1.9516,-0.16764,0.047033,0.54857,-0.0083819,-0.13568,0.80198,8.3859
-0.0047516,-2.1012,-0.73864,-0.001378,0.5381,-0.036932,-0.14608,0.7868,9.0285
0.020979,-2.4325,-0.29535,0.006084,0.51491,-0.014768,-0.16912,0.75318,10.452
-0.032123,-1.5258,-0.49337,-0.0093158,0.57838,-0.024668,-0.10608,0.84518,6.5561
0.30349,-2.4051,0.20562,0.088012,0.51683,0.010281,-0.16721,0.75596,10.334
-0.094461,-1.5868,-1.855,-0.027394,0.57411,-0.092751,-0.11032,0.839,6.8181
0.4719,-2.8474,-1.9039,0.13685,0.48586,-0.095197,-0.19796,0.71108,12.235
0.1224,-1.9237,-0.055472,0.035497,0.55053,-0.0027736,-0.13374,0.80481,8.2657
0.2268,-2.9796,0.49722,0.065771,0.47661,0.024861,-0.20716,0.69766,12.803
-0.068528,-1.7302,-0.4226,-0.019873,0.56407,-0.02113,-0.12029,0.82444,7.4344
-0.20944,-1.9294,-0.1597,-0.060738,0.55013,-0.0079848,-0.13414,0.80423,8.2903
0.036778,-2.6547,-1.7381,0.010666,0.49935,-0.086905,-0.18457,0.73063,11.407
-0.089558,-2.137,-0.52303,-0.025972,0.53559,-0.026152,-0.14857,0.78317,9.1824
-0.068548,-2.4984,-0.059275,-0.019879,0.51029,-0.0029638,-0.1737,0.74649,10.735
-0.073454,-1.7552,-0.073079,-0.021302,0.56232,-0.0036539,-0.12203,0.8219,7.542
0.13396,-1.5278,-0.1274,0.038848,0.57824,-0.0063698,-0.10622,0.84498,6.5649
0.15838,-1.6602,1.3994,0.04593,0.56897,0.069972,-0.11542,0.83155,7.1337
-0.09073,-1.8798,0.041213,-0.026312,0.55359,0.0020607,-0.13069,0.80926,8.0775
0.17432,-1.8881,-0.77206,0.050553,0.55302,-0.038603,-0.13126,0.80842,8.1128
0.058624,-2.0408,-1.08,0.017001,0.54233,-0.054002,-0.14188,0.79293,8.769
-0.67937,-2.9161,-0.96826,-0.19702,0.48106,-0.048413,-0.20274,0.70411,12.53
-0.16808,-2.0698,-0.81981,-0.048744,0.5403,-0.04099,-0.1439,0.78998,8.8938
-0.032166,-2.0939,-1.1447,-0.0093282,0.53861,-0.057235,-0.14557,0.78754,8.9971
-0.10737,-2.0938,-0.76888,-0.031136,0.53861,-0.038444,-0.14557,0.78754,8.997
0.018438,-1.5767,-0.65355,0.0053471,0.57481,-0.032677,-0.10962,0.84001,6.775
-0.053621,-1.6027,0.032075,-0.01555,0.573,0.0016037,-0.11142,0.83738,6.8865
-0.05189,-1.7551,-0.21889,-0.015048,0.56233,-0.010945,-0.12202,0.82192,7.5413
-0.0063568,-2.2558,0.63773,-0.0018435,0.52728,0.031887,-0.15683,0.77111,9.693
-0.019232,-1.7277,0.21294,-0.0055771,0.56424,0.010647,-0.12012,0.82469,7.4238
-0.29056,-2.3487,-0.7438,-0.084263,0.52078,-0.03719,-0.16329,0.76169,10.092
-0.080347,-1.6055,0.10071,-0.023301,0.5728,0.0050357,-0.11162,0.83709,6.8987
0.34348,-1.645,0.74318,0.09961,0.57004,0.037159,-0.11436,0.83309,7.0683
-0.048111,-1.7108,-0.53715,-0.013952,0.56543,-0.026857,-0.11894,0.82641,7.351
-0.28622,-3.4102,-1.4994,-0.083004,0.44647,-0.074969,-0.23709,0.65397,14.653
0.23369,-2.6617,0.035067,0.067769,0.49886,0.0017534,-0.18505,0.72992,11.437
0.00045076,-1.5331,-0.42442,0.00013072,0.57787,-0.021221,-0.10659,0.84444,6.5877
0.23162,-1.9585,-0.080198,0.067171,0.54809,-0.0040099,-0.13616,0.80128,8.4155
0.098203,-2.1135,-1.4861,0.028479,0.53724,-0.074305,-0.14694,0.78555,9.0814
0.040589,-3.2715,-1.0863,0.011771,0.45618,-0.054314,-0.22745,0.66805,14.057
-0.23105,-2.2686,-0.85948,-0.067005,0.52638,-0.042974,-0.15772,0.76981,9.7481
0.0036452,-2.2042,0.43349,0.0010571,0.53089,0.021675,-0.15325,0.77634,9.4713
-0.17438,-1.9436,-0.54243,-0.050571,0.54913,-0.027122,-0.13512,0.80279,8.3514
0.0012218,-1.7969,0.14332,0.00035433,0.5594,0.0071658,-0.12492,0.81768,7.7209
-0.20922,-1.4831,-0.48186,-0.060674,0.58137,-0.024093,-0.10311,0.84952,6.3725
0.030118,-1.8481,-0.37691,0.0087342,0.55582,-0.018845,-0.12849,0.81248,7.9411
-0.15739,-3.1031,-0.53731,-0.045642,0.46796,-0.026865,-0.21574,0.68513,13.334
0.028558,-1.7217,-0.092955,0.0082819,0.56466,-0.0046478,-0.1197,0.8253,7.398
-0.041237,-1.5003,-0.16259,-0.011959,0.58016,-0.0081296,-0.1043,0.84777,6.4466
0.34081,-2.4147,0.026578,0.098834,0.51615,0.0013289,-0.16788,0.75498,10.376
-0.17854,-1.8624,-1.5076,-0.051777,0.55482,-0.075379,-0.12948,0.81103,8.0025
-0.082687,-1.8641,-0.22865,-0.023979,0.55469,-0.011432,-0.1296,0.81085,8.01
0.052221,-1.6256,-0.36311,0.015144,0.57139,-0.018155,-0.11302,0.83505,6.9852
-0.0013831,-1.5242,-0.0098877,-0.00040111,0.57849,-0.00049438,-0.10597,0.84535,6.5492
-0.088733,-2.8021,-1.3254,-0.025733,0.48904,-0.06627,-0.19481,0.71568,12.04
0.17135,-1.4443,0.25583,0.049691,0.58408,0.012792,-0.10041,0.85345,6.2061
0.45374,-2.498,-0.61458,0.13159,0.51032,-0.030729,-0.17367,0.74654,10.734
0.13931,-3.0742,-0.73587,0.040399,0.46999,-0.036794,-0.21373,0.68807,13.21
