% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.1083,-1.4603,-0.59798,-0.031408,0.39739,-0.029899,-0.10172,0.79641,6.2749
0.0010481,-1.0399,-0.34705,0.00030394,0.42682,-0.017352,-0.072429,0.85503,4.4682
0.009164,-1.2645,-0.5623,0.0026575,0.4111,-0.028115,-0.088073,0.82372,5.4333
0.016141,-0.95981,-0.0065514,0.0046808,0.43243,-0.00032757,-0.066853,0.86619,4.1242
0.05155,-1.6741,-0.50817,0.014949,0.38243,-0.025408,-0.1166,0.76661,7.1933
0.075343,-1.248,-0.27939,0.021849,0.41225,-0.013969,-0.086925,0.82602,5.3625
0.08152,-1.5684,-0.17402,0.023641,0.38982,-0.008701,-0.10924,0.78134,6.7394
0.0038441,-1.6385,-0.33877,0.0011148,0.38492,-0.016939,-0.11412,0.77158,7.0403
0.061554,-1.6137,-0.55644,0.017851,0.38665,-0.027822,-0.1124,0.77503,6.9339
-0.071906,-1.1023,0.46998,-0.020853,0.42245,0.023499,-0.07678,0.84632,4.7366
0.023434,-1.6143,-0.45578,0.0067959,0.38661,-0.022789,-0.11244,0.77494,6.9366
0.012499,-1.0667,0.3758,0.0036248,0.42495,0.01879,-0.074294,0.8513,4.5833
-0.0065797,-1.1789,0.27905,-0.0019081,0.41709,0.013953,-0.082112,0.83565,5.0656
0.080743,-1.3336,-0.19533,0.023415,0.40626,-0.0097664,-0.09289,0.81408,5.7305
0.027362,-1.5129,-0.3667,0.0079349,0.39371,-0.018335,-0.10538,0.78908,6.5007
0.095441,-1.2984,0.37499,0.027678,0.40872,0.01875,-0.090437,0.81899,5.5792
0.056468,-1.2038,-0.16552,0.016376,0.41535,-0.0082762,-0.083845,0.83218,5.1725
-0.26146,-2.1341,-0.53079,-0.075824,0.35022,-0.02654,-0.14865,0.70248,9.1702
0.043689,-1.5767,-0.40276,0.01267,0.38924,-0.020138,-0.10982,0.78018,6.7751
0.046371,-1.3144,-0.65933,0.013447,0.40761,-0.032967,-0.091549,0.81676,5.6478
0.2055,-1.2723,1.5572,0.059595,0.41055,0.07786,-0.088617,0.82263,5.4669
0.27746,-2.3102,-0.14692,0.080464,0.3379,-0.0073461,-0.16091,0.67793,9.9268
0.024361,-1.098,-0.4465,0.0070647,0.42276,-0.022325,-0.076475,0.84693,4.7178
-0.10397,-1.715,-1.19,-0.03015,0.37956,-0.059499,-0.11945,0.76091,7.3692
-0.052766,-1.7169,-0.50415,-0.015302,0.37943,-0.025207,-0.11959,0.76064,7.3774
0.041647,-1.3864,0.090712,0.012078,0.40256,0.0045356,-0.096566,0.80672,5.9572
-0.020436,-1.5066,0.02834,-0.0059266,0.39415,0.001417,-0.10494,0.78996,6.4739
-0.0057633,-1.3426,-1.0255,-0.0016714,0.40563,-0.051275,-0.093513,0.81283,5.7689
0.0073635,-2.439,-1.202,0.0021354,0.32888,-0.0601,-0.16988,0.65997,10.48
0.11826,-1.4231,-0.12224,0.034295,0.4,-0.0061118,-0.099118,0.80161,6.1147
-0.0034647,-1.5321,-0.53859,-0.0010048,0.39237,-0.02693,-0.10671,0.78641,6.5833
0.015297,-1.7737,-0.21536,0.0044362,0.37545,-0.010768,-0.12354,0.75272,7.6215
-0.023423,-1.1125,-0.35975,-0.0067928,0.42174,-0.017987,-0.077491,0.8449,4.7805
0.2213,-1.7537,0.14993,0.064176,0.37685,0.0074965,-0.12215,0.75551,7.5354
-0.068878,-1.157,-1.3526,-0.019975,0.41862,-0.067631,-0.080588,0.8387,4.9715
0.34409,-2.0763,-1.3883,0.099787,0.35427,-0.069414,-0.14462,0.71054,8.9215
0.089252,-1.4027,-0.040448,0.025883,0.40143,-0.0020224,-0.097698,0.80445,6.0271
0.16537,-2.1727,0.36256,0.047958,0.34753,0.018128,-0.15133,0.69711,9.3357
-0.049968,-1.2616,-0.30815,-0.014491,0.4113,-0.015407,-0.087873,0.82412,5.4209
-0.15272,-1.4068,-0.11644,-0.044288,0.40113,-0.0058222,-0.097989,0.80387,6.045
0.026818,-1.9357,-1.2674,0.0077771,0.36411,-0.063368,-0.13483,0.73014,8.3176
-0.065303,-1.5582,-0.38138,-0.018938,0.39054,-0.019069,-0.10853,0.78277,6.6955
-0.049983,-1.8218,-0.043221,-0.014495,0.37209,-0.0021611,-0.12689,0.74602,7.828
-0.05356,-1.2798,-0.053286,-0.015532,0.41002,-0.0026643,-0.089144,0.82157,5.4994
0.097678,-1.114,-0.092893,0.028327,0.42163,-0.0046446,-0.077595,0.84469,4.7869
0.11549,-1.2106,1.0204,0.033491,0.41487,0.051021,-0.084317,0.83123,5.2016
-0.066158,-1.3707,0.030051,-0.019186,0.40366,0.0015026,-0.095474,0.8089,5.8899
0.12711,-1.3767,-0.56296,0.036861,0.40324,-0.028148,-0.095891,0.80807,5.9156
0.042747,-1.4881,-0.78752,0.012397,0.39545,-0.039376,-0.10365,0.79255,6.3941
-0.49537,-2.1263,-0.70602,-0.14366,0.35077,-0.035301,-0.1481,0.70356,9.1366
-0.12256,-1.5092,-0.59778,-0.035543,0.39397,-0.029889,-0.10512,0.78959,6.4851
-0.023454,-1.5268,-0.83467,-0.0068018,0.39274,-0.041734,-0.10634,0.78715,6.5604
-0.078288,-1.5268,-0.56064,-0.022704,0.39274,-0.028032,-0.10634,0.78715,6.5603
0.013445,-1.1497,-0.47654,0.003899,0.41913,-0.023827,-0.080079,0.83972,4.9401
-0.039098,-1.1686,0.023388,-0.011339,0.41781,0.0011694,-0.081396,0.83708,5.0214
-0.037837,-1.2797,-0.15961,-0.010973,0.41003,-0.0079805,-0.089136,0.82159,5.4989
-0.0046352,-1.6449,0.46501,-0.0013442,0.38447,0.023251,-0.11457,0.77069,7.0678
-0.014023,-1.2598,0.15527,-0.0040667,0.41143,0.0077635,-0.087747,0.82437,5.4132
-0.21187,-1.7126,-0.54235,-0.061442,0.37973,-0.027118,-0.11928,0.76125,7.3587
-0.058586,-1.1707,0.073437,-0.01699,0.41767,0.0036718,-0.08154,0.83679,5.0303
0.25046,-1.1995,0.5419,0.072632,0.41565,0.027095,-0.083545,0.83278,5.1539
-0.035081,-1.2474,-0.39167,-0.010173,0.41229,-0.019584,-0.086887,0.82609,5.3601
-0.2087,-2.4866,-1.0933,-0.060524,0.32555,-0.054665,-0.1732,0.65334,10.685
0.1704,-1.9408,0.02557,0.049415,0.36375,0.0012785,-0.13518,0.72942,8.3396
0.00032868,-1.1179,-0.30947,9.5317e-05,0.42136,-0.015474,-0.077864,0.84415,4.8035
0.16889,-1.4281,-0.058478,0.048979,0.39965,-0.0029239,-0.099468,0.80091,6.1363
0.071607,-1.5411,-1.0836,0.020766,0.39174,-0.054181,-0.10734,0.78515,6.6219
0.029596,-2.3855,-0.79209,0.008583,0.33263,-0.039604,-0.16615,0.66744,10.25
-0.16847,-1.6542,-0.6267,-0.048858,0.38382,-0.031335,-0.11522,0.76938,7.108
0.0026579,-1.6072,0.31609,0.0007708,0.38711,0.015804,-0.11195,0.77593,6.9062
-0.12715,-1.4172,-0.39552,-0.036875,0.40041,-0.019776,-0.098711,0.80243,6.0895
0.00089091,-1.3102,0.1045,0.00025836,0.4079,0.005225,-0.091258,0.81734,5.6298
-0.15256,-1.0814,-0.35136,-0.044241,0.42392,-0.017568,-0.075321,0.84924,4.6466
0.021961,-1.3476,-0.27483,0.0063687,0.40528,-0.013741,-0.093861,0.81213,5.7904
