% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.20052,-2.7037,-1.1071,-0.058149,0.73574,-0.055356,-0.18753,0.79727,11.618
0.0019404,-1.9252,-0.64254,0.00056272,0.79023,-0.032127,-0.13353,0.85564,8.2726
0.016966,-2.3411,-1.0411,0.0049203,0.76112,-0.052053,-0.16237,0.82446,10.059
0.029883,-1.777,-0.012129,0.0086662,0.80061,-0.00060647,-0.12325,0.86675,7.6357
0.095441,-3.0994,-0.94083,0.027678,0.70804,-0.047042,-0.21497,0.7676,13.318
0.13949,-2.3106,-0.51727,0.040453,0.76326,-0.025863,-0.16026,0.82675,9.9282
0.15093,-2.9038,-0.32219,0.043769,0.72173,-0.016109,-0.20141,0.78226,12.477
0.0071171,-3.0335,-0.62721,0.002064,0.71265,-0.031361,-0.2104,0.77254,13.035
0.11396,-2.9877,-1.0302,0.033049,0.71586,-0.05151,-0.20722,0.77598,12.838
-0.13313,-2.0409,0.87013,-0.038607,0.78214,0.043506,-0.14155,0.84697,8.7695
0.043387,-2.9888,-0.84384,0.012582,0.71578,-0.042192,-0.2073,0.77589,12.843
0.023142,-1.9748,0.69576,0.0067111,0.78676,0.034788,-0.13697,0.85192,8.4856
-0.012182,-2.1826,0.51664,-0.0035327,0.77221,0.025832,-0.15138,0.83634,9.3785
0.14949,-2.4691,-0.36163,0.043352,0.75216,-0.018082,-0.17126,0.81486,10.61
0.050658,-2.801,-0.67892,0.014691,0.72893,-0.033946,-0.19427,0.78997,12.036
0.1767,-2.4039,0.69427,0.051244,0.75672,0.034714,-0.16673,0.81975,10.329
0.10455,-2.2287,-0.30645,0.030318,0.76899,-0.015323,-0.15458,0.83289,9.5765
-0.48408,-3.9512,-0.98273,-0.14038,0.64841,-0.049136,-0.27405,0.70373,16.978
0.080887,-2.9192,-0.74569,0.023457,0.72065,-0.037284,-0.20247,0.78111,12.544
0.085852,-2.4335,-1.2207,0.024897,0.75465,-0.061035,-0.16878,0.81753,10.456
0.38047,-2.3555,2.883,0.11034,0.76011,0.14415,-0.16338,0.82338,10.122
0.5137,-4.2772,-0.27202,0.14897,0.62559,-0.013601,-0.29666,0.67928,18.379
0.045103,-2.0328,-0.82666,0.01308,0.7827,-0.041333,-0.14099,0.84758,8.7347
-0.19249,-3.1752,-2.2032,-0.055821,0.70273,-0.11016,-0.22023,0.76191,13.644
-0.097693,-3.1787,-0.93339,-0.028331,0.70249,-0.046669,-0.22047,0.76165,13.659
0.077106,-2.5668,0.16795,0.022361,0.74532,0.0083973,-0.17803,0.80753,11.029
-0.037837,-2.7894,0.052469,-0.010973,0.72974,0.0026235,-0.19347,0.79084,11.986
-0.01067,-2.4857,-1.8986,-0.0030944,0.751,-0.094932,-0.1724,0.81362,10.681
0.013633,-4.5157,-2.2254,0.0039535,0.6089,-0.11127,-0.3132,0.6614,19.403
0.21895,-2.6347,-0.22631,0.063495,0.74057,-0.011316,-0.18274,0.80245,11.321
-0.0064147,-2.8366,-0.99716,-0.0018603,0.72644,-0.049858,-0.19674,0.78731,12.189
0.028322,-3.2839,-0.39872,0.0082134,0.69512,-0.019936,-0.22777,0.75376,14.111
-0.043367,-2.0598,-0.66605,-0.012576,0.78081,-0.033302,-0.14286,0.84555,8.8507
0.40971,-3.2468,0.27758,0.11882,0.69772,0.013879,-0.2252,0.75654,13.951
-0.12752,-2.1421,-2.5043,-0.036981,0.77505,-0.12521,-0.14857,0.83938,9.2045
0.63706,-3.8441,-2.5703,0.18475,0.65591,-0.12852,-0.26662,0.71176,16.517
0.16524,-2.5969,-0.074887,0.047921,0.74321,-0.0037443,-0.18012,0.80528,11.159
0.30617,-4.0225,0.67125,0.088791,0.64342,0.033562,-0.279,0.69838,17.284
-0.092513,-2.3358,-0.57051,-0.026829,0.7615,-0.028526,-0.162,0.82486,10.036
-0.28275,-2.6047,-0.21559,-0.081997,0.74267,-0.010779,-0.18065,0.8047,11.192
0.049651,-3.5839,-2.3464,0.014399,0.67413,-0.11732,-0.24857,0.73127,15.399
-0.1209,-2.8849,-0.70609,-0.035062,0.72305,-0.035305,-0.20009,0.78368,12.396
-0.092539,-3.3729,-0.080021,-0.026836,0.6889,-0.0040011,-0.23394,0.74709,14.493
-0.099162,-2.3695,-0.098656,-0.028757,0.75913,-0.0049328,-0.16435,0.82233,10.182
0.18084,-2.0626,-0.17198,0.052445,0.78062,-0.0085992,-0.14306,0.84534,8.8627
0.21381,-2.2413,1.8892,0.062006,0.76811,0.094462,-0.15545,0.83195,9.6304
-0.12249,-2.5378,0.055638,-0.035521,0.74735,0.0027819,-0.17602,0.80971,10.905
0.23533,-2.5489,-1.0423,0.068246,0.74658,-0.052114,-0.17679,0.80888,10.952
0.079142,-2.7551,-1.458,0.022951,0.73214,-0.072902,-0.19109,0.79342,11.838
-0.91714,-3.9368,-1.3071,-0.26597,0.64942,-0.065357,-0.27305,0.70481,16.916
-0.22691,-2.7943,-1.1067,-0.065805,0.7294,-0.055337,-0.19381,0.79048,12.007
-0.043424,-2.8267,-1.5453,-0.012593,0.72713,-0.077267,-0.19606,0.78805,12.146
-0.14494,-2.8267,-1.038,-0.042034,0.72713,-0.051899,-0.19605,0.78805,12.146
0.024892,-2.1286,-0.88229,0.0072186,0.776,-0.044114,-0.14764,0.84039,9.1463
-0.072388,-2.1636,0.043301,-0.020993,0.77355,0.002165,-0.15006,0.83777,9.2968
-0.070052,-2.3693,-0.29551,-0.020315,0.75914,-0.014775,-0.16433,0.82234,10.181
-0.0085817,-3.0453,0.86094,-0.0024887,0.71182,0.043047,-0.21122,0.77165,13.086
-0.025963,-2.3324,0.28747,-0.0075291,0.76173,0.014374,-0.16177,0.82511,10.022
-0.39226,-3.1707,-1.0041,-0.11376,0.70305,-0.050207,-0.21991,0.76225,13.624
-0.10847,-2.1674,0.13596,-0.031456,0.77328,0.0067981,-0.15033,0.83748,9.3132
0.4637,-2.2207,1.0033,0.13447,0.76955,0.050164,-0.15402,0.83349,9.5422
-0.06495,-2.3095,-0.72515,-0.018835,0.76333,-0.036258,-0.16019,0.82683,9.9239
-0.3864,-4.6038,-2.0242,-0.11206,0.60273,-0.10121,-0.31931,0.6548,19.782
0.31548,-3.5933,0.047341,0.091488,0.67346,0.002367,-0.24923,0.73056,15.44
