% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-2.0084,-1.5706e-14,0,1.323,0,0,-0.60253,0.68708,2.4255e+05
-2.0247,-3.1412e-14,0,1.3181,0,0,-0.60742,0.68454,2.4451e+05
-2.0048,-1.5706e-14,0,1.3241,0,0,-0.60145,0.68764,2.4211e+05
-1.9442,-1.5706e-14,0,1.3423,0,0,-0.58325,0.69709,2.3479e+05
-2.1269,0,0,1.2874,0,0,-0.63808,0.66862,2.5686e+05
-2.1435,-1.5706e-14,0,1.2825,0,0,-0.64304,0.66604,2.5885e+05
-2.3466,-3.1412e-14,0,1.2215,0,0,-0.70399,0.63439,2.8339e+05
-1.8418,-1.5706e-14,0,1.373,0,0,-0.55254,0.71304,2.2242e+05
-2.3339,-3.1412e-14,0,1.2253,0,0,-0.70017,0.63637,2.8185e+05
-2.2324,-1.5706e-14,0,1.2558,0,0,-0.66973,0.65218,2.696e+05
-2.0158,1.5706e-14,0,1.3208,1.1869e-14,0,-0.60474,0.68593,2.4344e+05
-2.7206,-3.1412e-14,0,1.1093,0,0,-0.81618,0.57612,3.2855e+05
-2.2199,-1.5706e-14,0,1.2595,0,0,-0.66597,0.65413,2.6808e+05
-1.8965,-1.5706e-14,0,1.3565,0,0,-0.56896,0.70451,2.2903e+05
-1.6689,-1.5706e-14,0,1.4248,0,0,-0.50066,0.73999,2.0154e+05
-3.2777,-1.5706e-14,0,0.94219,0,0,-0.98331,0.48932,3.9583e+05
-2.1862,-1.5706e-14,0,1.2696,0,0,-0.65587,0.65938,2.6402e+05
-1.5633,-1.5706e-14,0,1.4565,0,0,-0.46899,0.75643,1.8879e+05
-2.1194,0,0,1.2897,0,0,-0.63582,0.66979,2.5595e+05
-2.6246,-3.1412e-14,0,1.1381,0,0,-0.78738,0.59108,3.1696e+05
-1.4894,-1.5706e-14,0,1.4787,0,0,-0.44683,0.76794,1.7987e+05
-3.1168,0,0,0.99047,0,0,-0.93503,0.5144,3.7639e+05
-1.5677,-3.1412e-14,0,1.4552,0,0,-0.4703,0.75575,1.8932e+05
-1.71,0,0,1.4125,0,0,-0.51299,0.73358,2.065e+05
-2.7368,-1.5706e-14,0,1.1045,0,0,-0.82104,0.5736,3.3051e+05
-2.3322,-1.5706e-14,0,1.2258,0,0,-0.69967,0.63663,2.8165e+05
-1.8548,-1.5706e-14,0,1.3691,0,0,-0.55645,0.71101,2.24e+05
-1.6333,-1.5706e-14,0,1.4355,0,0,-0.49,0.74552,1.9725e+05
-1.6023,0,0,1.4448,0,0,-0.4807,0.75035,1.935e+05
-2.4455,-1.5706e-14,0,1.1919,0,0,-0.73365,0.61899,2.9533e+05
-2.621,-1.5706e-14,0,1.1392,0,0,-0.78629,0.59164,3.1652e+05
-2.2757,0,0,1.2428,0,0,-0.68272,0.64543,2.7483e+05
-1.5663,0,0,1.4556,0,0,-0.46988,0.75597,1.8915e+05
-1.9051,0,0,1.354,0,0,-0.57153,0.70318,2.3007e+05
-2.3678,0,0,1.2152,0,0,-0.71035,0.63108,2.8595e+05
-1.6666,-1.5706e-14,0,1.4255,0,0,-0.49997,0.74034,2.0126e+05
-2.0629,0,0,1.3066,0,0,-0.61887,0.67859,2.4913e+05
-2.6734,0,0,1.1235,0,0,-0.80202,0.58348,3.2285e+05
-1.9293,0,0,1.3467,0,0,-0.57879,0.69941,2.3299e+05
-1.8971,0,0,1.3564,0,0,-0.56913,0.70443,2.291e+05
-2.3684,-1.5706e-14,0,1.215,0,0,-0.71052,0.631,2.8602e+05
-1.6672,1.5706e-14,0,1.4254,1.1869e-14,0,-0.50015,0.74025,2.0133e+05
-2.6834,-1.5706e-14,0,1.1205,0,0,-0.80501,0.58192,3.2405e+05
-1.8076,0,0,1.3832,0,0,-0.54227,0.71838,2.1829e+05
-3.6778,0,0,0.82218,0,0,-1.1033,0.42699,4.4414e+05
-2.046,-3.1412e-14,0,1.3117,0,0,-0.6138,0.68123,2.4708e+05
-3.0451,-1.5706e-14,0,1.012,0,0,-0.91353,0.52556,3.6774e+05
-2.4214,0,0,1.1991,0,0,-0.72641,0.62274,2.9241e+05
-3.238,-3.1412e-14,0,0.9541,0,0,-0.9714,0.49551,3.9103e+05
-2.1848,-1.5706e-14,0,1.2701,0,0,-0.65545,0.65959,2.6385e+05
-2.4043,-3.1412e-14,0,1.2042,0,0,-0.72129,0.6254,2.9035e+05
-2.6901,0,0,1.1185,0,0,-0.80703,0.58087,3.2487e+05
-2.1929,-3.1412e-14,0,1.2676,0,0,-0.65787,0.65834,2.6482e+05
-2.0517,-3.1412e-14,0,1.31,0,0,-0.61551,0.68034,2.4777e+05
-2.2995,0,0,1.2356,0,0,-0.68985,0.64173,2.777e+05
-1.4985,-1.5706e-14,0,1.476,0,0,-0.44955,0.76653,1.8097e+05
-2.6431,-3.1412e-14,0,1.1326,0,0,-0.79294,0.58819,3.1919e+05
-2.4116,0,0,1.202,0,0,-0.72348,0.62426,2.9124e+05
-2.2571,-3.1412e-14,0,1.2484,0,0,-0.67714,0.64833,2.7258e+05
-3.141,-1.5706e-14,0,0.9832,0,0,-0.94231,0.51062,3.7932e+05
-2.3705,0,0,1.2144,0,0,-0.71115,0.63067,2.8627e+05
-1.8479,-1.5706e-14,0,1.3711,0,0,-0.55438,0.71208,2.2316e+05
-1.8181,-1.5706e-14,0,1.3801,0,0,-0.54544,0.71673,2.1956e+05
-2.3088,-3.1412e-14,0,1.2329,0,0,-0.69263,0.64028,2.7882e+05
-2.4487,-1.5706e-14,0,1.1909,0,0,-0.7346,0.61849,2.9571e+05
-1.7259,0,0,1.4077,0,0,-0.51778,0.73109,2.0843e+05
-2.2299,0,0,1.2565,0,0,-0.66898,0.65257,2.6929e+05
-2.4547,0,0,1.1891,0,0,-0.73641,0.61755,2.9644e+05
-1.5876,-3.1412e-14,0,1.4492,0,0,-0.47627,0.75265,1.9172e+05
-2.2746,-3.1412e-14,0,1.2431,0,0,-0.68238,0.64561,2.7469e+05
-2.0178,-1.5706e-14,0,1.3202,0,0,-0.60534,0.68562,2.4368e+05
-2.2214,0,0,1.2591,0,0,-0.66642,0.6539,2.6826e+05
-1.8496,0,0,1.3706,0,0,-0.55489,0.71182,2.2337e+05
-3.2089,-3.1412e-14,0,0.96284,0,0,-0.96267,0.50004,3.8752e+05
-1.9545,0,0,1.3392,0,0,-0.58635,0.69548,2.3603e+05
-2.1666,-3.1412e-14,0,1.2755,0,0,-0.64999,0.66243,2.6165e+05
-1.5351,0,0,1.465,0,0,-0.46053,0.76082,1.8539e+05
-1.9219,0,0,1.3489,0,0,-0.57657,0.70056,2.321e+05
-3.5159,-1.5706e-14,0,0.87074,0,0,-1.0548,0.45222,4.2459e+05
-1.5531,-1.5706e-14,0,1.4596,0,0,-0.46593,0.75802,1.8756e+05
-1.82,-1.5706e-14,0,1.3795,0,0,-0.54601,0.71643,2.1979e+05
-3.1298,0,0,0.98655,0,0,-0.93895,0.51236,3.7797e+05
-2.2411,-4.7118e-14,0,1.2532,0,0,-0.67234,0.65082,2.7065e+05
-2.0581,0,0,1.3081,0,0,-0.61743,0.67934,2.4855e+05
-2.2649,0,0,1.246,0,0,-0.67946,0.64712,2.7352e+05
-2.0911,0,0,1.2982,0,0,-0.62732,0.67421,2.5252e+05
-2.6587,-3.1412e-14,0,1.1279,0,0,-0.79761,0.58577,3.2107e+05
-1.5386,-1.5706e-14,0,1.4639,0,0,-0.46157,0.76029,1.858e+05
-1.7596,-1.5706e-14,0,1.3976,0,0,-0.52787,0.72585,2.1249e+05
-1.9513,0,0,1.3401,0,0,-0.5854,0.69597,2.3565e+05
-2.7121,0,0,1.1119,0,0,-0.81363,0.57745,3.2752e+05
-2.0422,0,0,1.3128,0,0,-0.61267,0.68181,2.4663e+05
-1.8383,1.5706e-14,0,1.374,1.1869e-14,0,-0.5515,0.71358,2.22e+05
-2.2161,-1.5706e-14,0,1.2607,0,0,-0.66483,0.65472,2.6763e+05
-2.9761,-3.1412e-14,0,1.0327,0,0,-0.89282,0.53632,3.594e+05
-2.4134,-1.5706e-14,0,1.2015,0,0,-0.72402,0.62398,2.9145e+05
-1.898,0,0,1.3561,0,0,-0.5694,0.70428,2.2921e+05
-2.9231,-1.5706e-14,0,1.0486,0,0,-0.87692,0.54457,3.53e+05
-2.3731,0,0,1.2136,0,0,-0.71192,0.63027,2.8658e+05
-2.1424,-1.5706e-14,0,1.2828,0,0,-0.64271,0.66621,2.5872e+05
-2.0704,-1.5706e-14,0,1.3044,0,0,-0.62113,0.67742,2.5003e+05
-1.7757,0,0,1.3928,0,0,-0.53272,0.72334,2.1444e+05
-1.7468,-3.1412e-14,0,1.4015,0,0,-0.52404,0.72784,2.1095e+05
-1.826,0,0,1.3777,0,0,-0.54779,0.71551,2.2051e+05
-2.6555,-1.5706e-14,0,1.1289,0,0,-0.79665,0.58626,3.2069e+05
-2.3283,-1.5706e-14,0,1.227,0,0,-0.69848,0.63725,2.8117e+05
-2.9554,-3.1412e-14,0,1.0389,0,0,-0.88661,0.53954,3.569e+05
-2.5282,0,0,1.167,0,0,-0.75846,0.6061,3.0532e+05
-1.7117,-3.1412e-14,0,1.412,0,0,-0.51352,0.73331,2.0671e+05
-2.4444,0,0,1.1922,0,0,-0.73333,0.61915,2.952e+05
-2.3681,-1.5706e-14,0,1.2151,0,0,-0.71043,0.63104,2.8598e+05
-2.7633,-1.5706e-14,0,1.0965,0,0,-0.829,0.56946,3.3371e+05
-2.4859,-1.5706e-14,0,1.1797,0,0,-0.74577,0.61269,3.0021e+05
-1.6829,0,0,1.4206,0,0,-0.50486,0.7378,2.0323e+05
-2.2977,-1.5706e-14,0,1.2362,0,0,-0.68932,0.64201,2.7748e+05
-1.8165,-1.5706e-14,0,1.3806,0,0,-0.54495,0.71699,2.1937e+05
-1.796,-3.1412e-14,0,1.3867,0,0,-0.53879,0.72018,2.1689e+05
-2.7712,-1.5706e-14,0,1.0941,0,0,-0.83137,0.56823,3.3466e+05
-2.7342,-3.1412e-14,0,1.1053,0,0,-0.82025,0.57401,3.3019e+05
-2.665,0,0,1.126,0,0,-0.79949,0.58479,3.2183e+05
-2.472,0,0,1.1839,0,0,-0.74161,0.61485,2.9853e+05
-1.846,-1.5706e-14,0,1.3717,0,0,-0.55381,0.71238,2.2294e+05
-1.6974,0,0,1.4163,0,0,-0.50921,0.73555,2.0498e+05
-1.5279,-1.5706e-14,0,1.4671,0,0,-0.45837,0.76195,1.8451e+05
-2.2395,0,0,1.2537,0,0,-0.67185,0.65108,2.7045e+05
-2.7663,-3.1412e-14,0,1.0956,0,0,-0.82989,0.569,3.3407e+05
-2.0133,0,0,1.3215,0,0,-0.604,0.68631,2.4314e+05
-2.5365,-1.5706e-14,0,1.1646,0,0,-0.76095,0.60481,3.0632e+05
-2.1052,-1.5706e-14,0,1.2939,0,0,-0.63156,0.67201,2.5423e+05
-3.3054,0,0,0.93388,0,0,-0.99162,0.48501,3.9917e+05
-1.9981,-1.5706e-14,0,1.3261,0,0,-0.59943,0.68869,2.413e+05
-1.5425,-3.1412e-14,0,1.4628,0,0,-0.46275,0.75967,1.8628e+05
-1.9444,-1.5706e-14,0,1.3422,0,0,-0.58333,0.69705,2.3482e+05
-2.4695,1.5706e-14,0,1.1847,1.1869e-14,0,-0.74084,0.61525,2.9822e+05
-1.9509,0,0,1.3402,0,0,-0.58527,0.69604,2.356e+05
-2.3006,-1.5706e-14,0,1.2353,0,0,-0.69017,0.64157,2.7782e+05
-3.1291,0,0,0.98677,0,0,-0.93874,0.51247,3.7788e+05
-1.5932,0,0,1.4475,0,0,-0.47796,0.75177,1.924e+05
-1.6042,-3.1412e-14,0,1.4442,0,0,-0.48126,0.75006,1.9373e+05
-2.0185,-3.1412e-14,0,1.32,0,0,-0.60555,0.68551,2.4376e+05
-3.4387,0,0,0.89389,0,0,-1.0316,0.46424,4.1527e+05
-2.4813,0,0,1.1811,0,0,-0.74439,0.61341,2.9965e+05
-1.6661,0,0,1.4257,0,0,-0.49983,0.74042,2.012e+05
-1.9139,-1.5706e-14,0,1.3513,0,0,-0.57417,0.70181,2.3113e+05
-2.3732,-3.1412e-14,0,1.2136,0,0,-0.71195,0.63026,2.8659e+05
-1.7972,0,0,1.3863,0,0,-0.53917,0.71999,2.1704e+05
-1.8812,-3.1412e-14,0,1.3612,0,0,-0.56435,0.70691,2.2718e+05
-2.0691,-1.5706e-14,0,1.3048,0,0,-0.62074,0.67762,2.4988e+05
-2.2943,-4.7118e-14,0,1.2372,0,0,-0.68828,0.64254,2.7707e+05
-1.8674,-1.5706e-14,0,1.3653,0,0,-0.56022,0.70905,2.2551e+05
-2.2797,-3.1412e-14,0,1.2416,0,0,-0.68392,0.64481,2.7531e+05
-1.6537,-1.5706e-14,0,1.4294,0,0,-0.4961,0.74235,1.997e+05
-2.1432,-3.1412e-14,0,1.2825,0,0,-0.64296,0.66608,2.5882e+05
-1.8112,-3.1412e-14,0,1.3821,0,0,-0.54336,0.71781,2.1873e+05
-3.1669,0,0,0.97544,0,0,-0.95006,0.50659,3.8244e+05
-1.6832,-1.5706e-14,0,1.4205,0,0,-0.50497,0.73775,2.0327e+05
-1.8671,-3.1412e-14,0,1.3654,0,0,-0.56014,0.70909,2.2548e+05
-2.2324,0,0,1.2558,0,0,-0.66971,0.65219,2.6959e+05
-2.5007,0,0,1.1753,0,0,-0.7502,0.61039,3.0199e+05
-2.013,-3.1412e-14,0,1.3216,0,0,-0.60391,0.68636,2.431e+05
-2.6033,0,0,1.1445,0,0,-0.781,0.59439,3.1439e+05
-2.4267,-1.5706e-14,0,1.1975,0,0,-0.72802,0.62191,2.9306e+05
-2.8367,-3.1412e-14,0,1.0745,0,0,-0.851,0.55804,3.4257e+05
-1.5496,-1.5706e-14,0,1.4606,0,0,-0.46488,0.75857,1.8714e+05
-1.8916,0,0,1.358,0,0,-0.56749,0.70528,2.2844e+05
-1.7393,0,0,1.4037,0,0,-0.52178,0.72902,2.1004e+05
-2.8042,-1.5706e-14,0,1.0842,0,0,-0.84127,0.56309,3.3865e+05
-2.1855,-1.5706e-14,0,1.2699,0,0,-0.65565,0.65949,2.6393e+05
-1.7063,1.5706e-14,0,1.4136,1.1869e-14,0,-0.51189,0.73415,2.0606e+05
-2.4973,-3.1412e-14,0,1.1763,0,0,-0.74919,0.61091,3.0158e+05
-1.7223,-1.5706e-14,0,1.4088,0,0,-0.51668,0.73166,2.0799e+05
