% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.15323,-2.0661,-0.84603,-0.044436,0.56223,-0.042301,-0.14361,0.79683,8.8779
0.0014828,-1.4712,-0.49101,0.00043002,0.60388,-0.024551,-0.10226,0.85533,6.3217
0.012965,-1.789,-0.79556,0.0037599,0.58163,-0.039778,-0.12435,0.82408,7.6871
0.022836,-1.358,-0.009269,0.0066225,0.6118,-0.00046345,-0.09439,0.86647,5.835
0.072934,-2.3685,-0.71896,0.021151,0.54107,-0.035948,-0.16463,0.76709,10.177
0.1066,-1.7657,-0.39528,0.030913,0.58326,-0.019764,-0.12273,0.82637,7.5869
0.11534,-2.219,-0.24621,0.033448,0.55153,-0.01231,-0.15424,0.78179,9.535
0.0054387,-2.3181,-0.4793,0.0015772,0.54459,-0.023965,-0.16113,0.77205,9.9607
0.087088,-2.2831,-0.78726,0.025255,0.54704,-0.039363,-0.1587,0.77549,9.8102
-0.10173,-1.5596,0.66493,-0.029503,0.59769,0.033246,-0.10841,0.84664,6.7014
0.033155,-2.284,-0.64484,0.009615,0.54698,-0.032242,-0.15876,0.77541,9.814
0.017684,-1.5091,0.53169,0.0051284,0.60122,0.026584,-0.1049,0.8516,6.4845
-0.009309,-1.6679,0.39481,-0.0026996,0.59011,0.01974,-0.11593,0.83599,7.1668
0.11424,-1.8869,-0.27635,0.033128,0.57478,-0.013818,-0.13115,0.81446,8.1076
0.038712,-2.1405,-0.51882,0.011226,0.55703,-0.025941,-0.14878,0.78952,9.1974
0.13503,-1.837,0.53054,0.039159,0.57827,0.026527,-0.12769,0.81936,7.8935
0.079891,-1.7031,-0.23419,0.023169,0.58764,-0.011709,-0.11838,0.83253,7.3181
-0.36992,-3.0194,-0.75098,-0.10728,0.4955,-0.037549,-0.20988,0.70309,12.974
0.061812,-2.2308,-0.56984,0.017925,0.55071,-0.028492,-0.15506,0.78064,9.5855
0.065606,-1.8596,-0.93284,0.019026,0.57669,-0.046642,-0.12926,0.81714,7.9905
0.29075,-1.8,2.2031,0.084317,0.58086,0.11016,-0.12512,0.82299,7.7346
0.39256,-3.2686,-0.20787,0.11384,0.47806,-0.010393,-0.22719,0.67859,14.045
0.034466,-1.5534,-0.63172,0.0099952,0.59812,-0.031586,-0.10798,0.84725,6.6749
-0.14709,-2.4264,-1.6836,-0.042657,0.53701,-0.08418,-0.16866,0.7614,10.426
-0.074655,-2.4291,-0.71327,-0.02165,0.53682,-0.035664,-0.16884,0.76113,10.438
0.058922,-1.9615,0.12834,0.017087,0.56956,0.006417,-0.13634,0.80712,8.4284
-0.028914,-2.1316,0.040096,-0.008385,0.55765,0.0020048,-0.14817,0.79039,9.1593
-0.008154,-1.8995,-1.4509,-0.0023647,0.5739,-0.072545,-0.13203,0.81322,8.1619
0.010418,-3.4508,-1.7006,0.0030212,0.46531,-0.08503,-0.23986,0.66067,14.828
0.16731,-2.0134,-0.17294,0.048521,0.56593,-0.0086471,-0.13995,0.80202,8.6512
-0.0049019,-2.1677,-0.76201,-0.0014216,0.55513,-0.0381,-0.15067,0.78685,9.3142
0.021643,-2.5095,-0.3047,0.0062765,0.5312,-0.015235,-0.17443,0.75323,10.783
-0.03314,-1.574,-0.50898,-0.0096105,0.59668,-0.025449,-0.10941,0.84522,6.7635
0.31309,-2.4812,0.21212,0.090797,0.53318,0.010606,-0.17246,0.75602,10.661
-0.097449,-1.637,-1.9137,-0.02826,0.59228,-0.095685,-0.11378,0.83903,7.0338
0.48683,-2.9375,-1.9642,0.14118,0.50123,-0.098209,-0.20418,0.71114,12.622
0.12628,-1.9845,-0.057227,0.03662,0.56795,-0.0028613,-0.13794,0.80485,8.5272
0.23397,-3.0739,0.51295,0.067852,0.49169,0.025648,-0.21366,0.69773,13.208
-0.070696,-1.7849,-0.43597,-0.020502,0.58192,-0.021799,-0.12407,0.82448,7.6696
-0.21607,-1.9904,-0.16475,-0.06266,0.56753,-0.0082374,-0.13835,0.80427,8.5526
0.037942,-2.7387,-1.7931,0.011003,0.51515,-0.089654,-0.19036,0.73069,11.768
-0.092392,-2.2046,-0.53958,-0.026794,0.55254,-0.026979,-0.15324,0.78321,9.4729
-0.070716,-2.5775,-0.06115,-0.020508,0.52644,-0.0030575,-0.17916,0.74655,11.075
-0.075777,-1.8108,-0.075391,-0.021975,0.58011,-0.0037695,-0.12586,0.82194,7.7806
0.1382,-1.5762,-0.13143,0.040077,0.59653,-0.0065713,-0.10956,0.84501,6.7726
0.16339,-1.7127,1.4437,0.047383,0.58697,0.072186,-0.11905,0.83158,7.3594
