% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-40.88,-551.22,-225.71,-11.855,150,-11.286,-13.371,0.9291,2368.5
0.3956,-392.51,-131,0.11472,161.11,-6.5498,-9.5208,0.94951,1686.6
3.459,-477.29,-212.25,1.0031,155.17,-10.612,-11.577,0.93861,2050.8
6.0924,-362.29,-2.4729,1.7668,163.22,-0.12364,-8.7879,0.9534,1556.7
19.458,-631.89,-191.81,5.6428,144.35,-9.5906,-15.327,0.91872,2715.2
28.439,-471.06,-105.46,8.2473,155.61,-5.2729,-11.426,0.93941,2024.1
30.771,-592.02,-65.685,8.9235,147.14,-3.2843,-14.36,0.92385,2543.8
1.451,-618.45,-127.87,0.42079,145.29,-6.3936,-15.001,0.92045,2657.4
23.234,-609.11,-210.03,6.7379,145.95,-10.502,-14.775,0.92165,2617.3
-27.141,-416.08,177.4,-7.871,159.46,8.8698,-10.093,0.94648,1787.9
8.8455,-609.34,-172.04,2.5652,145.93,-8.6018,-14.78,0.92162,2618.3
4.718,-402.62,141.85,1.3682,160.4,7.0924,-9.766,0.94821,1730
-2.4836,-444.98,105.33,-0.72023,157.43,5.2665,-10.794,0.94276,1912
30.477,-503.39,-73.728,8.8383,153.35,-3.6864,-12.21,0.93525,2163
10.328,-571.05,-138.41,2.9951,148.61,-6.9207,-13.852,0.92655,2453.8
36.025,-490.1,141.54,10.447,154.28,7.0772,-11.888,0.93696,2105.9
21.314,-454.37,-62.478,6.1811,156.78,-3.1239,-11.021,0.94156,1952.4
-98.691,-805.55,-200.35,-28.62,132.19,-10.018,-19.54,0.89639,3461.4
16.491,-595.15,-152.03,4.7823,146.92,-7.6013,-14.436,0.92345,2557.3
17.503,-496.12,-248.87,5.0759,153.85,-12.444,-12.034,0.93619,2131.8
77.568,-480.23,587.78,22.495,154.97,29.389,-11.649,0.93823,2063.5
104.73,-872.02,-55.457,30.372,127.54,-2.7729,-21.152,0.88784,3747
9.1952,-414.44,-168.53,2.6666,159.57,-8.4267,-10.053,0.94669,1780.8
-39.243,-647.35,-449.17,-11.38,143.27,-22.458,-15.702,0.91674,2781.6
