% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-1260.6,-1.5706e-14,0,830.33,0,0,-378.17,0.68708,1.5223e+08
-1270.8,-3.1412e-14,0,827.27,0,0,-381.23,0.68454,1.5346e+08
-1258.3,-1.5706e-14,0,831.01,0,0,-377.49,0.68764,1.5196e+08
-1220.2,-1.5706e-14,0,842.43,0,0,-366.07,0.69709,1.4736e+08
-1334.9,0,0,808.02,0,0,-400.48,0.66862,1.6121e+08
-1345.3,-1.5706e-14,0,804.91,0,0,-403.59,0.66604,1.6246e+08
-1472.8,-3.1412e-14,0,766.66,0,0,-441.84,0.63439,1.7786e+08
-1156,-1.5706e-14,0,861.71,0,0,-346.79,0.71304,1.396e+08
-1464.8,-3.1412e-14,0,769.06,0,0,-439.45,0.63637,1.769e+08
-1401.1,-1.5706e-14,0,788.16,0,0,-420.34,0.65218,1.6921e+08
-1265.2,1.5706e-14,0,828.95,1.1869e-14,0,-379.55,0.68593,1.5279e+08
-1707.5,-3.1412e-14,0,696.24,0,0,-512.26,0.57612,2.0621e+08
-1393.3,-1.5706e-14,0,790.52,0,0,-417.98,0.65413,1.6826e+08
-1190.3,-1.5706e-14,0,851.4,0,0,-357.1,0.70451,1.4375e+08
-1047.4,-1.5706e-14,0,894.27,0,0,-314.23,0.73999,1.2649e+08
-2057.2,-1.5706e-14,0,591.35,0,0,-617.15,0.48932,2.4843e+08
-1372.1,-1.5706e-14,0,796.86,0,0,-411.64,0.65938,1.657e+08
-981.16,-1.5706e-14,0,914.15,0,0,-294.35,0.75643,1.1849e+08
-1330.2,0,0,809.44,0,0,-399.06,0.66979,1.6064e+08
-1647.3,-3.1412e-14,0,714.32,0,0,-494.18,0.59108,1.9893e+08
-934.82,-1.5706e-14,0,928.06,0,0,-280.44,0.76794,1.1289e+08
-1956.2,0,0,621.65,0,0,-586.85,0.5144,2.3624e+08
-983.9,-3.1412e-14,0,913.33,0,0,-295.17,0.75575,1.1882e+08
-1073.2,0,0,886.54,0,0,-321.96,0.73358,1.2961e+08
-1717.7,-1.5706e-14,0,693.19,0,0,-515.31,0.5736,2.0743e+08
-1463.8,-1.5706e-14,0,769.37,0,0,-439.13,0.63663,1.7677e+08
-1164.1,-1.5706e-14,0,859.26,0,0,-349.24,0.71101,1.4059e+08
-1025.1,-1.5706e-14,0,900.97,0,0,-307.54,0.74552,1.238e+08
-1005.7,0,0,906.8,0,0,-301.7,0.75035,1.2145e+08
-1534.9,-1.5706e-14,0,748.04,0,0,-460.46,0.61899,1.8535e+08
-1645,-1.5706e-14,0,715,0,0,-493.5,0.59164,1.9866e+08
-1428.3,0,0,780.01,0,0,-428.49,0.64543,1.7249e+08
