% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-945.42,-1.5706e-14,0,622.75,0,0,-283.63,0.68708,1.1417e+08
-953.08,-3.1412e-14,0,620.45,0,0,-285.92,0.68454,1.151e+08
-943.72,-1.5706e-14,0,623.26,0,0,-283.12,0.68764,1.1397e+08
-915.17,-1.5706e-14,0,631.83,0,0,-274.55,0.69709,1.1052e+08
-1001.2,0,0,606.02,0,0,-300.36,0.66862,1.2091e+08
-1009,-1.5706e-14,0,603.68,0,0,-302.69,0.66604,1.2185e+08
-1104.6,-3.1412e-14,0,574.99,0,0,-331.38,0.63439,1.334e+08
-866.98,-1.5706e-14,0,646.28,0,0,-260.09,0.71304,1.047e+08
-1098.6,-3.1412e-14,0,576.79,0,0,-329.58,0.63637,1.3267e+08
-1050.9,-1.5706e-14,0,591.12,0,0,-315.26,0.65218,1.269e+08
-948.88,1.5706e-14,0,621.71,1.1869e-14,0,-284.66,0.68593,1.1459e+08
-1280.6,-3.1412e-14,0,522.18,0,0,-384.19,0.57612,1.5466e+08
-1044.9,-1.5706e-14,0,592.89,0,0,-313.48,0.65413,1.2619e+08
-892.74,-1.5706e-14,0,638.55,0,0,-267.82,0.70451,1.0781e+08
-785.57,-1.5706e-14,0,670.71,0,0,-235.67,0.73999,9.4868e+07
-1542.9,-1.5706e-14,0,443.51,0,0,-462.87,0.48932,1.8632e+08
-1029.1,-1.5706e-14,0,597.65,0,0,-308.73,0.65938,1.2428e+08
-735.87,-1.5706e-14,0,685.61,0,0,-220.76,0.75643,8.8867e+07
-997.65,0,0,607.08,0,0,-299.29,0.66979,1.2048e+08
-1235.5,-3.1412e-14,0,535.74,0,0,-370.64,0.59108,1.492e+08
-701.11,-1.5706e-14,0,696.04,0,0,-210.33,0.76794,8.4669e+07
-1467.1,0,0,466.24,0,0,-440.14,0.5144,1.7718e+08
-737.93,-3.1412e-14,0,685,0,0,-221.38,0.75575,8.9115e+07
-804.91,0,0,664.9,0,0,-241.47,0.73358,9.7204e+07
-1288.3,-1.5706e-14,0,519.9,0,0,-386.48,0.5736,1.5558e+08
-1097.8,-1.5706e-14,0,577.03,0,0,-329.35,0.63663,1.3258e+08
-873.11,-1.5706e-14,0,644.44,0,0,-261.93,0.71101,1.0544e+08
-768.84,-1.5706e-14,0,675.72,0,0,-230.65,0.74552,9.2848e+07
-754.25,0,0,680.1,0,0,-226.28,0.75035,9.1086e+07
-1151.1,-1.5706e-14,0,561.03,0,0,-345.34,0.61899,1.3902e+08
-1233.8,-1.5706e-14,0,536.25,0,0,-370.13,0.59164,1.4899e+08
-1071.2,0,0,585.01,0,0,-321.37,0.64543,1.2937e+08
-737.28,0,0,685.19,0,0,-221.18,0.75597,8.9037e+07
-896.77,0,0,637.35,0,0,-269.03,0.70318,1.083e+08
-1114.6,0,0,572,0,0,-334.38,0.63108,1.346e+08
-784.5,-1.5706e-14,0,671.03,0,0,-235.35,0.74034,9.4739e+07
-971.06,0,0,615.06,0,0,-291.32,0.67859,1.1727e+08
-1258.4,0,0,528.85,0,0,-377.53,0.58348,1.5197e+08
-908.16,0,0,633.93,0,0,-272.45,0.69941,1.0967e+08
-893,0,0,638.47,0,0,-267.9,0.70443,1.0784e+08
-1114.9,-1.5706e-14,0,571.92,0,0,-334.46,0.631,1.3463e+08
-784.78,1.5706e-14,0,670.94,1.1869e-14,0,-235.43,0.74025,9.4773e+07
-1263.1,-1.5706e-14,0,527.44,0,0,-378.93,0.58192,1.5254e+08
-850.86,0,0,651.12,0,0,-255.26,0.71838,1.0275e+08
-1731.2,0,0,387.02,0,0,-519.36,0.42699,2.0907e+08
-963.09,-3.1412e-14,0,617.45,0,0,-288.93,0.68123,1.1631e+08
-1433.4,-1.5706e-14,0,476.36,0,0,-430.02,0.52556,1.731e+08
-1139.8,0,0,564.44,0,0,-341.94,0.62274,1.3765e+08
-1524.2,-3.1412e-14,0,449.12,0,0,-457.26,0.49551,1.8407e+08
-1028.4,-1.5706e-14,0,597.84,0,0,-308.53,0.65959,1.242e+08
-1131.8,-3.1412e-14,0,566.85,0,0,-339.53,0.6254,1.3667e+08
-1266.3,0,0,526.49,0,0,-379.89,0.58087,1.5292e+08
-1032.2,-3.1412e-14,0,596.7,0,0,-309.67,0.65834,1.2466e+08
-965.78,-3.1412e-14,0,616.64,0,0,-289.73,0.68034,1.1663e+08
-1082.4,0,0,581.65,0,0,-324.73,0.64173,1.3072e+08
-705.38,-1.5706e-14,0,694.76,0,0,-211.61,0.76653,8.5184e+07
-1244.2,-3.1412e-14,0,533.12,0,0,-373.25,0.58819,1.5025e+08
-1135.2,0,0,565.82,0,0,-340.56,0.62426,1.3709e+08
-1062.5,-3.1412e-14,0,587.63,0,0,-318.74,0.64833,1.2831e+08
-1478.5,-1.5706e-14,0,462.81,0,0,-443.56,0.51062,1.7855e+08
-1115.8,0,0,571.62,0,0,-334.75,0.63067,1.3475e+08
-869.87,-1.5706e-14,0,645.42,0,0,-260.96,0.71208,1.0505e+08
-855.83,-1.5706e-14,0,649.63,0,0,-256.75,0.71673,1.0335e+08
-1086.8,-3.1412e-14,0,580.34,0,0,-326.04,0.64028,1.3124e+08
-1152.6,-1.5706e-14,0,560.59,0,0,-345.79,0.61849,1.392e+08
