% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-47.211,-636.59,-260.67,-13.691,173.23,-13.033,-14.022,0.93562,2735.3
0.45687,-453.3,-151.28,0.13249,186.06,-7.5642,-9.9848,0.95415,1947.8
3.9947,-551.21,-245.12,1.1585,179.21,-12.256,-12.141,0.94425,2368.5
7.036,-418.4,-2.8559,2.0404,188.5,-0.14279,-9.2161,0.95768,1797.8
22.471,-729.76,-221.52,6.5167,166.71,-11.076,-16.074,0.92619,3135.7
32.843,-544.02,-121.79,9.5246,179.71,-6.0895,-11.983,0.94498,2337.6
35.536,-683.7,-75.858,10.305,169.93,-3.7929,-15.06,0.93085,2937.8
1.6757,-714.23,-147.68,0.48596,167.79,-7.3838,-15.732,0.92776,3069
26.832,-703.44,-242.56,7.7814,168.55,-12.128,-15.495,0.92885,3022.6
-31.345,-480.53,204.87,-9.0901,184.15,10.244,-10.585,0.9514,2064.8
10.215,-703.72,-198.68,2.9625,168.53,-9.9341,-15.501,0.92883,3023.8
5.4487,-464.97,163.82,1.5801,185.24,8.1909,-10.242,0.95297,1997.9
-2.8682,-513.9,121.64,-0.83178,181.82,6.0821,-11.32,0.94802,2208.2
35.197,-581.35,-85.147,10.207,177.1,-4.2573,-12.806,0.9412,2498
11.927,-659.5,-159.85,3.4589,171.63,-7.9926,-14.527,0.9333,2833.8
41.605,-566,163.47,12.065,178.17,8.1733,-12.467,0.94276,2432
24.615,-524.74,-72.155,7.1384,181.06,-3.6077,-11.559,0.94693,2254.8
-113.98,-930.31,-231.38,-33.053,152.67,-11.569,-20.492,0.90591,3997.4
19.045,-687.32,-175.57,5.523,169.68,-8.7786,-15.14,0.93048,2953.4
20.214,-572.96,-287.41,5.862,177.68,-14.371,-12.621,0.94205,2462
89.582,-554.61,678.81,25.979,178.97,33.94,-12.216,0.94391,2383.1
120.95,-1007.1,-64.046,35.076,147.3,-3.2023,-22.183,0.89815,4327.3
10.619,-478.62,-194.64,3.0796,184.29,-9.7318,-10.543,0.95159,2056.6
-45.321,-747.6,-518.73,-13.143,165.46,-25.937,-16.468,0.92439,3212.4
-23.002,-748.43,-219.77,-6.6705,165.4,-10.988,-16.486,0.9243,3215.9
18.154,-604.36,39.543,5.2648,175.49,1.9771,-13.312,0.93888,2596.9
-8.9086,-656.77,12.354,-2.5835,171.82,0.61769,-14.467,0.93357,2822.1
-2.5123,-585.25,-447.03,-0.72857,176.82,-22.352,-12.891,0.94081,2514.8
3.2099,-1063.2,-523.97,0.93086,143.37,-26.198,-23.419,0.89247,4568.5
51.551,-620.33,-53.285,14.95,174.37,-2.6642,-13.664,0.93726,2665.5
-1.5103,-667.87,-234.78,-0.438,171.04,-11.739,-14.711,0.93245,2869.8
6.6684,-773.2,-93.879,1.9338,163.67,-4.694,-17.031,0.9218,3322.4
-10.211,-484.98,-156.82,-2.9611,183.84,-7.841,-10.683,0.95095,2083.9
96.467,-764.47,65.357,27.975,164.28,3.2678,-16.839,0.92268,3284.8
-30.025,-504.36,-589.63,-8.7072,182.48,-29.481,-11.11,0.94899,2167.2
150,-905.08,-605.18,43.499,154.43,-30.259,-19.936,0.90846,3889
38.907,-611.44,-17.632,11.283,174.99,-0.8816,-13.468,0.93816,2627.3
72.088,-947.1,158.04,20.906,151.49,7.9022,-20.862,0.90421,4069.6
-21.782,-549.95,-134.33,-6.3168,179.29,-6.7163,-12.114,0.94438,2363.1
-66.573,-613.26,-50.76,-19.306,174.86,-2.538,-13.508,0.93797,2635.1
11.69,-843.82,-552.47,3.3902,158.72,-27.623,-18.587,0.91466,3625.8
-28.467,-679.25,-166.25,-8.2553,170.24,-8.3125,-14.962,0.9313,2918.7
-21.788,-794.14,-18.841,-6.3186,162.2,-0.94205,-17.493,0.91968,3412.3
-23.348,-557.91,-23.228,-6.7708,178.74,-1.1614,-12.289,0.94357,2397.3
42.579,-485.63,-40.494,12.348,183.8,-2.0247,-10.697,0.95088,2086.7
50.342,-527.7,444.82,14.599,180.85,22.241,-11.624,0.94663,2267.5
-28.839,-597.52,13.1,-8.3634,175.96,0.655,-13.162,0.93957,2567.5
55.408,-600.13,-245.4,16.068,175.78,-12.27,-13.219,0.9393,2578.7
18.634,-648.68,-343.3,5.4039,172.38,-17.165,-14.288,0.93439,2787.3
-215.94,-926.91,-307.77,-62.623,152.91,-15.388,-20.417,0.90625,3982.8
-53.427,-657.91,-260.58,-15.494,171.74,-13.029,-14.492,0.93346,2827
-10.224,-665.55,-363.85,-2.965,171.2,-18.192,-14.66,0.93269,2859.8
-34.127,-665.54,-244.39,-9.8969,171.2,-12.22,-14.66,0.93269,2859.8
5.8608,-501.17,-207.73,1.6996,182.71,-10.387,-11.039,0.94931,2153.5
-17.044,-509.42,10.195,-4.9427,182.13,0.50975,-11.221,0.94848,2188.9
-16.494,-557.86,-69.577,-4.7831,178.74,-3.4789,-12.288,0.94358,2397.1
-2.0206,-717.02,202.71,-0.58596,167.6,10.135,-15.794,0.92748,3081
-6.1129,-549.16,67.685,-1.7727,179.35,3.3842,-12.097,0.94446,2359.7
-92.357,-746.54,-236.42,-26.784,165.53,-11.821,-16.444,0.9245,3207.8
-25.539,-510.32,32.012,-7.4063,182.07,1.6006,-11.241,0.94839,2192.8
109.18,-522.86,236.22,31.662,181.19,11.811,-11.517,0.94712,2246.7
-15.292,-543.78,-170.74,-4.4348,179.73,-8.5368,-11.978,0.945,2336.6
-90.977,-1084,-476.59,-26.383,141.91,-23.829,-23.877,0.89037,4657.7
74.279,-846.05,11.146,21.541,158.57,0.55732,-18.636,0.91443,3635.4
0.14328,-487.31,-134.9,0.04155,183.68,-6.7452,-10.734,0.95071,2093.9
73.623,-622.52,-25.492,21.351,174.21,-1.2746,-13.712,0.93704,2674.9
31.215,-671.78,-472.37,9.0522,170.77,-23.618,-14.797,0.93206,2886.6
12.902,-1039.9,-345.28,3.7415,145,-17.264,-22.905,0.89483,4468.2
-73.441,-721.1,-273.19,-21.298,167.31,-13.659,-15.884,0.92707,3098.5
1.1586,-700.62,137.79,0.336,168.75,6.8894,-15.433,0.92914,3010.5
-55.429,-617.78,-172.42,-16.074,174.55,-8.6208,-13.608,0.93752,2654.5
0.38836,-571.14,45.554,0.11263,177.81,2.2777,-12.581,0.94224,2454.1
-66.502,-471.4,-153.16,-19.286,184.79,-7.6581,-10.384,0.95232,2025.6
9.5732,-587.43,-119.8,2.7762,176.67,-5.9901,-12.939,0.94059,2524.1
-50.026,-986.35,-170.79,-14.508,148.75,-8.5393,-21.726,0.90024,4238.2
9.0774,-547.26,-29.546,2.6324,179.48,-1.4773,-12.055,0.94465,2351.5
-13.107,-476.87,-51.681,-3.8011,184.41,-2.5841,-10.504,0.95177,2049.1
108.33,-767.54,8.448,31.415,164.06,0.4224,-16.907,0.92237,3298
-56.75,-591.98,-479.19,-16.458,176.35,-23.96,-13.04,0.94013,2543.7
-26.282,-592.53,-72.678,-7.6219,176.31,-3.6339,-13.052,0.94007,2546
16.599,-516.72,-115.42,4.8136,181.62,-5.7708,-11.382,0.94774,2220.3
-0.43964,-484.47,-3.1429,-0.1275,183.88,-0.15714,-10.671,0.951,2081.7
-28.204,-890.65,-421.29,-8.1793,155.44,-21.064,-19.618,0.90992,3827
54.464,-459.09,81.319,15.795,185.65,4.0659,-10.112,0.95357,1972.6
144.22,-794,-195.35,41.825,162.21,-9.7673,-17.49,0.9197,3411.7
44.28,-977.16,-233.9,12.841,149.39,-11.695,-21.524,0.90117,4198.8
-50.354,-499.76,-106.77,-14.603,182.81,-5.3385,-11.008,0.94945,2147.4
-19.612,-699.28,192.71,-5.6875,168.84,9.6354,-15.403,0.92928,3004.7
-10.683,-508.56,-79.998,-3.0982,182.19,-3.9999,-11.202,0.94857,2185.2
-23.674,-722.56,-95.287,-6.8654,167.21,-4.7644,-15.916,0.92692,3104.8
-143.33,-716.12,-450.97,-41.566,167.66,-22.549,-15.774,0.92757,3077.1
49.699,-584.39,-76.83,14.413,176.88,-3.8415,-12.872,0.9409,2511.1
-28.298,-590.58,-304.85,-8.2065,176.45,-15.243,-13.009,0.94027,2537.6
61.432,-581.89,-150.92,17.815,177.06,-7.5459,-12.817,0.94115,2500.3
-14.416,-651.33,-74.13,-4.1805,172.2,-3.7065,-14.347,0.93412,2798.7
39.647,-865.16,-162.74,11.498,157.23,-8.1372,-19.057,0.9125,3717.5
-18.016,-835.5,-61.403,-5.2245,159.31,-3.0701,-18.404,0.9155,3590.1
-65.667,-432.3,-165.67,-19.043,187.53,-8.2836,-9.5224,0.95628,1857.6
