% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-62.144,-837.94,-343.12,-18.022,228.02,-17.156,-15.169,0.94709,3600.5
0.60137,-596.67,-199.14,0.1744,244.91,-9.9568,-10.802,0.96232,2563.8
5.2582,-725.55,-322.65,1.5249,235.89,-16.132,-13.135,0.95418,3117.6
9.2615,-550.74,-3.7592,2.6858,248.12,-0.18796,-9.97,0.96522,2366.5
29.579,-960.58,-291.58,8.5779,219.44,-14.579,-17.389,0.93934,4127.5
43.232,-716.09,-160.31,12.537,236.55,-8.0156,-12.963,0.95478,3077
46.776,-899.96,-99.852,13.565,223.68,-4.9926,-16.292,0.94317,3867
2.2057,-940.14,-194.39,0.63966,220.87,-9.7193,-17.019,0.94063,4039.7
35.319,-925.94,-319.28,10.243,221.86,-15.964,-16.762,0.94153,3978.7
-41.259,-632.51,269.67,-11.965,242.4,13.484,-11.45,0.96006,2717.8
13.447,-926.3,-261.52,3.8995,221.84,-13.076,-16.769,0.94151,3980.2
7.1721,-612.04,215.63,2.0799,243.83,10.782,-11.08,0.96135,2629.9
-3.7754,-676.44,160.12,-1.0949,239.33,8.0059,-12.246,0.95728,2906.6
46.33,-765.24,-112.08,13.436,233.11,-5.6039,-13.853,0.95168,3288.1
15.7,-868.09,-210.41,4.553,225.91,-10.521,-15.715,0.94518,3730.1
54.764,-745.03,215.17,15.882,234.52,10.758,-13.487,0.95295,3201.3
32.401,-690.72,-94.977,9.3963,238.33,-4.7488,-12.504,0.95638,2968
-150.03,-1224.6,-304.57,-43.507,200.96,-15.228,-22.168,0.92267,5261.8
25.069,-904.72,-231.1,7.2699,223.35,-11.555,-16.378,0.94287,3887.5
26.607,-754.19,-378.32,7.7161,233.88,-18.916,-13.653,0.95237,3240.7
117.92,-730.03,893.51,34.196,235.57,44.676,-13.216,0.9539,3136.9
159.21,-1325.6,-84.304,46.17,193.88,-4.2152,-23.997,0.91629,5696
13.978,-630.01,-256.2,4.0537,242.58,-12.81,-11.405,0.96022,2707.1
-59.655,-984.07,-682.81,-17.3,217.79,-34.14,-17.815,0.93786,4228.4
-30.277,-985.16,-289.28,-8.7804,217.72,-14.464,-17.834,0.93779,4233.1
23.897,-795.51,52.05,6.93,230.99,2.6025,-14.401,0.94976,3418.2
-11.726,-864.5,16.261,-3.4007,226.16,0.81307,-15.65,0.94541,3714.7
-3.3069,-770.36,-588.43,-0.95902,232.75,-29.422,-13.946,0.95135,3310.2
4.2251,-1399.5,-689.7,1.2253,188.71,-34.485,-25.335,0.91162,6013.5
67.857,-816.54,-70.138,19.678,229.52,-3.5069,-14.782,0.94844,3508.6
-1.988,-879.12,-309.04,-0.57653,225.14,-15.452,-15.915,0.94449,3777.5
8.7776,-1017.8,-123.57,2.5455,215.43,-6.1787,-18.425,0.93573,4373.2
-13.44,-638.37,-206.42,-3.8977,241.99,-10.321,-11.556,0.95969,2743
126.98,-1006.3,86.029,36.824,216.24,4.3014,-18.216,0.93646,4323.8
-39.522,-663.89,-776.13,-11.461,240.2,-38.806,-12.018,0.95808,2852.7
197.44,-1191.4,-796.59,57.257,203.28,-39.83,-21.567,0.92477,5119.1
51.213,-804.84,-23.209,14.852,230.34,-1.1604,-14.57,0.94918,3458.3
94.89,-1246.7,208.03,27.518,199.41,10.402,-22.568,0.92128,5356.8
-28.672,-723.9,-176.81,-8.3148,236,-8.8407,-13.105,0.95429,3110.5
-87.629,-807.24,-66.815,-25.412,230.17,-3.3408,-14.613,0.94902,3468.6
15.388,-1110.7,-727.21,4.4625,208.93,-36.36,-20.107,0.92986,4772.6
-37.471,-894.1,-218.83,-10.866,224.09,-10.942,-16.186,0.94354,3841.9
-28.68,-1045.3,-24.8,-8.3172,213.5,-1.24,-18.924,0.93399,4491.7
-30.732,-734.37,-30.576,-8.9124,235.27,-1.5288,-13.294,0.95363,3155.5
56.047,-639.23,-53.302,16.254,241.93,-2.6651,-11.572,0.95963,2746.7
66.265,-694.61,585.52,19.217,238.05,29.276,-12.575,0.95614,2984.7
-37.961,-786.52,17.243,-11.009,231.62,0.86217,-14.238,0.95033,3379.6
72.934,-789.95,-323.02,21.151,231.38,-16.151,-14.301,0.95012,3394.3
24.528,-853.85,-451.88,7.1131,226.91,-22.594,-15.457,0.94608,3668.9
-284.24,-1220.1,-405.11,-82.43,201.27,-20.256,-22.087,0.92295,5242.6
-70.325,-866,-343,-20.394,226.06,-17.15,-15.677,0.94531,3721.1
-13.458,-876.06,-478.93,-3.9028,225.35,-23.947,-15.859,0.94468,3764.3
-44.921,-876.05,-321.69,-13.027,225.35,-16.085,-15.859,0.94468,3764.3
7.7145,-659.69,-273.44,2.2372,240.5,-13.672,-11.942,0.95834,2834.6
-22.435,-670.54,13.42,-6.506,239.74,0.67099,-12.139,0.95766,2881.3
-21.71,-734.31,-91.584,-6.296,235.27,-4.5792,-13.293,0.95363,3155.2
-2.6597,-943.82,266.82,-0.7713,220.61,13.341,-17.086,0.9404,4055.5
-8.0463,-722.86,89.094,-2.3334,236.08,4.4547,-13.086,0.95435,3106.1
-121.57,-982.66,-311.2,-35.255,217.89,-15.56,-17.789,0.93795,4222.4
