% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-71.022,-957.64,-392.13,-20.596,260.6,-19.607,-15.676,0.95215,4114.9
0.68728,-681.91,-227.58,0.19931,279.9,-11.379,-11.162,0.96593,2930.1
6.0094,-829.2,-368.74,1.7427,269.59,-18.437,-13.573,0.95857,3563
10.585,-629.41,-4.2962,3.0695,283.57,-0.21481,-10.303,0.96855,2704.5
33.805,-1097.8,-333.24,9.8034,250.78,-16.662,-17.97,0.94515,4717.1
49.407,-818.39,-183.21,14.328,270.34,-9.1607,-13.396,0.95911,3516.5
53.458,-1028.5,-114.12,15.503,255.63,-5.7058,-16.836,0.94861,4419.5
2.5208,-1074.4,-222.16,0.73105,252.42,-11.108,-17.588,0.94632,4616.8
40.365,-1058.2,-364.89,11.706,253.56,-18.245,-17.322,0.94713,4547
-47.154,-722.87,308.19,-13.675,277.03,15.41,-11.833,0.96388,3106.1
15.367,-1058.6,-298.88,4.4566,253.53,-14.944,-17.329,0.94711,4548.8
8.1967,-699.47,246.44,2.377,278.67,12.322,-11.45,0.96505,3005.6
-4.3147,-773.08,182.99,-1.2513,273.51,9.1496,-12.655,0.96138,3321.8
52.948,-874.55,-128.09,15.355,266.41,-6.4045,-14.316,0.9563,3757.9
17.943,-992.11,-240.47,5.2034,258.18,-12.024,-16.24,0.95043,4263
62.587,-851.46,245.91,18.15,268.03,12.295,-13.938,0.95746,3658.6
37.03,-789.39,-108.54,10.739,272.37,-5.4272,-12.922,0.96056,3391.9
-171.46,-1399.5,-348.08,-49.723,229.67,-17.404,-22.909,0.93008,6013.5
28.65,-1034,-264.12,8.3084,255.25,-13.206,-16.925,0.94834,4442.9
30.408,-861.93,-432.37,8.8184,267.3,-21.618,-14.109,0.95694,3703.6
134.76,-834.32,1021.2,39.081,269.23,51.058,-13.657,0.95832,3585
181.95,-1515,-96.347,52.765,221.58,-4.8174,-24.799,0.92431,6509.7
15.975,-720.01,-292.8,4.6328,277.23,-14.64,-11.786,0.96403,3093.8
-68.178,-1124.6,-780.35,-19.771,248.9,-39.018,-18.41,0.94381,4832.5
-34.603,-1125.9,-330.6,-10.035,248.82,-16.53,-18.43,0.94375,4837.9
27.31,-909.16,59.486,7.92,263.99,2.9743,-14.882,0.95458,3906.6
-13.402,-988,18.584,-3.8865,258.47,0.92922,-16.173,0.95064,4245.4
-3.7794,-880.41,-672.49,-1.096,266,-33.625,-14.412,0.95601,3783
4.8287,-1599.4,-788.23,1.4003,215.67,-39.411,-26.182,0.92009,6872.6
77.55,-933.19,-80.158,22.49,262.31,-4.0079,-15.276,0.95338,4009.8
