% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-548.18,-1.5706e-14,0,361.09,0,0,-164.46,0.68708,6.6201e+07
-552.63,-3.1412e-14,0,359.76,0,0,-165.79,0.68454,6.6737e+07
-547.2,-1.5706e-14,0,361.39,0,0,-164.16,0.68764,6.6082e+07
-530.64,-1.5706e-14,0,366.35,0,0,-159.19,0.69709,6.4082e+07
-580.52,0,0,351.39,0,0,-174.16,0.66862,7.0106e+07
-585.03,-1.5706e-14,0,350.04,0,0,-175.51,0.66604,7.0651e+07
-640.49,-3.1412e-14,0,333.4,0,0,-192.15,0.63439,7.7348e+07
-502.7,-1.5706e-14,0,374.74,0,0,-150.81,0.71304,6.0708e+07
-637.01,-3.1412e-14,0,334.44,0,0,-191.1,0.63637,7.6928e+07
-609.32,-1.5706e-14,0,342.75,0,0,-182.8,0.65218,7.3584e+07
-550.19,1.5706e-14,0,360.49,1.1869e-14,0,-165.06,0.68593,6.6443e+07
-742.56,-3.1412e-14,0,302.78,0,0,-222.77,0.57612,8.9674e+07
-605.89,-1.5706e-14,0,343.78,0,0,-181.77,0.65413,7.317e+07
-517.64,-1.5706e-14,0,370.25,0,0,-155.29,0.70451,6.2512e+07
-455.5,-1.5706e-14,0,388.9,0,0,-136.65,0.73999,5.5008e+07
-894.61,-1.5706e-14,0,257.16,0,0,-268.38,0.48932,1.0804e+08
-596.71,-1.5706e-14,0,346.53,0,0,-179.01,0.65938,7.206e+07
-426.68,-1.5706e-14,0,397.54,0,0,-128,0.75643,5.1528e+07
-578.47,0,0,352.01,0,0,-173.54,0.66979,6.9858e+07
-716.36,-3.1412e-14,0,310.64,0,0,-214.91,0.59108,8.651e+07
-406.53,-1.5706e-14,0,403.59,0,0,-121.96,0.76794,4.9094e+07
-850.69,0,0,270.34,0,0,-255.21,0.5144,1.0273e+08
-427.87,-3.1412e-14,0,397.18,0,0,-128.36,0.75575,5.1672e+07
-466.71,0,0,385.53,0,0,-140.01,0.73358,5.6362e+07
-746.98,-1.5706e-14,0,301.45,0,0,-224.09,0.5736,9.0208e+07
-636.56,-1.5706e-14,0,334.58,0,0,-190.97,0.63663,7.6873e+07
-506.26,-1.5706e-14,0,373.67,0,0,-151.88,0.71101,6.1137e+07
-445.8,-1.5706e-14,0,391.81,0,0,-133.74,0.74552,5.3836e+07
-437.34,0,0,394.34,0,0,-131.2,0.75035,5.2815e+07
-667.47,-1.5706e-14,0,325.3,0,0,-200.24,0.61899,8.0606e+07
-715.37,-1.5706e-14,0,310.94,0,0,-214.61,0.59164,8.6391e+07
-621.14,0,0,339.2,0,0,-186.34,0.64543,7.5011e+07
-427.5,0,0,397.3,0,0,-128.25,0.75597,5.1626e+07
-519.97,0,0,369.55,0,0,-155.99,0.70318,6.2794e+07
-646.27,0,0,331.66,0,0,-193.88,0.63108,7.8046e+07
-454.88,-1.5706e-14,0,389.08,0,0,-136.46,0.74034,5.4932e+07
-563.05,0,0,356.63,0,0,-168.92,0.67859,6.7996e+07
-729.67,0,0,306.64,0,0,-218.9,0.58348,8.8118e+07
-526.58,0,0,367.57,0,0,-157.97,0.69941,6.3592e+07
-517.79,0,0,370.21,0,0,-155.34,0.70443,6.2531e+07
-646.43,-1.5706e-14,0,331.62,0,0,-193.93,0.631,7.8065e+07
-455.04,1.5706e-14,0,389.03,1.1869e-14,0,-136.51,0.74025,5.4952e+07
-732.39,-1.5706e-14,0,305.83,0,0,-219.72,0.58192,8.8447e+07
-493.35,0,0,377.54,0,0,-148.01,0.71838,5.9579e+07
-1003.8,0,0,224.4,0,0,-301.14,0.42699,1.2122e+08
-558.43,-3.1412e-14,0,358.02,0,0,-167.53,0.68123,6.7438e+07
-831.13,-1.5706e-14,0,276.21,0,0,-249.34,0.52556,1.0037e+08
-660.89,0,0,327.28,0,0,-198.27,0.62274,7.9811e+07
-883.78,-3.1412e-14,0,260.41,0,0,-265.13,0.49551,1.0673e+08
-596.33,-1.5706e-14,0,346.65,0,0,-178.9,0.65959,7.2015e+07
-656.23,-3.1412e-14,0,328.68,0,0,-196.87,0.6254,7.9248e+07
-734.24,0,0,305.27,0,0,-220.27,0.58087,8.8669e+07
-598.53,-3.1412e-14,0,345.99,0,0,-179.56,0.65834,7.2281e+07
-559.99,-3.1412e-14,0,357.55,0,0,-168,0.68034,6.7627e+07
-627.63,0,0,337.26,0,0,-188.29,0.64173,7.5795e+07
-409,-1.5706e-14,0,402.84,0,0,-122.7,0.76653,4.9393e+07
-721.41,-3.1412e-14,0,309.12,0,0,-216.42,0.58819,8.7121e+07
-658.22,0,0,328.08,0,0,-197.47,0.62426,7.9489e+07
-616.06,-3.1412e-14,0,340.73,0,0,-184.82,0.64833,7.4398e+07
-857.31,-1.5706e-14,0,268.35,0,0,-257.19,0.51062,1.0353e+08
-647,0,0,331.45,0,0,-194.1,0.63067,7.8134e+07
-504.38,-1.5706e-14,0,374.23,0,0,-151.31,0.71208,6.091e+07
-496.24,-1.5706e-14,0,376.67,0,0,-148.87,0.71673,5.9928e+07
-630.16,-3.1412e-14,0,336.5,0,0,-189.05,0.64028,7.61e+07
-668.33,-1.5706e-14,0,325.05,0,0,-200.5,0.61849,8.0711e+07
-471.08,0,0,384.22,0,0,-141.32,0.73109,5.6889e+07
-608.64,0,0,342.96,0,0,-182.59,0.65257,7.3501e+07
-669.99,0,0,324.55,0,0,-201,0.61755,8.091e+07
-433.31,-3.1412e-14,0,395.55,0,0,-129.99,0.75265,5.2328e+07
-620.83,-3.1412e-14,0,339.3,0,0,-186.25,0.64561,7.4974e+07
-550.74,-1.5706e-14,0,360.32,0,0,-165.22,0.68562,6.6509e+07
-606.31,0,0,343.65,0,0,-181.89,0.6539,7.322e+07
-504.83,0,0,374.1,0,0,-151.45,0.71182,6.0966e+07
-875.83,-3.1412e-14,0,262.8,0,0,-262.75,0.50004,1.0577e+08
-533.46,0,0,365.51,0,0,-160.04,0.69548,6.4422e+07
-591.36,-3.1412e-14,0,348.14,0,0,-177.41,0.66243,7.1415e+07
-418.99,0,0,399.85,0,0,-125.7,0.76082,5.0599e+07
-524.56,0,0,368.18,0,0,-157.37,0.70056,6.3348e+07
-959.62,-1.5706e-14,0,237.66,0,0,-287.89,0.45222,1.1589e+08
-423.9,-1.5706e-14,0,398.37,0,0,-127.17,0.75802,5.1192e+07
-496.76,-1.5706e-14,0,376.52,0,0,-149.03,0.71643,5.999e+07
-854.26,0,0,269.27,0,0,-256.28,0.51236,1.0316e+08
-611.69,-4.7118e-14,0,342.04,0,0,-183.51,0.65082,7.387e+07
-561.74,0,0,357.02,0,0,-168.52,0.67934,6.7838e+07
-618.17,0,0,340.09,0,0,-185.45,0.64712,7.4653e+07
-570.73,0,0,354.33,0,0,-171.22,0.67421,6.8924e+07
-725.66,-3.1412e-14,0,307.85,0,0,-217.7,0.58577,8.7634e+07
-419.93,-1.5706e-14,0,399.57,0,0,-125.98,0.76029,5.0713e+07
-480.26,-1.5706e-14,0,381.47,0,0,-144.08,0.72585,5.7998e+07
-532.6,0,0,365.77,0,0,-159.78,0.69597,6.4319e+07
-740.23,0,0,303.48,0,0,-222.07,0.57745,8.9393e+07
-557.41,0,0,358.32,0,0,-167.22,0.68181,6.7315e+07
-501.75,1.5706e-14,0,375.02,1.1869e-14,0,-150.53,0.71358,6.0594e+07
-604.86,-1.5706e-14,0,344.09,0,0,-181.46,0.65472,7.3046e+07
-812.28,-3.1412e-14,0,281.86,0,0,-243.68,0.53632,9.8094e+07
-658.71,-1.5706e-14,0,327.93,0,0,-197.61,0.62398,7.9549e+07
-518.04,0,0,370.13,0,0,-155.41,0.70428,6.256e+07
-797.82,-1.5706e-14,0,286.2,0,0,-239.35,0.54457,9.6348e+07
-647.7,0,0,331.24,0,0,-194.31,0.63027,7.8219e+07
-584.74,-1.5706e-14,0,350.12,0,0,-175.42,0.66621,7.0615e+07
-565.11,-1.5706e-14,0,356.01,0,0,-169.53,0.67742,6.8244e+07
-484.67,0,0,380.15,0,0,-145.4,0.72334,5.853e+07
-476.77,-3.1412e-14,0,382.52,0,0,-143.03,0.72784,5.7576e+07
-498.38,0,0,376.03,0,0,-149.51,0.71551,6.0186e+07
-724.79,-1.5706e-14,0,308.11,0,0,-217.44,0.58626,8.7528e+07
-635.47,-1.5706e-14,0,334.9,0,0,-190.64,0.63725,7.6742e+07
-806.64,-3.1412e-14,0,283.55,0,0,-241.99,0.53954,9.7413e+07
-690.05,0,0,318.53,0,0,-207.01,0.6061,8.3333e+07
-467.19,-3.1412e-14,0,385.39,0,0,-140.16,0.73331,5.642e+07
-667.18,0,0,325.39,0,0,-200.15,0.61915,8.0571e+07
-646.35,-1.5706e-14,0,331.64,0,0,-193.91,0.63104,7.8056e+07
-754.23,-1.5706e-14,0,299.28,0,0,-226.27,0.56946,9.1083e+07
-678.5,-1.5706e-14,0,322,0,0,-203.55,0.61269,8.1938e+07
-459.32,0,0,387.75,0,0,-137.8,0.7378,5.5469e+07
-627.14,-1.5706e-14,0,337.4,0,0,-188.14,0.64201,7.5735e+07
-495.79,-1.5706e-14,0,376.81,0,0,-148.74,0.71699,5.9874e+07
-490.19,-3.1412e-14,0,378.49,0,0,-147.06,0.72018,5.9197e+07
-756.37,-1.5706e-14,0,298.63,0,0,-226.91,0.56823,9.1343e+07
-746.26,-3.1412e-14,0,301.67,0,0,-223.88,0.57401,9.0121e+07
-727.37,0,0,307.33,0,0,-218.21,0.58479,8.784e+07
-674.71,0,0,323.13,0,0,-202.41,0.61485,8.1481e+07
-503.86,-1.5706e-14,0,374.39,0,0,-151.16,0.71238,6.0848e+07
-463.28,0,0,386.56,0,0,-138.98,0.73555,5.5947e+07
-417.02,-1.5706e-14,0,400.44,0,0,-125.11,0.76195,5.0361e+07
-611.25,0,0,342.17,0,0,-183.37,0.65108,7.3817e+07
-755.03,-3.1412e-14,0,299.04,0,0,-226.51,0.569,9.1181e+07
-549.52,0,0,360.69,0,0,-164.86,0.68631,6.6362e+07
-692.31,-1.5706e-14,0,317.85,0,0,-207.69,0.60481,8.3606e+07
-574.59,-1.5706e-14,0,353.17,0,0,-172.38,0.67201,6.9389e+07
-902.17,0,0,254.89,0,0,-270.65,0.48501,1.0895e+08
-545.36,-1.5706e-14,0,361.94,0,0,-163.61,0.68869,6.586e+07
-421.01,-3.1412e-14,0,399.24,0,0,-126.3,0.75967,5.0843e+07
-530.71,-1.5706e-14,0,366.33,0,0,-159.21,0.69705,6.4091e+07
-674.01,1.5706e-14,0,323.34,1.1869e-14,0,-202.2,0.61525,8.1396e+07
-532.48,0,0,365.8,0,0,-159.74,0.69604,6.4304e+07
-627.91,-1.5706e-14,0,337.17,0,0,-188.37,0.64157,7.5829e+07
-854.06,0,0,269.33,0,0,-256.22,0.51247,1.0314e+08
-434.85,0,0,395.09,0,0,-130.45,0.75177,5.2514e+07
-437.85,-3.1412e-14,0,394.19,0,0,-131.36,0.75006,5.2877e+07
-550.93,-3.1412e-14,0,360.27,0,0,-165.28,0.68551,6.6532e+07
