% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-39.836,-537.14,-219.95,-11.552,146.17,-10.997,-13.25,0.9279,2308
0.3855,-382.48,-127.65,0.11179,156.99,-6.3825,-9.4351,0.94866,1643.5
3.3707,-465.1,-206.83,0.97749,151.21,-10.341,-11.473,0.93757,1998.5
5.9368,-353.04,-2.4097,1.7217,159.05,-0.12049,-8.7088,0.95261,1517
18.961,-615.75,-186.91,5.4987,140.66,-9.3457,-15.19,0.91734,2645.8
27.713,-459.03,-102.76,8.0366,151.63,-5.1382,-11.323,0.93838,1972.4
29.985,-576.9,-64.008,8.6956,143.38,-3.2004,-14.231,0.92256,2478.9
1.4139,-602.65,-124.61,0.41004,141.58,-6.2303,-14.866,0.9191,2589.5
22.641,-593.55,-204.67,6.5658,142.22,-10.233,-14.642,0.92032,2550.4
-26.448,-405.46,172.87,-7.67,155.38,8.6433,-10.002,0.94557,1742.2
8.6196,-593.78,-167.64,2.4997,142.2,-8.3822,-14.647,0.92029,2551.4
4.5975,-392.33,138.23,1.3333,156.3,6.9113,-9.6781,0.94733,1685.8
-2.4201,-433.62,102.64,-0.70184,153.41,5.132,-10.697,0.94179,1863.2
29.699,-490.54,-71.845,8.6126,149.43,-3.5922,-12.101,0.93415,2107.8
10.064,-556.47,-134.88,2.9186,144.81,-6.744,-13.727,0.9253,2391.1
35.105,-477.58,137.93,10.18,150.34,6.8964,-11.781,0.93589,2052.1
20.77,-442.77,-60.883,6.0233,152.77,-3.0441,-10.922,0.94056,1902.5
-96.17,-784.98,-195.24,-27.889,128.82,-9.7618,-19.364,0.89463,3373
16.07,-579.95,-148.14,4.6602,143.17,-7.4072,-14.306,0.92215,2492
17.056,-483.45,-242.51,4.9462,149.93,-12.126,-11.926,0.9351,2077.3
75.587,-467.97,572.76,21.92,151.01,28.638,-11.544,0.93718,2010.8
102.06,-849.74,-54.041,29.596,124.28,-2.702,-20.962,0.88593,3651.3
8.9604,-403.85,-164.23,2.5985,155.5,-8.2115,-9.9623,0.94579,1735.3
-38.241,-630.81,-437.7,-11.09,139.61,-21.885,-15.561,0.91532,2710.5
-19.408,-631.51,-185.43,-5.6285,139.56,-9.2717,-15.578,0.91523,2713.5
15.318,-509.95,33.366,4.4423,148.07,1.6683,-12.579,0.93155,2191.2
-7.5169,-554.17,10.424,-2.1799,144.98,0.5212,-13.67,0.92561,2381.2
-2.1198,-493.82,-377.2,-0.61475,149.2,-18.86,-12.182,0.93371,2121.9
2.7084,-897.12,-442.11,0.78544,120.97,-22.106,-22.13,0.87957,3854.8
43.498,-523.42,-44.961,12.614,147.13,-2.248,-12.912,0.92974,2249.1
-1.2744,-563.54,-198.1,-0.36957,144.32,-9.9052,-13.901,0.92435,2421.5
