% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-82.403,-1111.1,-454.98,-23.897,302.36,-22.749,-16.199,0.95739,4774.3
0.79743,-791.19,-264.06,0.23125,324.75,-13.203,-11.535,0.96966,3399.7
6.9725,-962.09,-427.83,2.022,312.79,-21.392,-14.026,0.9631,4134
12.281,-730.28,-4.9847,3.5614,329.02,-0.24923,-10.647,0.97199,3137.9
39.222,-1273.7,-386.64,11.374,290.97,-19.332,-18.57,0.95115,5473.1
57.325,-949.54,-212.58,16.624,313.67,-10.629,-13.844,0.96358,4080.1
62.025,-1193.4,-132.4,17.987,296.6,-6.6202,-17.398,0.95423,5127.7
2.9248,-1246.6,-257.76,0.8482,292.87,-12.888,-18.175,0.95219,5356.6
46.834,-1227.8,-423.37,13.582,294.19,-21.168,-17.9,0.95291,5275.7
-54.71,-838.72,357.58,-15.866,321.42,17.879,-12.228,0.96783,3603.9
17.83,-1228.3,-346.78,5.1707,294.16,-17.339,-17.907,0.95289,5277.8
9.5102,-811.57,285.93,2.758,323.33,14.296,-11.832,0.96887,3487.2
-5.0062,-896.97,212.32,-1.4518,317.35,10.616,-13.077,0.9656,3854.2
61.434,-1014.7,-148.62,17.816,309.11,-7.4308,-14.794,0.96108,4360.1
20.818,-1151.1,-279.01,6.0373,299.56,-13.95,-16.782,0.95585,4946.1
72.617,-987.91,285.32,21.059,310.98,14.266,-14.403,0.96211,4244.9
42.964,-915.9,-125.94,12.46,316.02,-6.297,-13.353,0.96487,3935.5
-198.94,-1623.8,-403.86,-57.691,266.47,-20.193,-23.673,0.93772,6977.2
33.241,-1199.7,-306.45,9.6399,296.16,-15.322,-17.49,0.95399,5154.9
35.281,-1000.1,-501.66,10.232,310.13,-25.083,-14.58,0.96165,4297.1
156.36,-968.03,1184.8,45.344,312.37,59.24,-14.113,0.96287,4159.5
211.11,-1757.8,-111.79,61.221,257.09,-5.5894,-25.627,0.93259,7552.9
18.535,-835.4,-339.72,5.3752,321.66,-16.986,-12.179,0.96796,3589.6
-79.103,-1304.9,-905.41,-22.94,288.79,-45.27,-19.024,0.94995,5606.9
-40.148,-1306.3,-383.58,-11.643,288.69,-19.179,-19.045,0.9499,5613.1
31.687,-1054.9,69.019,9.1893,306.29,3.4509,-15.379,0.95954,4532.6
-15.549,-1146.3,21.563,-4.5093,299.89,1.0781,-16.713,0.95603,4925.7
-4.385,-1021.5,-780.26,-1.2717,308.63,-39.013,-14.893,0.96082,4389.3
5.6025,-1855.8,-914.55,1.6247,250.23,-45.727,-27.055,0.92883,7974
89.978,-1082.7,-93.004,26.094,304.34,-4.6502,-15.786,0.95847,4652.4
-2.6362,-1165.7,-409.79,-0.76449,298.53,-20.49,-16.995,0.95529,5009
11.639,-1349.6,-163.86,3.3753,285.67,-8.1929,-19.676,0.94824,5798.9
-17.822,-846.49,-273.72,-5.1683,320.88,-13.686,-12.341,0.96753,3637.3
168.37,-1334.3,114.07,48.829,286.73,5.7037,-19.453,0.94883,5733.4
-52.406,-880.32,-1029.1,-15.198,318.51,-51.457,-12.834,0.96624,3782.6
261.8,-1579.7,-1056.3,75.923,269.55,-52.814,-23.031,0.93941,6788
67.908,-1067.2,-30.775,19.693,305.43,-1.5388,-15.559,0.95907,4585.8
125.82,-1653.1,275.85,36.489,264.42,13.793,-24.101,0.9366,7103.1
-38.019,-959.89,-234.46,-11.025,312.94,-11.723,-13.995,0.96319,4124.6
-116.2,-1070.4,-88.598,-33.697,305.21,-4.4299,-15.606,0.95895,4599.4
20.404,-1472.8,-964.28,5.9173,277.04,-48.214,-21.472,0.94351,6328.5
-49.686,-1185.6,-290.18,-14.409,297.14,-14.509,-17.285,0.95453,5094.3
-38.03,-1386.1,-32.885,-11.029,283.11,-1.6443,-20.208,0.94684,5956
-40.751,-973.78,-40.543,-11.818,311.97,-2.0272,-14.197,0.96265,4184.2
74.319,-847.63,-70.678,21.552,320.8,-3.5339,-12.358,0.96749,3642.2
87.868,-921.06,776.4,25.482,315.66,38.82,-13.428,0.96467,3957.7
-50.337,-1042.9,22.865,-14.598,307.13,1.1432,-15.205,0.96,4481.3
96.711,-1047.5,-428.33,28.046,306.81,-21.417,-15.271,0.95983,4500.9
32.524,-1132.2,-599.19,9.432,300.88,-29.96,-16.507,0.95658,4865
-376.91,-1617.8,-537.18,-109.3,266.89,-26.859,-23.587,0.93795,6951.7
-93.252,-1148.3,-454.82,-27.043,299.75,-22.741,-16.742,0.95596,4934.2
-17.846,-1161.7,-635.07,-5.1752,298.82,-31.753,-16.936,0.95545,4991.5
-59.566,-1161.6,-426.57,-17.274,298.82,-21.328,-16.936,0.95545,4991.5
10.23,-874.76,-362.58,2.9666,318.9,-18.129,-12.753,0.96645,3758.7
-29.748,-889.15,17.795,-8.627,317.89,0.88974,-12.963,0.9659,3820.6
-28.788,-973.7,-121.44,-8.3486,311.98,-6.0721,-14.196,0.96266,4183.9
-3.5267,-1251.5,353.81,-1.0228,292.53,17.69,-18.246,0.952,5377.6
-10.67,-958.52,118.14,-3.0942,313.04,5.9069,-13.975,0.96324,4118.7
-161.2,-1303,-412.65,-46.749,288.92,-20.633,-18.997,0.95003,5598.9
-44.576,-890.72,55.875,-12.927,317.78,2.7937,-12.986,0.96584,3827.3
190.56,-912.62,412.31,55.263,316.25,20.615,-13.305,0.965,3921.4
-26.692,-949.13,-298.01,-7.7406,313.7,-14.9,-13.838,0.9636,4078.3
-158.79,-1892,-831.85,-46.05,247.7,-41.592,-27.583,0.92744,8129.6
129.65,-1476.7,19.455,37.598,276.77,0.97275,-21.529,0.94336,6345.3
0.25008,-850.56,-235.46,0.072523,320.6,-11.773,-12.401,0.96738,3654.8
128.5,-1086.6,-44.493,37.266,304.08,-2.2247,-15.841,0.95833,4668.9
54.483,-1172.5,-824.48,15.8,298.06,-41.224,-17.095,0.95503,5038.3
22.519,-1815,-602.67,6.5304,253.08,-30.133,-26.462,0.93039,7798.9
-128.19,-1258.6,-476.83,-37.174,292.03,-23.842,-18.35,0.95173,5408.2
2.0223,-1222.9,240.5,0.58647,294.53,12.025,-17.829,0.9531,5254.6
-96.746,-1078.3,-300.94,-28.056,304.66,-15.047,-15.721,0.95864,4633.3
0.67786,-996.88,79.51,0.19658,310.35,3.9755,-14.534,0.96177,4283.5
-116.07,-822.79,-267.33,-33.661,322.54,-13.367,-11.996,0.96844,3535.4
16.709,-1025.3,-209.1,4.8457,308.36,-10.455,-14.948,0.96068,4405.6
-87.317,-1721.6,-298.09,-25.322,259.62,-14.905,-25.1,0.93397,7397.5
15.844,-955.19,-51.571,4.5947,313.27,-2.5785,-13.926,0.96337,4104.4
-22.878,-832.35,-90.205,-6.6346,321.87,-4.5103,-12.135,0.96808,3576.5
189.08,-1339.7,14.745,54.833,286.36,0.73726,-19.531,0.94862,5756.4
-99.053,-1033.2,-836.39,-28.725,307.81,-41.82,-15.064,0.96037,4439.7
-45.874,-1034.2,-126.85,-13.303,307.74,-6.3426,-15.078,0.96034,4443.9
28.972,-901.89,-201.45,8.4018,317,-10.073,-13.149,0.96541,3875.3
-0.76736,-845.6,-5.4856,-0.22253,320.94,-0.27428,-12.328,0.96757,3633.4
-49.229,-1554.6,-735.32,-14.276,271.32,-36.766,-22.664,0.94038,6679.8
95.063,-801.3,141.94,27.568,324.04,7.0968,-11.682,0.96927,3443.1
251.73,-1385.9,-340.96,73.002,283.12,-17.048,-20.205,0.94685,5954.9
77.287,-1705.6,-408.26,22.413,260.75,-20.413,-24.866,0.93459,7328.6
-87.888,-872.29,-186.36,-25.488,319.07,-9.3179,-12.717,0.96655,3748.1
-34.232,-1220.5,336.36,-9.9272,294.7,16.818,-17.794,0.95319,5244.5
-18.647,-887.64,-139.63,-5.4076,318,-6.9815,-12.941,0.96596,3814.1
-41.321,-1261.2,-166.32,-11.983,291.85,-8.3158,-18.387,0.95163,5419.1
-250.17,-1249.9,-787.14,-72.55,292.64,-39.357,-18.223,0.95206,5370.8
