% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-70.853,-955.37,-391.2,-20.547,259.98,-19.56,-15.667,0.95207,4105.1
0.68565,-680.29,-227.04,0.19884,279.23,-11.352,-11.156,0.96587,2923.1
5.9952,-827.23,-367.87,1.7386,268.95,-18.393,-13.566,0.9585,3554.5
10.559,-627.92,-4.286,3.0622,282.9,-0.2143,-10.297,0.9685,2698.1
33.724,-1095.2,-332.45,9.7801,250.19,-16.622,-17.96,0.94505,4705.9
49.29,-816.45,-182.78,14.294,269.7,-9.139,-13.389,0.95904,3508.2
53.331,-1026.1,-113.85,15.466,255.03,-5.6923,-16.827,0.94852,4409
2.5149,-1071.9,-221.63,0.72931,251.82,-11.081,-17.578,0.94622,4605.8
40.269,-1055.7,-364.03,11.678,252.95,-18.201,-17.313,0.94703,4536.2
-47.042,-721.16,307.46,-13.642,276.37,15.373,-11.826,0.96382,3098.7
15.331,-1056.1,-298.17,4.446,252.92,-14.909,-17.319,0.94701,4538
8.1772,-697.81,245.85,2.3714,278.01,12.293,-11.444,0.96499,2998.4
-4.3045,-771.24,182.56,-1.2483,272.87,9.1279,-12.648,0.9613,3313.9
52.823,-872.48,-127.79,15.319,265.78,-6.3893,-14.308,0.95623,3748.9
17.9,-989.75,-239.9,5.1911,257.57,-11.995,-16.231,0.95034,4252.9
62.439,-849.44,245.32,18.107,267.39,12.266,-13.93,0.95738,3649.9
36.942,-787.52,-108.29,10.713,271.73,-5.4144,-12.915,0.96049,3383.9
-171.05,-1396.2,-347.25,-49.605,229.12,-17.363,-22.896,0.92995,5999.2
28.582,-1031.5,-263.49,8.2887,254.65,-13.175,-16.916,0.94825,4432.3
30.336,-859.88,-431.34,8.7975,266.66,-21.567,-14.101,0.95686,3694.8
134.44,-832.34,1018.7,38.988,268.59,50.937,-13.65,0.95824,3576.5
181.52,-1511.4,-96.119,52.64,221.06,-4.8059,-24.785,0.92417,6494.2
15.937,-718.3,-292.1,4.6218,276.57,-14.605,-11.779,0.96396,3086.5
-68.016,-1122,-778.5,-19.725,248.31,-38.925,-18.399,0.94371,4821
-34.52,-1123.2,-329.82,-10.011,248.23,-16.491,-18.42,0.94364,4826.4
27.246,-907,59.345,7.9012,263.36,2.9672,-14.874,0.95449,3897.3
-13.37,-985.66,18.54,-3.8772,257.86,0.92701,-16.164,0.95055,4235.3
-3.7704,-878.32,-670.9,-1.0934,265.37,-33.545,-14.404,0.95593,3774.1
4.8172,-1595.6,-786.36,1.397,215.16,-39.318,-26.167,0.91994,6856.3
77.366,-930.98,-79.968,22.436,261.68,-3.9984,-15.267,0.95329,4000.3
-2.2667,-1002.3,-352.35,-0.65733,256.69,-17.618,-16.437,0.94971,4306.9
10.008,-1160.4,-140.89,2.9022,245.62,-7.0446,-19.029,0.94178,4986.1
-15.324,-727.84,-235.35,-4.4439,275.9,-11.768,-11.936,0.96348,3127.4
144.77,-1147.3,98.085,41.984,246.54,4.9043,-18.814,0.94244,4929.8
-45.061,-756.93,-884.9,-13.068,273.87,-44.245,-12.413,0.96202,3252.4
225.11,-1358.3,-908.23,65.281,231.77,-45.412,-22.275,0.93185,5836.5
