% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-79.094,-1066.5,-436.71,-22.937,290.22,-21.835,-16.059,0.95599,4582.6
0.76541,-759.42,-253.45,0.22197,311.71,-12.673,-11.435,0.96866,3263.2
6.6925,-923.45,-410.65,1.9408,300.23,-20.533,-13.905,0.96189,3968
11.788,-700.96,-4.7845,3.4184,315.8,-0.23923,-10.555,0.97107,3011.9
37.647,-1222.6,-371.12,10.918,279.29,-18.556,-18.41,0.94954,5253.3
55.023,-911.41,-204.04,15.957,301.07,-10.202,-13.724,0.96239,3916.3
59.535,-1145.4,-127.09,17.265,284.69,-6.3544,-17.248,0.95273,4921.8
2.8074,-1196.6,-247.41,0.81414,281.11,-12.37,-18.018,0.95062,5141.5
44.953,-1178.5,-406.37,13.036,282.38,-20.318,-17.746,0.95136,5063.9
-52.513,-805.04,343.23,-15.229,308.52,17.161,-12.122,0.96678,3459.2
17.114,-1179,-332.86,4.9631,282.34,-16.643,-17.753,0.95135,5065.9
9.1283,-778.98,274.45,2.6472,310.34,13.722,-11.73,0.96785,3347.2
-4.8052,-860.95,203.79,-1.3935,304.6,10.19,-12.964,0.96447,3699.4
58.967,-973.96,-142.65,17.1,296.69,-7.1324,-14.666,0.95981,4185
19.982,-1104.9,-267.81,5.7949,287.53,-13.39,-16.637,0.9544,4747.5
69.701,-948.24,273.86,20.213,298.49,13.693,-14.279,0.96087,4074.5
41.239,-879.12,-120.88,11.959,303.33,-6.0441,-13.238,0.96372,3777.5
-190.95,-1558.6,-387.64,-55.375,255.77,-19.382,-23.469,0.93568,6697
31.906,-1151.5,-294.14,9.2528,284.27,-14.707,-17.339,0.95248,4947.9
33.865,-959.9,-481.51,9.8208,297.68,-24.076,-14.454,0.96039,4124.6
150.08,-929.16,1137.2,43.523,299.83,56.861,-13.991,0.96165,3992.5
202.63,-1687.2,-107.3,58.763,246.77,-5.3649,-25.405,0.93037,7249.6
17.791,-801.85,-326.08,5.1594,308.74,-16.304,-12.074,0.96691,3445.5
-75.927,-1252.5,-869.05,-22.019,277.2,-43.453,-18.86,0.94831,5381.8
-38.536,-1253.9,-368.18,-11.175,277.1,-18.409,-18.881,0.94825,5387.8
30.415,-1012.5,66.247,8.8203,294,3.3124,-15.246,0.95821,4350.6
-14.925,-1100.3,20.697,-4.3282,287.85,1.0348,-16.568,0.95459,4727.9
-4.209,-980.49,-748.93,-1.2206,296.24,-37.447,-14.764,0.95954,4213
5.3776,-1781.2,-877.82,1.5595,240.18,-43.891,-26.822,0.92649,7653.8
86.365,-1039.3,-89.27,25.046,292.12,-4.4635,-15.649,0.95711,4465.6
-2.5303,-1118.9,-393.34,-0.73379,286.55,-19.667,-16.848,0.95382,4807.8
11.172,-1295.4,-157.28,3.2398,274.2,-7.864,-19.506,0.94654,5566.1
-17.106,-812.5,-262.73,-4.9608,308,-13.136,-12.235,0.96647,3491.2
161.61,-1280.7,109.49,46.868,275.22,5.4747,-19.285,0.94715,5503.2
-50.302,-844.97,-987.82,-14.588,305.72,-49.391,-12.724,0.96513,3630.7
251.29,-1516.3,-1013.9,72.875,258.73,-50.694,-22.832,0.93742,6515.4
65.182,-1024.4,-29.539,18.903,293.16,-1.477,-15.425,0.95772,4401.6
120.77,-1586.7,264.78,35.024,253.8,13.239,-23.893,0.93452,6817.9
-36.492,-921.35,-225.04,-10.583,300.38,-11.252,-13.874,0.96198,3958.9
-111.53,-1027.4,-85.04,-32.344,292.95,-4.252,-15.471,0.9576,4414.7
19.585,-1413.7,-925.56,5.6797,265.91,-46.278,-21.287,0.94166,6074.4
-47.691,-1138,-278.52,-13.83,285.21,-13.926,-17.136,0.95304,4889.8
-36.503,-1330.5,-31.565,-10.586,271.74,-1.5782,-20.034,0.94509,5716.8
-39.115,-934.68,-38.915,-11.343,299.44,-1.9458,-14.074,0.96143,4016.2
71.335,-813.59,-67.84,20.687,307.92,-3.392,-12.251,0.96642,3495.9
84.34,-884.07,745.22,24.458,302.99,37.261,-13.312,0.96351,3798.8
-48.315,-1001,21.947,-14.011,294.8,1.0973,-15.074,0.95869,4301.4
92.828,-1005.4,-411.13,26.92,294.49,-20.557,-15.14,0.95851,4320.2
31.218,-1086.7,-575.13,9.0533,288.8,-28.757,-16.364,0.95515,4669.6
-361.77,-1552.9,-515.61,-104.91,256.17,-25.781,-23.383,0.93591,6672.6
-89.507,-1102.2,-436.56,-25.957,287.72,-21.828,-16.597,0.95451,4736.1
-17.129,-1115,-609.57,-4.9674,286.82,-30.478,-16.79,0.95398,4791.1
-57.174,-1115,-409.44,-16.581,286.82,-20.472,-16.79,0.95398,4791.1
9.8187,-839.63,-348.02,2.8474,306.1,-17.401,-12.643,0.96535,3607.8
-28.554,-853.44,17.08,-8.2806,305.13,0.85401,-12.851,0.96478,3667.2
