% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-4.8254,-1.5706e-14,0,3.1785,0,0,-1.4476,0.68708,5.8273e+05
-4.8645,-3.1412e-14,0,3.1668,0,0,-1.4593,0.68454,5.8745e+05
-4.8167,-1.5706e-14,0,3.1811,0,0,-1.445,0.68764,5.8169e+05
-4.671,-1.5706e-14,0,3.2248,0,0,-1.4013,0.69709,5.6408e+05
-5.11,0,0,3.0931,0,0,-1.533,0.66862,6.1711e+05
-5.1498,-1.5706e-14,0,3.0812,0,0,-1.5449,0.66604,6.219e+05
-5.6379,-3.1412e-14,0,2.9347,0,0,-1.6914,0.63439,6.8085e+05
-4.425,-1.5706e-14,0,3.2986,0,0,-1.3275,0.71304,5.3438e+05
-5.6073,-3.1412e-14,0,2.9439,0,0,-1.6822,0.63637,6.7716e+05
-5.3635,-1.5706e-14,0,3.017,0,0,-1.6091,0.65218,6.4772e+05
-4.843,1.5706e-14,0,3.1732,1.1869e-14,0,-1.4529,0.68593,5.8486e+05
-6.5364,-3.1412e-14,0,2.6652,0,0,-1.9609,0.57612,7.8936e+05
-5.3334,-1.5706e-14,0,3.0261,0,0,-1.6,0.65413,6.4408e+05
-4.5565,-1.5706e-14,0,3.2592,0,0,-1.367,0.70451,5.5026e+05
-4.0095,-1.5706e-14,0,3.4233,0,0,-1.2029,0.73999,4.842e+05
-7.8748,-1.5706e-14,0,2.2637,0,0,-2.3624,0.48932,9.5099e+05
-5.2525,-1.5706e-14,0,3.0504,0,0,-1.5757,0.65938,6.3431e+05
-3.7559,-1.5706e-14,0,3.4993,0,0,-1.1268,0.75643,4.5357e+05
-5.0919,0,0,3.0985,0,0,-1.5276,0.66979,6.1492e+05
-6.3057,-3.1412e-14,0,2.7344,0,0,-1.8917,0.59108,7.615e+05
-3.5784,-1.5706e-14,0,3.5526,0,0,-1.0735,0.76794,4.3215e+05
-7.4882,0,0,2.3796,0,0,-2.2465,0.5144,9.043e+05
-3.7663,-3.1412e-14,0,3.4962,0,0,-1.1299,0.75575,4.5484e+05
-4.1082,0,0,3.3936,0,0,-1.2325,0.73358,4.9612e+05
-6.5753,-1.5706e-14,0,2.6535,0,0,-1.9726,0.5736,7.9405e+05
-5.6033,-1.5706e-14,0,2.9451,0,0,-1.681,0.63663,6.7667e+05
-4.4563,-1.5706e-14,0,3.2892,0,0,-1.3369,0.71101,5.3816e+05
-3.9241,-1.5706e-14,0,3.4489,0,0,-1.1772,0.74552,4.7389e+05
-3.8497,0,0,3.4712,0,0,-1.1549,0.75035,4.649e+05
-5.8754,-1.5706e-14,0,2.8635,0,0,-1.7626,0.61899,7.0953e+05
-6.297,-1.5706e-14,0,2.737,0,0,-1.8891,0.59164,7.6045e+05
-5.4675,0,0,2.9858,0,0,-1.6403,0.64543,6.6028e+05
-3.7631,0,0,3.4972,0,0,-1.1289,0.75597,4.5444e+05
-4.5771,0,0,3.253,0,0,-1.3731,0.70318,5.5274e+05
-5.6888,0,0,2.9195,0,0,-1.7066,0.63108,6.87e+05
-4.004,-1.5706e-14,0,3.4249,0,0,-1.2012,0.74034,4.8354e+05
-4.9562,0,0,3.1392,0,0,-1.4869,0.67859,5.9853e+05
-6.4229,0,0,2.6992,0,0,-1.9269,0.58348,7.7566e+05
-4.6352,0,0,3.2355,0,0,-1.3906,0.69941,5.5977e+05
-4.5579,0,0,3.2587,0,0,-1.3674,0.70443,5.5042e+05
-5.6902,-1.5706e-14,0,2.9191,0,0,-1.7071,0.631,6.8717e+05
-4.0055,1.5706e-14,0,3.4245,1.1869e-14,0,-1.2016,0.74025,4.8372e+05
-6.4469,-1.5706e-14,0,2.692,0,0,-1.9341,0.58192,7.7855e+05
-4.3427,0,0,3.3233,0,0,-1.3028,0.71838,5.2445e+05
-8.836,0,0,1.9753,0,0,-2.6508,0.42699,1.0671e+06
-4.9156,-3.1412e-14,0,3.1514,0,0,-1.4747,0.68123,5.9362e+05
-7.316,-1.5706e-14,0,2.4313,0,0,-2.1948,0.52556,8.8351e+05
-5.8174,0,0,2.8809,0,0,-1.7452,0.62274,7.0254e+05
-7.7795,-3.1412e-14,0,2.2923,0,0,-2.3338,0.49551,9.3948e+05
-5.2492,-1.5706e-14,0,3.0514,0,0,-1.5747,0.65959,6.3391e+05
-5.7764,-3.1412e-14,0,2.8932,0,0,-1.7329,0.6254,6.9758e+05
-6.4631,0,0,2.6872,0,0,-1.9389,0.58087,7.8051e+05
-5.2685,-3.1412e-14,0,3.0455,0,0,-1.5806,0.65834,6.3625e+05
-4.9293,-3.1412e-14,0,3.1473,0,0,-1.4788,0.68034,5.9528e+05
-5.5247,0,0,2.9687,0,0,-1.6574,0.64173,6.6718e+05
-3.6002,-1.5706e-14,0,3.546,0,0,-1.0801,0.76653,4.3478e+05
-6.3502,-3.1412e-14,0,2.721,0,0,-1.9051,0.58819,7.6688e+05
-5.794,0,0,2.8879,0,0,-1.7382,0.62426,6.997e+05
-5.4229,-3.1412e-14,0,2.9992,0,0,-1.6269,0.64833,6.5488e+05
-7.5464,-1.5706e-14,0,2.3622,0,0,-2.2639,0.51062,9.1134e+05
-5.6952,0,0,2.9175,0,0,-1.7086,0.63067,6.8777e+05
-4.4398,-1.5706e-14,0,3.2942,0,0,-1.3319,0.71208,5.3616e+05
-4.3681,-1.5706e-14,0,3.3157,0,0,-1.3104,0.71673,5.2751e+05
-5.5469,-3.1412e-14,0,2.962,0,0,-1.6641,0.64028,6.6987e+05
-5.883,-1.5706e-14,0,2.8612,0,0,-1.7649,0.61849,7.1045e+05
-4.1466,0,0,3.3821,0,0,-1.244,0.73109,5.0076e+05
-5.3575,0,0,3.0189,0,0,-1.6072,0.65257,6.4699e+05
-5.8976,0,0,2.8568,0,0,-1.7693,0.61755,7.1221e+05
-3.8142,-3.1412e-14,0,3.4819,0,0,-1.1443,0.75265,4.6061e+05
