% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.39954,-5.3873,-2.206,-0.11587,1.466,-0.1103,-0.37029,0.7991,23.149
0.0038664,-3.8362,-1.2803,0.0011213,1.5746,-0.064015,-0.26367,0.85694,16.484
0.033807,-4.6648,-2.0744,0.0098039,1.5166,-0.10372,-0.32062,0.82604,20.044
0.059544,-3.5408,-0.024169,0.017268,1.5953,-0.0012084,-0.24337,0.86796,15.215
0.19017,-6.1758,-1.8747,0.05515,1.4108,-0.093734,-0.42448,0.76969,26.537
0.27795,-4.6039,-1.0307,0.080605,1.5208,-0.051535,-0.31644,0.82831,19.783
0.30074,-5.7861,-0.64198,0.087213,1.4381,-0.032099,-0.39769,0.78423,24.862
0.014181,-6.0444,-1.2498,0.0041126,1.42,-0.062488,-0.41545,0.77459,25.972
0.22708,-5.9531,-2.0527,0.065853,1.4264,-0.10264,-0.40918,0.778,25.58
-0.26527,-4.0666,1.7338,-0.076927,1.5585,0.086689,-0.27951,0.84835,17.474
0.086451,-5.9554,-1.6814,0.025071,1.4262,-0.08407,-0.40933,0.77791,25.59
0.046111,-3.935,1.3864,0.013372,1.5677,0.069318,-0.27046,0.85326,16.908
-0.024273,-4.349,1.0294,-0.0070392,1.5387,0.051472,-0.29892,0.83782,18.687
0.29787,-4.9199,-0.72058,0.086381,1.4987,-0.036029,-0.33816,0.81653,21.14
0.10094,-5.5812,-1.3528,0.029272,1.4524,-0.06764,-0.38361,0.79187,23.982
0.35209,-4.79,1.3834,0.10211,1.5078,0.069169,-0.32923,0.82137,20.582
0.20831,-4.4408,-0.61063,0.060411,1.5323,-0.030532,-0.30523,0.83439,19.082
-0.96455,-7.873,-1.9581,-0.27972,1.292,-0.097907,-0.54114,0.7064,33.83
0.16117,-5.8167,-1.4858,0.04674,1.4359,-0.074291,-0.3998,0.78308,24.994
0.17106,-4.8489,-2.4323,0.049609,1.5037,-0.12162,-0.33328,0.81918,20.835
0.75811,-4.6936,5.7446,0.21985,1.5146,0.28723,-0.3226,0.82497,20.168
1.0236,-8.5226,-0.54201,0.29684,1.2465,-0.027101,-0.58579,0.68218,36.621
0.08987,-4.0505,-1.6472,0.026062,1.5596,-0.082359,-0.2784,0.84895,17.405
-0.38354,-6.3268,-4.3899,-0.11123,1.4002,-0.2195,-0.43486,0.76406,27.186
-0.19466,-6.3338,-1.8598,-0.056451,1.3997,-0.092992,-0.43534,0.7638,27.216
0.15364,-5.1146,0.33464,0.044555,1.4851,0.016732,-0.35154,0.80927,21.977
-0.075392,-5.5581,0.10455,-0.021864,1.454,0.0052274,-0.38203,0.79273,23.883
-0.021261,-4.9529,-3.7832,-0.0061658,1.4964,-0.18916,-0.34043,0.8153,21.282
0.027164,-8.9978,-4.4343,0.0078777,1.2133,-0.22171,-0.61844,0.66446,38.662
0.43627,-5.2498,-0.45094,0.12652,1.4756,-0.022547,-0.36083,0.80423,22.558
-0.012782,-5.6521,-1.9869,-0.0037067,1.4475,-0.099345,-0.38849,0.78922,24.286
0.056433,-6.5434,-0.79448,0.016366,1.3851,-0.039724,-0.44975,0.75598,28.117
-0.086411,-4.1043,-1.3271,-0.025059,1.5558,-0.066357,-0.2821,0.84694,17.636
0.81638,-6.4695,0.5531,0.23675,1.3903,0.027655,-0.44467,0.75874,27.799
-0.2541,-4.2683,-4.9899,-0.073688,1.5443,-0.2495,-0.29337,0.84083,18.34
1.2694,-7.6595,-5.1215,0.36812,1.307,-0.25608,-0.52646,0.71436,32.912
0.32926,-5.1745,-0.14922,0.095485,1.4809,-0.0074608,-0.35566,0.80703,22.234
0.61007,-8.0151,1.3375,0.17692,1.2821,0.066875,-0.5509,0.7011,34.44
-0.18434,-4.6541,-1.1368,-0.053458,1.5173,-0.056839,-0.31989,0.82644,19.998
-0.56339,-5.1899,-0.42957,-0.16338,1.4798,-0.021479,-0.35672,0.80646,22.301
0.098933,-7.1411,-4.6754,0.02869,1.3432,-0.23377,-0.49083,0.7337,30.684
-0.24091,-5.7484,-1.4069,-0.069863,1.4407,-0.070347,-0.39511,0.78563,24.7
-0.18439,-6.7207,-0.15945,-0.053473,1.3727,-0.0079724,-0.46193,0.74937,28.878
-0.19759,-4.7215,-0.19658,-0.0573,1.5126,-0.0098289,-0.32452,0.82393,20.288
0.36034,-4.1098,-0.34269,0.1045,1.5554,-0.017134,-0.28248,0.84674,17.659
0.42603,-4.4658,3.7644,0.12355,1.5305,0.18822,-0.30695,0.83346,19.189
-0.24406,-5.0567,0.11086,-0.070778,1.4891,0.0055431,-0.34756,0.81143,21.728
0.46891,-5.0788,-2.0768,0.13598,1.4876,-0.10384,-0.34908,0.8106,21.823
0.1577,-5.4896,-2.9052,0.045732,1.4588,-0.14526,-0.37732,0.79528,23.588
-1.8275,-7.8442,-2.6046,-0.52997,1.294,-0.13023,-0.53916,0.70747,33.706
-0.45214,-5.5677,-2.2053,-0.13112,1.4534,-0.11026,-0.38269,0.79237,23.924
-0.086525,-5.6324,-3.0792,-0.025092,1.4488,-0.15396,-0.38713,0.78996,24.202
-0.28881,-5.6324,-2.0682,-0.083755,1.4489,-0.10341,-0.38713,0.78996,24.202
0.049599,-4.2413,-1.758,0.014384,1.5462,-0.087901,-0.29152,0.84183,18.225
-0.14424,-4.3111,0.086279,-0.041829,1.5413,0.004314,-0.29632,0.83923,18.524
-0.13958,-4.7211,-0.58882,-0.040479,1.5126,-0.029441,-0.32449,0.82394,20.286
-0.0171,-6.068,1.7155,-0.0049589,1.4184,0.085773,-0.41708,0.77371,26.074
-0.051732,-4.6475,0.57281,-0.015002,1.5178,0.02864,-0.31944,0.82669,19.97
