% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-0.00021082,-1.5706e-14,0,0.00013887,0,0,-6.3247e-05,0.68708,25.46
-0.00021253,-3.1412e-14,0,0.00013836,0,0,-6.376e-05,0.68454,25.666
-0.00021045,-1.5706e-14,0,0.00013898,0,0,-6.3134e-05,0.68764,25.414
-0.00020408,-1.5706e-14,0,0.00014089,0,0,-6.1224e-05,0.69709,24.645
-0.00022326,0,0,0.00013514,0,0,-6.6979e-05,0.66862,26.962
-0.000225,-1.5706e-14,0,0.00013462,0,0,-6.7499e-05,0.66604,27.171
-0.00024632,-3.1412e-14,0,0.00012822,0,0,-7.3897e-05,0.63439,29.747
-0.00019333,-1.5706e-14,0,0.00014412,0,0,-5.8e-05,0.71304,23.348
-0.00024499,-3.1412e-14,0,0.00012862,0,0,-7.3496e-05,0.63637,29.585
-0.00023434,-1.5706e-14,0,0.00013182,0,0,-7.0301e-05,0.65218,28.299
-0.0002116,1.5706e-14,0,0.00013864,1.1869e-14,0,-6.3479e-05,0.68593,25.553
-0.00028558,-3.1412e-14,0,0.00011644,0,0,-8.5674e-05,0.57612,34.488
-0.00023302,-1.5706e-14,0,0.00013221,0,0,-6.9906e-05,0.65413,28.14
-0.00019908,-1.5706e-14,0,0.00014239,0,0,-5.9723e-05,0.70451,24.041
-0.00017518,-1.5706e-14,0,0.00014956,0,0,-5.2554e-05,0.73999,21.155
-0.00034406,-1.5706e-14,0,9.8901e-05,0,0,-0.00010322,0.48932,41.55
-0.00022949,-1.5706e-14,0,0.00013327,0,0,-6.8846e-05,0.65938,27.714
-0.0001641,-1.5706e-14,0,0.00015289,0,0,-4.9229e-05,0.75643,19.817
-0.00022247,0,0,0.00013538,0,0,-6.6741e-05,0.66979,26.866
-0.0002755,-3.1412e-14,0,0.00011947,0,0,-8.2651e-05,0.59108,33.271
-0.00015635,-1.5706e-14,0,0.00015521,0,0,-4.6904e-05,0.76794,18.881
-0.00032716,0,0,0.00010397,0,0,-9.8149e-05,0.5144,39.51
-0.00016455,-3.1412e-14,0,0.00015275,0,0,-4.9366e-05,0.75575,19.872
-0.00017949,0,0,0.00014827,0,0,-5.3848e-05,0.73358,21.676
-0.00028728,-1.5706e-14,0,0.00011593,0,0,-8.6184e-05,0.5736,34.693
-0.00024481,-1.5706e-14,0,0.00012867,0,0,-7.3444e-05,0.63663,29.564
-0.0001947,-1.5706e-14,0,0.00014371,0,0,-5.841e-05,0.71101,23.513
