% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-0.26984,-1.5706e-14,0,0.17775,0,0,-0.080953,0.68708,32587
-0.27203,-3.1412e-14,0,0.17709,0,0,-0.081609,0.68454,32851
-0.26936,-1.5706e-14,0,0.17789,0,0,-0.080808,0.68764,32529
-0.26121,-1.5706e-14,0,0.18034,0,0,-0.078363,0.69709,31545
-0.28576,0,0,0.17297,0,0,-0.085729,0.66862,34510
-0.28798,-1.5706e-14,0,0.1723,0,0,-0.086395,0.66604,34778
-0.31528,-3.1412e-14,0,0.16412,0,0,-0.094584,0.63439,38074
-0.24745,-1.5706e-14,0,0.18446,0,0,-0.074236,0.71304,29883
-0.31357,-3.1412e-14,0,0.16463,0,0,-0.094071,0.63637,37868
-0.29994,-1.5706e-14,0,0.16872,0,0,-0.089981,0.65218,36221
-0.27083,1.5706e-14,0,0.17745,1.1869e-14,0,-0.081249,0.68593,32707
-0.36552,-3.1412e-14,0,0.14904,0,0,-0.10966,0.57612,44142
-0.29825,-1.5706e-14,0,0.16922,0,0,-0.089475,0.65413,36018
-0.25481,-1.5706e-14,0,0.18226,0,0,-0.076442,0.70451,30771
-0.22422,-1.5706e-14,0,0.19143,0,0,-0.067266,0.73999,27077
-0.44037,-1.5706e-14,0,0.12659,0,0,-0.13211,0.48932,53181
-0.29373,-1.5706e-14,0,0.17058,0,0,-0.088118,0.65938,35472
-0.21003,-1.5706e-14,0,0.19569,0,0,-0.06301,0.75643,25365
-0.28475,0,0,0.17327,0,0,-0.085425,0.66979,34387
-0.35263,-3.1412e-14,0,0.15291,0,0,-0.10579,0.59108,42585
-0.20011,-1.5706e-14,0,0.19867,0,0,-0.060034,0.76794,24166
-0.41875,0,0,0.13307,0,0,-0.12563,0.5144,50570
-0.21062,-3.1412e-14,0,0.19551,0,0,-0.063186,0.75575,25435
-0.22974,0,0,0.18978,0,0,-0.068922,0.73358,27744
-0.3677,-1.5706e-14,0,0.14839,0,0,-0.11031,0.5736,44405
-0.31335,-1.5706e-14,0,0.1647,0,0,-0.094004,0.63663,37841
-0.2492,-1.5706e-14,0,0.18394,0,0,-0.074761,0.71101,30095
-0.21944,-1.5706e-14,0,0.19287,0,0,-0.065833,0.74552,26501
-0.21528,0,0,0.19412,0,0,-0.064584,0.75035,25998
-0.32856,-1.5706e-14,0,0.16013,0,0,-0.098568,0.61899,39678
-0.35214,-1.5706e-14,0,0.15306,0,0,-0.10564,0.59164,42526
-0.30575,0,0,0.16697,0,0,-0.091726,0.64543,36924
-0.21044,0,0,0.19557,0,0,-0.063131,0.75597,25413
-0.25596,0,0,0.18191,0,0,-0.076787,0.70318,30910
-0.31813,0,0,0.16326,0,0,-0.095438,0.63108,38418
-0.22391,-1.5706e-14,0,0.19153,0,0,-0.067174,0.74034,27040
-0.27716,0,0,0.17555,0,0,-0.083148,0.67859,33471
-0.35918,0,0,0.15095,0,0,-0.10775,0.58348,43376
-0.25921,0,0,0.18094,0,0,-0.077763,0.69941,31303
-0.25488,0,0,0.18223,0,0,-0.076465,0.70443,30781
-0.3182,-1.5706e-14,0,0.16324,0,0,-0.095461,0.631,38427
-0.22399,1.5706e-14,0,0.1915,1.1869e-14,0,-0.067198,0.74025,27050
-0.36052,-1.5706e-14,0,0.15054,0,0,-0.10816,0.58192,43538
-0.24285,0,0,0.18584,0,0,-0.072856,0.71838,29328
-0.49412,0,0,0.11046,0,0,-0.14824,0.42699,59672
-0.27489,-3.1412e-14,0,0.17623,0,0,-0.082466,0.68123,33196
-0.40912,-1.5706e-14,0,0.13596,0,0,-0.12274,0.52556,49407
-0.32532,0,0,0.1611,0,0,-0.097596,0.62274,39287
-0.43504,-3.1412e-14,0,0.12819,0,0,-0.13051,0.49551,52537
-0.29354,-1.5706e-14,0,0.17064,0,0,-0.088063,0.65959,35449
-0.32303,-3.1412e-14,0,0.16179,0,0,-0.096908,0.6254,39010
-0.36143,0,0,0.15027,0,0,-0.10843,0.58087,43647
-0.29463,-3.1412e-14,0,0.17031,0,0,-0.088388,0.65834,35580
-0.27566,-3.1412e-14,0,0.176,0,0,-0.082697,0.68034,33289
-0.30895,0,0,0.16601,0,0,-0.092685,0.64173,37310
-0.20133,-1.5706e-14,0,0.1983,0,0,-0.060399,0.76653,24314
-0.35512,-3.1412e-14,0,0.15216,0,0,-0.10653,0.58819,42885
-0.32401,0,0,0.1615,0,0,-0.097203,0.62426,39129
-0.30326,-3.1412e-14,0,0.16772,0,0,-0.090977,0.64833,36622
-0.42201,-1.5706e-14,0,0.1321,0,0,-0.1266,0.51062,50963
-0.31848,0,0,0.16315,0,0,-0.095545,0.63067,38461
-0.24828,-1.5706e-14,0,0.18422,0,0,-0.074484,0.71208,29983
-0.24427,-1.5706e-14,0,0.18542,0,0,-0.073282,0.71673,29499
-0.31019,-3.1412e-14,0,0.16564,0,0,-0.093058,0.64028,37460
-0.32899,-1.5706e-14,0,0.16,0,0,-0.098696,0.61849,39730
