% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-0.23273,-1.5706e-14,0,0.1533,0,0,-0.069819,0.68708,28105
-0.23462,-3.1412e-14,0,0.15273,0,0,-0.070385,0.68454,28333
-0.23231,-1.5706e-14,0,0.15343,0,0,-0.069694,0.68764,28055
-0.22528,-1.5706e-14,0,0.15553,0,0,-0.067585,0.69709,27206
-0.24646,0,0,0.14918,0,0,-0.073938,0.66862,29763
-0.24837,-1.5706e-14,0,0.14861,0,0,-0.074512,0.66604,29995
-0.27192,-3.1412e-14,0,0.14154,0,0,-0.081575,0.63439,32838
-0.21342,-1.5706e-14,0,0.15909,0,0,-0.064026,0.71304,25773
-0.27044,-3.1412e-14,0,0.14199,0,0,-0.081132,0.63637,32660
-0.25868,-1.5706e-14,0,0.14551,0,0,-0.077605,0.65218,31240
-0.23358,1.5706e-14,0,0.15304,1.1869e-14,0,-0.070075,0.68593,28208
-0.31525,-3.1412e-14,0,0.12854,0,0,-0.094576,0.57612,38071
-0.25723,-1.5706e-14,0,0.14595,0,0,-0.077169,0.65413,31064
-0.21976,-1.5706e-14,0,0.15719,0,0,-0.065929,0.70451,26539
-0.19338,-1.5706e-14,0,0.1651,0,0,-0.058014,0.73999,23353
-0.37981,-1.5706e-14,0,0.10918,0,0,-0.11394,0.48932,45867
-0.25333,-1.5706e-14,0,0.14712,0,0,-0.075999,0.65938,30593
-0.18115,-1.5706e-14,0,0.16877,0,0,-0.054344,0.75643,21876
-0.24559,0,0,0.14944,0,0,-0.073676,0.66979,29658
-0.30413,-3.1412e-14,0,0.13188,0,0,-0.091239,0.59108,36728
-0.17259,-1.5706e-14,0,0.17134,0,0,-0.051777,0.76794,20843
-0.36116,0,0,0.11477,0,0,-0.10835,0.5144,43615
-0.18165,-3.1412e-14,0,0.16862,0,0,-0.054496,0.75575,21937
-0.19814,0,0,0.16368,0,0,-0.059443,0.73358,23928
-0.31713,-1.5706e-14,0,0.12798,0,0,-0.095138,0.5736,38298
-0.27025,-1.5706e-14,0,0.14204,0,0,-0.081075,0.63663,32636
-0.21493,-1.5706e-14,0,0.15864,0,0,-0.064479,0.71101,25956
-0.18926,-1.5706e-14,0,0.16634,0,0,-0.056779,0.74552,22856
-0.18567,0,0,0.16742,0,0,-0.055701,0.75035,22422
-0.28337,-1.5706e-14,0,0.13811,0,0,-0.085012,0.61899,34221
-0.30371,-1.5706e-14,0,0.13201,0,0,-0.091112,0.59164,36677
-0.2637,0,0,0.14401,0,0,-0.07911,0.64543,31846
-0.18149,0,0,0.16867,0,0,-0.054448,0.75597,21918
-0.22075,0,0,0.15689,0,0,-0.066226,0.70318,26659
-0.27437,0,0,0.14081,0,0,-0.082312,0.63108,33134
-0.19312,-1.5706e-14,0,0.16518,0,0,-0.057935,0.74034,23321
-0.23904,0,0,0.15141,0,0,-0.071712,0.67859,28868
-0.30978,0,0,0.13018,0,0,-0.092934,0.58348,37410
-0.22356,0,0,0.15605,0,0,-0.067068,0.69941,26998
-0.21983,0,0,0.15717,0,0,-0.065948,0.70443,26547
-0.27444,-1.5706e-14,0,0.14079,0,0,-0.082332,0.631,33142
-0.19319,1.5706e-14,0,0.16516,1.1869e-14,0,-0.057956,0.74025,23330
-0.31094,-1.5706e-14,0,0.12984,0,0,-0.093281,0.58192,37550
-0.20945,0,0,0.16028,0,0,-0.062836,0.71838,25294
-0.42616,0,0,0.09527,0,0,-0.12785,0.42699,51465
-0.23708,-3.1412e-14,0,0.15199,0,0,-0.071124,0.68123,28631
-0.35285,-1.5706e-14,0,0.11726,0,0,-0.10586,0.52556,42612
-0.28058,0,0,0.13895,0,0,-0.084173,0.62274,33884
-0.37521,-3.1412e-14,0,0.11056,0,0,-0.11256,0.49551,45311
-0.25317,-1.5706e-14,0,0.14717,0,0,-0.075951,0.65959,30574
-0.2786,-3.1412e-14,0,0.13954,0,0,-0.08358,0.6254,33645
-0.31172,0,0,0.1296,0,0,-0.093516,0.58087,37644
-0.2541,-3.1412e-14,0,0.14689,0,0,-0.076231,0.65834,30687
