% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-0.17455,-1.5706e-14,0,0.11497,0,0,-0.052364,0.68708,21079
-0.17596,-3.1412e-14,0,0.11455,0,0,-0.052789,0.68454,21250
-0.17423,-1.5706e-14,0,0.11507,0,0,-0.05227,0.68764,21041
-0.16896,-1.5706e-14,0,0.11665,0,0,-0.050689,0.69709,20405
-0.18484,0,0,0.11189,0,0,-0.055453,0.66862,22323
-0.18628,-1.5706e-14,0,0.11145,0,0,-0.055884,0.66604,22496
-0.20394,-3.1412e-14,0,0.10616,0,0,-0.061182,0.63439,24628
-0.16007,-1.5706e-14,0,0.11932,0,0,-0.04802,0.71304,19330
-0.20283,-3.1412e-14,0,0.10649,0,0,-0.060849,0.63637,24495
-0.19401,-1.5706e-14,0,0.10914,0,0,-0.058204,0.65218,23430
-0.17519,1.5706e-14,0,0.11478,1.1869e-14,0,-0.052556,0.68593,21156
-0.23644,-3.1412e-14,0,0.096408,0,0,-0.070932,0.57612,28553
-0.19292,-1.5706e-14,0,0.10946,0,0,-0.057877,0.65413,23298
-0.16482,-1.5706e-14,0,0.11789,0,0,-0.049447,0.70451,19904
-0.14504,-1.5706e-14,0,0.12383,0,0,-0.043511,0.73999,17515
-0.28485,-1.5706e-14,0,0.081883,0,0,-0.085456,0.48932,34400
-0.19,-1.5706e-14,0,0.11034,0,0,-0.056999,0.65938,22945
-0.13586,-1.5706e-14,0,0.12658,0,0,-0.040758,0.75643,16407
-0.18419,0,0,0.11208,0,0,-0.055257,0.66979,22243
-0.2281,-3.1412e-14,0,0.09891,0,0,-0.068429,0.59108,27546
-0.12944,-1.5706e-14,0,0.12851,0,0,-0.038833,0.76794,15632
-0.27087,0,0,0.086079,0,0,-0.081261,0.5144,32711
-0.13624,-3.1412e-14,0,0.12647,0,0,-0.040872,0.75575,16453
-0.14861,0,0,0.12276,0,0,-0.044582,0.73358,17946
-0.23785,-1.5706e-14,0,0.095986,0,0,-0.071354,0.5736,28723
-0.20269,-1.5706e-14,0,0.10653,0,0,-0.060806,0.63663,24477
-0.1612,-1.5706e-14,0,0.11898,0,0,-0.048359,0.71101,19467
-0.14195,-1.5706e-14,0,0.12476,0,0,-0.042584,0.74552,17142
-0.13925,0,0,0.12556,0,0,-0.041776,0.75035,16817
-0.21253,-1.5706e-14,0,0.10358,0,0,-0.063759,0.61899,25666
-0.22778,-1.5706e-14,0,0.099005,0,0,-0.068334,0.59164,27508
-0.19778,0,0,0.10801,0,0,-0.059333,0.64543,23884
-0.13612,0,0,0.1265,0,0,-0.040836,0.75597,16438
-0.16557,0,0,0.11767,0,0,-0.04967,0.70318,19994
-0.20578,0,0,0.10561,0,0,-0.061734,0.63108,24851
-0.14484,-1.5706e-14,0,0.12389,0,0,-0.043451,0.74034,17491
-0.17928,0,0,0.11355,0,0,-0.053784,0.67859,21651
-0.23234,0,0,0.097639,0,0,-0.069701,0.58348,28058
-0.16767,0,0,0.11704,0,0,-0.050301,0.69941,20248
-0.16487,0,0,0.11788,0,0,-0.049461,0.70443,19910
-0.20583,-1.5706e-14,0,0.10559,0,0,-0.061749,0.631,24857
-0.14489,1.5706e-14,0,0.12387,1.1869e-14,0,-0.043467,0.74025,17497
-0.2332,-1.5706e-14,0,0.097379,0,0,-0.069961,0.58192,28162
-0.15709,0,0,0.12021,0,0,-0.047127,0.71838,18971
-0.31962,0,0,0.071453,0,0,-0.095887,0.42699,38599
-0.17781,-3.1412e-14,0,0.114,0,0,-0.053343,0.68123,21473
-0.26464,-1.5706e-14,0,0.087947,0,0,-0.079392,0.52556,31959
-0.21043,0,0,0.10421,0,0,-0.06313,0.62274,25413
-0.2814,-3.1412e-14,0,0.082918,0,0,-0.084421,0.49551,33983
-0.18988,-1.5706e-14,0,0.11038,0,0,-0.056963,0.65959,22930
-0.20895,-3.1412e-14,0,0.10465,0,0,-0.062685,0.6254,25233
-0.23379,0,0,0.097203,0,0,-0.070137,0.58087,28233
-0.19058,-3.1412e-14,0,0.11017,0,0,-0.057173,0.65834,23015
-0.17831,-3.1412e-14,0,0.11385,0,0,-0.053492,0.68034,21533
-0.19984,0,0,0.10739,0,0,-0.059953,0.64173,24134
-0.13023,-1.5706e-14,0,0.12827,0,0,-0.039069,0.76653,15727
-0.22971,-3.1412e-14,0,0.098428,0,0,-0.068912,0.58819,27740
-0.20959,0,0,0.10446,0,0,-0.062876,0.62426,25310
-0.19616,-3.1412e-14,0,0.10849,0,0,-0.058848,0.64833,23689
-0.27298,-1.5706e-14,0,0.085446,0,0,-0.081893,0.51062,32966
-0.20601,0,0,0.10554,0,0,-0.061803,0.63067,24879
-0.1606,-1.5706e-14,0,0.11916,0,0,-0.04818,0.71208,19395
-0.15801,-1.5706e-14,0,0.11994,0,0,-0.047402,0.71673,19082
-0.20065,-3.1412e-14,0,0.10714,0,0,-0.060194,0.64028,24231
-0.2128,-1.5706e-14,0,0.1035,0,0,-0.063841,0.61849,25699
-0.15,0,0,0.12234,0,0,-0.044999,0.73109,18114
-0.1938,0,0,0.1092,0,0,-0.058139,0.65257,23403
-0.21333,0,0,0.10334,0,0,-0.063999,0.61755,25763
-0.13797,-3.1412e-14,0,0.12595,0,0,-0.041391,0.75265,16662
-0.19768,-3.1412e-14,0,0.10804,0,0,-0.059304,0.64561,23872
-0.17536,-1.5706e-14,0,0.11473,0,0,-0.052608,0.68562,21177
-0.19305,0,0,0.10942,0,0,-0.057916,0.6539,23314
-0.16074,0,0,0.11912,0,0,-0.048223,0.71182,19412
-0.27887,-3.1412e-14,0,0.083677,0,0,-0.083662,0.50004,33678
-0.16986,0,0,0.11638,0,0,-0.050958,0.69548,20513
-0.1883,-3.1412e-14,0,0.11085,0,0,-0.056489,0.66243,22739
-0.13341,0,0,0.12732,0,0,-0.040024,0.76082,16111
-0.16703,0,0,0.11723,0,0,-0.050108,0.70056,20171
-0.30555,-1.5706e-14,0,0.075673,0,0,-0.091666,0.45222,36900
-0.13498,-1.5706e-14,0,0.12685,0,0,-0.040493,0.75802,16300
-0.15817,-1.5706e-14,0,0.11989,0,0,-0.047452,0.71643,19102
-0.272,0,0,0.085738,0,0,-0.081601,0.51236,32848
-0.19477,-4.7118e-14,0,0.10891,0,0,-0.058431,0.65082,23521
-0.17886,0,0,0.11368,0,0,-0.053659,0.67934,21600
-0.19683,0,0,0.10829,0,0,-0.05905,0.64712,23770
-0.18173,0,0,0.11282,0,0,-0.054518,0.67421,21946
-0.23106,-3.1412e-14,0,0.098022,0,0,-0.069318,0.58577,27903
-0.13371,-1.5706e-14,0,0.12723,0,0,-0.040113,0.76029,16147
-0.15292,-1.5706e-14,0,0.12146,0,0,-0.045876,0.72585,18467
-0.16958,0,0,0.11646,0,0,-0.050875,0.69597,20480
-0.2357,0,0,0.09663,0,0,-0.07071,0.57745,28464
-0.17748,0,0,0.11409,0,0,-0.053245,0.68181,21434
-0.15976,1.5706e-14,0,0.11941,1.1869e-14,0,-0.047929,0.71358,19294
-0.19259,-1.5706e-14,0,0.10956,0,0,-0.057778,0.65472,23258
