% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.013328,-0.17971,-0.073589,-0.0038652,0.048904,-0.0036795,-0.012572,0.79552,0.77221
0.00012898,-0.12797,-0.042709,3.7404e-05,0.052526,-0.0021355,-0.0089524,0.8544,0.54987
0.0011277,-0.15561,-0.069199,0.00032705,0.050591,-0.00346,-0.010886,0.82295,0.66864
0.0019863,-0.11812,-0.00080624,0.00057604,0.053216,-4.0312e-05,-0.0082632,0.8656,0.50754
0.0063439,-0.20602,-0.062537,0.0018397,0.047063,-0.0031268,-0.014412,0.76559,0.88523
0.009272,-0.15358,-0.034383,0.0026889,0.050733,-0.0017191,-0.010744,0.82525,0.65993
0.010032,-0.19302,-0.021416,0.0029093,0.047973,-0.0010708,-0.013503,0.78039,0.82937
0.00047307,-0.20163,-0.04169,0.00013719,0.04737,-0.0020845,-0.014106,0.77058,0.8664
0.0075751,-0.19859,-0.068477,0.0021968,0.047583,-0.0034238,-0.013893,0.77405,0.85331
-0.008849,-0.13566,0.057837,-0.0025662,0.051988,0.0028918,-0.0094901,0.84565,0.5829
0.0028839,-0.19867,-0.05609,0.00083633,0.047578,-0.0028045,-0.013898,0.77396,0.85364
0.0015382,-0.13127,0.046247,0.00044608,0.052296,0.0023124,-0.009183,0.85065,0.56404
-0.00080972,-0.14508,0.034341,-0.00023482,0.051329,0.001717,-0.010149,0.83493,0.62339
0.0099365,-0.16412,-0.024038,0.0028816,0.049996,-0.0012019,-0.011481,0.81326,0.70521
0.0033672,-0.18618,-0.045128,0.00097649,0.048451,-0.0022564,-0.013025,0.78816,0.8
0.011745,-0.15979,0.046148,0.0034062,0.050299,0.0023074,-0.011178,0.81819,0.68659
0.0069491,-0.14814,-0.02037,0.0020152,0.051114,-0.0010185,-0.010363,0.83145,0.63654
-0.032176,-0.26263,-0.065321,-0.0093312,0.0431,-0.0032661,-0.018373,0.70117,1.1285
0.0053765,-0.19404,-0.049565,0.0015592,0.047902,-0.0024783,-0.013574,0.77922,0.83376
0.0057065,-0.16175,-0.08114,0.0016549,0.050162,-0.004057,-0.011316,0.81596,0.69503
