% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.015359,-0.2071,-0.084803,-0.0044541,0.056356,-0.0042401,-0.014487,0.79554,0.88988
0.00014863,-0.14747,-0.049217,4.3103e-05,0.06053,-0.0024609,-0.010316,0.85441,0.63366
0.0012996,-0.17932,-0.079744,0.00037688,0.058301,-0.0039872,-0.012544,0.82296,0.77053
0.002289,-0.13612,-0.00092909,0.00066381,0.061325,-4.6455e-05,-0.0095215,0.86562,0.58488
0.0073106,-0.23741,-0.072066,0.0021201,0.054234,-0.0036033,-0.016607,0.76561,1.0201
0.010685,-0.17698,-0.039622,0.0030986,0.058464,-0.0019811,-0.01238,0.82527,0.76049
0.011561,-0.22243,-0.024679,0.0033527,0.055283,-0.0012339,-0.015559,0.78041,0.95575
0.00054516,-0.23236,-0.048043,0.0001581,0.054588,-0.0024022,-0.016254,0.7706,0.99842
0.0087293,-0.22885,-0.078912,0.0025315,0.054834,-0.0039456,-0.016008,0.77407,0.98334
-0.010197,-0.15633,0.06665,-0.0029573,0.05991,0.0033325,-0.010935,0.84566,0.67173
0.0033234,-0.22894,-0.064637,0.00096377,0.054828,-0.0032318,-0.016014,0.77398,0.98372
0.0017726,-0.15127,0.053294,0.00051406,0.060264,0.0026647,-0.010581,0.85066,0.64998
-0.0009331,-0.16719,0.039574,-0.0002706,0.05915,0.0019787,-0.011695,0.83495,0.71838
0.011451,-0.18913,-0.027701,0.0033207,0.057614,-0.001385,-0.01323,0.81328,0.81268
0.0038803,-0.21455,-0.052004,0.0011253,0.055835,-0.0026002,-0.015008,0.78818,0.92191
0.013535,-0.18414,0.05318,0.0039252,0.057964,0.002659,-0.01288,0.81821,0.79121
0.008008,-0.17071,-0.023474,0.0023223,0.058903,-0.0011737,-0.011942,0.83146,0.73354
-0.037079,-0.30266,-0.075275,-0.010753,0.049667,-0.0037638,-0.021171,0.7012,1.3005
0.0061958,-0.22361,-0.057118,0.0017968,0.055201,-0.0028559,-0.015641,0.77924,0.96081
0.0065761,-0.1864,-0.093504,0.0019071,0.057805,-0.0046752,-0.013039,0.81597,0.80094
0.029143,-0.18043,0.22084,0.0084516,0.058223,0.011042,-0.012621,0.82187,0.77529
0.039348,-0.32763,-0.020836,0.011411,0.047919,-0.0010418,-0.022918,0.67655,1.4078
0.0034548,-0.15571,-0.063321,0.0010019,0.059954,-0.003166,-0.010892,0.84627,0.66907
-0.014744,-0.24322,-0.16876,-0.0042758,0.053828,-0.0084379,-0.017013,0.75988,1.0451
-0.0074831,-0.24349,-0.071496,-0.0021701,0.053809,-0.0035748,-0.017032,0.75962,1.0462
0.0059062,-0.19661,0.012864,0.0017128,0.05709,0.00064322,-0.013753,0.80589,0.84483
-0.0028982,-0.21367,0.004019,-0.00084049,0.055897,0.00020095,-0.014946,0.78906,0.9181
-0.00081733,-0.1904,-0.14543,-0.00023702,0.057525,-0.0072717,-0.013318,0.81203,0.81812
0.0010443,-0.34589,-0.17046,0.00030283,0.046641,-0.0085231,-0.024195,0.65851,1.4863
0.016771,-0.20181,-0.017335,0.0048636,0.056726,-0.00086675,-0.014117,0.80076,0.86716
-0.00049135,-0.21728,-0.076381,-0.00014249,0.055644,-0.003819,-0.015199,0.78549,0.93362
0.0021694,-0.25154,-0.030542,0.00062913,0.053245,-0.0015271,-0.017596,0.75166,1.0809
-0.0033218,-0.15778,-0.051018,-0.00096332,0.059809,-0.0025509,-0.011037,0.84423,0.67795
0.031383,-0.2487,0.021262,0.0091012,0.053444,0.0010631,-0.017397,0.75447,1.0686
-0.009768,-0.16408,-0.19182,-0.0028327,0.059367,-0.0095911,-0.011478,0.83801,0.70504
0.048798,-0.29445,-0.19688,0.014151,0.050242,-0.0098441,-0.020597,0.7093,1.2652
0.012657,-0.19892,-0.0057362,0.0036707,0.056929,-0.00028681,-0.013915,0.80361,0.85474
0.023452,-0.30812,0.051416,0.0068012,0.049285,0.0025708,-0.021553,0.69581,1.324
-0.0070863,-0.17891,-0.0437,-0.002055,0.058329,-0.002185,-0.012515,0.82337,0.76878
-0.021658,-0.19951,-0.016514,-0.0062808,0.056887,-0.00082568,-0.013956,0.80303,0.85728
0.0038032,-0.27452,-0.17973,0.0011029,0.051637,-0.0089866,-0.019203,0.72898,1.1796
-0.009261,-0.22098,-0.054086,-0.0026857,0.055385,-0.0027043,-0.015458,0.78184,0.94953
