% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-0.10121,-1.5706e-14,0,0.066666,0,0,-0.030362,0.68708,12222
-0.10203,-3.1412e-14,0,0.06642,0,0,-0.030608,0.68454,12321
-0.10103,-1.5706e-14,0,0.066721,0,0,-0.030308,0.68764,12200
-0.09797,-1.5706e-14,0,0.067638,0,0,-0.029391,0.69709,11831
-0.10718,0,0,0.064875,0,0,-0.032154,0.66862,12943
-0.10801,-1.5706e-14,0,0.064625,0,0,-0.032404,0.66604,13044
-0.11825,-3.1412e-14,0,0.061554,0,0,-0.035475,0.63439,14280
-0.092811,-1.5706e-14,0,0.069185,0,0,-0.027843,0.71304,11208
-0.11761,-3.1412e-14,0,0.061746,0,0,-0.035282,0.63637,14203
-0.1125,-1.5706e-14,0,0.06328,0,0,-0.033749,0.65218,13585
-0.10158,1.5706e-14,0,0.066555,1.1869e-14,0,-0.030474,0.68593,12267
-0.13709,-3.1412e-14,0,0.0559,0,0,-0.041128,0.57612,16556
-0.11186,-1.5706e-14,0,0.06347,0,0,-0.033559,0.65413,13509
-0.095569,-1.5706e-14,0,0.068358,0,0,-0.028671,0.70451,11541
-0.084096,-1.5706e-14,0,0.0718,0,0,-0.025229,0.73999,10156
-0.16517,-1.5706e-14,0,0.047478,0,0,-0.04955,0.48932,19946
-0.11017,-1.5706e-14,0,0.063979,0,0,-0.03305,0.65938,13304
-0.078776,-1.5706e-14,0,0.073396,0,0,-0.023633,0.75643,9513.3
-0.1068,0,0,0.064989,0,0,-0.03204,0.66979,12897
-0.13226,-3.1412e-14,0,0.057351,0,0,-0.039677,0.59108,15972
-0.075055,-1.5706e-14,0,0.074512,0,0,-0.022516,0.76794,9063.9
-0.15706,0,0,0.049911,0,0,-0.047118,0.5144,18967
-0.078996,-3.1412e-14,0,0.07333,0,0,-0.023699,0.75575,9539.8
-0.086167,0,0,0.071179,0,0,-0.02585,0.73358,10406
-0.13791,-1.5706e-14,0,0.055655,0,0,-0.041373,0.5736,16655
-0.11752,-1.5706e-14,0,0.061771,0,0,-0.035257,0.63663,14193
-0.093468,-1.5706e-14,0,0.068988,0,0,-0.02804,0.71101,11287
-0.082305,-1.5706e-14,0,0.072337,0,0,-0.024692,0.74552,9939.5
-0.080744,0,0,0.072806,0,0,-0.024223,0.75035,9750.9
-0.12323,-1.5706e-14,0,0.060059,0,0,-0.036969,0.61899,14882
-0.13207,-1.5706e-14,0,0.057406,0,0,-0.039622,0.59164,15950
-0.11468,0,0,0.062626,0,0,-0.034403,0.64543,13849
-0.078927,0,0,0.073351,0,0,-0.023678,0.75597,9531.5
-0.096,0,0,0.068229,0,0,-0.0288,0.70318,11593
-0.11932,0,0,0.061233,0,0,-0.035795,0.63108,14409
-0.083981,-1.5706e-14,0,0.071834,0,0,-0.025194,0.74034,10142
-0.10395,0,0,0.065843,0,0,-0.031186,0.67859,12554
-0.13472,0,0,0.056614,0,0,-0.040415,0.58348,16269
-0.09722,0,0,0.067863,0,0,-0.029166,0.69941,11741
-0.095597,0,0,0.068349,0,0,-0.028679,0.70443,11545
-0.11935,-1.5706e-14,0,0.061225,0,0,-0.035804,0.631,14413
-0.084011,1.5706e-14,0,0.071825,1.1869e-14,0,-0.025203,0.74025,10146
-0.13522,-1.5706e-14,0,0.056463,0,0,-0.040565,0.58192,16329
-0.091085,0,0,0.069703,0,0,-0.027326,0.71838,11000
-0.18533,0,0,0.04143,0,0,-0.055598,0.42699,22381
-0.1031,-3.1412e-14,0,0.066099,0,0,-0.03093,0.68123,12451
-0.15345,-1.5706e-14,0,0.050995,0,0,-0.046034,0.52556,18531
-0.12202,0,0,0.060424,0,0,-0.036605,0.62274,14735
-0.16317,-3.1412e-14,0,0.048078,0,0,-0.04895,0.49551,19705
-0.1101,-1.5706e-14,0,0.064,0,0,-0.033029,0.65959,13296
-0.12116,-3.1412e-14,0,0.060682,0,0,-0.036347,0.6254,14631
-0.13556,0,0,0.056361,0,0,-0.040667,0.58087,16371
-0.1105,-3.1412e-14,0,0.063878,0,0,-0.033151,0.65834,13345
-0.10339,-3.1412e-14,0,0.066012,0,0,-0.031016,0.68034,12486
-0.11588,0,0,0.062266,0,0,-0.034763,0.64173,13994
-0.075512,-1.5706e-14,0,0.074375,0,0,-0.022654,0.76653,9119.1
-0.13319,-3.1412e-14,0,0.057071,0,0,-0.039957,0.58819,16085
-0.12152,0,0,0.060571,0,0,-0.036457,0.62426,14676
-0.11374,-3.1412e-14,0,0.062907,0,0,-0.034122,0.64833,13736
-0.15828,-1.5706e-14,0,0.049545,0,0,-0.047484,0.51062,19115
-0.11945,0,0,0.061193,0,0,-0.035836,0.63067,14425
-0.09312,-1.5706e-14,0,0.069093,0,0,-0.027936,0.71208,11246
-0.091618,-1.5706e-14,0,0.069543,0,0,-0.027485,0.71673,11064
-0.11634,-3.1412e-14,0,0.062126,0,0,-0.034903,0.64028,14050
-0.12339,-1.5706e-14,0,0.060011,0,0,-0.037017,0.61849,14901
-0.086972,0,0,0.070937,0,0,-0.026092,0.73109,10503
-0.11237,0,0,0.063318,0,0,-0.033711,0.65257,13570
-0.1237,0,0,0.05992,0,0,-0.037109,0.61755,14938
-0.079999,-3.1412e-14,0,0.073029,0,0,-0.024,0.75265,9661
-0.11462,-3.1412e-14,0,0.062642,0,0,-0.034386,0.64561,13842
-0.10168,-1.5706e-14,0,0.066525,0,0,-0.030504,0.68562,12279
-0.11194,0,0,0.063447,0,0,-0.033582,0.6539,13518
-0.093205,0,0,0.069067,0,0,-0.027961,0.71182,11256
-0.1617,-3.1412e-14,0,0.048519,0,0,-0.04851,0.50004,19527
-0.098489,0,0,0.067482,0,0,-0.029547,0.69548,11894
-0.10918,-3.1412e-14,0,0.064275,0,0,-0.032754,0.66243,13185
-0.077357,0,0,0.073822,0,0,-0.023207,0.76082,9341.9
-0.096847,0,0,0.067974,0,0,-0.029054,0.70056,11696
-0.17717,-1.5706e-14,0,0.043878,0,0,-0.053151,0.45222,21396
-0.078263,-1.5706e-14,0,0.07355,0,0,-0.023479,0.75802,9451.3
-0.091714,-1.5706e-14,0,0.069515,0,0,-0.027514,0.71643,11076
-0.15772,0,0,0.049714,0,0,-0.047315,0.51236,19046
