% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.0085437,-0.1152,-0.047172,-0.0024777,0.031349,-0.0023586,-0.0080609,0.79548,0.49501
8.2678e-05,-0.082032,-0.027378,2.3977e-05,0.033671,-0.0013689,-0.00574,0.85436,0.35248
0.00072292,-0.09975,-0.044358,0.00020965,0.03243,-0.0022179,-0.0069798,0.82291,0.42862
0.0012733,-0.075717,-0.00051682,0.00036925,0.034113,-2.5841e-05,-0.0052981,0.86558,0.32535
0.0040666,-0.13206,-0.040088,0.0011793,0.030169,-0.0020044,-0.0092407,0.76554,0.56746
0.0059436,-0.09845,-0.02204,0.0017236,0.032521,-0.001102,-0.0068888,0.82522,0.42303
0.0064309,-0.12373,-0.013728,0.001865,0.030752,-0.0006864,-0.0086576,0.78034,0.53165
0.00030325,-0.12925,-0.026725,8.7943e-05,0.030365,-0.0013362,-0.0090441,0.77053,0.55538
0.0048558,-0.1273,-0.043895,0.0014082,0.030502,-0.0021948,-0.0089075,0.774,0.547
-0.0056724,-0.08696,0.037075,-0.001645,0.033326,0.0018537,-0.0060848,0.84561,0.37366
0.0018487,-0.12735,-0.035955,0.00053611,0.030498,-0.0017977,-0.008911,0.77391,0.54721
0.00098603,-0.084145,0.029646,0.00028595,0.033523,0.0014823,-0.0058878,0.85061,0.36156
-0.00051905,-0.092999,0.022013,-0.00015052,0.032903,0.0011007,-0.0065073,0.83489,0.39961
0.0063695,-0.10521,-0.015409,0.0018472,0.032048,-0.00077044,-0.0073615,0.81322,0.45206
0.0021585,-0.11935,-0.028928,0.00062596,0.031059,-0.0014464,-0.008351,0.78811,0.51282
0.0075291,-0.10243,0.029582,0.0021834,0.032243,0.0014791,-0.0071671,0.81815,0.44012
0.0044546,-0.094962,-0.013058,0.0012918,0.032766,-0.00065288,-0.0066447,0.83141,0.40804
