% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.017673,-0.2383,-0.09758,-0.0051252,0.064847,-0.004879,-0.016668,0.79556,1.024
0.00017103,-0.16969,-0.056633,4.9598e-05,0.06965,-0.0028316,-0.011869,0.85442,0.72914
0.0014954,-0.20634,-0.091759,0.00043367,0.067085,-0.0045879,-0.014432,0.82298,0.88662
0.0026339,-0.15663,-0.0010691,0.00076383,0.070565,-5.3454e-05,-0.010955,0.86563,0.673
0.0084121,-0.27318,-0.082924,0.0024395,0.062406,-0.0041462,-0.019107,0.76564,1.1738
0.012295,-0.20365,-0.045592,0.0035655,0.067273,-0.0022796,-0.014244,0.82529,0.87507
0.013303,-0.25594,-0.028397,0.0038578,0.063613,-0.0014199,-0.017901,0.78043,1.0998
0.00062729,-0.26737,-0.055282,0.00018192,0.062813,-0.0027641,-0.0187,0.77063,1.1489
0.010045,-0.26333,-0.090801,0.0029129,0.063095,-0.00454,-0.018418,0.77409,1.1315
-0.011734,-0.17988,0.076692,-0.0034028,0.068937,0.0038346,-0.012581,0.84568,0.77293
0.0038241,-0.26343,-0.074375,0.001109,0.063088,-0.0037188,-0.018425,0.774,1.1319
0.0020397,-0.17406,0.061324,0.00059151,0.069344,0.0030662,-0.012174,0.85068,0.74792
-0.0010737,-0.19237,0.045536,-0.00031137,0.068062,0.0022768,-0.013455,0.83496,0.82661
0.013176,-0.21763,-0.031874,0.003821,0.066295,-0.0015937,-0.015221,0.8133,0.93512
0.004465,-0.24688,-0.05984,0.0012948,0.064247,-0.002992,-0.017267,0.7882,1.0608
0.015574,-0.21188,0.061192,0.0045166,0.066697,0.0030596,-0.014819,0.81823,0.91042
0.0092146,-0.19644,-0.027011,0.0026722,0.067778,-0.0013505,-0.013739,0.83148,0.84406
-0.042666,-0.34826,-0.086617,-0.012373,0.057151,-0.0043308,-0.024358,0.70123,1.4964
0.0071293,-0.2573,-0.065724,0.0020675,0.063518,-0.0032862,-0.017996,0.77927,1.1056
0.0075669,-0.21448,-0.10759,0.0021944,0.066515,-0.0053796,-0.015002,0.81599,0.92162
0.033534,-0.20762,0.25411,0.009725,0.066995,0.012705,-0.014521,0.82189,0.8921
0.045277,-0.37699,-0.023975,0.01313,0.055139,-0.0011988,-0.026368,0.67658,1.6199
0.0039753,-0.17917,-0.072861,0.0011528,0.068987,-0.0036431,-0.012532,0.84629,0.76987
-0.016965,-0.27986,-0.19418,-0.00492,0.061938,-0.0097092,-0.019574,0.75991,1.2025
-0.0086106,-0.28017,-0.082268,-0.0024971,0.061917,-0.0041134,-0.019596,0.75964,1.2039
0.006796,-0.22624,0.014803,0.0019708,0.065692,0.00074013,-0.015824,0.80591,0.97212
-0.0033349,-0.24586,0.0046246,-0.00096712,0.064318,0.00023123,-0.017196,0.78908,1.0564
