% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-0.05513,-1.5706e-14,0,0.036315,0,0,-0.016539,0.68708,6657.8
-0.055577,-3.1412e-14,0,0.036181,0,0,-0.016673,0.68454,6711.7
-0.055032,-1.5706e-14,0,0.036344,0,0,-0.016509,0.68764,6645.8
-0.053366,-1.5706e-14,0,0.036844,0,0,-0.01601,0.69709,6444.7
-0.058383,0,0,0.035339,0,0,-0.017515,0.66862,7050.5
-0.058836,-1.5706e-14,0,0.035203,0,0,-0.017651,0.66604,7105.3
-0.064413,-3.1412e-14,0,0.03353,0,0,-0.019324,0.63439,7778.8
-0.050556,-1.5706e-14,0,0.037687,0,0,-0.015167,0.71304,6105.4
-0.064064,-3.1412e-14,0,0.033635,0,0,-0.019219,0.63637,7736.6
-0.061279,-1.5706e-14,0,0.03447,0,0,-0.018384,0.65218,7400.2
-0.055332,1.5706e-14,0,0.036254,1.1869e-14,0,-0.0166,0.68593,6682.1
-0.074679,-3.1412e-14,0,0.03045,0,0,-0.022404,0.57612,9018.5
-0.060934,-1.5706e-14,0,0.034573,0,0,-0.01828,0.65413,7358.6
-0.052059,-1.5706e-14,0,0.037236,0,0,-0.015618,0.70451,6286.8
-0.045809,-1.5706e-14,0,0.039111,0,0,-0.013743,0.73999,5532.1
-0.089971,-1.5706e-14,0,0.025863,0,0,-0.026991,0.48932,10865
-0.06001,-1.5706e-14,0,0.034851,0,0,-0.018003,0.65938,7247.1
-0.042911,-1.5706e-14,0,0.03998,0,0,-0.012873,0.75643,5182.1
-0.058176,0,0,0.035401,0,0,-0.017453,0.66979,7025.5
-0.072044,-3.1412e-14,0,0.031241,0,0,-0.021613,0.59108,8700.3
-0.040884,-1.5706e-14,0,0.040588,0,0,-0.012265,0.76794,4937.3
-0.085553,0,0,0.027188,0,0,-0.025666,0.5144,10332
-0.043031,-3.1412e-14,0,0.039944,0,0,-0.012909,0.75575,5196.6
-0.046937,0,0,0.038773,0,0,-0.014081,0.73358,5668.3
-0.075123,-1.5706e-14,0,0.030317,0,0,-0.022537,0.5736,9072.1
-0.064018,-1.5706e-14,0,0.033648,0,0,-0.019205,0.63663,7731.1
-0.050914,-1.5706e-14,0,0.03758,0,0,-0.015274,0.71101,6148.5
-0.044833,-1.5706e-14,0,0.039404,0,0,-0.01345,0.74552,5414.3
