% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-0.041348,-1.5706e-14,0,0.027236,0,0,-0.012404,0.68708,4993.3
-0.041683,-3.1412e-14,0,0.027135,0,0,-0.012505,0.68454,5033.8
-0.041274,-1.5706e-14,0,0.027258,0,0,-0.012382,0.68764,4984.4
-0.040025,-1.5706e-14,0,0.027633,0,0,-0.012007,0.69709,4833.5
-0.043787,0,0,0.026504,0,0,-0.013136,0.66862,5287.9
-0.044127,-1.5706e-14,0,0.026402,0,0,-0.013238,0.66604,5329
-0.04831,-3.1412e-14,0,0.025147,0,0,-0.014493,0.63439,5834.1
-0.037917,-1.5706e-14,0,0.028265,0,0,-0.011375,0.71304,4579
-0.048048,-3.1412e-14,0,0.025226,0,0,-0.014414,0.63637,5802.4
-0.045959,-1.5706e-14,0,0.025853,0,0,-0.013788,0.65218,5550.2
-0.041499,1.5706e-14,0,0.02719,1.1869e-14,0,-0.01245,0.68593,5011.6
-0.056009,-3.1412e-14,0,0.022838,0,0,-0.016803,0.57612,6763.9
-0.045701,-1.5706e-14,0,0.02593,0,0,-0.01371,0.65413,5519
-0.039044,-1.5706e-14,0,0.027927,0,0,-0.011713,0.70451,4715.1
-0.034357,-1.5706e-14,0,0.029333,0,0,-0.010307,0.73999,4149.1
-0.067478,-1.5706e-14,0,0.019397,0,0,-0.020243,0.48932,8148.9
-0.045008,-1.5706e-14,0,0.026138,0,0,-0.013502,0.65938,5435.3
-0.032183,-1.5706e-14,0,0.029985,0,0,-0.009655,0.75643,3886.6
-0.043632,0,0,0.026551,0,0,-0.01309,0.66979,5269.2
-0.054033,-3.1412e-14,0,0.02343,0,0,-0.01621,0.59108,6525.2
-0.030663,-1.5706e-14,0,0.030441,0,0,-0.0091989,0.76794,3703
-0.064165,0,0,0.020391,0,0,-0.019249,0.5144,7748.8
-0.032273,-3.1412e-14,0,0.029958,0,0,-0.0096819,0.75575,3897.4
-0.035203,0,0,0.029079,0,0,-0.010561,0.73358,4251.2
-0.056342,-1.5706e-14,0,0.022738,0,0,-0.016903,0.5736,6804.1
-0.048014,-1.5706e-14,0,0.025236,0,0,-0.014404,0.63663,5798.3
-0.038185,-1.5706e-14,0,0.028185,0,0,-0.011456,0.71101,4611.4
-0.033625,-1.5706e-14,0,0.029553,0,0,-0.010088,0.74552,4060.7
-0.032987,0,0,0.029744,0,0,-0.0098961,0.75035,3983.6
-0.050345,-1.5706e-14,0,0.024537,0,0,-0.015104,0.61899,6079.9
-0.053958,-1.5706e-14,0,0.023453,0,0,-0.016187,0.59164,6516.2
-0.04685,0,0,0.025585,0,0,-0.014055,0.64543,5657.8
-0.032245,0,0,0.029967,0,0,-0.0096735,0.75597,3894
-0.03922,0,0,0.027874,0,0,-0.011766,0.70318,4736.4
-0.048746,0,0,0.025016,0,0,-0.014624,0.63108,5886.8
-0.03431,-1.5706e-14,0,0.029347,0,0,-0.010293,0.74034,4143.4
-0.042469,0,0,0.0269,0,0,-0.012741,0.67859,5128.7
-0.055037,0,0,0.023129,0,0,-0.016511,0.58348,6646.5
-0.039718,0,0,0.027725,0,0,-0.011916,0.69941,4796.5
-0.039055,0,0,0.027924,0,0,-0.011717,0.70443,4716.5
-0.048758,-1.5706e-14,0,0.025013,0,0,-0.014627,0.631,5888.2
-0.034322,1.5706e-14,0,0.029344,1.1869e-14,0,-0.010297,0.74025,4144.9
-0.055242,-1.5706e-14,0,0.023068,0,0,-0.016573,0.58192,6671.2
-0.037212,0,0,0.028477,0,0,-0.011164,0.71838,4493.9
-0.075714,0,0,0.016926,0,0,-0.022714,0.42699,9143.5
-0.042121,-3.1412e-14,0,0.027004,0,0,-0.012636,0.68123,5086.6
-0.062689,-1.5706e-14,0,0.020833,0,0,-0.018807,0.52556,7570.6
-0.049849,0,0,0.024686,0,0,-0.014955,0.62274,6019.9
-0.066661,-3.1412e-14,0,0.019642,0,0,-0.019998,0.49551,8050.2
-0.044979,-1.5706e-14,0,0.026147,0,0,-0.013494,0.65959,5431.8
-0.049497,-3.1412e-14,0,0.024791,0,0,-0.014849,0.6254,5977.4
-0.055381,0,0,0.023026,0,0,-0.016614,0.58087,6688
-0.045145,-3.1412e-14,0,0.026097,0,0,-0.013544,0.65834,5451.9
-0.042238,-3.1412e-14,0,0.026969,0,0,-0.012672,0.68034,5100.9
-0.04734,0,0,0.025438,0,0,-0.014202,0.64173,5717
-0.03085,-1.5706e-14,0,0.030385,0,0,-0.0092549,0.76653,3725.5
-0.054414,-3.1412e-14,0,0.023316,0,0,-0.016324,0.58819,6571.2
-0.049648,0,0,0.024746,0,0,-0.014894,0.62426,5995.6
-0.046467,-3.1412e-14,0,0.0257,0,0,-0.01394,0.64833,5611.6
-0.064664,-1.5706e-14,0,0.020241,0,0,-0.019399,0.51062,7809.1
-0.048801,0,0,0.025,0,0,-0.01464,0.63067,5893.4
-0.038044,-1.5706e-14,0,0.028227,0,0,-0.011413,0.71208,4594.3
-0.03743,-1.5706e-14,0,0.028411,0,0,-0.011229,0.71673,4520.2
-0.047531,-3.1412e-14,0,0.025381,0,0,-0.014259,0.64028,5740
-0.05041,-1.5706e-14,0,0.024517,0,0,-0.015123,0.61849,6087.7
-0.035532,0,0,0.028981,0,0,-0.01066,0.73109,4290.9
-0.045907,0,0,0.025868,0,0,-0.013772,0.65257,5544
-0.050535,0,0,0.02448,0,0,-0.015161,0.61755,6102.8
-0.032683,-3.1412e-14,0,0.029835,0,0,-0.0098049,0.75265,3946.9
-0.046827,-3.1412e-14,0,0.025592,0,0,-0.014048,0.64561,5655
-0.041541,-1.5706e-14,0,0.027178,0,0,-0.012462,0.68562,5016.6
-0.045732,0,0,0.025921,0,0,-0.01372,0.6539,5522.7
-0.038078,0,0,0.028217,0,0,-0.011423,0.71182,4598.4
-0.066061,-3.1412e-14,0,0.019822,0,0,-0.019818,0.50004,7977.8
-0.040237,0,0,0.027569,0,0,-0.012071,0.69548,4859.2
-0.044605,-3.1412e-14,0,0.026259,0,0,-0.013381,0.66243,5386.6
-0.031603,0,0,0.030159,0,0,-0.009481,0.76082,3816.5
-0.039566,0,0,0.02777,0,0,-0.01187,0.70056,4778.2
-0.072381,-1.5706e-14,0,0.017926,0,0,-0.021714,0.45222,8741
-0.031974,-1.5706e-14,0,0.030048,0,0,-0.0095921,0.75802,3861.3
-0.037469,-1.5706e-14,0,0.0284,0,0,-0.011241,0.71643,4524.9
-0.064434,0,0,0.02031,0,0,-0.01933,0.51236,7781.3
-0.046138,-4.7118e-14,0,0.025799,0,0,-0.013841,0.65082,5571.8
-0.04237,0,0,0.026929,0,0,-0.012711,0.67934,5116.8
-0.046627,0,0,0.025652,0,0,-0.013988,0.64712,5630.8
-0.043049,0,0,0.026726,0,0,-0.012915,0.67421,5198.7
-0.054734,-3.1412e-14,0,0.02322,0,0,-0.01642,0.58577,6609.9
-0.031674,-1.5706e-14,0,0.030138,0,0,-0.0095022,0.76029,3825.1
-0.036224,-1.5706e-14,0,0.028773,0,0,-0.010867,0.72585,4374.6
-0.040172,0,0,0.027589,0,0,-0.012052,0.69597,4851.3
-0.055834,0,0,0.02289,0,0,-0.01675,0.57745,6742.7
-0.042044,0,0,0.027027,0,0,-0.012613,0.68181,5077.3
-0.037846,1.5706e-14,0,0.028287,1.1869e-14,0,-0.011354,0.71358,4570.4
-0.045623,-1.5706e-14,0,0.025953,0,0,-0.013687,0.65472,5509.6
-0.061268,-3.1412e-14,0,0.02126,0,0,-0.01838,0.53632,7398.9
-0.049685,-1.5706e-14,0,0.024735,0,0,-0.014905,0.62398,6000.1
-0.039074,0,0,0.027918,0,0,-0.011722,0.70428,4718.7
-0.060177,-1.5706e-14,0,0.021587,0,0,-0.018053,0.54457,7267.2
-0.048854,0,0,0.024984,0,0,-0.014656,0.63027,5899.8
-0.044105,-1.5706e-14,0,0.026409,0,0,-0.013231,0.66621,5326.3
-0.042624,-1.5706e-14,0,0.026853,0,0,-0.012787,0.67742,5147.4
-0.036557,0,0,0.028673,0,0,-0.010967,0.72334,4414.7
-0.035961,-3.1412e-14,0,0.028852,0,0,-0.010788,0.72784,4342.8
-0.037591,0,0,0.028363,0,0,-0.011277,0.71551,4539.7
-0.054669,-1.5706e-14,0,0.02324,0,0,-0.016401,0.58626,6602
-0.047932,-1.5706e-14,0,0.025261,0,0,-0.014379,0.63725,5788.4
-0.060842,-3.1412e-14,0,0.021388,0,0,-0.018253,0.53954,7347.5
-0.052048,0,0,0.024026,0,0,-0.015614,0.6061,6285.5
