% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.0023986,-0.032342,-0.013243,-0.00069559,0.008801,-0.00066217,-0.0022637,0.79542,0.13897
2.3211e-05,-0.02303,-0.0076861,6.7313e-06,0.0094528,-0.0003843,-0.0016119,0.85432,0.098957
0.00020295,-0.028004,-0.012453,5.8857e-05,0.0091046,-0.00062267,-0.0019601,0.82286,0.12033
0.00035747,-0.021257,-0.00014509,0.00010367,0.0095769,-7.2547e-06,-0.0014878,0.86554,0.091339
0.0011417,-0.037076,-0.011254,0.00033108,0.0084696,-0.00056272,-0.002595,0.76547,0.15931
0.0016686,-0.027639,-0.0061876,0.0004839,0.0091302,-0.00030938,-0.0019345,0.82517,0.11876
0.0018054,-0.034736,-0.003854,0.00052357,0.0086334,-0.0001927,-0.0024312,0.78027,0.14926
8.5135e-05,-0.036287,-0.0075028,2.4689e-05,0.0085248,-0.00037514,-0.0025398,0.77046,0.15592
0.0013632,-0.035739,-0.012323,0.00039534,0.0085632,-0.00061617,-0.0025014,0.77393,0.15357
-0.0015925,-0.024413,0.010409,-0.00046182,0.009356,0.00052043,-0.0017087,0.84557,0.1049
0.000519,-0.035753,-0.010094,0.00015051,0.0085622,-0.0005047,-0.0025024,0.77384,0.15362
0.00027682,-0.023623,0.0083228,8.0278e-05,0.0094113,0.00041614,-0.0016534,0.85057,0.10151
-0.00014572,-0.026109,0.0061801,-4.2259e-05,0.0092373,0.00030901,-0.0018274,0.83485,0.11219
0.0017882,-0.029536,-0.0043259,0.00051858,0.0089974,-0.0002163,-0.0020673,0.81317,0.12691
0.00060598,-0.033506,-0.0081214,0.00017573,0.0087195,-0.00040607,-0.0023452,0.78805,0.14397
0.0021137,-0.028756,0.0083049,0.00061298,0.009052,0.00041525,-0.0020127,0.8181,0.12356
0.0012506,-0.02666,-0.0036658,0.00036267,0.0091987,-0.00018329,-0.001866,0.83136,0.11455
-0.0057906,-0.047265,-0.011755,-0.0016793,0.0077564,-0.00058777,-0.0033082,0.70102,0.20309
0.00096758,-0.03492,-0.00892,0.0002806,0.0086205,-0.000446,-0.0024441,0.77911,0.15005
0.001027,-0.02911,-0.014602,0.00029782,0.0090273,-0.00073011,-0.0020374,0.81586,0.12508
0.0045512,-0.028177,0.034487,0.0013199,0.0090925,0.0017244,-0.0019722,0.82176,0.12107
0.0061449,-0.051165,-0.0032539,0.001782,0.0074834,-0.00016269,-0.0035811,0.67635,0.21985
0.00053952,-0.024317,-0.0098886,0.00015646,0.0093628,-0.00049443,-0.001702,0.84618,0.10449
-0.0023025,-0.037982,-0.026354,-0.00066773,0.0084062,-0.0013177,-0.0026585,0.75974,0.16321
-0.0011686,-0.038024,-0.011165,-0.0003389,0.0084032,-0.00055826,-0.0026614,0.75947,0.16339
0.00092234,-0.030705,0.002009,0.00026748,0.0089156,0.00010045,-0.0021491,0.80577,0.13193
-0.00045261,-0.033367,0.00062764,-0.00013126,0.0087292,3.1382e-05,-0.0023355,0.78893,0.14338
-0.00012764,-0.029734,-0.022712,-3.7015e-05,0.0089836,-0.0011356,-0.0020811,0.81192,0.12776
0.00016308,-0.054017,-0.02662,4.7293e-05,0.0072837,-0.001331,-0.0037808,0.65831,0.23211
