% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.0031572,-0.042572,-0.017432,-0.0009156,0.011585,-0.00087161,-0.0029796,0.79542,0.18293
3.0553e-05,-0.030314,-0.010117,8.8604e-06,0.012443,-0.00050586,-0.0021217,0.85433,0.13026
0.00026715,-0.036862,-0.016392,7.7473e-05,0.011984,-0.00081961,-0.00258,0.82286,0.15839
0.00047053,-0.02798,-0.00019099,0.00013645,0.012606,-9.5493e-06,-0.0019583,0.86554,0.12023
0.0015028,-0.048803,-0.014814,0.00043581,0.011149,-0.0007407,-0.0034157,0.76548,0.2097
0.0021964,-0.036381,-0.0081447,0.00063696,0.012018,-0.00040724,-0.0025463,0.82517,0.15633
0.0023765,-0.045723,-0.005073,0.00068918,0.011364,-0.00025365,-0.0032001,0.78028,0.19647
0.00011206,-0.047764,-0.0098759,3.2498e-05,0.011221,-0.00049379,-0.003343,0.77047,0.20524
0.0017944,-0.047043,-0.016221,0.00052038,0.011272,-0.00081106,-0.0032925,0.77394,0.20214
-0.0020962,-0.032135,0.013701,-0.0006079,0.012315,0.00068504,-0.0022491,0.84558,0.13808
0.00068316,-0.047061,-0.013287,0.00019812,0.01127,-0.00066434,-0.0032938,0.77385,0.20222
0.00036438,-0.031095,0.010955,0.00010567,0.012388,0.00054776,-0.0021763,0.85058,0.13361
-0.00019181,-0.034367,0.0081349,-5.5625e-05,0.012159,0.00040674,-0.0024053,0.83485,0.14767
0.0023538,-0.038878,-0.0056942,0.0006826,0.011843,-0.00028471,-0.0027211,0.81317,0.16706
0.00079765,-0.044104,-0.01069,0.00023132,0.011477,-0.00053451,-0.0030868,0.78806,0.18951
0.0027823,-0.037851,0.010932,0.00080687,0.011915,0.00054659,-0.0026492,0.81811,0.16264
0.0016461,-0.035092,-0.0048253,0.00047738,0.012108,-0.00024127,-0.0024561,0.83137,0.15079
-0.0076221,-0.062214,-0.015474,-0.0022104,0.01021,-0.00077368,-0.0043544,0.70103,0.26733
0.0012736,-0.045965,-0.011741,0.00036935,0.011347,-0.00058707,-0.0032171,0.77912,0.19751
0.0013518,-0.038317,-0.019221,0.00039202,0.011883,-0.00096104,-0.0026818,0.81587,0.16464
0.0059908,-0.03709,0.045395,0.0017373,0.011968,0.0022698,-0.0025959,0.82177,0.15937
0.0080885,-0.067348,-0.0042831,0.0023457,0.0098504,-0.00021415,-0.0047137,0.67636,0.28939
0.00071017,-0.032008,-0.013016,0.00020595,0.012324,-0.00065082,-0.0022402,0.84619,0.13753
-0.0030308,-0.049996,-0.03469,-0.00087894,0.011065,-0.0017345,-0.0034992,0.75975,0.21483
-0.0015382,-0.050051,-0.014697,-0.00044609,0.011061,-0.00073484,-0.0035031,0.75948,0.21507
0.0012141,-0.040416,0.0026444,0.00035208,0.011736,0.00013222,-0.0028287,0.80578,0.17367
-0.00059576,-0.043921,0.00082616,-0.00017277,0.01149,4.1308e-05,-0.0030741,0.78894,0.18873
-0.00016801,-0.039139,-0.029895,-4.8723e-05,0.011825,-0.0014948,-0.0027393,0.81192,0.16817
0.00021466,-0.071102,-0.03504,6.2251e-05,0.0095876,-0.001752,-0.0049764,0.65832,0.30552
0.0034475,-0.041485,-0.0035634,0.00099977,0.011661,-0.00017817,-0.0029035,0.80065,0.17826
-0.000101,-0.044664,-0.015701,-2.9291e-05,0.011438,-0.00078505,-0.003126,0.78537,0.19192
0.00044595,-0.051708,-0.0062782,0.00012932,0.010945,-0.00031391,-0.003619,0.75152,0.22218
-0.00068284,-0.032433,-0.010487,-0.00019802,0.012294,-0.00052437,-0.00227,0.84415,0.13936
0.0064512,-0.051124,0.0043707,0.0018709,0.010986,0.00021854,-0.0035781,0.75433,0.21967
-0.0020079,-0.033729,-0.039431,-0.0005823,0.012204,-0.0019716,-0.0023607,0.83792,0.14493
0.010031,-0.060527,-0.040471,0.002909,0.010328,-0.0020236,-0.0042363,0.70914,0.26008
0.0026019,-0.04089,-0.0011791,0.00075455,0.011702,-5.8957e-05,-0.0028619,0.8035,0.1757
0.0048209,-0.063337,0.010569,0.0013981,0.010131,0.00052846,-0.004433,0.69564,0.27215
-0.0014567,-0.036778,-0.0089831,-0.00042243,0.01199,-0.00044915,-0.0025741,0.82327,0.15803
-0.004452,-0.041012,-0.0033946,-0.0012911,0.011694,-0.00016973,-0.0028704,0.80292,0.17622
0.00078179,-0.05643,-0.036946,0.00022672,0.010615,-0.0018473,-0.0039495,0.72883,0.24247
-0.0019037,-0.045425,-0.011118,-0.00055208,0.011385,-0.0005559,-0.0031793,0.78171,0.19519
-0.0014571,-0.053108,-0.00126,-0.00042256,0.010847,-6.2999e-05,-0.003717,0.74479,0.2282
-0.0015614,-0.03731,-0.0015534,-0.0004528,0.011953,-7.767e-05,-0.0026113,0.82071,0.16032
0.0028475,-0.032477,-0.002708,0.00082577,0.012291,-0.0001354,-0.002273,0.84394,0.13955
0.0033666,-0.03529,0.029747,0.00097632,0.012094,0.0014874,-0.0024699,0.83042,0.15164
-0.0019286,-0.039959,0.00087606,-0.0005593,0.011768,4.3803e-05,-0.0027967,0.80798,0.1717
0.0037054,-0.040134,-0.016411,0.0010746,0.011755,-0.00082057,-0.002809,0.80714,0.17245
0.0012461,-0.04338,-0.022958,0.00036138,0.011528,-0.0011479,-0.0030362,0.79154,0.1864
-0.014441,-0.061987,-0.020582,-0.0041879,0.010226,-0.0010291,-0.0043385,0.70213,0.26635
-0.0035729,-0.043998,-0.017426,-0.0010361,0.011485,-0.00087132,-0.0030794,0.78857,0.18905
