% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.0034602,-0.046657,-0.019105,-0.0010035,0.012696,-0.00095526,-0.0032655,0.79543,0.20048
3.3485e-05,-0.033223,-0.011088,9.7107e-06,0.013637,-0.00055441,-0.0023253,0.85433,0.14276
0.00029279,-0.0404,-0.017965,8.4908e-05,0.013135,-0.00089827,-0.0028275,0.82287,0.17359
0.00051569,-0.030666,-0.00020932,0.00014955,0.013816,-1.0466e-05,-0.0021463,0.86554,0.13177
0.001647,-0.053486,-0.016236,0.00047763,0.012218,-0.00081179,-0.0037434,0.76549,0.22982
0.0024072,-0.039873,-0.0089264,0.00069808,0.013171,-0.00044632,-0.0027907,0.82517,0.17133
0.0026046,-0.050111,-0.0055599,0.00075532,0.012455,-0.00027799,-0.0035072,0.78029,0.21532
0.00012282,-0.052348,-0.010824,3.5617e-05,0.012298,-0.00054118,-0.0036638,0.77048,0.22493
0.0019666,-0.051557,-0.017778,0.00057032,0.012353,-0.0008889,-0.0036084,0.77394,0.22154
-0.0022974,-0.035219,0.015016,-0.00066624,0.013497,0.00075078,-0.0024649,0.84558,0.15133
0.00074872,-0.051577,-0.014562,0.00021713,0.012352,-0.0007281,-0.0036098,0.77385,0.22162
0.00039935,-0.034079,0.012007,0.00011581,0.013577,0.00060033,-0.0023852,0.85058,0.14643
-0.00021022,-0.037665,0.0089156,-6.0963e-05,0.013326,0.00044578,-0.0026361,0.83485,0.16184
0.0025797,-0.042609,-0.0062407,0.00074811,0.01298,-0.00031203,-0.0029822,0.81318,0.18309
0.0008742,-0.048337,-0.011716,0.00025352,0.012579,-0.0005858,-0.003383,0.78806,0.2077
0.0030493,-0.041484,0.011981,0.0008843,0.013059,0.00059904,-0.0029034,0.81811,0.17825
0.0018041,-0.03846,-0.0052884,0.0005232,0.01327,-0.00026442,-0.0026918,0.83137,0.16526
-0.0083536,-0.068185,-0.016959,-0.0024226,0.01119,-0.00084794,-0.0047722,0.70104,0.29298
0.0013958,-0.050376,-0.012868,0.0004048,0.012436,-0.00064341,-0.0035258,0.77912,0.21646
0.0014815,-0.041994,-0.021065,0.00042964,0.013023,-0.0010533,-0.0029391,0.81587,0.18044
0.0065657,-0.040649,0.049752,0.0019041,0.013117,0.0024876,-0.002845,0.82177,0.17466
0.0088648,-0.073811,-0.0046941,0.0025708,0.010796,-0.00023471,-0.005166,0.67637,0.31716
0.00077833,-0.03508,-0.014266,0.00022571,0.013507,-0.00071328,-0.0024552,0.84619,0.15073
-0.0033217,-0.054794,-0.03802,-0.00096329,0.012127,-0.001901,-0.003835,0.75975,0.23544
-0.0016859,-0.054855,-0.016107,-0.0004889,0.012123,-0.00080536,-0.0038392,0.75948,0.23571
0.0013306,-0.044295,0.0028982,0.00038587,0.012862,0.00014491,-0.0031002,0.80578,0.19033
-0.00065294,-0.048137,0.00090545,-0.00018935,0.012593,4.5273e-05,-0.003369,0.78894,0.20684
-0.00018414,-0.042895,-0.032765,-5.3399e-05,0.01296,-0.0016382,-0.0030021,0.81193,0.18431
0.00023526,-0.077926,-0.038403,6.8225e-05,0.010508,-0.0019202,-0.005454,0.65833,0.33484
0.0037783,-0.045466,-0.0039054,0.0010957,0.01278,-0.00019527,-0.0031821,0.80065,0.19536
-0.0001107,-0.04895,-0.017208,-3.2102e-05,0.012536,-0.00086039,-0.003426,0.78537,0.21034
0.00048875,-0.05667,-0.0068807,0.00014174,0.011996,-0.00034404,-0.0039663,0.75153,0.24351
-0.00074837,-0.035545,-0.011494,-0.00021703,0.013474,-0.00057469,-0.0024878,0.84415,0.15274
0.0070703,-0.05603,0.0047902,0.0020504,0.01204,0.00023951,-0.0039215,0.75433,0.24076
-0.0022006,-0.036966,-0.043216,-0.00063818,0.013375,-0.0021608,-0.0025872,0.83792,0.15884
0.010994,-0.066336,-0.044355,0.0031882,0.011319,-0.0022178,-0.0046428,0.70914,0.28504
0.0028516,-0.044815,-0.0012923,0.00082696,0.012825,-6.4615e-05,-0.0031365,0.80351,0.19256
0.0052836,-0.069416,0.011584,0.0015322,0.011103,0.00057918,-0.0048583,0.69564,0.29827
-0.0015965,-0.040308,-0.0098452,-0.00046298,0.013141,-0.00049226,-0.0028211,0.82327,0.1732
