% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-0.0016692,-1.5706e-14,0,0.0010995,0,0,-0.00050077,0.68708,201.58
-0.0016828,-3.1412e-14,0,0.0010955,0,0,-0.00050483,0.68454,203.22
-0.0016662,-1.5706e-14,0,0.0011004,0,0,-0.00049987,0.68764,201.22
-0.0016158,-1.5706e-14,0,0.0011156,0,0,-0.00048475,0.69709,195.13
-0.0017677,0,0,0.00107,0,0,-0.00053031,0.66862,213.47
-0.0017814,-1.5706e-14,0,0.0010659,0,0,-0.00053443,0.66604,215.13
-0.0019503,-3.1412e-14,0,0.0010152,0,0,-0.00058509,0.63439,235.53
-0.0015307,-1.5706e-14,0,0.0011411,0,0,-0.00045922,0.71304,184.86
-0.0019397,-3.1412e-14,0,0.0010184,0,0,-0.00058192,0.63637,234.25
-0.0018554,-1.5706e-14,0,0.0010437,0,0,-0.00055662,0.65218,224.06
-0.0016753,1.5706e-14,0,0.0010977,1.1869e-14,0,-0.0005026,0.68593,202.32
-0.0022611,-3.1412e-14,0,0.00092197,0,0,-0.00067833,0.57612,273.06
-0.001845,-1.5706e-14,0,0.0010468,0,0,-0.00055349,0.65413,222.8
-0.0015762,-1.5706e-14,0,0.0011274,0,0,-0.00047287,0.70451,190.35
-0.001387,-1.5706e-14,0,0.0011842,0,0,-0.0004161,0.73999,167.5
-0.0027241,-1.5706e-14,0,0.00078306,0,0,-0.00081724,0.48932,328.98
-0.001817,-1.5706e-14,0,0.0010552,0,0,-0.0005451,0.65938,219.43
-0.0012993,-1.5706e-14,0,0.0012105,0,0,-0.00038978,0.75643,156.9
-0.0017614,0,0,0.0010719,0,0,-0.00052843,0.66979,212.72
-0.0021813,-3.1412e-14,0,0.0009459,0,0,-0.0006544,0.59108,263.43
-0.0012379,-1.5706e-14,0,0.0012289,0,0,-0.00037137,0.76794,149.49
-0.0025904,0,0,0.00082319,0,0,-0.00077711,0.5144,312.82
-0.0013029,-3.1412e-14,0,0.0012094,0,0,-0.00039087,0.75575,157.34
-0.0014212,0,0,0.001174,0,0,-0.00042635,0.73358,171.62
-0.0022746,-1.5706e-14,0,0.00091793,0,0,-0.00068237,0.5736,274.69
-0.0019383,-1.5706e-14,0,0.0010188,0,0,-0.0005815,0.63663,234.08
-0.0015416,-1.5706e-14,0,0.0011378,0,0,-0.00046247,0.71101,186.17
-0.0013575,-1.5706e-14,0,0.0011931,0,0,-0.00040724,0.74552,163.93
-0.0013317,0,0,0.0012008,0,0,-0.00039951,0.75035,160.82
-0.0020325,-1.5706e-14,0,0.00099056,0,0,-0.00060974,0.61899,245.45
-0.0021783,-1.5706e-14,0,0.00094681,0,0,-0.00065349,0.59164,263.06
-0.0018914,0,0,0.0010329,0,0,-0.00056741,0.64543,228.41
-0.0013017,0,0,0.0012098,0,0,-0.00039052,0.75597,157.2
-0.0015833,0,0,0.0011253,0,0,-0.000475,0.70318,191.21
-0.0019679,0,0,0.0010099,0,0,-0.00059038,0.63108,237.65
-0.0013851,-1.5706e-14,0,0.0011848,0,0,-0.00041553,0.74034,167.27
-0.0017145,0,0,0.0010859,0,0,-0.00051435,0.67859,207.05
-0.0022219,0,0,0.00093374,0,0,-0.00066656,0.58348,268.32
-0.0016035,0,0,0.0011193,0,0,-0.00048104,0.69941,193.64
-0.0015767,0,0,0.0011273,0,0,-0.00047301,0.70443,190.41
-0.0019684,-1.5706e-14,0,0.0010098,0,0,-0.00059052,0.631,237.71
-0.0013856,1.5706e-14,0,0.0011846,1.1869e-14,0,-0.00041568,0.74025,167.33
-0.0022302,-1.5706e-14,0,0.00093125,0,0,-0.00066905,0.58192,269.32
-0.0015023,0,0,0.0011496,0,0,-0.00045068,0.71838,181.42
-0.0030566,0,0,0.00068332,0,0,-0.00091698,0.42699,369.13
-0.0017004,-3.1412e-14,0,0.0010902,0,0,-0.00051013,0.68123,205.35
