% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-0.023975,-1.5706e-14,0,0.015792,0,0,-0.0071924,0.68708,2895.3
-0.024169,-3.1412e-14,0,0.015734,0,0,-0.0072507,0.68454,2918.7
-0.023932,-1.5706e-14,0,0.015805,0,0,-0.0071795,0.68764,2890.1
-0.023208,-1.5706e-14,0,0.016022,0,0,-0.0069623,0.69709,2802.6
-0.025389,0,0,0.015368,0,0,-0.0076167,0.66862,3066.1
-0.025586,-1.5706e-14,0,0.015309,0,0,-0.0076759,0.66604,3089.9
-0.028012,-3.1412e-14,0,0.014581,0,0,-0.0084035,0.63439,3382.8
-0.021986,-1.5706e-14,0,0.016389,0,0,-0.0065957,0.71304,2655.1
-0.02786,-3.1412e-14,0,0.014627,0,0,-0.0083579,0.63637,3364.4
-0.026648,-1.5706e-14,0,0.01499,0,0,-0.0079945,0.65218,3218.2
-0.024063,1.5706e-14,0,0.015766,1.1869e-14,0,-0.0072188,0.68593,2905.9
-0.032476,-3.1412e-14,0,0.013242,0,0,-0.0097427,0.57612,3921.9
-0.026499,-1.5706e-14,0,0.015035,0,0,-0.0079496,0.65413,3200.1
-0.022639,-1.5706e-14,0,0.016193,0,0,-0.0067917,0.70451,2734
-0.019921,-1.5706e-14,0,0.017008,0,0,-0.0059763,0.73999,2405.8
-0.039126,-1.5706e-14,0,0.011247,0,0,-0.011738,0.48932,4725
-0.026097,-1.5706e-14,0,0.015156,0,0,-0.0078291,0.65938,3151.6
-0.018661,-1.5706e-14,0,0.017386,0,0,-0.0055983,0.75643,2253.6
-0.025299,0,0,0.015395,0,0,-0.0075898,0.66979,3055.2
-0.03133,-3.1412e-14,0,0.013586,0,0,-0.009399,0.59108,3783.5
-0.017779,-1.5706e-14,0,0.017651,0,0,-0.0053338,0.76794,2147.1
-0.037205,0,0,0.011823,0,0,-0.011161,0.5144,4493
-0.018713,-3.1412e-14,0,0.017371,0,0,-0.0056139,0.75575,2259.9
-0.020412,0,0,0.016861,0,0,-0.0061235,0.73358,2465
-0.032669,-1.5706e-14,0,0.013184,0,0,-0.0098007,0.5736,3945.2
-0.02784,-1.5706e-14,0,0.014633,0,0,-0.0083519,0.63663,3362
-0.022141,-1.5706e-14,0,0.016342,0,0,-0.0066423,0.71101,2673.8
-0.019497,-1.5706e-14,0,0.017136,0,0,-0.0058491,0.74552,2354.5
-0.019127,0,0,0.017247,0,0,-0.0057381,0.75035,2309.8
-0.029192,-1.5706e-14,0,0.014227,0,0,-0.0087575,0.61899,3525.3
-0.031287,-1.5706e-14,0,0.013599,0,0,-0.009386,0.59164,3778.3
-0.027165,0,0,0.014835,0,0,-0.0081496,0.64543,3280.6
-0.018697,0,0,0.017376,0,0,-0.005609,0.75597,2257.9
-0.022741,0,0,0.016162,0,0,-0.0068223,0.70318,2746.3
-0.028265,0,0,0.014505,0,0,-0.0084794,0.63108,3413.4
-0.019894,-1.5706e-14,0,0.017017,0,0,-0.0059682,0.74034,2402.5
-0.024625,0,0,0.015597,0,0,-0.0073875,0.67859,2973.8
-0.031912,0,0,0.013411,0,0,-0.0095736,0.58348,3853.8
-0.02303,0,0,0.016076,0,0,-0.006909,0.69941,2781.2
