% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.0020239,-0.02729,-0.011174,-0.00058692,0.0074261,-0.00055872,-0.0019101,0.79541,0.11726
1.9585e-05,-0.019432,-0.0064854,5.6797e-06,0.0079761,-0.00032427,-0.0013601,0.85432,0.083498
0.00017125,-0.023629,-0.010508,4.9662e-05,0.0076823,-0.00052539,-0.0016539,0.82285,0.10153
0.00030162,-0.017936,-0.00012243,8.7471e-05,0.0080808,-6.1213e-06,-0.0012554,0.86553,0.07707
0.00096332,-0.031284,-0.0094962,0.00027936,0.0071465,-0.00047481,-0.0021897,0.76547,0.13442
0.0014079,-0.023321,-0.005221,0.0004083,0.0077039,-0.00026105,-0.0016323,0.82516,0.10021
0.0015234,-0.029309,-0.0032519,0.00044178,0.0072847,-0.0001626,-0.0020515,0.78027,0.12594
7.1836e-05,-0.030618,-0.0063307,2.0832e-05,0.0071931,-0.00031653,-0.0021431,0.77046,0.13156
0.0011503,-0.030156,-0.010398,0.00033358,0.0072255,-0.00051991,-0.0021107,0.77393,0.12958
-0.0013437,-0.020599,0.0087825,-0.00038968,0.0078944,0.00043913,-0.0014418,0.84557,0.088514
0.00043792,-0.030167,-0.0085172,0.000127,0.0072246,-0.00042586,-0.0021115,0.77384,0.12963
0.00023358,-0.019933,0.0070226,6.7737e-05,0.0079411,0.00035113,-0.0013952,0.85057,0.085649
-0.00012296,-0.02203,0.0052147,-3.5657e-05,0.0077943,0.00026073,-0.001542,0.83484,0.094661
0.0015089,-0.024922,-0.0036501,0.00043757,0.0075918,-0.00018251,-0.0017444,0.81316,0.10709
0.00051131,-0.028272,-0.0068526,0.00014828,0.0073573,-0.00034263,-0.0019788,0.78805,0.12148
0.0017835,-0.024264,0.0070075,0.00051722,0.0076379,0.00035038,-0.0016983,0.8181,0.10426
0.0010552,-0.022495,-0.0030932,0.00030601,0.0077617,-0.00015466,-0.0015745,0.83136,0.096659
-0.004886,-0.039881,-0.009919,-0.0014169,0.0065447,-0.00049595,-0.0027914,0.70102,0.17136
0.00081642,-0.029465,-0.0075265,0.00023676,0.0072738,-0.00037632,-0.0020623,0.77911,0.12661
0.00086653,-0.024562,-0.012321,0.00025129,0.007617,-0.00061605,-0.0017192,0.81586,0.10554
0.0038402,-0.023775,0.0291,0.0011137,0.0076721,0.001455,-0.0016641,0.82176,0.10216
0.005185,-0.043172,-0.0027456,0.0015036,0.0063143,-0.00013728,-0.0030217,0.67635,0.1855
0.00045524,-0.020518,-0.0083438,0.00013202,0.0079001,-0.00041719,-0.0014361,0.84618,0.088163
-0.0019428,-0.032049,-0.022237,-0.00056342,0.0070929,-0.0011119,-0.0022432,0.75974,0.13771
-0.00098606,-0.032084,-0.009421,-0.00028596,0.0070905,-0.00047105,-0.0022457,0.75947,0.13786
0.00077826,-0.025908,0.0016951,0.00022569,0.0075228,8.4757e-05,-0.0018134,0.80577,0.11132
-0.0003819,-0.028155,0.00052959,-0.00011075,0.0073655,2.648e-05,-0.0019707,0.78893,0.12098
-0.0001077,-0.025089,-0.019164,-3.1233e-05,0.0075801,-0.00095819,-0.0017561,0.81191,0.1078
0.0001376,-0.045578,-0.022462,3.9905e-05,0.0061459,-0.0011231,-0.0031902,0.6583,0.19585
0.0022099,-0.026593,-0.0022842,0.00064088,0.0074749,-0.00011421,-0.0018613,0.80064,0.11427
-6.4746e-05,-0.028631,-0.010065,-1.8776e-05,0.0073322,-0.00050324,-0.002004,0.78536,0.12302
0.00028586,-0.033146,-0.0040245,8.2901e-05,0.0070161,-0.00020122,-0.00232,0.75151,0.14242
-0.00043772,-0.02079,-0.0067227,-0.00012694,0.007881,-0.00033613,-0.0014552,0.84414,0.089334
0.0041354,-0.032772,0.0028018,0.0011993,0.0070423,0.00014009,-0.0022938,0.75432,0.14082
-0.0012871,-0.021621,-0.025277,-0.00037327,0.0078229,-0.0012638,-0.0015133,0.83791,0.092904
0.0064301,-0.038799,-0.025943,0.0018647,0.0066204,-0.0012972,-0.0027157,0.70913,0.16672
0.0016679,-0.026212,-0.00075586,0.00048368,0.0075015,-3.7793e-05,-0.0018347,0.80349,0.11263
0.0030903,-0.040601,0.0067752,0.0008962,0.0064943,0.00033876,-0.0028418,0.69562,0.17446
-0.00093376,-0.023576,-0.0057584,-0.00027079,0.0076861,-0.00028792,-0.0016501,0.82326,0.1013
-0.0028539,-0.02629,-0.002176,-0.00082762,0.0074961,-0.0001088,-0.0018401,0.80291,0.11296
0.00050115,-0.036173,-0.023683,0.00014533,0.0068042,-0.0011842,-0.0025319,0.72881,0.15543
-0.0012203,-0.029119,-0.0071269,-0.00035389,0.007298,-0.00035634,-0.0020381,0.7817,0.12512
-0.00093403,-0.034044,-0.00080768,-0.00027087,0.0069533,-4.0384e-05,-0.0023828,0.74478,0.14628
-0.0010009,-0.023917,-0.00099577,-0.00029026,0.0076622,-4.9789e-05,-0.001674,0.8207,0.10277
0.0018253,-0.020818,-0.0017359,0.00052934,0.0078791,-8.6795e-05,-0.0014571,0.84393,0.089454
0.0021581,-0.022622,0.019069,0.00062585,0.0077528,0.00095344,-0.0015834,0.83041,0.097204
-0.0012363,-0.025615,0.00056158,-0.00035853,0.0075433,2.8079e-05,-0.0017929,0.80797,0.11006
0.0023753,-0.025727,-0.01052,0.00068883,0.0075355,-0.00052601,-0.0018007,0.80713,0.11055
0.00079881,-0.027808,-0.014717,0.00023166,0.0073898,-0.00073583,-0.0019464,0.79153,0.11949
-0.0092571,-0.039735,-0.013194,-0.0026846,0.0065549,-0.00065968,-0.0027812,0.70211,0.17074
-0.0022903,-0.028204,-0.011171,-0.0006642,0.0073621,-0.00055854,-0.0019741,0.78856,0.12119
-0.0004383,-0.028531,-0.015598,-0.00012711,0.0073392,-0.00077988,-0.001997,0.78611,0.1226
-0.001463,-0.028531,-0.010477,-0.00042426,0.0073392,-0.00052384,-0.001997,0.78611,0.12259
0.00025124,-0.021485,-0.0089052,7.2861e-05,0.0078324,-0.00044526,-0.0015038,0.83893,0.092317
-0.00073064,-0.021838,0.00043705,-0.00021189,0.0078077,2.1852e-05,-0.0015285,0.83628,0.093836
-0.00070706,-0.023915,-0.0029827,-0.00020505,0.0076623,-0.00014913,-0.0016739,0.82071,0.10276
-8.6619e-05,-0.030738,0.0086898,-2.5119e-05,0.0071847,0.00043449,-0.0021514,0.76956,0.13208
-0.00026205,-0.023542,0.0029016,-7.5994e-05,0.0076884,0.00014508,-0.0016478,0.82351,0.10116
-0.0039592,-0.032003,-0.010135,-0.0011482,0.0070962,-0.00050675,-0.00224,0.76008,0.13751
-0.0010948,-0.021877,0.0013723,-0.0003175,0.007805,6.8616e-05,-0.0015312,0.83599,0.094002
0.0046803,-0.022414,0.010127,0.0013573,0.0077673,0.00050633,-0.0015689,0.83196,0.096313
-0.00065556,-0.023311,-0.0073192,-0.00019011,0.0077046,-0.00036596,-0.0016316,0.82524,0.10017
-0.0039001,-0.046468,-0.020431,-0.001131,0.0060836,-0.0010215,-0.0032524,0.65164,0.19967
0.0031842,-0.036269,0.00047783,0.00092343,0.0067975,2.3891e-05,-0.0025386,0.7281,0.15584
6.1421e-06,-0.02089,-0.0057831,1.7812e-06,0.007874,-0.00028916,-0.0014622,0.84339,0.089764
0.0031561,-0.026687,-0.0010928,0.00091528,0.0074683,-5.4639e-05,-0.0018679,0.79993,0.11467
0.0013381,-0.028798,-0.02025,0.00038806,0.0073205,-0.0010125,-0.0020157,0.7841,0.12374
0.00055307,-0.044578,-0.014802,0.00016039,0.0062159,-0.00074009,-0.0031202,0.6658,0.19155
-0.0031483,-0.030913,-0.011711,-0.00091301,0.0071725,-0.00058556,-0.0021637,0.76825,0.13283
4.9669e-05,-0.030035,0.0059068,1.4404e-05,0.0072339,0.00029534,-0.0021022,0.77483,0.12906
-0.0023762,-0.026483,-0.0073912,-0.00068908,0.0074825,-0.00036956,-0.0018537,0.80146,0.1138
1.6649e-05,-0.024484,0.0019528,4.8281e-06,0.0076225,9.7641e-05,-0.0017137,0.81645,0.10521
-0.0028508,-0.020208,-0.0065658,-0.00082674,0.0079218,-0.00032829,-0.0014144,0.8485,0.086833
0.00041039,-0.025182,-0.0051357,0.00011901,0.0075736,-0.00025679,-0.0017626,0.81121,0.10821
-0.0021446,-0.042283,-0.0073214,-0.00062192,0.0063765,-0.00036607,-0.0029596,0.68301,0.18169
0.00038914,-0.02346,-0.0012666,0.00011285,0.0076941,-6.3331e-05,-0.0016421,0.82412,0.10081
-0.0005619,-0.020443,-0.0022155,-0.00016295,0.0079054,-0.00011077,-0.0014309,0.84674,0.087841
0.0046439,-0.032903,0.00036215,0.0013467,0.0070331,1.8108e-05,-0.002303,0.75333,0.14138
-0.0024328,-0.025377,-0.020542,-0.00070551,0.00756,-0.0010271,-0.0017762,0.80975,0.10904
-0.0011267,-0.025401,-0.0031156,-0.00032674,0.0075583,-0.00015578,-0.0017779,0.80957,0.10914
0.00071156,-0.022151,-0.0049477,0.00020635,0.0077858,-0.00024739,-0.0015504,0.83394,0.095181
-1.8847e-05,-0.020768,-0.00013473,-5.4656e-06,0.0078826,-6.7365e-06,-0.0014537,0.8443,0.08924
-0.0012091,-0.038181,-0.01806,-0.00035063,0.0066637,-0.000903,-0.0026724,0.71376,0.16406
0.0023348,-0.01968,0.003486,0.0006771,0.0079587,0.0001743,-0.0013775,0.85246,0.084564
0.0061827,-0.034038,-0.0083743,0.001793,0.0069537,-0.00041871,-0.0023824,0.74482,0.14626
0.0018982,-0.04189,-0.010027,0.00055049,0.0064041,-0.00050135,-0.002932,0.68596,0.17999
-0.0021586,-0.021424,-0.0045771,-0.00062599,0.0078367,-0.00022885,-0.0014995,0.83939,0.092057
-0.00084075,-0.029977,0.0082611,-0.00024382,0.007238,0.00041306,-0.0020982,0.77527,0.12881
-0.00045798,-0.021801,-0.0034294,-0.00013281,0.0078103,-0.00017147,-0.0015259,0.83656,0.093677
-0.0010149,-0.030975,-0.0040848,-0.00029431,0.0071681,-0.00020424,-0.0021681,0.76778,0.1331
-0.0061444,-0.030699,-0.019333,-0.0017819,0.0071874,-0.00096663,-0.0021487,0.76985,0.13191
0.0021305,-0.025052,-0.0032936,0.00061785,0.0075827,-0.00016468,-0.0017535,0.81219,0.10765
-0.0012131,-0.025317,-0.013069,-0.0003518,0.0075642,-0.00065343,-0.001772,0.8102,0.10879
0.0026335,-0.024945,-0.0064696,0.00076372,0.0075902,-0.00032348,-0.001746,0.81299,0.10719
-0.00061798,-0.027922,-0.0031779,-0.00017921,0.0073818,-0.00015889,-0.0019543,0.79067,0.11998
0.0016996,-0.037088,-0.0069766,0.00049289,0.0067402,-0.00034883,-0.0025959,0.72195,0.15936
-0.00077231,-0.035817,-0.0026323,-0.00022397,0.0068292,-0.00013161,-0.0025069,0.73149,0.1539
-0.0028151,-0.018532,-0.0071022,-0.00081637,0.0080391,-0.00035511,-0.0012971,0.86107,0.079631
0.00053731,-0.025165,-0.0010243,0.00015582,0.0075748,-5.1214e-05,-0.0017614,0.81134,0.10813
-0.00014364,-0.029278,-0.015493,-4.1656e-05,0.0072869,-0.00077466,-0.0020493,0.7805,0.12581
0.0001426,-0.023065,0.0023816,4.1355e-05,0.0077218,0.00011908,-0.0016144,0.82708,0.099109
-0.0050485,-0.054329,-0.041366,-0.0014641,0.0055333,-0.0020683,-0.0038027,0.5927,0.23345
-0.0012062,-0.019792,-0.013197,-0.00034979,0.0079509,-0.00065985,-0.0013853,0.85162,0.085043
0.00051953,-0.019578,-0.0075101,0.00015066,0.0079659,-0.0003755,-0.0013703,0.85323,0.084123
-0.00032447,-0.026881,-0.0058416,-9.4096e-05,0.0074547,-0.00029208,-0.0018815,0.79848,0.1155
0.0040314,-0.047904,-0.0052283,0.0011691,0.0059831,-0.00026141,-0.0033529,0.64087,0.20584
0.0013461,-0.027258,-0.0055647,0.00039038,0.0074283,-0.00027823,-0.0019079,0.79565,0.11713
-0.0010867,-0.028991,-0.0054622,-0.00031514,0.007307,-0.00027311,-0.0020292,0.78266,0.12457
-0.0022281,-0.038447,-0.0067793,-0.00064616,0.0066451,-0.00033897,-0.002691,0.71177,0.1652
-0.0018414,-0.051394,-0.010935,-0.00053401,0.0057388,-0.00054674,-0.0035973,0.6147,0.22084
0.0011879,-0.039544,-0.0022899,0.00034448,0.0065682,-0.00011449,-0.0027679,0.70354,0.16992
-0.0025126,-0.031013,-0.0097463,-0.00072865,0.0071655,-0.00048732,-0.0021707,0.7675,0.13326
-0.0032717,-0.026084,-0.012907,-0.00094879,0.0075105,-0.00064533,-0.0018257,0.80445,0.11208
0.00070967,-0.032495,-0.017361,0.0002058,0.0070617,-0.00086805,-0.0022745,0.75639,0.13963
-0.0018866,-0.027303,0.0052306,-0.00054713,0.0074251,0.00026153,-0.0019111,0.79531,0.11732
0.00075426,-0.028787,-0.0074724,0.00021873,0.0073212,-0.00037362,-0.0020149,0.78418,0.1237
-0.00025415,-0.018446,-0.0065144,-7.3705e-05,0.0080452,-0.00032572,-0.0012911,0.86172,0.079259
-0.0018307,-0.020411,-0.0099594,-0.00053089,0.0079076,-0.00049797,-0.0014286,0.84698,0.087702
0.00022358,-0.031336,-0.021062,6.4838e-05,0.0071429,-0.0010531,-0.0021933,0.76508,0.13465
0.00049807,-0.025479,-0.0041393,0.00014444,0.0075528,-0.00020696,-0.0017833,0.80899,0.10948
-0.0015347,-0.032787,-0.0078885,-0.00044506,0.0070412,-0.00039443,-0.0022949,0.7542,0.14088
0.0040969,-0.027568,0.00066196,0.0011881,0.0074066,3.3098e-05,-0.0019296,0.79333,0.11846
0.00071572,-0.042238,-0.0089885,0.00020756,0.0063797,-0.00044943,-0.0029564,0.68335,0.18149
9.6488e-05,-0.032362,-0.010502,2.7982e-05,0.007071,-0.00052509,-0.0022651,0.75738,0.13906
-0.00071032,-0.024696,-0.0086526,-0.00020599,0.0076077,-0.00043263,-0.0017285,0.81486,0.10612
0.00051923,-0.022885,-0.0022425,0.00015058,0.0077344,-0.00011212,-0.0016018,0.82844,0.098333
-0.00066812,-0.028312,-0.0037847,-0.00019375,0.0073545,-0.00018924,-0.0019816,0.78775,0.12165
-0.0018211,-0.042622,-0.02464,-0.00052812,0.0063528,-0.001232,-0.0029833,0.68047,0.18314
-0.0023244,-0.021307,-0.0078579,-0.00067406,0.0078449,-0.00039289,-0.0014914,0.84026,0.091554
-0.00030331,-0.025158,0.0010536,-8.7959e-05,0.0075753,5.268e-05,-0.0017609,0.8114,0.1081
2.0506e-06,-0.024412,-0.01081,5.9466e-07,0.0076275,-0.00054051,-0.0017087,0.81699,0.10489
-0.00061891,-0.028032,-0.011297,-0.00017948,0.0073741,-0.00056484,-0.0019621,0.78984,0.12045
-0.0017805,-0.037962,-0.01321,-0.00051635,0.0066791,-0.0006605,-0.0026571,0.71541,0.16312
-0.00078571,-0.022678,-0.0023492,-0.00022786,0.0077489,-0.00011746,-0.0015873,0.82999,0.097445
-6.2853e-05,-0.025314,0.0098407,-1.8228e-05,0.0075644,0.00049203,-0.0017718,0.81022,0.10877
-0.00058333,-0.025911,-0.0055051,-0.00016917,0.0075226,-0.00027526,-0.0018136,0.80575,0.11134
0.0029977,-0.027954,-0.00303,0.00086933,0.0073796,-0.0001515,-0.0019566,0.79043,0.12012
-0.0026581,-0.029239,-0.01425,-0.00077086,0.0072896,-0.0007125,-0.0020465,0.7808,0.12564
0.0016548,-0.028231,-7.856e-05,0.0004799,0.0073602,-3.928e-06,-0.001976,0.78835,0.12131
