% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-0.0041865,-0.05645,-0.023115,-0.0012141,0.015361,-0.0011558,-0.0039508,0.79543,0.24256
4.0514e-05,-0.040197,-0.013415,1.1749e-05,0.016499,-0.00067077,-0.0028132,0.85433,0.17272
0.00035424,-0.048879,-0.021736,0.00010273,0.015891,-0.0010868,-0.0034209,0.82287,0.21003
0.00062393,-0.037102,-0.00025325,0.00018094,0.016716,-1.2662e-05,-0.0025967,0.86555,0.15942
0.0019927,-0.064712,-0.019644,0.00057788,0.014783,-0.00098218,-0.004529,0.76549,0.27806
0.0029124,-0.048242,-0.0108,0.00084461,0.015936,-0.00054,-0.0033763,0.82518,0.20729
0.0031512,-0.060629,-0.0067269,0.00091386,0.015069,-0.00033634,-0.0042432,0.78029,0.26052
0.0001486,-0.063336,-0.013095,4.3093e-05,0.014879,-0.00065477,-0.0044326,0.77048,0.27215
0.0023794,-0.062379,-0.021509,0.00069003,0.014946,-0.0010755,-0.0043657,0.77395,0.26804
-0.0027796,-0.042611,0.018167,-0.00080608,0.01633,0.00090836,-0.0029822,0.84558,0.1831
0.00090587,-0.062403,-0.017618,0.0002627,0.014945,-0.00088092,-0.0043674,0.77386,0.26814
0.00048317,-0.041232,0.014527,0.00014012,0.016427,0.00072634,-0.0028857,0.85058,0.17717
-0.00025434,-0.045571,0.010787,-7.3759e-05,0.016123,0.00053935,-0.0031893,0.83486,0.19581
0.0031212,-0.051553,-0.0075505,0.00090514,0.015704,-0.00037753,-0.003608,0.81318,0.22152
0.0010577,-0.058482,-0.014175,0.00030673,0.015219,-0.00070876,-0.0040929,0.78807,0.25129
0.0036894,-0.050191,0.014496,0.0010699,0.0158,0.00072478,-0.0035127,0.81812,0.21567
0.0021828,-0.046533,-0.0063984,0.00063301,0.016056,-0.00031992,-0.0032567,0.83137,0.19995
-0.010107,-0.082497,-0.020518,-0.002931,0.013538,-0.0010259,-0.0057737,0.70105,0.35448
0.0016888,-0.06095,-0.015569,0.00048976,0.015046,-0.00077845,-0.0042657,0.77913,0.26189
0.0017925,-0.050808,-0.025487,0.00051982,0.015756,-0.0012743,-0.0035559,0.81588,0.21832
0.0079438,-0.049181,0.060195,0.0023037,0.01587,0.0030097,-0.003442,0.82178,0.21133
0.010725,-0.089304,-0.0056794,0.0031104,0.013062,-0.00028397,-0.00625,0.67638,0.38373
0.00094169,-0.042443,-0.01726,0.00027309,0.016342,-0.00086299,-0.0029704,0.8462,0.18237
-0.0040189,-0.066295,-0.046,-0.0011655,0.014672,-0.0023,-0.0046398,0.75976,0.28486
-0.0020397,-0.066368,-0.019488,-0.00059152,0.014667,-0.00097441,-0.0046449,0.75949,0.28518
0.0016099,-0.053593,0.0035065,0.00046686,0.015561,0.00017533,-0.0037508,0.80579,0.23028
-0.00078999,-0.05824,0.0010955,-0.0002291,0.015236,5.4775e-05,-0.004076,0.78895,0.25025
-0.00022278,-0.051898,-0.039642,-6.4607e-05,0.01568,-0.0019821,-0.0036322,0.81193,0.223
0.00028464,-0.094282,-0.046464,8.2546e-05,0.012713,-0.0023232,-0.0065985,0.65834,0.40512
0.0045714,-0.055009,-0.0047251,0.0013257,0.015462,-0.00023626,-0.0038499,0.80066,0.23637
-0.00013393,-0.059225,-0.02082,-3.884e-05,0.015167,-0.001041,-0.0041449,0.78538,0.25448
0.00059133,-0.068565,-0.0083249,0.00017149,0.014513,-0.00041625,-0.0047986,0.75153,0.29462
-0.00090545,-0.043006,-0.013906,-0.00026258,0.016302,-0.00069532,-0.0030099,0.84415,0.18479
0.0085544,-0.06779,0.0057956,0.0024808,0.014568,0.00028978,-0.0047444,0.75434,0.29129
-0.0026625,-0.044725,-0.052286,-0.00077213,0.016182,-0.0026143,-0.0031301,0.83792,0.19218
0.013301,-0.08026,-0.053665,0.0038573,0.013695,-0.0026833,-0.0056171,0.70915,0.34487
0.0034501,-0.054221,-0.0015636,0.0010005,0.015517,-7.8178e-05,-0.0037947,0.80351,0.23298
0.0063926,-0.083986,0.014015,0.0018538,0.013434,0.00070075,-0.0058779,0.69565,0.36088
-0.0019316,-0.048768,-0.011912,-0.00056015,0.015899,-0.00059558,-0.0034131,0.82327,0.20955
-0.0059034,-0.054382,-0.0045012,-0.001712,0.015506,-0.00022506,-0.003806,0.80293,0.23368
0.0010367,-0.074827,-0.048991,0.00030063,0.014075,-0.0024495,-0.0052369,0.72884,0.32152
-0.0025243,-0.060234,-0.014742,-0.00073206,0.015097,-0.00073712,-0.0042156,0.78172,0.25882
-0.0019321,-0.070422,-0.0016708,-0.00056031,0.014383,-8.3538e-05,-0.0049286,0.7448,0.3026
-0.0020704,-0.049474,-0.0020598,-0.00060041,0.01585,-0.00010299,-0.0034625,0.82072,0.21258
0.0037758,-0.043064,-0.0035908,0.001095,0.016298,-0.00017954,-0.0030139,0.84394,0.18504
0.0044642,-0.046795,0.039445,0.0012946,0.016037,0.0019723,-0.003275,0.83042,0.20107
-0.0025574,-0.052986,0.0011617,-0.00074164,0.015604,5.8083e-05,-0.0037083,0.80799,0.22768
0.0049134,-0.053218,-0.021762,0.0014249,0.015588,-0.0010881,-0.0037245,0.80715,0.22867
0.0016524,-0.057522,-0.030442,0.0004792,0.015286,-0.0015221,-0.0040258,0.79155,0.24717
-0.019149,-0.082195,-0.027292,-0.0055532,0.013559,-0.0013646,-0.0057526,0.70214,0.35318
-0.0047377,-0.058341,-0.023108,-0.0013739,0.015229,-0.0011554,-0.0040831,0.78858,0.25069
-0.00090665,-0.059019,-0.032265,-0.00026293,0.015182,-0.0016132,-0.0041305,0.78613,0.2536
-0.0030263,-0.059018,-0.021672,-0.00087762,0.015182,-0.0010836,-0.0041305,0.78613,0.25359
0.00051971,-0.044442,-0.018421,0.00015072,0.016202,-0.00092106,-0.0031104,0.83895,0.19096
-0.0015114,-0.045174,0.00090407,-0.0004383,0.016151,4.5203e-05,-0.0031615,0.8363,0.19411
-0.0014626,-0.049469,-0.0061699,-0.00042415,0.01585,-0.00030849,-0.0034622,0.82073,0.21256
-0.00017918,-0.063583,0.017975,-5.1961e-05,0.014862,0.00089877,-0.00445,0.76959,0.27321
-0.00054207,-0.048698,0.0060021,-0.0001572,0.015904,0.0003001,-0.0034082,0.82353,0.20925
-0.0081899,-0.0662,-0.020965,-0.0023751,0.014679,-0.0010483,-0.0046331,0.7601,0.28446
-0.0022647,-0.045253,0.0028387,-0.00065676,0.016145,0.00014194,-0.0031671,0.83601,0.19445
0.0096815,-0.046366,0.020948,0.0028076,0.016067,0.0010474,-0.003245,0.83198,0.19923
-0.0013561,-0.048221,-0.01514,-0.00039326,0.015937,-0.00075702,-0.0033748,0.82526,0.2072
-0.0080676,-0.096122,-0.042262,-0.0023396,0.012584,-0.0021131,-0.0067272,0.65167,0.41303
0.0065868,-0.075025,0.00098842,0.0019102,0.014061,4.9421e-05,-0.0052507,0.72812,0.32237
1.2705e-05,-0.043213,-0.011963,3.6846e-06,0.016288,-0.00059814,-0.0030243,0.8434,0.18568
0.0065287,-0.055203,-0.0022605,0.0018933,0.015449,-0.00011303,-0.0038635,0.79995,0.2372
0.002768,-0.059572,-0.041888,0.00080272,0.015143,-0.0020944,-0.0041692,0.78412,0.25597
0.0011441,-0.092213,-0.030619,0.00033178,0.012858,-0.0015309,-0.0064536,0.66584,0.39623
-0.0065125,-0.063945,-0.024226,-0.0018886,0.014837,-0.0012113,-0.0044753,0.76827,0.27477
0.00010274,-0.062129,0.012219,2.9796e-05,0.014964,0.00061093,-0.0043482,0.77486,0.26696
-0.0049152,-0.054783,-0.015289,-0.0014254,0.015478,-0.00076446,-0.0038341,0.80148,0.2354
3.4439e-05,-0.050647,0.0040396,9.9872e-06,0.015768,0.00020198,-0.0035446,0.81646,0.21762
-0.0058972,-0.041802,-0.013582,-0.0017102,0.016387,-0.0006791,-0.0029256,0.84852,0.17962
0.00084892,-0.052091,-0.010624,0.00024619,0.015667,-0.00053118,-0.0036457,0.81123,0.22383
-0.0044362,-0.087466,-0.015145,-0.0012865,0.01319,-0.00075724,-0.0061215,0.68304,0.37583
0.00080495,-0.048529,-0.0026201,0.00023344,0.015916,-0.000131,-0.0033964,0.82414,0.20852
-0.0011623,-0.042288,-0.0045829,-0.00033707,0.016353,-0.00022915,-0.0029596,0.84676,0.18171
0.0096062,-0.068063,0.00074914,0.0027858,0.014549,3.7457e-05,-0.0047635,0.75335,0.29246
-0.0050324,-0.052494,-0.042493,-0.0014594,0.015638,-0.0021247,-0.0036739,0.80977,0.22556
-0.0023306,-0.052543,-0.0064448,-0.00067589,0.015635,-0.00032224,-0.0036773,0.80959,0.22577
0.0014719,-0.045821,-0.010235,0.00042686,0.016105,-0.00051174,-0.0032069,0.83395,0.19689
-3.8986e-05,-0.042961,-0.0002787,-1.1306e-05,0.016306,-1.3935e-05,-0.0030067,0.84432,0.1846
-0.0025011,-0.07898,-0.037358,-0.00072531,0.013784,-0.0018679,-0.0055275,0.71379,0.33937
0.0048297,-0.04071,0.0072111,0.0014006,0.016463,0.00036055,-0.0028492,0.85247,0.17493
0.012789,-0.07041,-0.017323,0.0037089,0.014384,-0.00086614,-0.0049277,0.74485,0.30254
0.0039266,-0.086651,-0.020742,0.0011387,0.013247,-0.0010371,-0.0060644,0.68599,0.37233
-0.0044652,-0.044317,-0.009468,-0.0012949,0.016211,-0.0004734,-0.0031016,0.8394,0.19043
-0.0017391,-0.06201,0.017089,-0.00050435,0.014972,0.00085443,-0.0043399,0.77529,0.26645
-0.00094736,-0.045097,-0.0070939,-0.00027473,0.016156,-0.0003547,-0.0031562,0.83658,0.19378
-0.0020993,-0.064074,-0.0084497,-0.0006088,0.014828,-0.00042249,-0.0044843,0.76781,0.27532
-0.01271,-0.063503,-0.039991,-0.0036859,0.014868,-0.0019995,-0.0044444,0.76988,0.27287
0.0044072,-0.051822,-0.006813,0.0012781,0.015685,-0.00034065,-0.0036268,0.81221,0.22267
