% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
0,-81.353,0,0,22.951,0,-22.049,0.51001,105.54
1.5868e-14,-63.037,0,0,17.783,0,-27.217,0.39519,130.27
0,-77.091,0,0,21.748,0,-23.252,0.48329,111.29
0,-87.237,0,0,24.611,0,-20.389,0.5469,97.59
0,-64.982,0,0,18.332,0,-26.668,0.40738,127.64
0,-77.207,0,0,21.781,0,-23.219,0.48402,111.13
0,-75.349,0,0,21.257,0,-23.743,0.47238,113.64
0,-75.807,0,0,21.386,0,-23.614,0.47524,113.02
-1.5868e-14,-97.428,0,0,27.486,0,-17.514,0.61079,83.829
0,-61.135,0,0,17.247,0,-27.753,0.38327,132.83
0,-64.054,0,0,18.07,0,-26.93,0.40156,128.89
0,-72.881,0,0,20.561,0,-24.439,0.4569,116.97
-1.5868e-14,-70.686,0,0,19.941,0,-25.059,0.44314,119.94
0,-88.749,0,0,25.037,0,-19.963,0.55638,95.549
0,-67.29,0,0,18.983,0,-26.017,0.42185,124.52
0,-79.979,0,0,22.563,0,-22.437,0.5014,107.39
1.5868e-14,-84.832,0,0,23.932,0,-21.068,0.53182,100.84
-1.5868e-14,-62.741,0,0,17.7,0,-27.3,0.39333,130.67
-1.5868e-14,-87.992,0,0,24.823,0,-20.177,0.55163,96.571
-1.5868e-14,-69.598,0,0,19.634,0,-25.366,0.43632,121.41
-1.5868e-14,-71.743,0,0,20.24,0,-24.76,0.44977,118.51
0,-90.512,0,0,25.534,0,-19.466,0.56743,93.168
0,-75.236,0,0,21.225,0,-23.775,0.47166,113.8
0,-63.354,0,0,17.873,0,-27.127,0.39717,129.84
0,-71.264,0,0,20.104,0,-24.896,0.44676,119.16
0,-72.335,0,0,20.406,0,-24.594,0.45348,117.71
0,-149.98,0,0,42.311,0,-2.689,0.94024,12.87
0,-59.11,0,0,16.676,0,-28.324,0.37057,135.57
-1.5868e-14,-80.807,0,0,22.797,0,-22.203,0.50659,106.27
-1.5868e-14,-91.478,0,0,25.807,0,-19.193,0.57349,91.864
-1.5868e-14,-57.932,0,0,16.343,0,-28.657,0.36318,137.16
0,-79.061,0,0,22.304,0,-22.696,0.49564,108.63
1.5868e-14,-87.369,0,0,24.648,0,-20.352,0.54773,97.411
0,-77.883,0,0,21.972,0,-23.028,0.48826,110.22
0,-87.3,0,0,24.628,0,-20.372,0.54729,97.505
0,-68.392,0,0,19.294,0,-25.706,0.42876,123.04
-1.5868e-14,-67.113,0,0,18.933,0,-26.067,0.42074,124.76
0,-65.057,0,0,18.353,0,-26.647,0.40785,127.54
-1.5868e-14,-103.09,0,0,29.082,0,-15.918,0.64626,76.19
-1.5868e-14,-76.875,0,0,21.687,0,-23.313,0.48194,111.58
0,-84.94,0,0,23.962,0,-21.038,0.5325,100.69
0,-71.441,0,0,20.154,0,-24.846,0.44787,118.92
-1.5868e-14,-67.793,0,0,19.125,0,-25.875,0.425,123.84
-1.5868e-14,-58.567,0,0,16.522,0,-28.478,0.36716,136.3
-1.5868e-14,-73.402,0,0,20.707,0,-24.293,0.46016,116.27
0,-81.596,0,0,23.019,0,-21.981,0.51154,105.21
0,-83.391,0,0,23.526,0,-21.474,0.52279,102.78
-1.5868e-14,-81.542,0,0,23.004,0,-21.996,0.5112,105.28
0,-73.515,0,0,20.739,0,-24.261,0.46088,116.12
0,-69.591,0,0,19.632,0,-25.368,0.43628,121.42
-1.5868e-14,-80.769,0,0,22.786,0,-22.214,0.50635,106.32
-1.5868e-14,-73.114,0,0,20.626,0,-24.374,0.45836,116.66
-1.5868e-14,-127.96,0,0,36.1,0,-8.9003,0.80222,42.599
-1.5868e-14,-68.564,0,0,19.343,0,-25.657,0.42984,122.8
-1.5868e-14,-80.73,0,0,22.775,0,-22.225,0.50611,106.38
0,-62.757,0,0,17.704,0,-27.296,0.39343,130.64
-1.5868e-14,-76.641,0,0,21.621,0,-23.379,0.48047,111.9
0,-74.123,0,0,20.911,0,-24.089,0.46469,115.3
0,-82.781,0,0,23.353,0,-21.647,0.51897,103.61
0,-57.862,0,0,16.324,0,-28.676,0.36275,137.25
0,-103.71,0,0,29.257,0,-15.743,0.65015,75.351
-1.5868e-14,-62.735,0,0,17.698,0,-27.302,0.39329,130.67
0,-91.916,0,0,25.93,0,-19.07,0.57623,91.273
0,-75.856,0,0,21.4,0,-23.6,0.47555,112.96
0,-87.128,0,0,24.58,0,-20.42,0.54622,97.737
0,-67.174,0,0,18.95,0,-26.05,0.42112,124.68
-1.5868e-14,-89.053,0,0,25.123,0,-19.877,0.55828,95.139
0,-54.582,0,0,15.398,0,-29.602,0.34218,141.68
0,-71.618,0,0,20.204,0,-24.796,0.44898,118.68
0,-71.129,0,0,20.066,0,-24.934,0.44592,119.34
0,-67.958,0,0,19.172,0,-25.828,0.42604,123.62
1.5868e-14,-67.453,0,0,19.029,0,-25.971,0.42287,124.3
0,-99.375,0,0,28.035,0,-16.965,0.623,81.2
0,-78.577,0,0,22.167,0,-22.833,0.49261,109.28
0,-104.64,0,0,29.521,0,-15.479,0.65603,74.086
1.5868e-14,-92.955,0,0,26.224,0,-18.776,0.58275,89.869
1.5868e-14,-85.726,0,0,24.184,0,-20.816,0.53743,99.63
0,-71.173,0,0,20.079,0,-24.921,0.44619,119.28
0,-112.98,0,0,31.874,0,-13.126,0.7083,62.826
-1.5868e-14,-71.986,0,0,20.308,0,-24.692,0.45129,118.18
0,-73.146,0,0,20.635,0,-24.365,0.45856,116.62
-1.5868e-14,-82.234,0,0,23.199,0,-21.801,0.51554,104.35
-1.5868e-14,-87.147,0,0,24.585,0,-20.415,0.54634,97.711
-1.5868e-14,-58.004,0,0,16.364,0,-28.636,0.36364,137.06
0,-69.886,0,0,19.715,0,-25.285,0.43812,121.02
-1.5868e-14,-75.04,0,0,21.17,0,-23.83,0.47044,114.06
0,-79.807,0,0,22.515,0,-22.485,0.50032,107.62
0,-74.367,0,0,20.98,0,-24.02,0.46622,114.97
0,-72.771,0,0,20.53,0,-24.47,0.45621,117.12
-1.5868e-14,-55.79,0,0,15.739,0,-29.261,0.34975,140.05
-1.5868e-14,-93.372,0,0,26.341,0,-18.659,0.58536,89.306
0,-78.996,0,0,22.286,0,-22.714,0.49524,108.72
0,-70.766,0,0,19.964,0,-25.036,0.44364,119.83
-1.5868e-14,-105.7,0,0,29.819,0,-15.181,0.66264,72.661
-1.5868e-14,-85.565,0,0,24.139,0,-20.861,0.53642,99.848
0,-73.294,0,0,20.677,0,-24.323,0.45949,116.42
1.5868e-14,-90.888,0,0,25.641,0,-19.359,0.56979,92.66
0,-69.917,0,0,19.724,0,-25.276,0.43832,120.98
0,-85.549,0,0,24.134,0,-20.866,0.53632,99.87
0,-58.155,0,0,16.406,0,-28.594,0.36458,136.86
0,-57.397,0,0,16.192,0,-28.808,0.35983,137.88
0,-72.883,0,0,20.561,0,-24.439,0.45691,116.97
0,-64.106,0,0,18.085,0,-26.915,0.40189,128.82
0,-84.634,0,0,23.876,0,-21.124,0.53058,101.11
0,-86.967,0,0,24.534,0,-20.466,0.54521,97.954
-1.5868e-14,-74.421,0,0,20.995,0,-24.005,0.46656,114.89
0,-105.51,0,0,29.766,0,-15.234,0.66147,72.914
0,-85.466,0,0,24.111,0,-20.889,0.5358,99.982
-1.5868e-14,-74.824,0,0,21.109,0,-23.891,0.46908,114.35
0,-106.07,0,0,29.922,0,-15.078,0.66494,72.166
-1.5868e-14,-73.538,0,0,20.746,0,-24.254,0.46102,116.09
0,-78.559,0,0,22.162,0,-22.838,0.4925,109.31
0,-67.281,0,0,18.981,0,-26.019,0.4218,124.54
-1.5868e-14,-63.515,0,0,17.918,0,-27.082,0.39818,129.62
-1.5868e-14,-68.043,0,0,19.196,0,-25.804,0.42657,123.51
0,-85.949,0,0,24.247,0,-20.753,0.53883,99.329
0,-94.047,0,0,26.532,0,-18.468,0.58959,88.395
0,-68.837,0,0,19.42,0,-25.58,0.43155,122.44
0,-98.638,0,0,27.827,0,-17.173,0.61838,82.195
0,-72.322,0,0,20.403,0,-24.597,0.4534,117.73
0,-68.926,0,0,19.445,0,-25.555,0.4321,122.32
0,-65.832,0,0,18.572,0,-26.428,0.41271,126.49
-1.5868e-14,-81.198,0,0,22.907,0,-22.093,0.50904,105.74
0,-66.116,0,0,18.652,0,-26.348,0.41449,126.11
0,-74.189,0,0,20.929,0,-24.071,0.4651,115.21
0,-82.307,0,0,23.22,0,-21.78,0.51599,104.25
0,-77.618,0,0,21.897,0,-23.103,0.4866,110.58
0,-121.64,0,0,34.317,0,-10.683,0.76259,51.133
-1.5868e-14,-66.642,0,0,18.801,0,-26.199,0.41779,125.4
-1.5868e-14,-126.51,0,0,35.691,0,-9.3091,0.79313,44.556
1.5868e-14,-80.109,0,0,22.6,0,-22.4,0.50222,107.21
0,-62.831,0,0,17.725,0,-27.275,0.3939,130.54
0,-93.314,0,0,26.325,0,-18.675,0.585,89.384
-1.5868e-14,-52.7,0,0,14.867,0,-30.133,0.33038,144.22
0,-66.436,0,0,18.742,0,-26.258,0.41649,125.68
-1.5868e-14,-74.074,0,0,20.897,0,-24.103,0.46438,115.36
0,-130.47,0,0,36.808,0,-8.1918,0.81796,39.208
0,-59.144,0,0,16.685,0,-28.315,0.37078,135.52
0,-84.67,0,0,23.886,0,-21.114,0.53081,101.06
0,-70.827,0,0,19.981,0,-25.019,0.44403,119.75
0,-76.172,0,0,21.489,0,-23.511,0.47753,112.53
0,-68.981,0,0,19.46,0,-25.54,0.43245,122.24
0,-71.132,0,0,20.067,0,-24.933,0.44593,119.34
0,-81.107,0,0,22.881,0,-22.119,0.50847,105.87
-1.5868e-14,-68.852,0,0,19.424,0,-25.576,0.43165,122.41
-1.5868e-14,-106.09,0,0,29.93,0,-15.07,0.6651,72.131
-1.5868e-14,-76.205,0,0,21.498,0,-23.502,0.47774,112.49
-1.5868e-14,-84.614,0,0,23.871,0,-21.129,0.53046,101.13
-1.5868e-14,-86.421,0,0,24.38,0,-20.62,0.54178,98.692
0,-81.021,0,0,22.857,0,-22.143,0.50793,105.98
0,-77.953,0,0,21.991,0,-23.009,0.4887,110.13
1.5868e-14,-88.065,0,0,24.844,0,-20.156,0.55209,96.472
0,-82.634,0,0,23.312,0,-21.688,0.51805,103.8
1.5868e-14,-77.665,0,0,21.91,0,-23.09,0.48689,110.52
-1.5868e-14,-76.308,0,0,21.527,0,-23.473,0.47839,112.35
0,-71.071,0,0,20.05,0,-24.95,0.44555,119.42
0,-87.756,0,0,24.757,0,-20.243,0.55015,96.889
1.5868e-14,-71.272,0,0,20.107,0,-24.893,0.44681,119.15
0,-74.978,0,0,21.152,0,-23.848,0.47005,114.14
1.5868e-14,-87.845,0,0,24.782,0,-20.218,0.55071,96.769
0,-80.618,0,0,22.743,0,-22.257,0.50541,106.53
0,-111.69,0,0,31.508,0,-13.492,0.70017,64.578
0,-79.997,0,0,22.568,0,-22.432,0.50151,107.37
1.5868e-14,-73.392,0,0,20.705,0,-24.295,0.46011,116.28
1.5868e-14,-76.603,0,0,21.611,0,-23.389,0.48024,111.95
0,-64.046,0,0,18.068,0,-26.932,0.40151,128.9
0,-124.06,0,0,34.999,0,-10.001,0.77775,47.868
0,-68.344,0,0,19.281,0,-25.719,0.42846,123.1
-1.5868e-14,-77.695,0,0,21.919,0,-23.081,0.48708,110.47
0,-96.221,0,0,27.145,0,-17.855,0.60322,85.459
0,-62.658,0,0,17.677,0,-27.323,0.39281,130.78
0,-71.894,0,0,20.282,0,-24.718,0.45072,118.31
0,-88.835,0,0,25.061,0,-19.939,0.55692,95.432
0,-63.086,0,0,17.797,0,-27.203,0.3955,130.2
-1.5868e-14,-116.19,0,0,32.778,0,-12.222,0.7284,58.498
0,-75.851,0,0,21.398,0,-23.602,0.47552,112.96
-1.5868e-14,-82.147,0,0,23.175,0,-21.825,0.51499,104.46
1.5868e-14,-55.709,0,0,15.716,0,-29.284,0.34925,140.16
0,-57.615,0,0,16.254,0,-28.746,0.3612,137.59
0,-59.475,0,0,16.779,0,-28.221,0.37286,135.08
0,-70.439,0,0,19.872,0,-25.128,0.44159,120.27
0,-81.477,0,0,22.986,0,-22.014,0.51079,105.37
-1.5868e-14,-71.162,0,0,20.076,0,-24.924,0.44613,119.3
0,-76.282,0,0,21.52,0,-23.48,0.47822,112.38
-1.5868e-14,-95.225,0,0,26.864,0,-18.136,0.59698,86.804
0,-75.073,0,0,21.179,0,-23.821,0.47064,114.01
0,-90.092,0,0,25.416,0,-19.584,0.5648,93.735
-1.5868e-14,-108.41,0,0,30.583,0,-14.417,0.67963,69.002
0,-60.082,0,0,16.95,0,-28.05,0.37666,134.26
1.5868e-14,-61.316,0,0,17.298,0,-27.702,0.3844,132.59
0,-86.246,0,0,24.331,0,-20.669,0.54069,98.928
1.5868e-14,-81.335,0,0,22.946,0,-22.054,0.5099,105.56
-1.5868e-14,-130,0,0,36.674,0,-8.3263,0.81497,39.852
0,-67.118,0,0,18.935,0,-26.065,0.42077,124.76
0,-71.543,0,0,20.183,0,-24.817,0.44851,118.78
0,-114.23,0,0,32.225,0,-12.775,0.71611,61.144
-1.5868e-14,-60.222,0,0,16.989,0,-28.011,0.37754,134.07
0,-64.025,0,0,18.062,0,-26.938,0.40138,128.93
0,-62.717,0,0,17.693,0,-27.307,0.39318,130.7
0,-69.707,0,0,19.665,0,-25.335,0.437,121.26
0,-73.742,0,0,20.804,0,-24.196,0.4623,115.81
0,-75.303,0,0,21.244,0,-23.756,0.47209,113.7
0,-67.646,0,0,19.084,0,-25.916,0.42408,124.04
0,-65.061,0,0,18.354,0,-26.646,0.40787,127.53
0,-57.842,0,0,16.318,0,-28.682,0.36262,137.28
-1.5868e-14,-55.689,0,0,15.71,0,-29.29,0.34912,140.19
1.5868e-14,-110.21,0,0,31.091,0,-13.909,0.69091,66.572
0,-56.76,0,0,16.013,0,-28.987,0.35584,138.74
0,-80.009,0,0,22.571,0,-22.429,0.50159,107.35
0,-89.129,0,0,25.144,0,-19.856,0.55876,95.036
0,-100.05,0,0,28.226,0,-16.774,0.62725,80.283
0,-86.464,0,0,24.393,0,-20.607,0.54206,98.633
0,-110.17,0,0,31.081,0,-13.919,0.69069,66.62
0,-75.238,0,0,21.225,0,-23.775,0.47168,113.79
0,-82.425,0,0,23.253,0,-21.747,0.51673,104.09
0,-93.937,0,0,26.501,0,-18.499,0.58891,88.543
0,-78.035,0,0,22.014,0,-22.986,0.48921,110.02
0,-70.492,0,0,19.887,0,-25.113,0.44192,120.2
0,-78.653,0,0,22.189,0,-22.811,0.49308,109.18
0,-84.59,0,0,23.864,0,-21.136,0.53031,101.16
-1.5868e-14,-65.475,0,0,18.471,0,-26.529,0.41047,126.97
-1.5868e-14,-92.74,0,0,26.163,0,-18.837,0.5814,90.159
0,-98.417,0,0,27.765,0,-17.235,0.61699,82.494
0,-86.696,0,0,24.458,0,-20.542,0.54351,98.32
0,-86.57,0,0,24.422,0,-20.578,0.54272,98.49
0,-104.87,0,0,29.584,0,-15.416,0.65742,73.787
-1.5868e-14,-82.19,0,0,23.187,0,-21.813,0.51526,104.4
0,-61.799,0,0,17.434,0,-27.566,0.38743,131.94
0,-73.504,0,0,20.736,0,-24.264,0.46081,116.13
-1.5868e-14,-72.989,0,0,20.591,0,-24.409,0.45758,116.83
0,-100.49,0,0,28.35,0,-16.65,0.63001,79.69
0,-88.467,0,0,24.958,0,-20.042,0.55461,95.929
0,-89.116,0,0,25.141,0,-19.859,0.55868,95.053
0,-77.866,0,0,21.967,0,-23.033,0.48815,110.24
0,-84.072,0,0,23.718,0,-21.282,0.52706,101.86
0,-74.416,0,0,20.993,0,-24.007,0.46652,114.9
-1.5868e-14,-71.23,0,0,20.095,0,-24.905,0.44655,119.2
-1.5868e-14,-78.068,0,0,22.024,0,-22.976,0.48942,109.97
1.5868e-14,-72.728,0,0,20.517,0,-24.483,0.45594,117.18
-1.5868e-14,-77.335,0,0,21.817,0,-23.183,0.48483,110.96
-1.5868e-14,-71.838,0,0,20.266,0,-24.734,0.45036,118.38
0,-92.328,0,0,26.047,0,-18.953,0.57882,90.715
-1.5868e-14,-84.23,0,0,23.762,0,-21.238,0.52805,101.65
0,-79.123,0,0,22.321,0,-22.679,0.49603,108.55
0,-90.86,0,0,25.633,0,-19.367,0.56961,92.698
-1.5868e-14,-88.943,0,0,25.092,0,-19.908,0.5576,95.286
0,-110.78,0,0,31.252,0,-13.748,0.69449,65.803
0,-92.289,0,0,26.036,0,-18.964,0.57858,90.768
0,-102.94,0,0,29.039,0,-15.961,0.64532,76.393
0,-89.822,0,0,25.34,0,-19.66,0.56311,94.099
0,-79.188,0,0,22.34,0,-22.66,0.49644,108.46
-1.5868e-14,-86.199,0,0,24.318,0,-20.682,0.54039,98.991
-1.5868e-14,-81.861,0,0,23.094,0,-21.906,0.5132,104.85
0,-73.701,0,0,20.792,0,-24.208,0.46204,115.87
1.5868e-14,-66.316,0,0,18.709,0,-26.291,0.41575,125.84
0,-100.96,0,0,28.482,0,-16.518,0.63294,79.058
0,-62.411,0,0,17.607,0,-27.393,0.39126,131.11
1.5868e-14,-80.448,0,0,22.695,0,-22.305,0.50434,106.76
0,-58.056,0,0,16.378,0,-28.622,0.36396,136.99
0,-95.962,0,0,27.072,0,-17.928,0.6016,85.809
0,-72.467,0,0,20.444,0,-24.556,0.45431,117.53
0,-74.567,0,0,21.036,0,-23.964,0.46747,114.7
0,-75.362,0,0,21.26,0,-23.74,0.47245,113.62
-1.5868e-14,-79.023,0,0,22.293,0,-22.707,0.49541,108.68
0,-70.496,0,0,19.888,0,-25.112,0.44195,120.19
0,-91.968,0,0,25.945,0,-19.055,0.57656,91.202
0,-81.349,0,0,22.95,0,-22.05,0.50999,105.54
1.5868e-14,-76.203,0,0,21.498,0,-23.502,0.47773,112.49
0,-64.953,0,0,18.324,0,-26.676,0.4072,127.68
