% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
23.591,-180.65,59.731,6.8414,62.355,2.9866,-7.226,0.90365,776.23
-5.7414,-194.36,-18.729,-1.665,61.395,-0.93644,-7.7742,0.89634,835.13
-18.391,-271.53,-159.55,-5.3334,55.993,-7.9775,-10.861,0.85518,1166.7
-5.2246,-168.23,7.2197,-1.5151,63.224,0.36098,-6.7293,0.91028,722.88
15.911,-239.12,40.621,4.6141,58.262,2.031,-9.5647,0.87247,1027.5
4.6434,-176.82,-2.4652,1.3466,62.623,-0.12326,-7.0727,0.9057,759.76
-14.699,-191.04,-96.157,-4.2628,61.627,-4.8079,-7.6415,0.89811,820.87
-15.736,-355.32,-158.97,-4.5635,50.127,-7.9485,-14.213,0.81049,1526.8
5.5964,-203.06,-53.984,1.623,60.786,-2.6992,-8.1225,0.8917,872.54
7.0503,-241.86,-34.317,2.0446,58.069,-1.7159,-9.6746,0.87101,1039.3
-15.787,-257.18,-83.64,-4.5781,56.998,-4.182,-10.287,0.86284,1105.1
22.47,-215.55,25.614,6.5164,59.911,1.2807,-8.6221,0.88504,926.21
-13.546,-242.82,-22.915,-3.9282,58.003,-1.1458,-9.7128,0.8705,1043.4
2.4817,-167.71,-26.48,0.71968,63.26,-1.324,-6.7085,0.91055,720.64
-18.579,-216.22,-71.287,-5.3878,59.865,-3.5643,-8.6487,0.88468,929.07
18.039,-256.03,82.559,5.2313,57.078,4.128,-10.241,0.86345,1100.1
4.2822,-236.44,-133.81,1.2418,58.449,-6.6906,-9.4575,0.8739,1015.9
0.047293,-168.78,-42.322,0.013715,63.186,-2.1161,-6.7511,0.90999,725.22
8.7783,-129.92,-48.434,2.5457,65.905,-2.4217,-5.1969,0.93071,558.26
12.462,-174.8,-9.2709,3.6139,62.764,-0.46354,-6.9922,0.90677,751.12
-6.2663,-203.19,-18.95,-1.8172,60.777,-0.9475,-8.1276,0.89163,873.09
1.7339,-232.2,2.5124,0.50283,58.746,0.12562,-9.2881,0.87616,997.74
10.649,-230.71,9.0295,3.0881,58.85,0.45148,-9.2285,0.87695,991.35
0.05629,-193.16,-43.448,0.016324,61.479,-2.1724,-7.7265,0.89698,830
-4.0558,-202.15,15.131,-1.1762,60.85,0.75654,-8.0858,0.89219,868.6
5.5544,-155.02,-77.205,1.6108,64.149,-3.8602,-6.2007,0.91732,666.09
-10.094,-277.37,-64.326,-2.9272,55.584,-3.2163,-11.095,0.85207,1191.8
-28.15,-202.07,-126.37,-8.1636,60.855,-6.3183,-8.0827,0.89223,868.27
-26.163,-174.41,-30,-7.5872,62.791,-1.5,-6.9765,0.90698,749.43
13.302,-205.1,-21.803,3.8575,60.643,-1.0901,-8.2038,0.89062,881.27
15.396,-193.87,0.62841,4.4648,61.429,0.03142,-7.7549,0.8966,833.05
-5.3937,-189.66,-35.503,-1.5642,61.724,-1.7751,-7.5864,0.89885,814.95
-3.7539,-175.81,-50.026,-1.0886,62.693,-2.5013,-7.0325,0.90623,755.45
-4.628,-197.6,-83.657,-1.3421,61.168,-4.1828,-7.904,0.89461,849.07
