% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-5.2052,0,0,1.0651,0,-1.5615,0.40549,7.474
0,-4.5095,0,0,1.2738,0,-1.3528,0.48495,6.4751
0,-4.326,0,0,1.3288,0,-1.2978,0.5059,6.2117
1.5868e-14,-4.5254,0,0,1.269,0,-1.3576,0.48313,6.498
0,-3.9571,0,0,1.4395,0,-1.1871,0.54804,5.682
1.5868e-14,-5.3827,0,0,1.0118,0,-1.6148,0.38522,7.7289
1.5868e-14,-5.0506,0,0,1.1114,0,-1.5152,0.42314,7.2521
-1.5868e-14,-3.601,0,0,1.5463,0,-1.0803,0.58871,5.1706
-1.5868e-14,-4.116,0,0,1.3918,0,-1.2348,0.52989,5.9101
0,-4.2843,0,0,1.3413,0,-1.2853,0.51067,6.1518
1.5868e-14,-4.2572,0,0,1.3495,0,-1.2772,0.51376,6.1129
0,-4.0142,0,0,1.4224,0,-1.2043,0.54152,5.7639
1.5868e-14,-3.8626,0,0,1.4678,0,-1.1588,0.55883,5.5462
-1.5868e-14,-4.1275,0,0,1.3884,0,-1.2383,0.52857,5.9267
0,-3.9805,0,0,1.4325,0,-1.1942,0.54536,5.7156
1.5868e-14,-4.9177,0,0,1.1513,0,-1.4753,0.43832,7.0613
3.1736e-14,-4.7986,0,1.4827e-14,1.187,0,-1.4396,0.45193,6.8903
0,-3.9522,0,0,1.441,0,-1.1856,0.5486,5.6749
1.5868e-14,-4.6421,0,0,1.234,0,-1.3926,0.4698,6.6655
0,-4.2078,0,0,1.3643,0,-1.2623,0.51941,6.0419
0,-5.2589,0,0,1.0489,0,-1.5777,0.39935,7.5512
-1.5868e-14,-4.8801,0,0,1.1626,0,-1.464,0.44262,7.0072
3.1736e-14,-3.8216,0,1.4827e-14,1.4801,0,-1.1465,0.56351,5.4875
-1.5868e-14,-4.4635,0,0,1.2876,0,-1.339,0.4902,6.409
0,-5.4135,0,0,1.0026,0,-1.624,0.3817,7.7732
0,-4.2381,0,0,1.3552,0,-1.2714,0.51595,6.0854
-1.5868e-14,-3.9121,0,0,1.453,0,-1.1736,0.55318,5.6173
1.5868e-14,-4.3883,0,0,1.3101,0,-1.3165,0.49879,6.301
-3.1736e-14,-4.8076,0,0,1.1843,0,-1.4423,0.45089,6.9032
1.5868e-14,-3.9739,0,0,1.4345,0,-1.1922,0.54612,5.706
0,-6.3648,0,0,0.71716,0,-1.9095,0.27304,9.1392
