% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-8.1637,0,0,1.6704,0,-2.4491,0.40549,11.722
0,-7.0726,0,0,1.9978,0,-2.1218,0.48495,10.155
0,-6.7848,0,0,2.0841,0,-2.0355,0.5059,9.7423
1.5868e-14,-7.0976,0,0,1.9903,0,-2.1293,0.48313,10.191
0,-6.2063,0,0,2.2577,0,-1.8619,0.54804,8.9115
1.5868e-14,-8.4421,0,0,1.5869,0,-2.5326,0.38522,12.122
1.5868e-14,-7.9213,0,0,1.7431,0,-2.3764,0.42314,11.374
-1.5868e-14,-5.6477,0,0,2.4252,0,-1.6943,0.58871,8.1095
-1.5868e-14,-6.4554,0,0,2.1829,0,-1.9366,0.52989,9.2693
0,-6.7194,0,0,2.1037,0,-2.0158,0.51067,9.6483
1.5868e-14,-6.6769,0,0,2.1165,0,-2.0031,0.51376,9.5873
0,-6.2958,0,0,2.2308,0,-1.8887,0.54152,9.04
1.5868e-14,-6.058,0,0,2.3021,0,-1.8174,0.55883,8.6986
-1.5868e-14,-6.4735,0,0,2.1775,0,-1.9421,0.52857,9.2953
0,-6.243,0,0,2.2466,0,-1.8729,0.54536,8.9643
1.5868e-14,-7.7128,0,0,1.8057,0,-2.3139,0.43832,11.075
3.1736e-14,-7.526,0,1.4827e-14,1.8617,0,-2.2578,0.45193,10.807
0,-6.1985,0,0,2.26,0,-1.8595,0.5486,8.9003
1.5868e-14,-7.2806,0,0,1.9354,0,-2.1842,0.4698,10.454
0,-6.5994,0,0,2.1397,0,-1.9798,0.51941,9.476
0,-8.2479,0,0,1.6452,0,-2.4744,0.39935,11.843
-1.5868e-14,-7.6538,0,0,1.8234,0,-2.2961,0.44262,10.99
3.1736e-14,-5.9938,0,1.4827e-14,2.3214,0,-1.7981,0.56351,8.6064
-1.5868e-14,-7.0004,0,0,2.0194,0,-2.1001,0.4902,10.052
0,-8.4904,0,0,1.5724,0,-2.5471,0.3817,12.191
0,-6.6469,0,0,2.1255,0,-1.9941,0.51595,9.5442
-1.5868e-14,-6.1356,0,0,2.2789,0,-1.8407,0.55318,8.8101
1.5868e-14,-6.8825,0,0,2.0548,0,-2.0647,0.49879,9.8824
-3.1736e-14,-7.5402,0,0,1.8575,0,-2.2621,0.45089,10.827
1.5868e-14,-6.2325,0,0,2.2498,0,-1.8698,0.54612,8.9492
0,-9.9825,0,0,1.1248,0,-2.9947,0.27304,14.334
1.5868e-14,-5.4286,0,0,2.491,0,-1.6286,0.60467,7.7948
-1.5868e-14,-6.6509,0,0,2.1243,0,-1.9953,0.51565,9.55
1.5868e-14,-7.8168,0,0,1.7745,0,-2.345,0.43075,11.224
-1.5868e-14,-8.9485,0,0,1.435,0,-2.6845,0.34834,12.849
1.5868e-14,-7.2862,0,0,1.9337,0,-2.1858,0.46939,10.462
1.5868e-14,-7.9087,0,0,1.7469,0,-2.3726,0.42406,11.356
-1.5868e-14,-5.5902,0,0,2.4425,0,-1.6771,0.5929,8.027
-1.5868e-14,-6.5306,0,0,2.1604,0,-1.9592,0.52442,9.3772
1.5868e-14,-7.1472,0,0,1.9754,0,-2.1442,0.47951,10.263
-1.5868e-14,-8.3115,0,0,1.6261,0,-2.4934,0.39473,11.934
0,-7.3898,0,0,1.9026,0,-2.2169,0.46185,10.611
-1.5868e-14,-9.4334,0,0,1.2895,0,-2.83,0.31303,13.545
1.5868e-14,-8.5955,0,0,1.5409,0,-2.5787,0.37404,12.342
1.5868e-14,-8.0504,0,0,1.7044,0,-2.4151,0.41374,11.56
0,-8.4735,0,0,1.5775,0,-2.542,0.38293,12.167
-1.5868e-14,-7.0148,0,0,2.0151,0,-2.1044,0.48916,10.072
1.5868e-14,-9.2251,0,0,1.352,0,-2.7675,0.32819,13.246
-1.5868e-14,-6.8532,0,0,2.0636,0,-2.056,0.50092,9.8405
-1.5868e-14,-7.9026,0,0,1.7488,0,-2.3708,0.4245,11.347
0,-6.8222,0,0,2.0729,0,-2.0467,0.50318,9.7959
0,-5.0581,0,0,2.6021,0,-1.5174,0.63165,7.2629
0,-6.9891,0,0,2.0228,0,-2.0967,0.49103,10.036
-1.5868e-14,-7.2753,0,0,1.9369,0,-2.1826,0.47018,10.447
0,-6.3679,0,0,2.2092,0,-1.9104,0.53626,9.1436
1.5868e-14,-7.0202,0,0,2.0135,0,-2.1061,0.48876,10.08
0,-5.5812,0,0,2.4452,0,-1.6744,0.59356,8.014
-1.5868e-14,-6.9659,0,0,2.0298,0,-2.0898,0.49272,10.002
-1.5868e-14,-5.9953,0,0,2.321,0,-1.7986,0.5634,8.6085
-1.5868e-14,-7.5465,0,0,1.8556,0,-2.2639,0.45044,10.836
1.5868e-14,-6.2595,0,0,2.2417,0,-1.8778,0.54416,8.9879
1.5868e-14,-7.0277,0,0,2.0112,0,-2.1083,0.48822,10.091
0,-8.5312,0,0,1.5602,0,-2.5594,0.37873,12.25
1.5868e-14,-5.918,0,0,2.3441,0,-1.7754,0.56903,8.4976
0,-6.953,0,0,2.0336,0,-2.0859,0.49366,9.9837
1.5868e-14,-7.5284,0,0,1.861,0,-2.2585,0.45175,10.81
0,-7.385,0,0,1.904,0,-2.2155,0.4622,10.604
1.5868e-14,-7.671,0,0,1.8182,0,-2.3013,0.44137,11.015
1.5868e-14,-5.9222,0,0,2.3429,0,-1.7767,0.56872,8.5036
-1.5868e-14,-7.9494,0,0,1.7347,0,-2.3848,0.4211,11.414
0,-7.6916,0,0,1.8121,0,-2.3075,0.43987,11.044
0,-7.0442,0,0,2.0063,0,-2.1133,0.48702,10.115
0,-6.9332,0,0,2.0396,0,-2.08,0.4951,9.9553
0,-8.4131,0,0,1.5956,0,-2.5239,0.38733,12.08
0,-7.7047,0,0,1.8081,0,-2.3114,0.43892,11.063
0,-7.0915,0,0,1.9921,0,-2.1274,0.48357,10.183
0,-9.0593,0,0,1.4018,0,-2.7178,0.34027,13.008
-1.5868e-14,-7.2289,0,0,1.9509,0,-2.1687,0.47356,10.38
1.5868e-14,-7.0717,0,0,1.998,0,-2.1215,0.48502,10.154
0,-9.9338,0,0,1.1394,0,-2.9801,0.27658,14.264
-1.5868e-14,-6.3663,0,0,2.2096,0,-1.9099,0.53638,9.1413
0,-7.8224,0,0,1.7728,0,-2.3467,0.43035,11.232
0,-6.5979,0,0,2.1402,0,-1.9794,0.51951,9.4739
0,-9.7536,0,0,1.1935,0,-2.9261,0.28971,14.005
-1.5868e-14,-7.6407,0,0,1.8273,0,-2.2922,0.44357,10.971
1.5868e-14,-6.3351,0,0,2.219,0,-1.9005,0.53865,9.0965
0,-10.88,0,0,0.85546,0,-3.2641,0.20766,15.623
0,-10.252,0,0,1.044,0,-3.0756,0.25342,14.721
-1.5868e-14,-6.78,0,0,2.0855,0,-2.034,0.50625,9.7353
-3.1736e-14,-8.1844,0,0,1.6642,0,-2.4553,0.40398,11.752
0,-6.649,0,0,2.1248,0,-1.9947,0.5158,9.5472
-1.5868e-14,-7.3296,0,0,1.9207,0,-2.1989,0.46623,10.524
0,-7.3146,0,0,1.9252,0,-2.1944,0.46732,10.503
-1.5868e-14,-7.2774,0,0,1.9363,0,-2.1832,0.47003,10.45
-1.5868e-14,-7.368,0,0,1.9091,0,-2.2104,0.46343,10.58
-1.5868e-14,-7.29,0,0,1.9325,0,-2.187,0.46911,10.468
1.5868e-14,-7.5217,0,0,1.863,0,-2.2565,0.45225,10.8
0,-6.7735,0,0,2.0875,0,-2.0321,0.50673,9.726
-1.5868e-14,-7.8411,0,0,1.7672,0,-2.3523,0.42898,11.259
1.5868e-14,-6.1107,0,0,2.2863,0,-1.8332,0.55499,8.7743
0,-7.5695,0,0,1.8487,0,-2.2708,0.44876,10.869
0,-7.6622,0,0,1.8209,0,-2.2987,0.44201,11.002
-1.5868e-14,-6.6483,0,0,2.125,0,-1.9945,0.51584,9.5463
1.5868e-14,-7.2018,0,0,1.959,0,-2.1605,0.47554,10.341
0,-6.8488,0,0,2.0649,0,-2.0546,0.50125,9.8341
1.5868e-14,-7.5589,0,0,1.8519,0,-2.2677,0.44954,10.854
0,-6.3616,0,0,2.211,0,-1.9085,0.53672,9.1346
0,-9.098,0,0,1.3901,0,-2.7294,0.33745,13.064
-1.5868e-14,-6.8955,0,0,2.0509,0,-2.0687,0.49784,9.9012
-1.5868e-14,-8.7789,0,0,1.4859,0,-2.6337,0.36069,12.605
-1.5868e-14,-8.6525,0,0,1.5238,0,-2.5958,0.36989,12.424
-1.5868e-14,-6.9033,0,0,2.0485,0,-2.071,0.49727,9.9124
1.5868e-14,-8.5443,0,0,1.5562,0,-2.5633,0.37777,12.269
-1.5868e-14,-7.4725,0,0,1.8778,0,-2.2418,0.45582,10.73
1.5868e-14,-8.2526,0,0,1.6438,0,-2.4758,0.39901,11.85
-1.5868e-14,-7.0451,0,0,2.006,0,-2.1135,0.48695,10.116
-1.5868e-14,-7.123,0,0,1.9826,0,-2.1369,0.48128,10.228
-1.5868e-14,-6.4667,0,0,2.1795,0,-1.94,0.52907,9.2855
0,-6.5195,0,0,2.1637,0,-1.9559,0.52522,9.3613
0,-5.662,0,0,2.4209,0,-1.6986,0.58767,8.13
0,-6.0845,0,0,2.2942,0,-1.8254,0.5569,8.7367
-1.5868e-14,-6.4953,0,0,2.1709,0,-1.9486,0.52699,9.3265
0,-6.066,0,0,2.2997,0,-1.8198,0.55825,8.7101
-1.5868e-14,-6.2491,0,0,2.2448,0,-1.8747,0.54492,8.973
0,-7.4248,0,0,1.8921,0,-2.2274,0.4593,10.661
-1.5868e-14,-8.3699,0,0,1.6086,0,-2.511,0.39047,12.018
0,-6.0624,0,0,2.3008,0,-1.8187,0.55851,8.7049
0,-9.9646,0,0,1.1302,0,-2.9894,0.27434,14.308
1.5868e-14,-7.1929,0,0,1.9617,0,-2.1579,0.47618,10.328
0,-7.0394,0,0,2.0077,0,-2.1118,0.48737,10.108
1.5868e-14,-6.683,0,0,2.1146,0,-2.0049,0.51332,9.5961
0,-6.8866,0,0,2.0536,0,-2.066,0.49849,9.8884
1.5868e-14,-8.149,0,0,1.6748,0,-2.4447,0.40656,11.701
0,-7.8461,0,0,1.7657,0,-2.3538,0.42862,11.266
0,-6.8883,0,0,2.053,0,-2.0665,0.49837,9.8909
-1.5868e-14,-9.04,0,0,1.4075,0,-2.712,0.34168,12.98
0,-6.8773,0,0,2.0564,0,-2.0632,0.49917,9.875
-1.5868e-14,-9.7938,0,0,1.1814,0,-2.9381,0.28678,14.063
-1.5868e-14,-8.2921,0,0,1.6319,0,-2.4876,0.39614,11.906
