% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-5.2243,0,0,1.069,0,-1.5673,0.40549,7.5015
0,-4.5261,0,0,1.2785,0,-1.3578,0.48495,6.4989
0,-4.3419,0,0,1.3337,0,-1.3026,0.5059,6.2345
1.5868e-14,-4.542,0,0,1.2737,0,-1.3626,0.48313,6.5219
0,-3.9717,0,0,1.4448,0,-1.1915,0.54804,5.7029
1.5868e-14,-5.4025,0,0,1.0155,0,-1.6207,0.38522,7.7573
1.5868e-14,-5.0692,0,0,1.1155,0,-1.5208,0.42314,7.2788
-1.5868e-14,-3.6142,0,0,1.552,0,-1.0843,0.58871,5.1896
-1.5868e-14,-4.1311,0,0,1.3969,0,-1.2393,0.52989,5.9318
0,-4.3,0,0,1.3463,0,-1.29,0.51067,6.1744
1.5868e-14,-4.2729,0,0,1.3544,0,-1.2819,0.51376,6.1353
0,-4.0289,0,0,1.4276,0,-1.2087,0.54152,5.7851
1.5868e-14,-3.8768,0,0,1.4732,0,-1.163,0.55883,5.5666
-1.5868e-14,-4.1427,0,0,1.3935,0,-1.2428,0.52857,5.9485
0,-3.9952,0,0,1.4377,0,-1.1986,0.54536,5.7366
1.5868e-14,-4.9358,0,0,1.1555,0,-1.4807,0.43832,7.0872
3.1736e-14,-4.8162,0,1.4827e-14,1.1914,0,-1.4449,0.45193,6.9156
0,-3.9667,0,0,1.4463,0,-1.19,0.5486,5.6957
1.5868e-14,-4.6592,0,0,1.2385,0,-1.3977,0.4698,6.69
0,-4.2233,0,0,1.3693,0,-1.267,0.51941,6.0641
0,-5.2782,0,0,1.0528,0,-1.5835,0.39935,7.5789
-1.5868e-14,-4.898,0,0,1.1669,0,-1.4694,0.44262,7.033
3.1736e-14,-3.8357,0,1.4827e-14,1.4856,0,-1.1507,0.56351,5.5076
-1.5868e-14,-4.4799,0,0,1.2923,0,-1.344,0.4902,6.4326
0,-5.4334,0,0,1.0063,0,-1.63,0.3817,7.8017
0,-4.2537,0,0,1.3602,0,-1.2761,0.51595,6.1078
-1.5868e-14,-3.9265,0,0,1.4583,0,-1.1779,0.55318,5.6379
1.5868e-14,-4.4044,0,0,1.315,0,-1.3213,0.49879,6.3242
-3.1736e-14,-4.8253,0,0,1.1887,0,-1.4476,0.45089,6.9286
1.5868e-14,-3.9885,0,0,1.4397,0,-1.1965,0.54612,5.727
0,-6.3882,0,0,0.7198,0,-1.9165,0.27304,9.1728
1.5868e-14,-3.474,0,0,1.5941,0,-1.0422,0.60467,4.9882
-1.5868e-14,-4.2562,0,0,1.3594,0,-1.2769,0.51565,6.1115
1.5868e-14,-5.0023,0,0,1.1356,0,-1.5007,0.43075,7.1828
-1.5868e-14,-5.7265,0,0,0.91832,0,-1.718,0.34834,8.2226
1.5868e-14,-4.6627,0,0,1.2375,0,-1.3988,0.46939,6.6952
1.5868e-14,-5.0612,0,0,1.1179,0,-1.5183,0.42406,7.2672
-1.5868e-14,-3.5774,0,0,1.563,0,-1.0732,0.5929,5.1368
-1.5868e-14,-4.1792,0,0,1.3825,0,-1.2538,0.52442,6.0009
1.5868e-14,-4.5738,0,0,1.2641,0,-1.3721,0.47951,6.5675
-1.5868e-14,-5.3189,0,0,1.0406,0,-1.5957,0.39473,7.6373
0,-4.729,0,0,1.2176,0,-1.4187,0.46185,6.7904
