% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-5.6491,0,0,1.1559,0,-1.6947,0.40549,8.1115
0,-4.8941,0,0,1.3824,0,-1.4682,0.48495,7.0274
0,-4.695,0,0,1.4422,0,-1.4085,0.5059,6.7415
1.5868e-14,-4.9114,0,0,1.3772,0,-1.4734,0.48313,7.0522
0,-4.2946,0,0,1.5623,0,-1.2884,0.54804,6.1666
1.5868e-14,-5.8418,0,0,1.0981,0,-1.7525,0.38522,8.3882
1.5868e-14,-5.4814,0,0,1.2062,0,-1.6444,0.42314,7.8707
-1.5868e-14,-3.9081,0,0,1.6782,0,-1.1724,0.58871,5.6116
-1.5868e-14,-4.467,0,0,1.5105,0,-1.3401,0.52989,6.4142
0,-4.6497,0,0,1.4557,0,-1.3949,0.51067,6.6765
1.5868e-14,-4.6203,0,0,1.4646,0,-1.3861,0.51376,6.6343
0,-4.3566,0,0,1.5437,0,-1.307,0.54152,6.2555
1.5868e-14,-4.192,0,0,1.593,0,-1.2576,0.55883,6.0193
-1.5868e-14,-4.4796,0,0,1.5068,0,-1.3439,0.52857,6.4322
0,-4.3201,0,0,1.5546,0,-1.296,0.54536,6.2031
1.5868e-14,-5.3372,0,0,1.2495,0,-1.6011,0.43832,7.6636
3.1736e-14,-5.2079,0,1.4827e-14,1.2883,0,-1.5624,0.45193,7.478
0,-4.2893,0,0,1.5639,0,-1.2868,0.5486,6.1589
1.5868e-14,-5.038,0,0,1.3392,0,-1.5114,0.4698,7.2341
0,-4.5667,0,0,1.4806,0,-1.37,0.51941,6.5573
0,-5.7074,0,0,1.1384,0,-1.7122,0.39935,8.1952
-1.5868e-14,-5.2963,0,0,1.2618,0,-1.5889,0.44262,7.6049
3.1736e-14,-4.1476,0,1.4827e-14,1.6064,0,-1.2443,0.56351,5.9555
-1.5868e-14,-4.8442,0,0,1.3974,0,-1.4533,0.4902,6.9557
0,-5.8752,0,0,1.0881,0,-1.7626,0.3817,8.4362
0,-4.5996,0,0,1.4708,0,-1.3799,0.51595,6.6045
-1.5868e-14,-4.2457,0,0,1.5769,0,-1.2737,0.55318,6.0964
1.5868e-14,-4.7625,0,0,1.4219,0,-1.4288,0.49879,6.8385
-3.1736e-14,-5.2177,0,0,1.2853,0,-1.5653,0.45089,7.492
1.5868e-14,-4.3128,0,0,1.5568,0,-1.2938,0.54612,6.1927
0,-6.9077,0,0,0.77833,0,-2.0723,0.27304,9.9187
1.5868e-14,-3.7565,0,0,1.7237,0,-1.1269,0.60467,5.3939
-1.5868e-14,-4.6023,0,0,1.4699,0,-1.3807,0.51565,6.6084
1.5868e-14,-5.4091,0,0,1.2279,0,-1.6227,0.43075,7.7669
-1.5868e-14,-6.1922,0,0,0.993,0,-1.8577,0.34834,8.8913
1.5868e-14,-5.0419,0,0,1.3381,0,-1.5126,0.46939,7.2396
1.5868e-14,-5.4727,0,0,1.2088,0,-1.6418,0.42406,7.8582
-1.5868e-14,-3.8683,0,0,1.6901,0,-1.1605,0.5929,5.5545
-1.5868e-14,-4.5191,0,0,1.4949,0,-1.3557,0.52442,6.4889
1.5868e-14,-4.9458,0,0,1.3669,0,-1.4837,0.47951,7.1016
-1.5868e-14,-5.7514,0,0,1.1252,0,-1.7254,0.39473,8.2584
0,-5.1136,0,0,1.3166,0,-1.5341,0.46185,7.3425
-1.5868e-14,-6.5277,0,0,0.89233,0,-1.9583,0.31303,9.3731
1.5868e-14,-5.948,0,0,1.0663,0,-1.7844,0.37404,8.5406
1.5868e-14,-5.5708,0,0,1.1794,0,-1.6712,0.41374,7.999
0,-5.8635,0,0,1.0916,0,-1.759,0.38293,8.4193
-1.5868e-14,-4.8541,0,0,1.3944,0,-1.4562,0.48916,6.9699
1.5868e-14,-6.3836,0,0,0.93556,0,-1.9151,0.32819,9.1662
-1.5868e-14,-4.7423,0,0,1.428,0,-1.4227,0.50092,6.8094
-1.5868e-14,-5.4685,0,0,1.2101,0,-1.6405,0.4245,7.8521
0,-4.7209,0,0,1.4344,0,-1.4163,0.50318,6.7786
0,-3.5002,0,0,1.8006,0,-1.05,0.63165,5.0258
0,-4.8363,0,0,1.3997,0,-1.4509,0.49103,6.9444
-1.5868e-14,-5.0344,0,0,1.3403,0,-1.5103,0.47018,7.2289
0,-4.4065,0,0,1.5287,0,-1.3219,0.53626,6.3272
1.5868e-14,-4.8579,0,0,1.3933,0,-1.4574,0.48876,6.9754
0,-3.8621,0,0,1.692,0,-1.1586,0.59356,5.5455
-1.5868e-14,-4.8203,0,0,1.4046,0,-1.4461,0.49272,6.9214
-1.5868e-14,-4.1486,0,0,1.6061,0,-1.2446,0.5634,5.957
-1.5868e-14,-5.222,0,0,1.284,0,-1.5666,0.45044,7.4982
1.5868e-14,-4.3314,0,0,1.5512,0,-1.2994,0.54416,6.2195
1.5868e-14,-4.863,0,0,1.3917,0,-1.4589,0.48822,6.9828
0,-5.9034,0,0,1.0796,0,-1.771,0.37873,8.4767
1.5868e-14,-4.0952,0,0,1.6221,0,-1.2286,0.56903,5.8802
0,-4.8113,0,0,1.4072,0,-1.4434,0.49366,6.9086
1.5868e-14,-5.2095,0,0,1.2878,0,-1.5629,0.45175,7.4803
0,-5.1103,0,0,1.3176,0,-1.5331,0.4622,7.3378
1.5868e-14,-5.3082,0,0,1.2582,0,-1.5925,0.44137,7.622
1.5868e-14,-4.0981,0,0,1.6212,0,-1.2294,0.56872,5.8844
-1.5868e-14,-5.5008,0,0,1.2004,0,-1.6502,0.4211,7.8986
0,-5.3224,0,0,1.2539,0,-1.5967,0.43987,7.6424
0,-4.8745,0,0,1.3883,0,-1.4623,0.48702,6.9992
0,-4.7977,0,0,1.4114,0,-1.4393,0.4951,6.8889
0,-5.8217,0,0,1.1041,0,-1.7465,0.38733,8.3593
0,-5.3315,0,0,1.2512,0,-1.5994,0.43892,7.6554
0,-4.9072,0,0,1.3785,0,-1.4722,0.48357,7.0462
0,-6.2689,0,0,0.96999,0,-1.8807,0.34027,9.0014
-1.5868e-14,-5.0023,0,0,1.35,0,-1.5007,0.47356,7.1827
1.5868e-14,-4.8935,0,0,1.3826,0,-1.468,0.48502,7.0265
0,-6.874,0,0,0.78844,0,-2.0622,0.27658,9.8703
-1.5868e-14,-4.4054,0,0,1.529,0,-1.3216,0.53638,6.3256
0,-5.4129,0,0,1.2268,0,-1.6239,0.43035,7.7724
0,-4.5657,0,0,1.481,0,-1.3697,0.51951,6.5558
0,-6.7493,0,0,0.82585,0,-2.0248,0.28971,9.6913
-1.5868e-14,-5.2873,0,0,1.2645,0,-1.5862,0.44357,7.5919
1.5868e-14,-4.3838,0,0,1.5355,0,-1.3151,0.53865,6.2946
0,-7.529,0,0,0.59196,0,-2.2587,0.20766,10.811
0,-7.0941,0,0,0.72242,0,-2.1282,0.25342,10.186
-1.5868e-14,-4.6917,0,0,1.4432,0,-1.4075,0.50625,6.7367
-3.1736e-14,-5.6635,0,0,1.1516,0,-1.699,0.40398,8.1321
0,-4.601,0,0,1.4704,0,-1.3803,0.5158,6.6065
-1.5868e-14,-5.0719,0,0,1.3291,0,-1.5216,0.46623,7.2827
0,-5.0616,0,0,1.3322,0,-1.5185,0.46732,7.2679
-1.5868e-14,-5.0359,0,0,1.3399,0,-1.5108,0.47003,7.2309
-1.5868e-14,-5.0986,0,0,1.3211,0,-1.5296,0.46343,7.321
-1.5868e-14,-5.0446,0,0,1.3373,0,-1.5134,0.46911,7.2435
1.5868e-14,-5.2049,0,0,1.2892,0,-1.5615,0.45225,7.4736
0,-4.6872,0,0,1.4445,0,-1.4061,0.50673,6.7302
-1.5868e-14,-5.4259,0,0,1.2229,0,-1.6278,0.42898,7.791
1.5868e-14,-4.2285,0,0,1.5821,0,-1.2686,0.55499,6.0717
0,-5.2379,0,0,1.2793,0,-1.5714,0.44876,7.5211
0,-5.3021,0,0,1.26,0,-1.5906,0.44201,7.6133
-1.5868e-14,-4.6005,0,0,1.4705,0,-1.3802,0.51584,6.6059
1.5868e-14,-4.9835,0,0,1.3556,0,-1.4951,0.47554,7.1558
0,-4.7392,0,0,1.4289,0,-1.4218,0.50125,6.805
1.5868e-14,-5.2306,0,0,1.2815,0,-1.5692,0.44954,7.5106
0,-4.4022,0,0,1.53,0,-1.3206,0.53672,6.321
0,-6.2956,0,0,0.96196,0,-1.8887,0.33745,9.0398
-1.5868e-14,-4.7716,0,0,1.4192,0,-1.4315,0.49784,6.8514
-1.5868e-14,-6.0748,0,0,1.0282,0,-1.8224,0.36069,8.7228
-1.5868e-14,-5.9874,0,0,1.0544,0,-1.7962,0.36989,8.5972
-1.5868e-14,-4.777,0,0,1.4176,0,-1.4331,0.49727,6.8592
1.5868e-14,-5.9125,0,0,1.0769,0,-1.7738,0.37777,8.4897
-1.5868e-14,-5.1709,0,0,1.2994,0,-1.5513,0.45582,7.4248
1.5868e-14,-5.7107,0,0,1.1375,0,-1.7132,0.39901,8.1999
-1.5868e-14,-4.8751,0,0,1.3881,0,-1.4625,0.48695,7
-1.5868e-14,-4.929,0,0,1.372,0,-1.4787,0.48128,7.0775
-1.5868e-14,-4.4749,0,0,1.5082,0,-1.3425,0.52907,6.4254
0,-4.5114,0,0,1.4972,0,-1.3534,0.52522,6.4779
0,-3.918,0,0,1.6752,0,-1.1754,0.58767,5.6258
0,-4.2104,0,0,1.5875,0,-1.2631,0.5569,6.0457
-1.5868e-14,-4.4946,0,0,1.5023,0,-1.3484,0.52699,6.4538
0,-4.1976,0,0,1.5914,0,-1.2593,0.55825,6.0272
-1.5868e-14,-4.3243,0,0,1.5534,0,-1.2973,0.54492,6.2092
0,-5.1378,0,0,1.3093,0,-1.5413,0.4593,7.3773
-1.5868e-14,-5.7918,0,0,1.1131,0,-1.7376,0.39047,8.3164
0,-4.1951,0,0,1.5921,0,-1.2585,0.55851,6.0237
0,-6.8953,0,0,0.78206,0,-2.0686,0.27434,9.9009
1.5868e-14,-4.9774,0,0,1.3574,0,-1.4932,0.47618,7.147
0,-4.8711,0,0,1.3893,0,-1.4613,0.48737,6.9944
1.5868e-14,-4.6245,0,0,1.4633,0,-1.3874,0.51332,6.6403
0,-4.7654,0,0,1.421,0,-1.4296,0.49849,6.8426
1.5868e-14,-5.639,0,0,1.159,0,-1.6917,0.40656,8.0969
0,-5.4294,0,0,1.2218,0,-1.6288,0.42862,7.796
0,-4.7666,0,0,1.4207,0,-1.43,0.49837,6.8443
-1.5868e-14,-6.2555,0,0,0.974,0,-1.8766,0.34168,8.9822
0,-4.759,0,0,1.423,0,-1.4277,0.49917,6.8333
