% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-3.3489,0,0,0.68525,0,-1.0047,0.40549,4.8087
0,-2.9013,0,0,0.81952,0,-0.87039,0.48495,4.166
0,-2.7833,0,0,0.85493,0,-0.83498,0.5059,3.9965
1.5868e-14,-2.9116,0,0,0.81645,0,-0.87347,0.48313,4.1807
0,-2.5459,0,0,0.92614,0,-0.76378,0.54804,3.6557
1.5868e-14,-3.4631,0,0,0.65098,0,-1.0389,0.38522,4.9727
1.5868e-14,-3.2495,0,0,0.71507,0,-0.97485,0.42314,4.6659
-1.5868e-14,-2.3168,0,0,0.99488,0,-0.69504,0.58871,3.3267
-1.5868e-14,-2.6481,0,0,0.89547,0,-0.79444,0.52989,3.8024
0,-2.7564,0,0,0.86299,0,-0.82693,0.51067,3.9579
1.5868e-14,-2.739,0,0,0.86821,0,-0.8217,0.51376,3.9329
0,-2.5826,0,0,0.91512,0,-0.77479,0.54152,3.7084
1.5868e-14,-2.4851,0,0,0.94438,0,-0.74554,0.55883,3.5684
-1.5868e-14,-2.6556,0,0,0.89324,0,-0.79667,0.52857,3.8131
0,-2.561,0,0,0.92161,0,-0.7683,0.54536,3.6773
1.5868e-14,-3.164,0,0,0.74073,0,-0.94919,0.43832,4.5431
3.1736e-14,-3.0873,0,1.4827e-14,0.76372,0,-0.9262,0.45193,4.4331
0,-2.5427,0,0,0.92709,0,-0.76282,0.5486,3.6511
1.5868e-14,-2.9866,0,0,0.79392,0,-0.89599,0.4698,4.2885
0,-2.7072,0,0,0.87775,0,-0.81217,0.51941,3.8873
0,-3.3835,0,0,0.67488,0,-1.015,0.39935,4.8583
-1.5868e-14,-3.1398,0,0,0.74799,0,-0.94193,0.44262,4.5083
3.1736e-14,-2.4588,0,1.4827e-14,0.95228,0,-0.73763,0.56351,3.5305
-1.5868e-14,-2.8717,0,0,0.8284,0,-0.86152,0.4902,4.1235
0,-3.4829,0,0,0.64504,0,-1.0449,0.3817,5.0011
0,-2.7267,0,0,0.87191,0,-0.81801,0.51595,3.9152
-1.5868e-14,-2.517,0,0,0.93483,0,-0.75509,0.55318,3.6141
1.5868e-14,-2.8233,0,0,0.84292,0,-0.847,0.49879,4.054
-3.1736e-14,-3.0932,0,0,0.76197,0,-0.92795,0.45089,4.4414
1.5868e-14,-2.5567,0,0,0.9229,0,-0.76701,0.54612,3.6711
0,-4.095,0,0,0.46141,0,-1.2285,0.27304,5.88
1.5868e-14,-2.2269,0,0,1.0218,0,-0.66807,0.60467,3.1976
-1.5868e-14,-2.7283,0,0,0.87141,0,-0.8185,0.51565,3.9176
1.5868e-14,-3.2066,0,0,0.72793,0,-0.96198,0.43075,4.6043
