% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.34764,0,0,0.071133,0,-0.10429,0.40549,0.49917
0,-0.30118,0,0,0.085072,0,-0.090353,0.48495,0.43245
0,-0.28892,0,0,0.088748,0,-0.086677,0.5059,0.41486
1.5868e-14,-0.30224,0,0,0.084753,0,-0.090672,0.48313,0.43398
0,-0.26429,0,0,0.096139,0,-0.079286,0.54804,0.37948
1.5868e-14,-0.35949,0,0,0.067576,0,-0.10785,0.38522,0.51619
1.5868e-14,-0.33732,0,0,0.074229,0,-0.1012,0.42314,0.48435
-1.5868e-14,-0.2405,0,0,0.10327,0,-0.07215,0.58871,0.34533
-1.5868e-14,-0.27489,0,0,0.092956,0,-0.082468,0.52989,0.39472
0,-0.28614,0,0,0.089584,0,-0.085841,0.51067,0.41086
1.5868e-14,-0.28433,0,0,0.090126,0,-0.085298,0.51376,0.40826
0,-0.2681,0,0,0.094996,0,-0.080429,0.54152,0.38496
1.5868e-14,-0.25797,0,0,0.098033,0,-0.077392,0.55883,0.37042
-1.5868e-14,-0.27567,0,0,0.092725,0,-0.0827,0.52857,0.39583
0,-0.26585,0,0,0.09567,0,-0.079755,0.54536,0.38173
1.5868e-14,-0.32844,0,0,0.076892,0,-0.098532,0.43832,0.4716
3.1736e-14,-0.32049,0,1.4827e-14,0.079279,0,-0.096146,0.45193,0.46018
0,-0.26395,0,0,0.096238,0,-0.079186,0.5486,0.37901
1.5868e-14,-0.31003,0,0,0.082415,0,-0.09301,0.4698,0.44517
0,-0.28103,0,0,0.091116,0,-0.084308,0.51941,0.40352
0,-0.35123,0,0,0.070056,0,-0.10537,0.39935,0.50432
-1.5868e-14,-0.32593,0,0,0.077646,0,-0.097778,0.44262,0.468
3.1736e-14,-0.25524,0,1.4827e-14,0.098853,0,-0.076571,0.56351,0.36649
-1.5868e-14,-0.2981,0,0,0.085994,0,-0.089431,0.4902,0.42804
0,-0.36155,0,0,0.066959,0,-0.10847,0.3817,0.51915
0,-0.28305,0,0,0.09051,0,-0.084915,0.51595,0.40643
-1.5868e-14,-0.26128,0,0,0.097042,0,-0.078383,0.55318,0.37516
1.5868e-14,-0.29308,0,0,0.087501,0,-0.087924,0.49879,0.42083
-3.1736e-14,-0.32109,0,0,0.079098,0,-0.096327,0.45089,0.46105
1.5868e-14,-0.2654,0,0,0.095804,0,-0.079621,0.54612,0.38109
0,-0.42509,0,0,0.047897,0,-0.12753,0.27304,0.61038
1.5868e-14,-0.23117,0,0,0.10607,0,-0.06935,0.60467,0.33193
-1.5868e-14,-0.28322,0,0,0.090458,0,-0.084966,0.51565,0.40667
1.5868e-14,-0.33287,0,0,0.075564,0,-0.09986,0.43075,0.47796
-1.5868e-14,-0.38106,0,0,0.061107,0,-0.11432,0.34834,0.54716
1.5868e-14,-0.31027,0,0,0.082343,0,-0.093081,0.46939,0.44551
1.5868e-14,-0.33678,0,0,0.07439,0,-0.10103,0.42406,0.48358
-1.5868e-14,-0.23805,0,0,0.10401,0,-0.071416,0.5929,0.34182
-1.5868e-14,-0.2781,0,0,0.091996,0,-0.083429,0.52442,0.39932
1.5868e-14,-0.30435,0,0,0.084118,0,-0.091306,0.47951,0.43702
-1.5868e-14,-0.35393,0,0,0.069245,0,-0.10618,0.39473,0.50821
0,-0.31468,0,0,0.08102,0,-0.094405,0.46185,0.45185
-1.5868e-14,-0.40171,0,0,0.054912,0,-0.12051,0.31303,0.57681
1.5868e-14,-0.36603,0,0,0.065616,0,-0.10981,0.37404,0.52558
1.5868e-14,-0.34282,0,0,0.07258,0,-0.10284,0.41374,0.49225
0,-0.36083,0,0,0.067176,0,-0.10825,0.38293,0.51811
-1.5868e-14,-0.29871,0,0,0.085811,0,-0.089614,0.48916,0.42892
1.5868e-14,-0.39284,0,0,0.057573,0,-0.11785,0.32819,0.56407
-1.5868e-14,-0.29184,0,0,0.087874,0,-0.087551,0.50092,0.41904
