% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-6.2003,0,0,1.2687,0,-1.8601,0.40549,8.9029
0,-5.3716,0,0,1.5173,0,-1.6115,0.48495,7.713
0,-5.153,0,0,1.5829,0,-1.5459,0.5059,7.3992
1.5868e-14,-5.3906,0,0,1.5116,0,-1.6172,0.48313,7.7402
0,-4.7136,0,0,1.7147,0,-1.4141,0.54804,6.7682
1.5868e-14,-6.4117,0,0,1.2052,0,-1.9235,0.38522,9.2065
1.5868e-14,-6.0162,0,0,1.3239,0,-1.8049,0.42314,8.6386
-1.5868e-14,-4.2894,0,0,1.8419,0,-1.2868,0.58871,6.1591
-1.5868e-14,-4.9029,0,0,1.6579,0,-1.4709,0.52989,7.0399
0,-5.1034,0,0,1.5978,0,-1.531,0.51067,7.3278
1.5868e-14,-5.0711,0,0,1.6074,0,-1.5213,0.51376,7.2815
0,-4.7816,0,0,1.6943,0,-1.4345,0.54152,6.8658
1.5868e-14,-4.601,0,0,1.7485,0,-1.3803,0.55883,6.6066
-1.5868e-14,-4.9166,0,0,1.6538,0,-1.475,0.52857,7.0597
0,-4.7415,0,0,1.7063,0,-1.4225,0.54536,6.8083
1.5868e-14,-5.8579,0,0,1.3714,0,-1.7574,0.43832,8.4112
3.1736e-14,-5.716,0,1.4827e-14,1.414,0,-1.7148,0.45193,8.2075
0,-4.7077,0,0,1.7164,0,-1.4123,0.5486,6.7598
1.5868e-14,-5.5296,0,0,1.4699,0,-1.6589,0.4698,7.9398
0,-5.0122,0,0,1.6251,0,-1.5037,0.51941,7.197
0,-6.2643,0,0,1.2495,0,-1.8793,0.39935,8.9948
-1.5868e-14,-5.813,0,0,1.3849,0,-1.7439,0.44262,8.3469
3.1736e-14,-4.5523,0,1.4827e-14,1.7631,0,-1.3657,0.56351,6.5365
-1.5868e-14,-5.3168,0,0,1.5337,0,-1.595,0.4902,7.6343
0,-6.4484,0,0,1.1942,0,-1.9345,0.3817,9.2592
0,-5.0483,0,0,1.6143,0,-1.5145,0.51595,7.2488
-1.5868e-14,-4.66,0,0,1.7308,0,-1.398,0.55318,6.6912
1.5868e-14,-5.2272,0,0,1.5606,0,-1.5682,0.49879,7.5057
-3.1736e-14,-5.7268,0,0,1.4107,0,-1.718,0.45089,8.223
1.5868e-14,-4.7336,0,0,1.7087,0,-1.4201,0.54612,6.7969
0,-7.5816,0,0,0.85427,0,-2.2745,0.27304,10.886
1.5868e-14,-4.123,0,0,1.8919,0,-1.2369,0.60467,5.9201
-1.5868e-14,-5.0513,0,0,1.6134,0,-1.5154,0.51565,7.2532
1.5868e-14,-5.9368,0,0,1.3477,0,-1.781,0.43075,8.5246
-1.5868e-14,-6.7963,0,0,1.0899,0,-2.0389,0.34834,9.7587
1.5868e-14,-5.5338,0,0,1.4686,0,-1.6601,0.46939,7.9459
1.5868e-14,-6.0066,0,0,1.3268,0,-1.802,0.42406,8.6249
-1.5868e-14,-4.2457,0,0,1.855,0,-1.2737,0.5929,6.0964
