% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-1.5389,0,0,0.31488,0,-0.46166,0.40549,2.2096
0,-1.3332,0,0,0.37658,0,-0.39996,0.48495,1.9143
0,-1.279,0,0,0.39285,0,-0.38369,0.5059,1.8364
1.5868e-14,-1.3379,0,0,0.37517,0,-0.40137,0.48313,1.9211
0,-1.1699,0,0,0.42557,0,-0.35097,0.54804,1.6798
1.5868e-14,-1.5914,0,0,0.29914,0,-0.47741,0.38522,2.285
1.5868e-14,-1.4932,0,0,0.32859,0,-0.44796,0.42314,2.144
-1.5868e-14,-1.0646,0,0,0.45716,0,-0.31938,0.58871,1.5287
-1.5868e-14,-1.2169,0,0,0.41148,0,-0.36506,0.52989,1.7473
0,-1.2666,0,0,0.39655,0,-0.37999,0.51067,1.8187
1.5868e-14,-1.2586,0,0,0.39896,0,-0.37758,0.51376,1.8072
0,-1.1868,0,0,0.42051,0,-0.35603,0.54152,1.7041
1.5868e-14,-1.142,0,0,0.43396,0,-0.34259,0.55883,1.6397
-1.5868e-14,-1.2203,0,0,0.41046,0,-0.36608,0.52857,1.7522
0,-1.1768,0,0,0.4235,0,-0.35305,0.54536,1.6898
1.5868e-14,-1.4539,0,0,0.34038,0,-0.43617,0.43832,2.0876
3.1736e-14,-1.4187,0,1.4827e-14,0.35094,0,-0.4256,0.45193,2.0371
0,-1.1684,0,0,0.42601,0,-0.35053,0.5486,1.6777
1.5868e-14,-1.3724,0,0,0.36482,0,-0.41172,0.4698,1.9706
0,-1.244,0,0,0.40334,0,-0.3732,0.51941,1.7863
0,-1.5548,0,0,0.31011,0,-0.46643,0.39935,2.2325
-1.5868e-14,-1.4428,0,0,0.34371,0,-0.43283,0.44262,2.0716
3.1736e-14,-1.1298,0,1.4827e-14,0.43759,0,-0.33895,0.56351,1.6223
-1.5868e-14,-1.3196,0,0,0.38066,0,-0.39588,0.4902,1.8948
0,-1.6005,0,0,0.2964,0,-0.48014,0.3817,2.2981
0,-1.253,0,0,0.40065,0,-0.37589,0.51595,1.7991
-1.5868e-14,-1.1566,0,0,0.42957,0,-0.34697,0.55318,1.6607
1.5868e-14,-1.2974,0,0,0.38733,0,-0.38921,0.49879,1.8629
-3.1736e-14,-1.4213,0,0,0.35014,0,-0.4264,0.45089,2.0409
1.5868e-14,-1.1748,0,0,0.42409,0,-0.35245,0.54612,1.6869
0,-1.8817,0,0,0.21202,0,-0.56452,0.27304,2.7019
1.5868e-14,-1.0233,0,0,0.46955,0,-0.30699,0.60467,1.4693
-1.5868e-14,-1.2537,0,0,0.40043,0,-0.37611,0.51565,1.8002
1.5868e-14,-1.4735,0,0,0.3345,0,-0.44205,0.43075,2.1158
-1.5868e-14,-1.6868,0,0,0.2705,0,-0.50604,0.34834,2.4221
1.5868e-14,-1.3735,0,0,0.3645,0,-0.41204,0.46939,1.9721
1.5868e-14,-1.4908,0,0,0.3293,0,-0.44724,0.42406,2.1406
-1.5868e-14,-1.0538,0,0,0.46041,0,-0.31613,0.5929,1.5131
-1.5868e-14,-1.231,0,0,0.40723,0,-0.36931,0.52442,1.7676
1.5868e-14,-1.3473,0,0,0.37236,0,-0.40418,0.47951,1.9345
-1.5868e-14,-1.5667,0,0,0.30652,0,-0.47002,0.39473,2.2497
0,-1.393,0,0,0.35865,0,-0.4179,0.46185,2.0002
-1.5868e-14,-1.7782,0,0,0.24308,0,-0.53346,0.31303,2.5533
1.5868e-14,-1.6203,0,0,0.29046,0,-0.48608,0.37404,2.3265
1.5868e-14,-1.5175,0,0,0.32128,0,-0.45526,0.41374,2.179
0,-1.5973,0,0,0.29736,0,-0.47918,0.38293,2.2935
-1.5868e-14,-1.3223,0,0,0.37985,0,-0.39669,0.48916,1.8987
1.5868e-14,-1.739,0,0,0.25485,0,-0.52169,0.32819,2.497
-1.5868e-14,-1.2918,0,0,0.38899,0,-0.38755,0.50092,1.855
-1.5868e-14,-1.4897,0,0,0.32964,0,-0.4469,0.4245,2.139
0,-1.286,0,0,0.39074,0,-0.3858,0.50318,1.8466
0,-0.95347,0,0,0.4905,0,-0.28604,0.63165,1.3691
0,-1.3175,0,0,0.3813,0,-0.39524,0.49103,1.8917
-1.5868e-14,-1.3714,0,0,0.36512,0,-0.41143,0.47018,1.9692
0,-1.2004,0,0,0.41643,0,-0.36011,0.53626,1.7236
1.5868e-14,-1.3233,0,0,0.37954,0,-0.397,0.48876,1.9002
0,-1.0521,0,0,0.46092,0,-0.31562,0.59356,1.5106
-1.5868e-14,-1.3131,0,0,0.38262,0,-0.39392,0.49272,1.8854
-1.5868e-14,-1.1301,0,0,0.43751,0,-0.33904,0.5634,1.6227
