% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-2.4135,0,0,0.49385,0,-0.72406,0.40549,3.4656
0,-2.091,0,0,0.59063,0,-0.62729,0.48495,3.0024
0,-2.0059,0,0,0.61615,0,-0.60177,0.5059,2.8802
1.5868e-14,-2.0984,0,0,0.58841,0,-0.62951,0.48313,3.013
0,-1.8348,0,0,0.66746,0,-0.55045,0.54804,2.6346
1.5868e-14,-2.4959,0,0,0.46916,0,-0.74876,0.38522,3.5838
1.5868e-14,-2.3419,0,0,0.51535,0,-0.70257,0.42314,3.3627
-1.5868e-14,-1.6697,0,0,0.717,0,-0.50091,0.58871,2.3975
-1.5868e-14,-1.9085,0,0,0.64536,0,-0.57255,0.52989,2.7404
0,-1.9866,0,0,0.62195,0,-0.59597,0.51067,2.8525
1.5868e-14,-1.974,0,0,0.62572,0,-0.5922,0.51376,2.8344
0,-1.8613,0,0,0.65952,0,-0.55839,0.54152,2.6726
1.5868e-14,-1.791,0,0,0.68061,0,-0.5373,0.55883,2.5717
-1.5868e-14,-1.9139,0,0,0.64376,0,-0.57416,0.52857,2.7481
0,-1.8457,0,0,0.6642,0,-0.55371,0.54536,2.6502
1.5868e-14,-2.2803,0,0,0.53384,0,-0.68408,0.43832,3.2742
3.1736e-14,-2.225,0,1.4827e-14,0.55041,0,-0.66751,0.45193,3.1949
0,-1.8325,0,0,0.66815,0,-0.54976,0.5486,2.6313
1.5868e-14,-2.1525,0,0,0.57218,0,-0.64574,0.4698,3.0907
0,-1.9511,0,0,0.63259,0,-0.58532,0.51941,2.8015
0,-2.4385,0,0,0.48638,0,-0.73154,0.39935,3.5013
-1.5868e-14,-2.2628,0,0,0.53907,0,-0.67884,0.44262,3.2491
3.1736e-14,-1.772,0,1.4827e-14,0.68631,0,-0.53161,0.56351,2.5444
-1.5868e-14,-2.0696,0,0,0.59702,0,-0.62089,0.4902,2.9718
0,-2.5101,0,0,0.46487,0,-0.75304,0.3817,3.6043
0,-1.9651,0,0,0.62838,0,-0.58954,0.51595,2.8217
-1.5868e-14,-1.814,0,0,0.67373,0,-0.54419,0.55318,2.6046
1.5868e-14,-2.0348,0,0,0.60749,0,-0.61043,0.49879,2.9217
-3.1736e-14,-2.2292,0,0,0.54915,0,-0.66877,0.45089,3.2009
1.5868e-14,-1.8426,0,0,0.66513,0,-0.55278,0.54612,2.6458
0,-2.9513,0,0,0.33254,0,-0.88538,0.27304,4.2377
1.5868e-14,-1.6049,0,0,0.73644,0,-0.48147,0.60467,2.3045
-1.5868e-14,-1.9663,0,0,0.62802,0,-0.58989,0.51565,2.8234
1.5868e-14,-2.311,0,0,0.52462,0,-0.6933,0.43075,3.3183
-1.5868e-14,-2.6456,0,0,0.42425,0,-0.79367,0.34834,3.7987
1.5868e-14,-2.1541,0,0,0.57168,0,-0.64623,0.46939,3.0931
1.5868e-14,-2.3382,0,0,0.51646,0,-0.70145,0.42406,3.3573
-1.5868e-14,-1.6527,0,0,0.7221,0,-0.49581,0.5929,2.3731
-1.5868e-14,-1.9307,0,0,0.6387,0,-0.57922,0.52442,2.7723
1.5868e-14,-2.113,0,0,0.58401,0,-0.63391,0.47951,3.0341
-1.5868e-14,-2.4572,0,0,0.48074,0,-0.73717,0.39473,3.5283
0,-2.1847,0,0,0.56249,0,-0.65542,0.46185,3.137
-1.5868e-14,-2.7889,0,0,0.38124,0,-0.83668,0.31303,4.0046
1.5868e-14,-2.5412,0,0,0.45555,0,-0.76236,0.37404,3.6489
1.5868e-14,-2.3801,0,0,0.5039,0,-0.71402,0.41374,3.4175
0,-2.5051,0,0,0.46638,0,-0.75154,0.38293,3.5971
-1.5868e-14,-2.0739,0,0,0.59575,0,-0.62216,0.48916,2.9778
1.5868e-14,-2.7274,0,0,0.39971,0,-0.81821,0.32819,3.9162
-1.5868e-14,-2.0261,0,0,0.61008,0,-0.60783,0.50092,2.9093
-1.5868e-14,-2.3364,0,0,0.51701,0,-0.70091,0.4245,3.3547
0,-2.0169,0,0,0.61283,0,-0.60508,0.50318,2.8961
0,-1.4954,0,0,0.76929,0,-0.44862,0.63165,2.1472
0,-2.0663,0,0,0.59803,0,-0.61989,0.49103,2.967
-1.5868e-14,-2.1509,0,0,0.57264,0,-0.64527,0.47018,3.0885
0,-1.8826,0,0,0.65312,0,-0.56479,0.53626,2.7033
1.5868e-14,-2.0755,0,0,0.59527,0,-0.62265,0.48876,2.9802
0,-1.65,0,0,0.7229,0,-0.49501,0.59356,2.3693
-1.5868e-14,-2.0594,0,0,0.60009,0,-0.61782,0.49272,2.9571
-1.5868e-14,-1.7725,0,0,0.68618,0,-0.53174,0.5634,2.5451
-1.5868e-14,-2.2311,0,0,0.5486,0,-0.66932,0.45044,3.2036
1.5868e-14,-1.8506,0,0,0.66274,0,-0.55517,0.54416,2.6572
1.5868e-14,-2.0777,0,0,0.59461,0,-0.62331,0.48822,2.9833
0,-2.5222,0,0,0.46126,0,-0.75666,0.37873,3.6216
1.5868e-14,-1.7496,0,0,0.69303,0,-0.52489,0.56903,2.5123
0,-2.0556,0,0,0.60123,0,-0.61668,0.49366,2.9516
1.5868e-14,-2.2257,0,0,0.5502,0,-0.66772,0.45175,3.1959
0,-2.1833,0,0,0.56292,0,-0.655,0.4622,3.135
1.5868e-14,-2.2679,0,0,0.53755,0,-0.68036,0.44137,3.2564
1.5868e-14,-1.7509,0,0,0.69265,0,-0.52526,0.56872,2.514
-1.5868e-14,-2.3502,0,0,0.51286,0,-0.70505,0.4211,3.3746
0,-2.274,0,0,0.53573,0,-0.68219,0.43987,3.2652
