% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-1.5445,0,0,0.31604,0,-0.46336,0.40549,2.2178
0,-1.3381,0,0,0.37797,0,-0.40143,0.48495,1.9214
0,-1.2837,0,0,0.3943,0,-0.3851,0.5059,1.8432
1.5868e-14,-1.3428,0,0,0.37655,0,-0.40285,0.48313,1.9281
0,-1.1742,0,0,0.42714,0,-0.35226,0.54804,1.686
1.5868e-14,-1.5972,0,0,0.30024,0,-0.47916,0.38522,2.2934
1.5868e-14,-1.4987,0,0,0.32979,0,-0.4496,0.42314,2.1519
-1.5868e-14,-1.0685,0,0,0.45884,0,-0.32056,0.58871,1.5343
-1.5868e-14,-1.2213,0,0,0.413,0,-0.3664,0.52989,1.7537
0,-1.2713,0,0,0.39801,0,-0.38138,0.51067,1.8254
1.5868e-14,-1.2632,0,0,0.40042,0,-0.37897,0.51376,1.8139
0,-1.1911,0,0,0.42206,0,-0.35734,0.54152,1.7103
1.5868e-14,-1.1461,0,0,0.43555,0,-0.34384,0.55883,1.6457
-1.5868e-14,-1.2248,0,0,0.41197,0,-0.36743,0.52857,1.7586
0,-1.1811,0,0,0.42505,0,-0.35434,0.54536,1.696
1.5868e-14,-1.4592,0,0,0.34163,0,-0.43777,0.43832,2.0953
3.1736e-14,-1.4239,0,1.4827e-14,0.35223,0,-0.42717,0.45193,2.0445
0,-1.1727,0,0,0.42758,0,-0.35182,0.5486,1.6839
1.5868e-14,-1.3775,0,0,0.36616,0,-0.41324,0.4698,1.9779
0,-1.2486,0,0,0.40482,0,-0.37457,0.51941,1.7928
0,-1.5605,0,0,0.31125,0,-0.46814,0.39935,2.2407
-1.5868e-14,-1.4481,0,0,0.34498,0,-0.43442,0.44262,2.0793
3.1736e-14,-1.134,0,1.4827e-14,0.4392,0,-0.3402,0.56351,1.6283
-1.5868e-14,-1.3244,0,0,0.38206,0,-0.39733,0.4902,1.9018
0,-1.6063,0,0,0.29749,0,-0.4819,0.3817,2.3065
0,-1.2576,0,0,0.40213,0,-0.37727,0.51595,1.8057
-1.5868e-14,-1.1608,0,0,0.43115,0,-0.34825,0.55318,1.6668
1.5868e-14,-1.3021,0,0,0.38876,0,-0.39064,0.49879,1.8697
-3.1736e-14,-1.4266,0,0,0.35142,0,-0.42797,0.45089,2.0484
1.5868e-14,-1.1792,0,0,0.42565,0,-0.35375,0.54612,1.6931
0,-1.8886,0,0,0.2128,0,-0.56659,0.27304,2.7119
1.5868e-14,-1.0271,0,0,0.47128,0,-0.30812,0.60467,1.4747
-1.5868e-14,-1.2583,0,0,0.4019,0,-0.3775,0.51565,1.8068
1.5868e-14,-1.4789,0,0,0.33573,0,-0.44367,0.43075,2.1235
-1.5868e-14,-1.693,0,0,0.2715,0,-0.5079,0.34834,2.431
