% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-1.3578,0,0,0.27784,0,-0.40735,0.40549,1.9497
0,-1.1764,0,0,0.33228,0,-0.35291,0.48495,1.6891
0,-1.1285,0,0,0.34664,0,-0.33855,0.5059,1.6204
1.5868e-14,-1.1805,0,0,0.33103,0,-0.35415,0.48313,1.6951
0,-1.0323,0,0,0.37551,0,-0.30968,0.54804,1.4822
1.5868e-14,-1.4041,0,0,0.26394,0,-0.42124,0.38522,2.0162
1.5868e-14,-1.3175,0,0,0.28993,0,-0.39525,0.42314,1.8918
-1.5868e-14,-0.93936,0,0,0.40338,0,-0.28181,0.58871,1.3488
-1.5868e-14,-1.0737,0,0,0.36307,0,-0.32211,0.52989,1.5417
0,-1.1176,0,0,0.3499,0,-0.33528,0.51067,1.6048
1.5868e-14,-1.1105,0,0,0.35202,0,-0.33316,0.51376,1.5946
0,-1.0471,0,0,0.37104,0,-0.31414,0.54152,1.5036
1.5868e-14,-1.0076,0,0,0.3829,0,-0.30228,0.55883,1.4468
-1.5868e-14,-1.0767,0,0,0.36217,0,-0.32301,0.52857,1.546
0,-1.0384,0,0,0.37367,0,-0.31151,0.54536,1.491
1.5868e-14,-1.2828,0,0,0.30033,0,-0.38485,0.43832,1.842
3.1736e-14,-1.2518,0,1.4827e-14,0.30965,0,-0.37553,0.45193,1.7974
0,-1.031,0,0,0.37589,0,-0.30929,0.5486,1.4804
1.5868e-14,-1.2109,0,0,0.3219,0,-0.36328,0.4698,1.7388
0,-1.0977,0,0,0.35589,0,-0.3293,0.51941,1.5761
0,-1.3718,0,0,0.27363,0,-0.41155,0.39935,1.9698
-1.5868e-14,-1.273,0,0,0.30328,0,-0.38191,0.44262,1.8279
3.1736e-14,-0.99692,0,1.4827e-14,0.38611,0,-0.29908,0.56351,1.4315
-1.5868e-14,-1.1644,0,0,0.33588,0,-0.34931,0.4902,1.6719
0,-1.4122,0,0,0.26153,0,-0.42365,0.3817,2.0277
0,-1.1056,0,0,0.35352,0,-0.33167,0.51595,1.5875
-1.5868e-14,-1.0205,0,0,0.37903,0,-0.30615,0.55318,1.4653
1.5868e-14,-1.1447,0,0,0.34177,0,-0.34342,0.49879,1.6437
-3.1736e-14,-1.2541,0,0,0.30894,0,-0.37624,0.45089,1.8008
1.5868e-14,-1.0366,0,0,0.3742,0,-0.31099,0.54612,1.4885
0,-1.6603,0,0,0.18708,0,-0.4981,0.27304,2.3841
1.5868e-14,-0.90291,0,0,0.41431,0,-0.27087,0.60467,1.2965
-1.5868e-14,-1.1062,0,0,0.35332,0,-0.33187,0.51565,1.5884
1.5868e-14,-1.3001,0,0,0.29514,0,-0.39004,0.43075,1.8668
-1.5868e-14,-1.4884,0,0,0.23868,0,-0.44651,0.34834,2.1371
1.5868e-14,-1.2119,0,0,0.32162,0,-0.36356,0.46939,1.7401
1.5868e-14,-1.3154,0,0,0.29056,0,-0.39463,0.42406,1.8888
-1.5868e-14,-0.9298,0,0,0.40624,0,-0.27894,0.5929,1.3351
-1.5868e-14,-1.0862,0,0,0.35932,0,-0.32586,0.52442,1.5597
1.5868e-14,-1.1888,0,0,0.32855,0,-0.35663,0.47951,1.7069
-1.5868e-14,-1.3824,0,0,0.27046,0,-0.41472,0.39473,1.985
0,-1.2291,0,0,0.31645,0,-0.36873,0.46185,1.7649
-1.5868e-14,-1.569,0,0,0.21448,0,-0.4707,0.31303,2.2529
1.5868e-14,-1.4297,0,0,0.25629,0,-0.4289,0.37404,2.0528
1.5868e-14,-1.339,0,0,0.28349,0,-0.4017,0.41374,1.9226
0,-1.4094,0,0,0.26238,0,-0.42281,0.38293,2.0237
-1.5868e-14,-1.1667,0,0,0.33516,0,-0.35002,0.48916,1.6753
1.5868e-14,-1.5344,0,0,0.22487,0,-0.46031,0.32819,2.2032
-1.5868e-14,-1.1399,0,0,0.34322,0,-0.34196,0.50092,1.6367
-1.5868e-14,-1.3144,0,0,0.29086,0,-0.39432,0.4245,1.8873
0,-1.1347,0,0,0.34477,0,-0.34041,0.50318,1.6293
0,-0.8413,0,0,0.43279,0,-0.25239,0.63165,1.208
0,-1.1625,0,0,0.33644,0,-0.34874,0.49103,1.6692
-1.5868e-14,-1.2101,0,0,0.32216,0,-0.36302,0.47018,1.7375
0,-1.0591,0,0,0.36744,0,-0.31774,0.53626,1.5208
1.5868e-14,-1.1676,0,0,0.33489,0,-0.35029,0.48876,1.6766
0,-0.92829,0,0,0.4067,0,-0.27849,0.59356,1.3329
-1.5868e-14,-1.1586,0,0,0.3376,0,-0.34758,0.49272,1.6636
-1.5868e-14,-0.99717,0,0,0.38603,0,-0.29915,0.5634,1.4318
-1.5868e-14,-1.2552,0,0,0.30863,0,-0.37655,0.45044,1.8023
1.5868e-14,-1.0411,0,0,0.37285,0,-0.31233,0.54416,1.4949
1.5868e-14,-1.1689,0,0,0.33452,0,-0.35066,0.48822,1.6784
0,-1.419,0,0,0.2595,0,-0.42569,0.37873,2.0375
1.5868e-14,-0.98432,0,0,0.38989,0,-0.2953,0.56903,1.4134
0,-1.1565,0,0,0.33825,0,-0.34694,0.49366,1.6605
1.5868e-14,-1.2522,0,0,0.30953,0,-0.37565,0.45175,1.798
