% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-0.99008,0,0,0.20259,0,-0.29702,0.40549,1.4216
0,-0.85776,0,0,0.24229,0,-0.25733,0.48495,1.2316
0,-0.82286,0,0,0.25276,0,-0.24686,0.5059,1.1815
1.5868e-14,-0.86079,0,0,0.24138,0,-0.25824,0.48313,1.236
0,-0.75269,0,0,0.27381,0,-0.22581,0.54804,1.0808
1.5868e-14,-1.0238,0,0,0.19246,0,-0.30715,0.38522,1.4701
1.5868e-14,-0.96069,0,0,0.21141,0,-0.28821,0.42314,1.3794
-1.5868e-14,-0.68495,0,0,0.29413,0,-0.20548,0.58871,0.98351
-1.5868e-14,-0.78291,0,0,0.26474,0,-0.23487,0.52989,1.1242
0,-0.81492,0,0,0.25514,0,-0.24448,0.51067,1.1701
1.5868e-14,-0.80977,0,0,0.25668,0,-0.24293,0.51376,1.1627
0,-0.76354,0,0,0.27055,0,-0.22906,0.54152,1.0964
1.5868e-14,-0.73471,0,0,0.2792,0,-0.22041,0.55883,1.055
-1.5868e-14,-0.7851,0,0,0.26408,0,-0.23553,0.52857,1.1273
0,-0.75715,0,0,0.27247,0,-0.22714,0.54536,1.0872
1.5868e-14,-0.93541,0,0,0.21899,0,-0.28062,0.43832,1.3431
3.1736e-14,-0.91275,0,1.4827e-14,0.22579,0,-0.27383,0.45193,1.3106
0,-0.75175,0,0,0.27409,0,-0.22552,0.5486,1.0794
1.5868e-14,-0.88298,0,0,0.23472,0,-0.26489,0.4698,1.2679
0,-0.80037,0,0,0.2595,0,-0.24011,0.51941,1.1492
0,-1.0003,0,0,0.19952,0,-0.30009,0.39935,1.4363
-1.5868e-14,-0.92825,0,0,0.22114,0,-0.27847,0.44262,1.3329
3.1736e-14,-0.72692,0,1.4827e-14,0.28154,0,-0.21808,0.56351,1.0438
-1.5868e-14,-0.84901,0,0,0.24491,0,-0.2547,0.4902,1.2191
0,-1.0297,0,0,0.1907,0,-0.30891,0.3817,1.4785
0,-0.80613,0,0,0.25777,0,-0.24184,0.51595,1.1575
-1.5868e-14,-0.74412,0,0,0.27638,0,-0.22324,0.55318,1.0685
1.5868e-14,-0.8347,0,0,0.2492,0,-0.25041,0.49879,1.1985
-3.1736e-14,-0.91447,0,0,0.22527,0,-0.27434,0.45089,1.3131
1.5868e-14,-0.75587,0,0,0.27285,0,-0.22676,0.54612,1.0854
0,-1.2107,0,0,0.13641,0,-0.3632,0.27304,1.7384
1.5868e-14,-0.65837,0,0,0.3021,0,-0.19751,0.60467,0.94534
-1.5868e-14,-0.80662,0,0,0.25763,0,-0.24199,0.51565,1.1582
1.5868e-14,-0.94802,0,0,0.21521,0,-0.2844,0.43075,1.3612
-1.5868e-14,-1.0853,0,0,0.17404,0,-0.32558,0.34834,1.5583
1.5868e-14,-0.88366,0,0,0.23452,0,-0.2651,0.46939,1.2688
1.5868e-14,-0.95916,0,0,0.21186,0,-0.28775,0.42406,1.3773
-1.5868e-14,-0.67798,0,0,0.29622,0,-0.20339,0.5929,0.9735
-1.5868e-14,-0.79202,0,0,0.26201,0,-0.23761,0.52442,1.1373
1.5868e-14,-0.86681,0,0,0.23957,0,-0.26004,0.47951,1.2446
-1.5868e-14,-1.008,0,0,0.19721,0,-0.3024,0.39473,1.4474
0,-0.89622,0,0,0.23075,0,-0.26887,0.46185,1.2869
-1.5868e-14,-1.1441,0,0,0.15639,0,-0.34322,0.31303,1.6428
1.5868e-14,-1.0425,0,0,0.18688,0,-0.31274,0.37404,1.4969
1.5868e-14,-0.97635,0,0,0.20671,0,-0.2929,0.41374,1.4019
0,-1.0277,0,0,0.19132,0,-0.3083,0.38293,1.4756
-1.5868e-14,-0.85074,0,0,0.24439,0,-0.25522,0.48916,1.2216
1.5868e-14,-1.1188,0,0,0.16397,0,-0.33564,0.32819,1.6065
-1.5868e-14,-0.83115,0,0,0.25027,0,-0.24935,0.50092,1.1934
-1.5868e-14,-0.95842,0,0,0.21209,0,-0.28753,0.4245,1.3762
0,-0.82739,0,0,0.2514,0,-0.24822,0.50318,1.188
0,-0.61345,0,0,0.31558,0,-0.18403,0.63165,0.88084
0,-0.84763,0,0,0.24532,0,-0.25429,0.49103,1.2171
-1.5868e-14,-0.88235,0,0,0.23491,0,-0.2647,0.47018,1.267
0,-0.7723,0,0,0.26792,0,-0.23169,0.53626,1.1089
1.5868e-14,-0.85141,0,0,0.24419,0,-0.25542,0.48876,1.2225
0,-0.67688,0,0,0.29655,0,-0.20306,0.59356,0.97193
-1.5868e-14,-0.84481,0,0,0.24617,0,-0.25344,0.49272,1.2131
-1.5868e-14,-0.7271,0,0,0.28148,0,-0.21813,0.5634,1.044
-1.5868e-14,-0.91523,0,0,0.22505,0,-0.27457,0.45044,1.3142
1.5868e-14,-0.75914,0,0,0.27187,0,-0.22774,0.54416,1.09
1.5868e-14,-0.85231,0,0,0.24392,0,-0.25569,0.48822,1.2238
0,-1.0347,0,0,0.18922,0,-0.3104,0.37873,1.4856
1.5868e-14,-0.71773,0,0,0.28429,0,-0.21532,0.56903,1.0306
0,-0.84325,0,0,0.24664,0,-0.25298,0.49366,1.2108
1.5868e-14,-0.91304,0,0,0.2257,0,-0.27391,0.45175,1.311
0,-0.89564,0,0,0.23092,0,-0.26869,0.4622,1.286
1.5868e-14,-0.93033,0,0,0.22051,0,-0.2791,0.44137,1.3358
1.5868e-14,-0.71824,0,0,0.28414,0,-0.21547,0.56872,1.0313
-1.5868e-14,-0.96409,0,0,0.21039,0,-0.28923,0.4211,1.3843
0,-0.93282,0,0,0.21977,0,-0.27985,0.43987,1.3394
0,-0.85431,0,0,0.24332,0,-0.25629,0.48702,1.2267
0,-0.84085,0,0,0.24736,0,-0.25226,0.4951,1.2074
0,-1.0203,0,0,0.19352,0,-0.3061,0.38733,1.4651
0,-0.93441,0,0,0.21929,0,-0.28032,0.43892,1.3417
0,-0.86005,0,0,0.2416,0,-0.25801,0.48357,1.2349
0,-1.0987,0,0,0.17,0,-0.32961,0.34027,1.5776
-1.5868e-14,-0.87672,0,0,0.2366,0,-0.26302,0.47356,1.2589
1.5868e-14,-0.85764,0,0,0.24232,0,-0.25729,0.48502,1.2315
0,-1.2048,0,0,0.13818,0,-0.36143,0.27658,1.7299
-1.5868e-14,-0.7721,0,0,0.26798,0,-0.23163,0.53638,1.1086
0,-0.94869,0,0,0.21501,0,-0.28461,0.43035,1.3622
0,-0.80019,0,0,0.25956,0,-0.24006,0.51951,1.149
0,-1.1829,0,0,0.14474,0,-0.35487,0.28971,1.6985
-1.5868e-14,-0.92666,0,0,0.22162,0,-0.278,0.44357,1.3306
1.5868e-14,-0.76832,0,0,0.26912,0,-0.23049,0.53865,1.1032
0,-1.3195,0,0,0.10375,0,-0.39586,0.20766,1.8947
0,-1.2433,0,0,0.12661,0,-0.373,0.25342,1.7853
-1.5868e-14,-0.82227,0,0,0.25293,0,-0.24668,0.50625,1.1807
-3.1736e-14,-0.9926,0,0,0.20183,0,-0.29778,0.40398,1.4253
0,-0.80638,0,0,0.2577,0,-0.24191,0.5158,1.1579
-1.5868e-14,-0.88892,0,0,0.23294,0,-0.26668,0.46623,1.2764
0,-0.88711,0,0,0.23348,0,-0.26613,0.46732,1.2738
-1.5868e-14,-0.8826,0,0,0.23483,0,-0.26478,0.47003,1.2673
-1.5868e-14,-0.89359,0,0,0.23154,0,-0.26808,0.46343,1.2831
-1.5868e-14,-0.88413,0,0,0.23437,0,-0.26524,0.46911,1.2695
1.5868e-14,-0.91222,0,0,0.22595,0,-0.27367,0.45225,1.3098
0,-0.82149,0,0,0.25317,0,-0.24645,0.50673,1.1796
-1.5868e-14,-0.95097,0,0,0.21432,0,-0.28529,0.42898,1.3655
1.5868e-14,-0.7411,0,0,0.27728,0,-0.22233,0.55499,1.0641
0,-0.91802,0,0,0.22421,0,-0.27541,0.44876,1.3182
0,-0.92927,0,0,0.22083,0,-0.27878,0.44201,1.3343
-1.5868e-14,-0.8063,0,0,0.25772,0,-0.24189,0.51584,1.1578
1.5868e-14,-0.87342,0,0,0.23759,0,-0.26203,0.47554,1.2541
0,-0.83061,0,0,0.25043,0,-0.24918,0.50125,1.1927
1.5868e-14,-0.91673,0,0,0.22459,0,-0.27502,0.44954,1.3163
0,-0.77153,0,0,0.26815,0,-0.23146,0.53672,1.1078
0,-1.1034,0,0,0.1686,0,-0.33102,0.33745,1.5843
-1.5868e-14,-0.83628,0,0,0.24873,0,-0.25088,0.49784,1.2008
-1.5868e-14,-1.0647,0,0,0.18021,0,-0.31941,0.36069,1.5288
-1.5868e-14,-1.0494,0,0,0.1848,0,-0.31481,0.36989,1.5068
-1.5868e-14,-0.83723,0,0,0.24845,0,-0.25117,0.49727,1.2022
1.5868e-14,-1.0362,0,0,0.18874,0,-0.31087,0.37777,1.4879
-1.5868e-14,-0.90626,0,0,0.22774,0,-0.27188,0.45582,1.3013
1.5868e-14,-1.0009,0,0,0.19935,0,-0.30026,0.39901,1.4371
-1.5868e-14,-0.85442,0,0,0.24329,0,-0.25633,0.48695,1.2268
-1.5868e-14,-0.86387,0,0,0.24045,0,-0.25916,0.48128,1.2404
-1.5868e-14,-0.78428,0,0,0.26433,0,-0.23528,0.52907,1.1261
0,-0.79068,0,0,0.26241,0,-0.2372,0.52522,1.1353
0,-0.68668,0,0,0.29361,0,-0.206,0.58767,0.986
0,-0.73793,0,0,0.27824,0,-0.22138,0.5569,1.0596
-1.5868e-14,-0.78774,0,0,0.26329,0,-0.23632,0.52699,1.1311
0,-0.73568,0,0,0.27891,0,-0.2207,0.55825,1.0563
-1.5868e-14,-0.75789,0,0,0.27225,0,-0.22737,0.54492,1.0882
0,-0.90047,0,0,0.22947,0,-0.27014,0.4593,1.293
-1.5868e-14,-1.0151,0,0,0.19508,0,-0.30453,0.39047,1.4576
0,-0.73524,0,0,0.27904,0,-0.22057,0.55851,1.0557
0,-1.2085,0,0,0.13707,0,-0.36255,0.27434,1.7353
1.5868e-14,-0.87235,0,0,0.23791,0,-0.26171,0.47618,1.2526
0,-0.85373,0,0,0.2435,0,-0.25612,0.48737,1.2259
1.5868e-14,-0.81051,0,0,0.25646,0,-0.24315,0.51332,1.1638
