% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-1.8331,0,0,0.37508,0,-0.54992,0.40549,2.6321
0,-1.5881,0,0,0.44858,0,-0.47642,0.48495,2.2803
0,-1.5235,0,0,0.46796,0,-0.45704,0.5059,2.1875
1.5868e-14,-1.5937,0,0,0.44689,0,-0.47811,0.48313,2.2884
0,-1.3936,0,0,0.50693,0,-0.41807,0.54804,2.001
1.5868e-14,-1.8956,0,0,0.35632,0,-0.56868,0.38522,2.7218
1.5868e-14,-1.7786,0,0,0.3914,0,-0.53359,0.42314,2.5539
-1.5868e-14,-1.2681,0,0,0.54456,0,-0.38044,0.58871,1.8209
-1.5868e-14,-1.4495,0,0,0.49015,0,-0.43485,0.52989,2.0813
0,-1.5088,0,0,0.47237,0,-0.45263,0.51067,2.1664
1.5868e-14,-1.4992,0,0,0.47523,0,-0.44977,0.51376,2.1527
0,-1.4136,0,0,0.5009,0,-0.42409,0.54152,2.0298
1.5868e-14,-1.3603,0,0,0.51692,0,-0.40808,0.55883,1.9532
-1.5868e-14,-1.4536,0,0,0.48893,0,-0.43607,0.52857,2.0872
0,-1.4018,0,0,0.50446,0,-0.42054,0.54536,2.0128
1.5868e-14,-1.7318,0,0,0.40545,0,-0.51955,0.43832,2.4867
3.1736e-14,-1.6899,0,1.4827e-14,0.41803,0,-0.50697,0.45193,2.4265
0,-1.3918,0,0,0.50746,0,-0.41754,0.5486,1.9985
1.5868e-14,-1.6348,0,0,0.43456,0,-0.49043,0.4698,2.3474
0,-1.4818,0,0,0.48045,0,-0.44455,0.51941,2.1277
0,-1.852,0,0,0.3694,0,-0.5556,0.39935,2.6592
-1.5868e-14,-1.7186,0,0,0.40942,0,-0.51558,0.44262,2.4677
3.1736e-14,-1.3458,0,1.4827e-14,0.52124,0,-0.40375,0.56351,1.9325
-1.5868e-14,-1.5719,0,0,0.45344,0,-0.47156,0.4902,2.257
0,-1.9064,0,0,0.35307,0,-0.57193,0.3817,2.7374
0,-1.4925,0,0,0.47725,0,-0.44775,0.51595,2.1431
-1.5868e-14,-1.3777,0,0,0.51169,0,-0.41331,0.55318,1.9782
1.5868e-14,-1.5454,0,0,0.46138,0,-0.46362,0.49879,2.219
-3.1736e-14,-1.6931,0,0,0.41708,0,-0.50792,0.45089,2.4311
1.5868e-14,-1.3994,0,0,0.50516,0,-0.41983,0.54612,2.0095
0,-2.2415,0,0,0.25256,0,-0.67244,0.27304,3.2185
1.5868e-14,-1.2189,0,0,0.55932,0,-0.36568,0.60467,1.7502
-1.5868e-14,-1.4934,0,0,0.47698,0,-0.44802,0.51565,2.1444
1.5868e-14,-1.7552,0,0,0.39844,0,-0.52655,0.43075,2.5202
-1.5868e-14,-2.0093,0,0,0.32221,0,-0.60278,0.34834,2.8851
1.5868e-14,-1.636,0,0,0.43419,0,-0.49081,0.46939,2.3492
1.5868e-14,-1.7758,0,0,0.39225,0,-0.53275,0.42406,2.5499
-1.5868e-14,-1.2552,0,0,0.54843,0,-0.37657,0.5929,1.8024
-1.5868e-14,-1.4664,0,0,0.48509,0,-0.43991,0.52442,2.1056
1.5868e-14,-1.6048,0,0,0.44355,0,-0.48145,0.47951,2.3044
-1.5868e-14,-1.8663,0,0,0.36512,0,-0.55988,0.39473,2.6797
0,-1.6593,0,0,0.42721,0,-0.49779,0.46185,2.3826
-1.5868e-14,-2.1182,0,0,0.28955,0,-0.63545,0.31303,3.0415
1.5868e-14,-1.93,0,0,0.34599,0,-0.57901,0.37404,2.7713
1.5868e-14,-1.8076,0,0,0.38271,0,-0.54229,0.41374,2.5956
0,-1.9026,0,0,0.35421,0,-0.57079,0.38293,2.732
-1.5868e-14,-1.5751,0,0,0.45247,0,-0.47253,0.48916,2.2617
1.5868e-14,-2.0714,0,0,0.30358,0,-0.62142,0.32819,2.9743
-1.5868e-14,-1.5388,0,0,0.46335,0,-0.46165,0.50092,2.2096
-1.5868e-14,-1.7744,0,0,0.39266,0,-0.53233,0.4245,2.5479
0,-1.5319,0,0,0.46544,0,-0.45956,0.50318,2.1996
0,-1.1358,0,0,0.58427,0,-0.34073,0.63165,1.6308
0,-1.5693,0,0,0.4542,0,-0.4708,0.49103,2.2534
-1.5868e-14,-1.6336,0,0,0.43492,0,-0.49008,0.47018,2.3457
0,-1.4298,0,0,0.49604,0,-0.42895,0.53626,2.0531
1.5868e-14,-1.5763,0,0,0.4521,0,-0.4729,0.48876,2.2634
0,-1.2532,0,0,0.54904,0,-0.37596,0.59356,1.7994
-1.5868e-14,-1.5641,0,0,0.45577,0,-0.46923,0.49272,2.2459
-1.5868e-14,-1.3462,0,0,0.52115,0,-0.40385,0.5634,1.933
-1.5868e-14,-1.6945,0,0,0.41665,0,-0.50834,0.45044,2.4331
1.5868e-14,-1.4055,0,0,0.50335,0,-0.42165,0.54416,2.0181
1.5868e-14,-1.578,0,0,0.4516,0,-0.4734,0.48822,2.2658
0,-1.9156,0,0,0.35032,0,-0.57468,0.37873,2.7506
1.5868e-14,-1.3288,0,0,0.52635,0,-0.39865,0.56903,1.9081
0,-1.5612,0,0,0.45663,0,-0.46837,0.49366,2.2417
1.5868e-14,-1.6904,0,0,0.41787,0,-0.50713,0.45175,2.4273
0,-1.6582,0,0,0.42753,0,-0.49746,0.4622,2.381
1.5868e-14,-1.7224,0,0,0.40827,0,-0.51673,0.44137,2.4732
1.5868e-14,-1.3298,0,0,0.52607,0,-0.39893,0.56872,1.9094
-1.5868e-14,-1.7849,0,0,0.38951,0,-0.53548,0.4211,2.563
0,-1.7271,0,0,0.40688,0,-0.51812,0.43987,2.4799
0,-1.5817,0,0,0.45049,0,-0.47451,0.48702,2.2711
0,-1.5568,0,0,0.45797,0,-0.46703,0.4951,2.2354
0,-1.8891,0,0,0.35828,0,-0.56672,0.38733,2.7125
0,-1.73,0,0,0.406,0,-0.519,0.43892,2.4841
0,-1.5923,0,0,0.4473,0,-0.47769,0.48357,2.2864
0,-2.0342,0,0,0.31475,0,-0.61025,0.34027,2.9208
-1.5868e-14,-1.6232,0,0,0.43804,0,-0.48695,0.47356,2.3307
1.5868e-14,-1.5879,0,0,0.44864,0,-0.47636,0.48502,2.28
0,-2.2305,0,0,0.25584,0,-0.66916,0.27658,3.2028
-1.5868e-14,-1.4295,0,0,0.49615,0,-0.42885,0.53638,2.0526
0,-1.7564,0,0,0.39807,0,-0.52693,0.43035,2.522
0,-1.4815,0,0,0.48055,0,-0.44445,0.51951,2.1273
0,-2.1901,0,0,0.26798,0,-0.65702,0.28971,3.1447
-1.5868e-14,-1.7156,0,0,0.4103,0,-0.51469,0.44357,2.4635
1.5868e-14,-1.4225,0,0,0.49825,0,-0.42674,0.53865,2.0425
0,-2.443,0,0,0.19208,0,-0.73291,0.20766,3.5079
0,-2.3019,0,0,0.23441,0,-0.69058,0.25342,3.3053
-1.5868e-14,-1.5224,0,0,0.46828,0,-0.45671,0.50625,2.186
-3.1736e-14,-1.8377,0,0,0.37368,0,-0.55132,0.40398,2.6388
0,-1.493,0,0,0.47711,0,-0.44789,0.5158,2.1437
-1.5868e-14,-1.6458,0,0,0.43127,0,-0.49373,0.46623,2.3631
0,-1.6424,0,0,0.43227,0,-0.49273,0.46732,2.3583
