% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of non-biomass electricity,Rebound effect on electricity,CO2 Reduction (tonnes)
-1.5868e-14,-1.4008,0,0,0.28663,0,-0.42024,0.40549,2.0114
0,-1.2136,0,0,0.34279,0,-0.36407,0.48495,1.7425
0,-1.1642,0,0,0.3576,0,-0.34926,0.5059,1.6717
1.5868e-14,-1.2179,0,0,0.3415,0,-0.36536,0.48313,1.7487
0,-1.0649,0,0,0.38739,0,-0.31948,0.54804,1.5291
1.5868e-14,-1.4486,0,0,0.27229,0,-0.43457,0.38522,2.08
1.5868e-14,-1.3592,0,0,0.2991,0,-0.40776,0.42314,1.9517
-1.5868e-14,-0.96908,0,0,0.41614,0,-0.29072,0.58871,1.3915
-1.5868e-14,-1.1077,0,0,0.37456,0,-0.3323,0.52989,1.5905
0,-1.153,0,0,0.36097,0,-0.34589,0.51067,1.6555
1.5868e-14,-1.1457,0,0,0.36316,0,-0.3437,0.51376,1.6451
0,-1.0803,0,0,0.38278,0,-0.32408,0.54152,1.5512
1.5868e-14,-1.0395,0,0,0.39502,0,-0.31184,0.55883,1.4926
-1.5868e-14,-1.1108,0,0,0.37363,0,-0.33323,0.52857,1.595
0,-1.0712,0,0,0.38549,0,-0.32137,0.54536,1.5382
1.5868e-14,-1.3234,0,0,0.30983,0,-0.39703,0.43832,1.9003
3.1736e-14,-1.2914,0,1.4827e-14,0.31945,0,-0.38741,0.45193,1.8543
0,-1.0636,0,0,0.38779,0,-0.31908,0.5486,1.5272
1.5868e-14,-1.2493,0,0,0.33208,0,-0.37478,0.4698,1.7938
0,-1.1324,0,0,0.36715,0,-0.33971,0.51941,1.626
0,-1.4152,0,0,0.28229,0,-0.42457,0.39935,2.0321
-1.5868e-14,-1.3133,0,0,0.31287,0,-0.39399,0.44262,1.8858
3.1736e-14,-1.0285,0,1.4827e-14,0.39832,0,-0.30854,0.56351,1.4768
-1.5868e-14,-1.2012,0,0,0.34651,0,-0.36036,0.4902,1.7248
0,-1.4568,0,0,0.26981,0,-0.43705,0.3817,2.0919
0,-1.1405,0,0,0.3647,0,-0.34216,0.51595,1.6377
-1.5868e-14,-1.0528,0,0,0.39102,0,-0.31584,0.55318,1.5117
1.5868e-14,-1.1809,0,0,0.35258,0,-0.35428,0.49879,1.6957
-3.1736e-14,-1.2938,0,0,0.31872,0,-0.38814,0.45089,1.8578
1.5868e-14,-1.0694,0,0,0.38603,0,-0.32083,0.54612,1.5356
0,-1.7129,0,0,0.193,0,-0.51386,0.27304,2.4595
1.5868e-14,-0.93147,0,0,0.42742,0,-0.27944,0.60467,1.3375
-1.5868e-14,-1.1412,0,0,0.3645,0,-0.34237,0.51565,1.6387
1.5868e-14,-1.3413,0,0,0.30448,0,-0.40238,0.43075,1.9259
